nbr_declaration,investissement_decalre,mois,gouvernorat,delegation,feuille
1,172000.0,مارس,بن عروس,المحمدية,SQL Results
1,5800.0,فيفري,المنستير,صيادة لمطة بوحجر,SQL Results
2,149995.0,جانفي,نابل,دار شعبان الفهري,SQL Results
9,571000.0,جانفي,القيروان,سيدي عمر بوحجلة,SQL Results
10,1129458.0,جانفي,سيدي بوزيد,بئر الحفي,SQL Results
8,422177.0,ماي,الكاف,الكاف الشرقية,SQL Results
1,53643.0,ماي,سليانة,مكثر,SQL Results
6,462891.0,جانفي,مدنين,جرجيس,SQL Results
1,386589.0,فيفري,توزر,نفطة,SQL Results
1,12000.0,جانفي,المهدية,هبيرة,SQL Results
2,113500.0,ماي,القيروان,سيدي علي نصرالله,SQL Results
10,952380.0,مارس,القيروان,سيدي عمر بوحجلة,SQL Results
2,129406.0,فيفري,مدنين,مدنين الشما لية,SQL Results
10,799124.0,مارس,القيروان,حاجب العيون,SQL Results
7,858700.0,فيفري,المهدية,المهدية,SQL Results
9,10677108.0,أفريل,زغوان,بئر مشارقة,SQL Results
3,221000.0,فيفري,القيروان,الشراردة,SQL Results
5,389400.0,ماي,باجة,باجة الشما لية,SQL Results
1,160663.0,أفريل,القصرين,تا لة,SQL Results
1,80000.0,أفريل,بن عروس,بن عروس,SQL Results
14,1133492.0,مارس,مدنين,بن قردان,SQL Results
9,1637644.0,مارس,القصرين,القصرين الجنوبية,SQL Results
1,70900.0,فيفري,الكاف,الكاف الشرقية,SQL Results
1,,سبتمبر,الكاف,تاجروين,SQL Results
8,421733.0,أفريل,القصرين,فوسانة,SQL Results
3,266684.0,أفريل,سيدي بوزيد,جلمة,SQL Results
4,525261.0,أفريل,منــوبة,المرناقية,SQL Results
1,92000.0,ماي,أريانة,قلعة الأندلس,SQL Results
2,144014.0,مارس,قبلي,سوق الأحد,SQL Results
4,272000.0,فيفري,تطاوين,تطاوين الشما لية,SQL Results
4,1250250.0,فيفري,أريانة,سيدي ثابت,SQL Results
3,710078.0,فيفري,سيدي بوزيد,المزونة,SQL Results
7,1199215.0,أفريل,مدنين,بن قردان,SQL Results
2,124524.0,فيفري,باجة,تبرسق,SQL Results
10,1247936.0,جانفي,القصرين,سبيطلة,SQL Results
4,356940.0,جانفي,سيدي بوزيد,سوق الجديد,SQL Results
3,229003.0,مارس,القصرين,حاسي الفريد,SQL Results
2,312090.0,مارس,باجة,قبلاط,SQL Results
1,65589.0,مارس,تــونس,السيجومي,SQL Results
7,634534.0,جانفي,جندوبة,جندوبة,SQL Results
3,323210.0,مارس,أريانة,قلعة الأندلس,SQL Results
3,701435.0,فيفري,القيروان,القيروان الشما لية,SQL Results
2,181630.0,ماي,قبلي,دوز الجنوبية,SQL Results
5,401000.0,فيفري,القيروان,الشبيكة,SQL Results
1,100000.0,أفريل,تــونس,المرسى,SQL Results
3,366000.0,أفريل,القيروان,القيروان الشما لية,SQL Results
1,118384.0,أفريل,قبلي,رجيم معتوق,SQL Results
1,2300.0,ماي,تــونس,حي الخضراء,SQL Results
1,32000.0,مارس,الكاف,القصور,SQL Results
2,256408.0,أفريل,جندوبة,بلطة بوعوان,SQL Results
1,117930.0,ماي,منــوبة,واد الليل,SQL Results
1,64000.0,فيفري,القيروان,العلا,SQL Results
1,280000.0,مارس,قابس,قابس الغربية,SQL Results
2,83500.0,مارس,مدنين,مدنين الشما لية,SQL Results
1,110000.0,أفريل,القيروان,عين جلولة,SQL Results
1,61000.0,جانفي,تطاوين,بني مهيرة,SQL Results
1,,ماي,الكاف,الجريصة,SQL Results
2,260000.0,مارس,أريانة,سيدي ثابت,SQL Results
1,24500.0,أفريل,توزر,توزر,SQL Results
1,40000.0,أفريل,القصرين,حاسي الفريد,SQL Results
1,61523.0,فيفري,قابس,غنوش,SQL Results
1,64000.0,ماي,الكاف,قلعة الخصبة,SQL Results
1,84000.0,ماي,تطاوين,تطاوين الجنوبية,SQL Results
6,703203.0,جانفي,سليانة,الروحية,SQL Results
2,525622.0,ماي,نابل,بوعرقوب,SQL Results
1,74000.0,أفريل,سوسة,سوسة الجوهرة,SQL Results
4,430528.0,ماي,بنزرت,جومين,SQL Results
8,6660030.0,ماي,قابس,الحامة,SQL Results
4,515919.0,مارس,صفاقس,المحرس,SQL Results
7,2212460.0,مارس,بنزرت,أوتيك,SQL Results
3,203025.0,أفريل,قفصة,قفصة الجنوبية,SQL Results
2,364500.0,أفريل,بنزرت,منزل جميل,SQL Results
15,1627499.0,مارس,سليانة,سليانة الشما لية,SQL Results
1,100000.0,جانفي,بنزرت,منزل بورقيبة,SQL Results
3,166700.0,جانفي,بنزرت,الغزالة,SQL Results
8,730727.0,مارس,صفاقس,قرقنة,SQL Results
1,20730.0,مارس,نابل,قليبية,SQL Results
8,2887062.0,ماي,منــوبة,برج العامري,SQL Results
1,7780.0,مارس,سوسة,حمام سوسة,SQL Results
2,229150.0,جانفي,صفاقس,الحنشة,SQL Results
1,127000.0,فيفري,المنستير,الوردانين,SQL Results
3,459349.0,جانفي,صفاقس,المحرس,SQL Results
3,1244000.0,مارس,المهدية,قصور الساف,SQL Results
3,1123200.0,أفريل,بنزرت,العا لية,SQL Results
8,976465.0,ماي,بن عروس,مرناق,SQL Results
5,196705.0,أفريل,سليانة,الروحية,SQL Results
7,2459216.0,جانفي,باجة,مجاز الباب,SQL Results
2,158128.0,مارس,قفصة,زانوش,SQL Results
2,124000.0,مارس,قفصة,أم  العرائس,SQL Results
6,2042000.0,فيفري,بن عروس,مرناق,SQL Results
2,186592.0,جانفي,صفاقس,صفاقس الجنوبية,SQL Results
2,423906.0,ماي,صفاقس,الحنشة,SQL Results
1,77000.0,ماي,بنزرت,غار الملح,SQL Results
2,234687.0,مارس,بنزرت,بنزرت الجنوبية,SQL Results
1,64000.0,مارس,سوسة,القلعة الكبرى,SQL Results
3,540212.0,مارس,قفصة,قفصة الجنوبية,SQL Results
1,80000.0,جانفي,تــونس,حلق الوادي,SQL Results
3,460000.0,جانفي,الكاف,السرس,SQL Results
3,322800.0,فيفري,قفصة,السند,SQL Results
2,3158000.0,مارس,منــوبة,طبربة,SQL Results
6,2292762.0,أفريل,صفاقس,عقارب,SQL Results
11,509500.0,أفريل,الكاف,السرس,SQL Results
1,196000.0,مارس,بنزرت,منزل بورقيبة,SQL Results
3,431250.0,أفريل,بنزرت,بنزرت الجنوبية,SQL Results
3,227000.0,أفريل,القيروان,سيدي علي نصرالله,SQL Results
1,2000000.0,مارس,قفصة,المتلوي,SQL Results
2,533832.0,ماي,سليانة,سليانة الجنوبية,SQL Results
3,14605010.0,ماي,توزر,توزر,SQL Results
1,86000.0,جانفي,قفصة,القطار,SQL Results
6,395747.0,فيفري,الكاف,السرس,SQL Results
2,527000.0,فيفري,منــوبة,الجديدة,SQL Results
1,4900.0,أفريل,سليانة,كسرى,SQL Results
3,119250.0,فيفري,منــوبة,طبربة,SQL Results
5,1394000.0,ماي,باجة,باجة الجنوبية,SQL Results
13,2293515.0,جانفي,صفاقس,صفاقس المدينة,SQL Results
7,774155.0,جانفي,قابس,مارث,SQL Results
1,83572.0,مارس,سوسة,سوسة المدينة,SQL Results
4,1515000.0,فيفري,المهدية,الشابة,SQL Results
2,165565.0,فيفري,القصرين,العيون,SQL Results
3,220418.0,ماي,الكاف,تاجروين,SQL Results
4,483000.0,ماي,القيروان,السبيخة,SQL Results
5,1261919.0,فيفري,قابس,منزل الحبيب,SQL Results
1,54320.0,جانفي,صفاقس,طينة,SQL Results
2,20980.0,أفريل,مدنين,سيدي مخلوف,SQL Results
14,1571467.0,فيفري,سيدي بوزيد,الرقاب,SQL Results
6,807811.0,أفريل,القيروان,القيروان الجنوبية,SQL Results
5,666350.0,ماي,سيدي بوزيد,بئر الحفي,SQL Results
16,1677724.0,أفريل,القصرين,سبيطلة,SQL Results
5,561800.0,مارس,تطاوين,تطاوين الشما لية,SQL Results
8,926299.0,ماي,مدنين,جرجيس,SQL Results
4,383375.0,فيفري,سيدي بوزيد,سبا لة أولاد عسكر,SQL Results
1,76000.0,ماي,القيروان,حفوز,SQL Results
5,478205.0,أفريل,مدنين,مدنين الجنوبية,SQL Results
9,599137.0,أفريل,مدنين,جرجيس,SQL Results
9,893565.0,جانفي,سيدي بوزيد,الرقاب,SQL Results
1,221513.0,فيفري,بنزرت,الغزالة,SQL Results
1,259389.0,أفريل,قابس,قابس الغربية,SQL Results
7,1876900.0,مارس,تطاوين,رمادة,SQL Results
5,393584.0,مارس,سيدي بوزيد,سوق الجديد,SQL Results
4,314759.0,ماي,الكاف,نبر,SQL Results
5,755400.0,جانفي,سيدي بوزيد,السعيدة,SQL Results
2,785000.0,ماي,القيروان,القيروان الجنوبية,SQL Results
1,181787.0,فيفري,نابل,بوعرقوب,SQL Results
5,451614.0,أفريل,باجة,تبرسق,SQL Results
3,271870.0,ماي,الكاف,قلعة سنان,SQL Results
2,123862.0,ماي,قفصة,أم  العرائس,SQL Results
1,415000.0,جانفي,الكاف,تاجروين,SQL Results
1,108615.0,ماي,القصرين,القصرين الشما لية,SQL Results
1,86000.0,فيفري,المهدية,أولاد الشامخ,SQL Results
2,264254.0,ماي,جندوبة,بلطة بوعوان,SQL Results
5,430100.0,أفريل,جندوبة,جندوبة,SQL Results
3,204313.0,جانفي,صفاقس,قرقنة,SQL Results
5,311000.0,مارس,المهدية,هبيرة,SQL Results
2,137000.0,مارس,القيروان,القيروان الشما لية,SQL Results
2,217200.0,فيفري,باجة,قبلاط,SQL Results
2,129389.0,مارس,تــونس,الكرم,SQL Results
5,390816.0,ماي,القصرين,القصرين الجنوبية,SQL Results
14,1298135.0,فيفري,مدنين,جرجيس,SQL Results
3,113510.0,فيفري,نابل,منزل بوزلفة,SQL Results
4,732485.0,فيفري,جندوبة,جندوبة,SQL Results
1,3360.0,فيفري,بنزرت,جرزونة,SQL Results
5,528600.0,مارس,قابس,مارث,SQL Results
1,60300.0,فيفري,الكاف,الكاف الغربية,SQL Results
1,300000.0,فيفري,نابل,نابل,SQL Results
5,319559.0,أفريل,صفاقس,قرقنة,SQL Results
5,869000.0,جانفي,القيروان,الشراردة,SQL Results
1,78000.0,نوفمبر,قابس,المطوية,SQL Results
2,182435.0,جانفي,منــوبة,واد الليل,SQL Results
8,875909.0,فيفري,قابس,قابس الجنوبية,SQL Results
5,1040335.0,جانفي,القصرين,فريانة,SQL Results
1,75000.0,ماي,المهدية,الشابة,SQL Results
6,528000.0,ماي,القيروان,الشبيكة,SQL Results
3,210000.0,أفريل,المهدية,قصور الساف,SQL Results
2,190902.0,أفريل,باجة,نفزة,SQL Results
1,287100.0,أفريل,قابس,غنوش,SQL Results
1,163140.0,ماي,القصرين,فوسانة,SQL Results
1,106000.0,أفريل,مدنين,أجيم,SQL Results
4,777756.0,أفريل,تطاوين,رمادة,SQL Results
1,89000.0,ماي,منــوبة,البطان,SQL Results
3,164375.0,ماي,القصرين,سبيبة,SQL Results
4,930225.0,أفريل,أريانة,سيدي ثابت,SQL Results
3,331466.0,جانفي,القصرين,العيون,SQL Results
2,109520.0,ماي,نابل,دار شعبان الفهري,SQL Results
1,64003.0,ماي,صفاقس,طينة,SQL Results
2,192049.0,أفريل,مدنين,بني خداش,SQL Results
1,96089.0,فيفري,باجة,عمدون,SQL Results
1,386198.0,ماي,جندوبة,غارالدماء,SQL Results
1,750000.0,مارس,تطاوين,غمراسن,SQL Results
1,115000.0,جانفي,زغوان,صواف,SQL Results
1,117778.0,جانفي,قبلي,رجيم معتوق,SQL Results
2,186000.0,جانفي,المنستير,جمال,SQL Results
9,1433988.0,جانفي,سيدي بوزيد,سيدي علي بن عون,SQL Results
5,915232.0,جانفي,نابل,قربة,SQL Results
3,56620.0,ماي,صفاقس,بئر علي بن خليفة,SQL Results
16,1474724.0,مارس,قفصة,قفصة الشما لية,SQL Results
2,57700.0,ماي,سليانة,بوعرادة,SQL Results
2,288077.0,ماي,منــوبة,المرناقية,SQL Results
13,3137500.0,فيفري,المنستير,طبلبة,SQL Results
7,442261.0,مارس,سليانة,مكثر,SQL Results
6,1976200.0,أفريل,بن عروس,مرناق,SQL Results
11,2173200.0,مارس,صفاقس,منزل شاكر,SQL Results
10,1360810.0,مارس,صفاقس,الصخيرة,SQL Results
1,650000.0,فيفري,المنستير,جمال,SQL Results
5,553239.0,ماي,سوسة,القلعة الكبرى,SQL Results
9,969872.0,أفريل,قفصة,قفصة الشما لية,SQL Results
7,1803669.0,جانفي,منــوبة,الجديدة,SQL Results
2,132000.0,مارس,المنستير,المكنين,SQL Results
6,396635.0,مارس,سليانة,سيدي بورويس,SQL Results
2,100165.0,جانفي,صفاقس,ساقية الدائر,SQL Results
2,113050.0,فيفري,بنزرت,راس الجبل,SQL Results
1,127000.0,فيفري,سليانة,سيدي بورويس,SQL Results
3,299983.0,فيفري,سليانة,الروحية,SQL Results
3,629000.0,ماي,صفاقس,الصخيرة,SQL Results
1,74000.0,مارس,المنستير,قصيبة المديوني,SQL Results
7,1922429.0,فيفري,القصرين,فوسانة,SQL Results
3,325700.0,جانفي,قفصة,أم  العرائس,SQL Results
3,157424.0,جانفي,صفاقس,جبنيانة,SQL Results
5,457140.0,مارس,زغوان,زغوان,SQL Results
2,231000.0,فيفري,نابل,قرمبا لية,SQL Results
6,666967.0,فيفري,قفصة,القصر,SQL Results
1,1250000.0,ماي,المنستير,قصيبة المديوني,SQL Results
2,330378.0,فيفري,بنزرت,منزل بورقيبة,SQL Results
1,7395.0,جانفي,بنزرت,جرزونة,SQL Results
2,195737.0,فيفري,سليانة,مكثر,SQL Results
1,63000.0,فيفري,المنستير,المنستير,SQL Results
4,5828587.0,أفريل,نابل,قرمبا لية,SQL Results
3,526444.0,أفريل,صفاقس,ساقية الدائر,SQL Results
4,422950.0,ماي,صفاقس,عقارب,SQL Results
1,4900.0,مارس,صفاقس,بئر علي بن خليفة,SQL Results
4,1374722.0,فيفري,نابل,الهوارية,SQL Results
2,4291640.0,فيفري,نابل,منزل تميم,SQL Results
3,868610.0,مارس,منــوبة,برج العامري,SQL Results
1,74600.0,ماي,سوسة,أكودة,SQL Results
1,758794.0,جانفي,نابل,منزل بوزلفة,SQL Results
2,180009.0,فيفري,قفصة,بلخير,SQL Results
4,1444874.0,ماي,منــوبة,الجديدة,SQL Results
2,219600.0,أفريل,بنزرت,الغزالة,SQL Results
2,391329.0,فيفري,باجة,مجاز الباب,SQL Results
2,318000.0,ماي,بنزرت,العا لية,SQL Results
1,120000.0,جانفي,أريانة,رواد,SQL Results
1,112500.0,أفريل,قفصة,القطار,SQL Results
1,167000.0,فيفري,صفاقس,الغريبة,SQL Results
3,708535.0,مارس,نابل,قربة,SQL Results
1,8475.0,أفريل,قفصة,السند,SQL Results
7,896578.0,أفريل,القيروان,الشبيكة,SQL Results
7,1652811.0,مارس,سيدي بوزيد,أولاد حفوز,SQL Results
4,319151.0,جانفي,سيدي بوزيد,سيدي بوزيد الغربية,SQL Results
3,347195.0,مارس,زغوان,بئر مشارقة,SQL Results
4,464500.0,فيفري,المهدية,هبيرة,SQL Results
1,173052.0,أفريل,بنزرت,تينجة,SQL Results
8,620010.0,مارس,سيدي بوزيد,سيدي بوزيد الغربية,SQL Results
4,426000.0,فيفري,القيروان,حاجب العيون,SQL Results
3,193648.0,فيفري,توزر,توزر,SQL Results
3,174000.0,فيفري,أريانة,قلعة الأندلس,SQL Results
5,318851.0,فيفري,قبلي,قبلي الجنوبية,SQL Results
8,1170756.0,جانفي,سيدي بوزيد,سيدي بوزيد الشرقية,SQL Results
5,403934.0,جانفي,القيروان,حفوز,SQL Results
3,736000.0,فيفري,الكاف,تاجروين,SQL Results
1,100000.0,مارس,نابل,بوعرقوب,SQL Results
3,14286490.0,أفريل,تــونس,تونس المدينة,SQL Results
2,663000.0,مارس,تطاوين,الذهيبة,SQL Results
2,655524.0,مارس,قبلي,قبلي الشما لية,SQL Results
2,108859.0,أفريل,جندوبة,بوسا لم,SQL Results
3,105830.0,جانفي,باجة,عمدون,SQL Results
3,175090.0,فيفري,صفاقس,قرقنة,SQL Results
1,70841.0,جانفي,نابل,الميدة,SQL Results
13,2383942.0,ماي,زغوان,الفحص,SQL Results
4,674776.0,فيفري,سيدي بوزيد,بئر الحفي,SQL Results
1,110000.0,جانفي,زغوان,الناظور,SQL Results
2,129877.0,مارس,قفصة,السند,SQL Results
4,474000.0,جانفي,المهدية,شربان,SQL Results
1,90000.0,فيفري,قفصة,سيدي بوبكر,SQL Results
11,848665.0,أفريل,القصرين,القصرين الجنوبية,SQL Results
2,84044.0,جانفي,قفصة,قفصة الجنوبية,SQL Results
3,607830.0,أفريل,زغوان,الفحص,SQL Results
2,226000.0,أفريل,تطاوين,تطاوين الشما لية,SQL Results
4,4145921.0,ماي,مدنين,مدنين الجنوبية,SQL Results
1,12100.0,فيفري,القصرين,تا لة,SQL Results
5,772429.0,فيفري,سيدي بوزيد,السعيدة,SQL Results
4,161153.0,ماي,سيدي بوزيد,سيدي بوزيد الشرقية,SQL Results
1,60556.0,فيفري,صفاقس,طينة,SQL Results
2,212761.0,فيفري,قبلي,دوز الشما لية,SQL Results
2,116952.0,فيفري,نابل,دار شعبان الفهري,SQL Results
1,509000.0,فيفري,تــونس,حلق الوادي,SQL Results
2,301000.0,جانفي,الكاف,الدهماني,SQL Results
1,122580.0,فيفري,تــونس,المرسى,SQL Results
2,293861.0,فيفري,القيروان,السبيخة,SQL Results
1,96500.0,مارس,الكاف,الكاف الغربية,SQL Results
1,110000.0,مارس,القيروان,العلا,SQL Results
2,58108.0,مارس,نابل,منزل بوزلفة,SQL Results
2,64000.0,أفريل,الكاف,القصور,SQL Results
1,10000.0,فيفري,المهدية,ملولش,SQL Results
2,176995.0,فيفري,مدنين,حومة السوق,SQL Results
1,109710.0,مارس,قبلي,الفوار,SQL Results
1,5992.0,فيفري,باجة,تستور,SQL Results
3,533751.0,جانفي,قابس,قابس الغربية,SQL Results
1,121115.0,أفريل,قبلي,دوز الشما لية,SQL Results
1,23000.0,جانفي,المهدية,سيدي علوان,SQL Results
1,199000.0,ماي,مدنين,بن قردان,SQL Results
1,978658.0,أفريل,القصرين,حيدرة,SQL Results
1,137082.0,مارس,توزر,نفطة,SQL Results
3,536705.0,جانفي,سليانة,قعفور,SQL Results
1,757000.0,جانفي,سليانة,برقو,SQL Results
8,1072466.0,أفريل,نابل,الهوارية,SQL Results
1,144649.0,ماي,نابل,قرمبا لية,SQL Results
2,105000.0,مارس,سليانة,العروسة,SQL Results
3,382236.0,ماي,صفاقس,صفاقس الجنوبية,SQL Results
5,1060069.0,جانفي,صفاقس,عقارب,SQL Results
1,190000.0,جانفي,بن عروس,بومهل البساتين,SQL Results
5,591424.0,فيفري,نابل,تاكلسة,SQL Results
6,848082.0,مارس,بنزرت,ماطر,SQL Results
2,331000.0,مارس,صفاقس,الحنشة,SQL Results
2,706000.0,أفريل,سليانة,سيدي بورويس,SQL Results
5,557772.0,مارس,سليانة,الروحية,SQL Results
3,741851.0,فيفري,بنزرت,جومين,SQL Results
1,80000.0,جانفي,تــونس,الكرم,SQL Results
5,320728.0,فيفري,نابل,قليبية,SQL Results
1,61300.0,فيفري,قفصة,زانوش,SQL Results
1,126000.0,ماي,سوسة,كندار,SQL Results
13,1379299.0,فيفري,قفصة,قفصة الشما لية,SQL Results
2,977588.0,ماي,سوسة,النفيضة,SQL Results
7,3004400.0,أفريل,المنستير,طبلبة,SQL Results
8,475088.0,جانفي,باجة,تيبار,SQL Results
1,920000.0,جانفي,بنزرت,بنزرت الجنوبية,SQL Results
1,85000.0,أفريل,بن عروس,المحمدية,SQL Results
4,420906.0,فيفري,قفصة,قفصة الجنوبية,SQL Results
2,955450.0,جانفي,قفصة,القصر,SQL Results
1,597500.0,جانفي,بنزرت,منزل جميل,SQL Results
2,174750.0,ماي,بنزرت,بنزرت الجنوبية,SQL Results
2,216924.0,مارس,سوسة,بوفيشة,SQL Results
1,47500.0,أفريل,المنستير,الوردانين,SQL Results
1,3400.0,فيفري,المنستير,المكنين,SQL Results
2,212000.0,أفريل,بن عروس,فوشانة,SQL Results
2,35740.0,جانفي,بن عروس,فوشانة,SQL Results
7,806731.0,أفريل,صفاقس,بئر علي بن خليفة,SQL Results
5,2438605.0,أفريل,القيروان,السبيخة,SQL Results
1,92895.0,أفريل,نابل,الحمامات,SQL Results
1,103000.0,فيفري,سليانة,بوعرادة,SQL Results
4,1144437.0,مارس,المهدية,المهدية,SQL Results
1,20000.0,مارس,المنستير,المنستير,SQL Results
1,3534.0,مارس,سوسة,مساكن,SQL Results
2,265028.0,أفريل,منــوبة,البطان,SQL Results
5,309096.0,فيفري,قبلي,قبلي الشما لية,SQL Results
5,430902.0,أفريل,سيدي بوزيد,السعيدة,SQL Results
2,466117.0,أفريل,الكاف,قلعة الخصبة,SQL Results
5,633044.0,مارس,أريانة,أريانة المدينة,SQL Results
11,537000.0,جانفي,تطاوين,تطاوين الشما لية,SQL Results
4,207600.0,فيفري,تطاوين,تطاوين الجنوبية,SQL Results
5,467549.0,ماي,القصرين,ماجل با لعباس,SQL Results
2,247180.0,ماي,قفصة,السند,SQL Results
2,126751.0,ماي,قابس,قابس المدينة,SQL Results
3,103000.0,ماي,القيروان,سيدي عمر بوحجلة,SQL Results
6,508750.0,جانفي,باجة,تبرسق,SQL Results
1,73000.0,أفريل,القصرين,العيون,SQL Results
2,109640.0,مارس,صفاقس,صفاقس الجنوبية,SQL Results
4,168131.0,جانفي,الكاف,ساقية سيدي يوسف,SQL Results
2,90398.0,جانفي,أريانة,أريانة المدينة,SQL Results
1,7000.0,ماي,المهدية,بو مرداس,SQL Results
4,639176.0,أفريل,قبلي,قبلي الجنوبية,SQL Results
4,442587.0,مارس,مدنين,سيدي مخلوف,SQL Results
5,515522.0,فيفري,باجة,باجة الجنوبية,SQL Results
1,146758.0,مارس,باجة,نفزة,SQL Results
10,1544486.0,أفريل,القصرين,فريانة,SQL Results
1,121000.0,مارس,سيدي بوزيد,منزل بوزيان,SQL Results
7,1101248.0,أفريل,سيدي بوزيد,الرقاب,SQL Results
8,1652086.0,أفريل,صفاقس,صفاقس المدينة,SQL Results
6,422181.0,مارس,جندوبة,بوسا لم,SQL Results
3,271719.0,فيفري,قبلي,الفوار,SQL Results
2,32850.0,فيفري,مدنين,بني خداش,SQL Results
7,1009866.0,مارس,القيروان,الشبيكة,SQL Results
1,34500.0,فيفري,نابل,بني خلاد,SQL Results
7,563000.0,فيفري,القيروان,القيروان الجنوبية,SQL Results
5,458619.0,أفريل,الكاف,الكاف الشرقية,SQL Results
4,996602.0,أفريل,باجة,باجة الشما لية,SQL Results
4,502981.0,أفريل,أريانة,قلعة الأندلس,SQL Results
5,2433000.0,فيفري,القيروان,سيدي عمر بوحجلة,SQL Results
2,253800.0,فيفري,قابس,مطماطة الجديدة,SQL Results
4,272072.0,ماي,زغوان,الناظور,SQL Results
2,229664.0,جانفي,جندوبة,واد مليز,SQL Results
3,352848.0,مارس,الكاف,الطويرف,SQL Results
2,106655.0,مارس,توزر,توزر,SQL Results
5,475480.0,ماي,جندوبة,بوسا لم,SQL Results
5,906962.0,فيفري,سيدي بوزيد,المكناسي,SQL Results
2,201809.0,ماي,قابس,غنوش,SQL Results
3,182400.0,ماي,سيدي بوزيد,سيدي علي بن عون,SQL Results
2,80800.0,فيفري,مدنين,مدنين الجنوبية,SQL Results
2,306000.0,فيفري,منــوبة,البطان,SQL Results
2,64356.0,مارس,صفاقس,صفاقس الغربية,SQL Results
4,522483.0,ماي,قبلي,سوق الأحد,SQL Results
4,3182550.0,جانفي,قابس,قابس الجنوبية,SQL Results
2,436000.0,مارس,مدنين,بني خداش,SQL Results
1,224000.0,مارس,تــونس,حلق الوادي,SQL Results
2,202150.0,فيفري,قابس,قابس الغربية,SQL Results
3,318000.0,أفريل,المهدية,شربان,SQL Results
8,389495.0,فيفري,باجة,باجة الشما لية,SQL Results
2,717000.0,ماي,قابس,قابس الجنوبية,SQL Results
2,291832.0,ماي,أريانة,سيدي ثابت,SQL Results
9,1013750.0,مارس,القيروان,القيروان الجنوبية,SQL Results
3,451647.0,ماي,صفاقس,صفاقس المدينة,SQL Results
1,79221.0,جانفي,قبلي,دوز الجنوبية,SQL Results
1,53906.0,أفريل,نابل,الميدة,SQL Results
1,59523.0,أفريل,القيروان,الوسلاتية,SQL Results
2,29500.0,مارس,المهدية,السواسي,SQL Results
