nbr_projets,inv_approuve,prime_approuvee,nbr_emploi,gouv_ar,gouv_fr,delegation_ar,delegation_fr,secteur_act_ar,secteur_act_ar_1,mois_ar,mois_fr,annee_doa,feuille
4,307009,168857.0,4,سيدي بوزيد,SIDI BOUZIDE,سيدي علي بن عون,SIDI ALI BEN OUN,الفلاحي,AGRICULTURE,مارس,mars,2018,SQL Results
1,196296,53871.0,0,منــوبة,MANOUBA,منوبة,MANOUBA,الخدمات,SERVICE,أفريل,avr.,2018,SQL Results
5,419203,221251.0,5,سيدي بوزيد,SIDI BOUZIDE,أولاد حفوز,AWLED HAFOUZ,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
4,383841,211112.0,4,قبلي,KEBELLI,سوق الأحد,SOUK LAHAD,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
8,413326,136008.0,8,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الغربية,SIDI BOUZID OUST,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
7,500516,203135.0,9,القصرين,KASSERINE,فريانة,FERYANA,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
4,297834,146399.0,7,قفصة,GAFSA,السند,ESNAD,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
2,304152,43665.0,4,نابل,NABEUL,منزل تميم,MANZEL TMIM,الخدمات,SERVICE,ماي,mai,2018,SQL Results
2,987000,210825.0,17,منــوبة,MANOUBA,البطان,EL BATAN,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
5,306813,152399.0,5,مدنين,MEDENINE,سيدي مخلوف,SID MAKHLOUF,الفلاحي,AGRICULTURE,جويلية,juill.,2018,SQL Results
2,227230,91801.0,3,نابل,NABEUL,منزل تميم,MANZEL TMIM,الفلاحي,AGRICULTURE,ماي,mai,2018,SQL Results
4,243180,102428.0,3,مدنين,MEDENINE,بن قردان,BEN GERDAN,الفلاحي,AGRICULTURE,جويلية,juill.,2018,SQL Results
2,108326,31289.0,2,باجة,BEJA,تستور,TASTOUR,الفلاحي,AGRICULTURE,ماي,mai,2018,SQL Results
7,870483,346348.0,11,قفصة,GAFSA,سيدي عيش,SIDI ICH,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
3,463000,183263.0,10,القيروان,KAIROUAN,حفوز,HAFOUZ,الفلاحي,AGRICULTURE,جويلية,juill.,2018,SQL Results
7,810860,318316.0,11,سيدي بوزيد,SIDI BOUZIDE,بئر الحفي,BIR HFAY,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
2,107800,16168.0,2,المنستير,MOUNASTIR,المكنين,MEKNIN,الخدمات,SERVICE,نوفمبر,nov.,2018,SQL Results
3,217974,103508.0,3,جندوبة,JENDOUBA,جندوبة,JENDOUBA,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
1,70614,38225.0,1,الكاف,KEF,الطويرف,Touiref,الفلاحي,AGRICULTURE,جويلية,juill.,2018,SQL Results
16,1401737,550827.0,19,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
3,287862,130428.0,3,سيدي بوزيد,SIDI BOUZIDE,السعيدة,ASSAIDA,الفلاحي,AGRICULTURE,أكتوبر,oct.,2018,SQL Results
12,2983607,902717.333333333,19,القصرين,KASSERINE,القصرين الجنوبية,KASSERINE SUD,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
2,108491,13597.0,2,صفاقس,SFAXE,ساقية الدائر,SAKIYET EDAYER,الخدمات,SERVICE,نوفمبر,nov.,2018,SQL Results
3,42915,16244.0,3,الكاف,KEF,الدهماني,DAHMENI,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
1,47606,13500.0,1,سيدي بوزيد,SIDI BOUZIDE,سبا لة أولاد عسكر,SEBELET AWLED ASKAR,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
12,685219,272406.0,12,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الغربية,SIDI BOUZID OUST,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
4,260342,143188.0,4,مدنين,MEDENINE,سيدي مخلوف,SID MAKHLOUF,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
6,616423,235107.0,9,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الفلاحي,AGRICULTURE,ديسمبر,déc.,2018,SQL Results
6,1178124,245525.0,11,القصرين,KASSERINE,القصرين الجنوبية,KASSERINE SUD,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
9,892024,338777.0,12,قفصة,GAFSA,سيدي عيش,SIDI ICH,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
1,78980,26326.6666666667,1,جندوبة,JENDOUBA,عين دراهم,AIN DRAHEM,الخدمات,SERVICE,ديسمبر,déc.,2018,SQL Results
5,451000,229400.0,5,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2017,SQL Results
2,258021,112300.0,2,مدنين,MEDENINE,سيدي مخلوف,SID MAKHLOUF,الفلاحي,AGRICULTURE,أكتوبر,oct.,2017,SQL Results
2,220530,96301.0,2,مدنين,MEDENINE,ميدون,MIDOUN,الفلاحي,AGRICULTURE,أكتوبر,oct.,2017,SQL Results
3,208000,97841.0,3,القيروان,KAIROUAN,حاجب العيون,HAJEB LAYOUN,الفلاحي,AGRICULTURE,أكتوبر,oct.,2017,SQL Results
2,65550,36052.0,2,الكاف,KEF,تاجروين,TAJERWIN,الفلاحي,AGRICULTURE,أكتوبر,oct.,2017,SQL Results
1,40800,5910.0,1,المنستير,MOUNASTIR,قصيبة المديوني,KSIBET ALMADYOUNI,الخدمات,SERVICE,أكتوبر,oct.,2017,SQL Results
1,54000,8100.0,1,بن عروس,BEN AROUSSE,رادس,RADES,الخدمات,SERVICE,أفريل,avr.,2018,SQL Results
5,317498,173968.0,5,مدنين,MEDENINE,بني خداش,BENI KHEDECH,الفلاحي,AGRICULTURE,جانفي,janv.,2018,SQL Results
5,402441,134147.0,5,قبلي,KEBELLI,الفوار,ELFAWAR,الخدمات,SERVICE,أفريل,avr.,2018,SQL Results
1,85800,46365.0,1,صفاقس,SFAXE,الحنشة,HANCHA,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
1,440000,53268.0,8,بن عروس,BEN AROUSSE,فوشانة,FOUCHANA,الفلاحي,AGRICULTURE,مارس,mars,2018,SQL Results
7,910374,307253.0,9,القصرين,KASSERINE,ماجل با لعباس,MAJEL BELABBES,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
5,391946,155227.0,5,قابس,GABES,المطوية,EL METWEYA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2017,SQL Results
1,69000,9630.0,1,المنستير,MOUNASTIR,طبلبة,TBOLBA,الخدمات,SERVICE,ديسمبر,déc.,2017,SQL Results
7,6381000,1148015.0,23,القيروان,KAIROUAN,السبيخة,SBIKHA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2017,SQL Results
3,272000,129395.0,3,المهدية,MAHDIA,السواسي,ESSWASSI,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
2,97120,29324.0,2,مدنين,MEDENINE,مدنين الجنوبية,MEDNIN SUD,الخدمات,SERVICE,أفريل,avr.,2018,SQL Results
3,201000,65315.6666666667,3,القيروان,KAIROUAN,الوسلاتية,WESLATIYA,الخدمات,SERVICE,مارس,mars,2018,SQL Results
3,230914,102256.0,3,سيدي بوزيد,SIDI BOUZIDE,أولاد حفوز,AWLED HAFOUZ,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
3,327000,132803.0,4,القيروان,KAIROUAN,حفوز,HAFOUZ,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
4,616374,300134.0,5,سليانة,SILIANA,قعفور,GAAFOUR,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
3,182000,59387.0,3,القيروان,KAIROUAN,الشراردة,CHRARDA,الخدمات,SERVICE,فيفري,févr.,2018,SQL Results
1,80000,6675.0,2,سوسة,SOUSSE,النفيضة,NFIDHA,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
1,80000,39482.0,2,بنزرت,BIZERTE,راس الجبل,RAS JBEL,الفلاحي,AGRICULTURE,مارس,mars,2018,SQL Results
3,229213,126069.0,3,سيدي بوزيد,SIDI BOUZIDE,المزونة,ELMZOUNA,الفلاحي,AGRICULTURE,جويلية,juill.,2018,SQL Results
3,174756,83708.0,3,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الشرقية,SIDI BOUZID EST,الفلاحي,AGRICULTURE,جويلية,juill.,2018,SQL Results
1,618000,176868.333333333,7,الكاف,KEF,القصور,ELKSOUR,التحويل الأولي,PREMIERE TRANSFORMATION,سبتمبر,sept.,2018,SQL Results
1,407000,90661.0,6,نابل,NABEUL,الميدة,ELMIDA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
3,177095,57948.3333333333,3,قفصة,GAFSA,السند,ESNAD,الخدمات,SERVICE,جوان,juin,2018,SQL Results
2,249582,92216.0,3,قفصة,GAFSA,القصر,EL KSSAR,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
9,864621,341426.0,9,القصرين,KASSERINE,ماجل با لعباس,MAJEL BELABBES,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
2,1322000,373157.0,10,صفاقس,SFAXE,الصخيرة,SKHIRA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2018,SQL Results
4,318437,146918.0,4,سليانة,SILIANA,سيدي بورويس,SIDI BOURWIS,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
5,918872,255462.0,10,سيدي بوزيد,SIDI BOUZIDE,الرقاب,ERGAB,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
6,712287,256987.0,8,سيدي بوزيد,SIDI BOUZIDE,بئر الحفي,BIR HFAY,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
5,2775724,740677.0,15,باجة,BEJA,مجاز الباب,MJEZ ELBEB,الفلاحي,AGRICULTURE,ديسمبر,déc.,2018,SQL Results
2,151871,83502.0,2,صفاقس,SFAXE,الغريبة,ELGRIBA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
1,52000,28589.0,1,منــوبة,MANOUBA,البطان,EL BATAN,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
2,163055,71058.0,2,صفاقس,SFAXE,الصخيرة,SKHIRA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
4,257104,141408.0,4,القصرين,KASSERINE,فريانة,FERYANA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
5,328824,96575.0,5,قبلي,KEBELLI,قبلي الجنوبية,KEBELLI SUD,الفلاحي,AGRICULTURE,ديسمبر,déc.,2018,SQL Results
2,282000,101462.0,4,تطاوين,TATAWINE,تطاوين الجنوبية,TATAWIN SUD,الفلاحي,AGRICULTURE,ديسمبر,déc.,2018,SQL Results
1,158000,86900.0,2,باجة,BEJA,باجة الشما لية,BEJANORD,الفلاحي,AGRICULTURE,ديسمبر,déc.,2018,SQL Results
1,1938000,290944.0,15,مدنين,MEDENINE,جرجيس,JERJIS,الصيد البحري,PECHE,ديسمبر,déc.,2017,SQL Results
2,194983,64988.0,2,سليانة,SILIANA,برقو,BERGOU,الخدمات,SERVICE,نوفمبر,nov.,2017,SQL Results
3,207509,67559.0,3,قابس,GABES,مارث,MARETH,الخدمات,SERVICE,نوفمبر,nov.,2017,SQL Results
1,92223,30738.0,1,سليانة,SILIANA,العروسة,ALAROUSSA,الخدمات,SERVICE,نوفمبر,nov.,2017,SQL Results
3,167100,54794.0,3,تطاوين,TATAWINE,تطاوين الشما لية,TATAWIN NORD,الفلاحي,AGRICULTURE,نوفمبر,nov.,2017,SQL Results
1,29900,16444.0,1,نابل,NABEUL,دار شعبان الفهري,DAR CHAABEN EL FEHRI,الفلاحي,AGRICULTURE,أكتوبر,oct.,2017,SQL Results
2,676000,231173.0,8,بن عروس,BEN AROUSSE,مرناق,MORNAG,الفلاحي,AGRICULTURE,سبتمبر,sept.,2017,SQL Results
1,13000,3966.0,1,القيروان,KAIROUAN,القيروان الشما لية,KAIROUAN NORD,الخدمات,SERVICE,فيفري,févr.,2018,SQL Results
1,782000,148471.0,16,نابل,NABEUL,قليبية,KLIBYA,الصيد البحري,PECHE,فيفري,févr.,2018,SQL Results
4,393000,181664.0,4,تطاوين,TATAWINE,غمراسن,GOMRASSEN,الفلاحي,AGRICULTURE,ديسمبر,déc.,2017,SQL Results
1,605000,184375.0,3,سليانة,SILIANA,مكثر,MAKTHER,الخدمات,SERVICE,نوفمبر,nov.,2017,SQL Results
7,535077,262214.0,7,القصرين,KASSERINE,سبيبة,SBIBA,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
2,94300,14145.0,2,المنستير,MOUNASTIR,المنستير,MOUNASTIR,الخدمات,SERVICE,ديسمبر,déc.,2017,SQL Results
2,154512,84981.0,2,القصرين,KASSERINE,العيون,EL AYOUN,الفلاحي,AGRICULTURE,نوفمبر,nov.,2017,SQL Results
3,495912,166849.0,5,سيدي بوزيد,SIDI BOUZIDE,السعيدة,ASSAIDA,الفلاحي,AGRICULTURE,مارس,mars,2018,SQL Results
1,86505,47579.0,1,قبلي,KEBELLI,قبلي الجنوبية,KEBELLI SUD,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
6,753927,267515.0,12,قفصة,GAFSA,سيدي عيش,SIDI ICH,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
5,512004,177160.0,7,سيدي بوزيد,SIDI BOUZIDE,بئر الحفي,BIR HFAY,الفلاحي,AGRICULTURE,جويلية,juill.,2018,SQL Results
1,63000,6823.0,1,المهدية,MAHDIA,بو مرداس,BOU MERDES,الخدمات,SERVICE,سبتمبر,sept.,2018,SQL Results
2,125838,41946.0,2,سيدي بوزيد,SIDI BOUZIDE,بئر الحفي,BIR HFAY,الخدمات,SERVICE,جوان,juin,2018,SQL Results
1,169384,62579.0,2,سليانة,SILIANA,برقو,BERGOU,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
1,52571,13550.0,1,صفاقس,SFAXE,منزل شاكر,MANZEL CHAKKER,الخدمات,SERVICE,نوفمبر,nov.,2018,SQL Results
2,120000,32708.0,2,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الخدمات,SERVICE,نوفمبر,nov.,2018,SQL Results
1,54076,13880.0,1,صفاقس,SFAXE,الغريبة,ELGRIBA,الخدمات,SERVICE,ديسمبر,déc.,2018,SQL Results
2,126052,42017.3333333333,2,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الخدمات,SERVICE,ديسمبر,déc.,2018,SQL Results
1,1037000,287185.0,12,سليانة,SILIANA,سليانة الجنوبية,SILIANA SUD,الخدمات,SERVICE,نوفمبر,nov.,2018,SQL Results
1,81904,45047.0,1,سليانة,SILIANA,الروحية,ROUHIYA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
2,144000,47847.6666666667,2,القيروان,KAIROUAN,الشبيكة,CHBIKA,الخدمات,SERVICE,أكتوبر,oct.,2018,SQL Results
1,69000,37934.0,1,صفاقس,SFAXE,بئر علي بن خليفة,BIR ALI KHELIFFA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
2,156000,48202.3333333333,2,القيروان,KAIROUAN,الشبيكة,CHBIKA,الخدمات,SERVICE,ديسمبر,déc.,2018,SQL Results
1,1775000,518850.0,7,المهدية,MAHDIA,المهدية,MAHDIA,التحويل الأولي,PREMIERE TRANSFORMATION,ديسمبر,déc.,2018,SQL Results
1,21308,7031.0,1,الكاف,KEF,قلعة سنان,KALAT SINAN,الخدمات,SERVICE,أكتوبر,oct.,2017,SQL Results
1,63000,8927.0,1,المهدية,MAHDIA,سيدي علوان,SIDI ALWEN,الخدمات,SERVICE,نوفمبر,nov.,2017,SQL Results
1,1470000,521954.0,10,سوسة,SOUSSE,كندار,KENDRA,التحويل الأولي,PREMIERE TRANSFORMATION,فيفري,févr.,2018,SQL Results
6,788907,213022.0,10,القصرين,KASSERINE,سبيبة,SBIBA,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
2,127568,69487.0,2,باجة,BEJA,قبلاط,KBELLAT,الفلاحي,AGRICULTURE,ديسمبر,déc.,2017,SQL Results
1,69000,13102.0,0,المنستير,MOUNASTIR,المنستير,MOUNASTIR,الصيد البحري,PECHE,ديسمبر,déc.,2017,SQL Results
1,53864,13610.0,1,صفاقس,SFAXE,الصخيرة,SKHIRA,الخدمات,SERVICE,ماي,mai,2018,SQL Results
1,326000,83833.0,3,زغوان,ZAGHOUANE,زغوان,ZAGOUAN,الفلاحي,AGRICULTURE,مارس,mars,2018,SQL Results
2,128478,56123.0,2,جندوبة,JENDOUBA,جندوبة,JENDOUBA,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
1,95000,45072.0,1,المهدية,MAHDIA,شربان,CHERBEN,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
3,311857,140026.0,5,قفصة,GAFSA,أم  العرائس,OM ELARAYES,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
2,138900,76395.0,2,صفاقس,SFAXE,منزل شاكر,MANZEL CHAKKER,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
2,183000,60579.0,2,القيروان,KAIROUAN,حفوز,HAFOUZ,الخدمات,SERVICE,جويلية,juill.,2018,SQL Results
1,74598,35420.0,0,توزر,TOZEUR,حزوة,HIZWA,الفلاحي,AGRICULTURE,جوان,juin,2018,SQL Results
3,287000,94676.0,3,القيروان,KAIROUAN,الشبيكة,CHBIKA,الخدمات,SERVICE,أفريل,avr.,2018,SQL Results
1,65000,34375.0,1,سوسة,SOUSSE,مساكن,MSAKEN,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
2,215232,47839.0,4,الكاف,KEF,القصور,ELKSOUR,الفلاحي,AGRICULTURE,ديسمبر,déc.,2018,SQL Results
2,199400,75893.0,2,صفاقس,SFAXE,عقارب,AGAREB,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
2,336000,107104.0,5,القيروان,KAIROUAN,الشراردة,CHRARDA,الفلاحي,AGRICULTURE,أكتوبر,oct.,2018,SQL Results
1,63000,30711.0,1,القيروان,KAIROUAN,سيدي علي نصرالله,SIDI ALI NASR ALLAH,الفلاحي,AGRICULTURE,أوت,août,2018,SQL Results
3,195832,77915.0,4,قابس,GABES,مارث,MARETH,الخدمات,SERVICE,ديسمبر,déc.,2018,SQL Results
1,44351,5595.0,1,صفاقس,SFAXE,ساقية الدائر,SAKIYET EDAYER,الخدمات,SERVICE,أكتوبر,oct.,2017,SQL Results
1,89000,48276.0,1,القيروان,KAIROUAN,القيروان الجنوبية,KAIROUAN SUD,الفلاحي,AGRICULTURE,سبتمبر,sept.,2017,SQL Results
1,78000,11045.0,1,المهدية,MAHDIA,المهدية,MAHDIA,الخدمات,SERVICE,نوفمبر,nov.,2017,SQL Results
1,1733000,567009.0,15,الكاف,KEF,الدهماني,DAHMENI,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
1,53364,13482.0,1,صفاقس,SFAXE,العامرة,EL AMRA,الخدمات,SERVICE,ديسمبر,déc.,2017,SQL Results
1,65000,18744.0,1,المهدية,MAHDIA,هبيرة,HBIRA,الخدمات,SERVICE,ماي,mai,2018,SQL Results
1,21000,6300.0,1,المنستير,MOUNASTIR,بني حسان,BENI HASSEN,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
1,200000,76847.0,1,مدنين,MEDENINE,ميدون,MIDOUN,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
1,115135,63325.0,1,قبلي,KEBELLI,رجيم معتوق,ٌRegim Maatoug,الفلاحي,AGRICULTURE,أفريل,avr.,2018,SQL Results
2,1283402,241720.0,19,صفاقس,SFAXE,صفاقس المدينة,SFAXE MEDINA,الصيد البحري,PECHE,مارس,mars,2018,SQL Results
1,15000,1845.0,1,المنستير,MOUNASTIR,زرمدين,ZMERDIN,الخدمات,SERVICE,جويلية,juill.,2018,SQL Results
1,55300,6928.0,1,صفاقس,SFAXE,صفاقس المدينة,SFAXE MEDINA,الخدمات,SERVICE,جوان,juin,2018,SQL Results
1,82903,45597.0,1,سليانة,SILIANA,سليانة الشما لية,SILIANA NORD,الفلاحي,AGRICULTURE,جويلية,juill.,2018,SQL Results
4,493684,213508.0,5,صفاقس,SFAXE,منزل شاكر,MANZEL CHAKKER,الفلاحي,AGRICULTURE,نوفمبر,nov.,2018,SQL Results
1,55210,14136.0,1,صفاقس,SFAXE,بئر علي بن خليفة,BIR ALI KHELIFFA,الخدمات,SERVICE,نوفمبر,nov.,2018,SQL Results
2,190792,104936.0,2,سليانة,SILIANA,الروحية,ROUHIYA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2018,SQL Results
2,68500,15607.0,3,سوسة,SOUSSE,أكودة,AKOUDA,الخدمات,SERVICE,نوفمبر,nov.,2018,SQL Results
1,224999,75834.0,2,القيروان,KAIROUAN,القيروان الجنوبية,KAIROUAN SUD,الفلاحي,AGRICULTURE,أوت,août,2018,SQL Results
1,58000,30800.0,1,سوسة,SOUSSE,القلعة الصغرى,KALAA SOUGRA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2018,SQL Results
2,100510,12553.0,2,صفاقس,SFAXE,المحرس,MAHRES,الخدمات,SERVICE,سبتمبر,sept.,2018,SQL Results
1,568000,236197.666666667,8,سيدي بوزيد,SIDI BOUZIDE,منزل بوزيان,MANZEL BOUZAYEN,الخدمات,SERVICE,ديسمبر,déc.,2018,SQL Results
1,60000,8400.0,1,المهدية,MAHDIA,الشابة,CHEBBA,الخدمات,SERVICE,نوفمبر,nov.,2017,SQL Results
1,52818,13500.0,1,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الشرقية,SIDI BOUZID EST,الفلاحي,AGRICULTURE,نوفمبر,nov.,2017,SQL Results
1,150000,87388.0,2,القيروان,KAIROUAN,الوسلاتية,WESLATIYA,الخدمات,SERVICE,فيفري,févr.,2018,SQL Results
2,90000,47308.0,2,سوسة,SOUSSE,بوفيشة,BOUFICHA,الفلاحي,AGRICULTURE,فيفري,févr.,2018,SQL Results
1,113000,33900.0,3,تــونس,TUNIS,المرسى,LA MARSA,الفلاحي,AGRICULTURE,أوت,août,2018,SQL Results
1,68000,9450.0,2,بنزرت,BIZERTE,منزل بورقيبة,MANZEL BOURGIBA,الخدمات,SERVICE,ماي,mai,2018,SQL Results
1,45155,6774.0,1,نابل,NABEUL,قربة,KOURBA,الخدمات,SERVICE,فيفري,févr.,2018,SQL Results
1,145000,45025.0,4,القيروان,KAIROUAN,الشراردة,CHRARDA,الفلاحي,AGRICULTURE,أوت,août,2018,SQL Results
1,94420,17483.0,1,قبلي,KEBELLI,قبلي الجنوبية,KEBELLI SUD,التحويل الأولي,PREMIERE TRANSFORMATION,جويلية,juill.,2018,SQL Results
