annee,mois,activite,valeur_de_linvestissement_approuve_en_mille_dinars,feuille
2023,mars,acquaculture,816,Feuil1
2023,mars,services agricoles,15148,Feuil1
2023,mars,transformation primaire,15764,Feuil1
2023,avril,agriculture,85985,Feuil1
2023,avril,peche,24711,Feuil1
2023,avril,acquaculture,816,Feuil1
2023,avril,services agricoles,18753,Feuil1
2023,avril,transformation primaire,19242,Feuil1
2023,mai,agriculture,101161,Feuil1
2023,mai,peche,27264,Feuil1
2023,mai,acquaculture,879,Feuil1
2023,mai,services agricoles,25062,Feuil1
2023,mai,transformation primaire,19498,Feuil1
2023,juin,agriculture,141426,Feuil1
2023,juin,peche,28585,Feuil1
2023,juin,acquaculture,2684,Feuil1
2023,juin,services agricoles,30493,Feuil1
2023,juin,transformation primaire,26302,Feuil1
2023,juillet,agriculture,165250,Feuil1
2023,juillet,peche,44580,Feuil1
2023,juillet,acquaculture,2893,Feuil1
2023,juillet,services agricoles,35127,Feuil1
2023,juillet,transformation primaire,27923,Feuil1
2023,aout,agriculture,177280,Feuil1
2023,aout,peche,39322,Feuil1
2023,août,acquaculture,2893,Feuil1
2023,août,services agricoles,37879,Feuil1
2023,août,transformation primaire,28653,Feuil1
2023,septembre,agriculture,192971,Feuil1
2023,septembre,peche,42486,Feuil1
2023,septembre,acquaculture,2893,Feuil1
2023,septembre,services agricoles,47853,Feuil1
2023,septembre,transformation primaire,28653,Feuil1
2023,octobre,agriculture,219132,Feuil1
2023,octobre,peche,42798,Feuil1
2023,octobre,acquaculture,3049,Feuil1
2023,octobre,services agricoles,54234,Feuil1
2023,octobre,transformation primaire,31092,Feuil1
2023,novembre,agriculture,244506,Feuil1
2023,novembre,peche,44404,Feuil1
2023,novembre,acquaculture,3049,Feuil1
2023,novembre,services agricoles,60262,Feuil1
2023,novembre,transformation primaire,31313,Feuil1
2023,decembre,agriculture,311042,Feuil1
2023,decembre,peche,57904,Feuil1
2023,décembre,acquaculture,3933,Feuil1
2023,décembre,services agricoles,73867,Feuil1
2023,décembre,transformation primaire,33309,Feuil1
2024,mars,agriculture,32041,Feuil1
2024,mars,peche,5753,Feuil1
2024,mars,acquaculture,26,Feuil1
2024,mars,services agricoles,13860,Feuil1
2024,mars,transformation primaire,1204,Feuil1
2024,avril,agriculture,62317,Feuil1
2024,avril,peche,11835,Feuil1
2024,avril,acquaculture,1521,Feuil1
2024,avril,services agricoles,22007,Feuil1
2024,avril,transformation primaire,2734,Feuil1
2024,mai,agriculture,74564,Feuil1
2024,mai,peche,13450,Feuil1
2024,mai,acquaculture,1521,Feuil1
2024,mai,services agricoles,26424,Feuil1
2024,mai,transformation primaire,2979,Feuil1
2024,juin,agriculture,93975,Feuil1
2024,juin,peche,13450,Feuil1
2024,juin,acquaculture,1521,Feuil1
2024,juin,services agricoles,30891,Feuil1
2024,juin,transformation primaire,5816,Feuil1
2024,juillet,agriculture,114695,Feuil1
2024,juillet,peche,22191,Feuil1
2024,juillet,acquaculture,6484,Feuil1
2024,juillet,services agricoles,43222,Feuil1
2024,juillet,transformation primaire,6148,Feuil1
2024,aout,agriculture,129755,Feuil1
2024,aout,peche,22219,Feuil1
2024,août,acquaculture,6484,Feuil1
2024,août,services agricoles,43222,Feuil1
2024,août,transformation primaire,6148,Feuil1
2024,septembre,agriculture,140161,Feuil1
2024,septembre,peche,22689,Feuil1
2024,septembre,acquaculture,6606,Feuil1
2024,septembre,services agricoles,49881,Feuil1
2024,septembre,transformation primaire,6148,Feuil1
2024,octobre,agriculture,174343,Feuil1
2024,octobre,peche,27429,Feuil1
2024,octobre,acquaculture,15169,Feuil1
2024,octobre,services agricoles,55791,Feuil1
2024,octobre,transformation primaire,6284,Feuil1
2024,novembre,agriculture,201095,Feuil1
2024,novembre,peche,27758,Feuil1
2024,novembre,acquaculture,24788,Feuil1
2024,novembre,services agricoles,73087,Feuil1
2024,novembre,transformation primaire,7649,Feuil1
2024,décembre,agriculture,261166,Feuil1
2024,décembre,peche,51409,Feuil1
2024,décembre,acquaculture,25956,Feuil1
2024,décembre,services agricoles,94425,Feuil1
2024,décembre,transformation primaire,11625,Feuil1
2025,mars,agriculture,33062,Feuil1
2025,mars,peche,5448,Feuil1
2025,mars,acquaculture,17427,Feuil1
2025,mars,services agricoles,23885,Feuil1
2025,mars,transformation primaire,696,Feuil1
2025,avril,agriculture,45926,Feuil1
2025,avril,peche,6160,Feuil1
2025,avril,acquaculture,17427,Feuil1
2025,avril,services agricoles,32082,Feuil1
2025,avril,transformation primaire,996,Feuil1
2025,mai,agriculture,75085,Feuil1
2025,mai,peche,8986,Feuil1
2025,mai,acquaculture,29780,Feuil1
2025,mai,services agricoles,51168,Feuil1
2025,mai,transformation primaire,1088,Feuil1
2025,juin,agriculture,95944,Feuil1
2025,juin,peche,11488,Feuil1
2025,juin,acquaculture,41543,Feuil1
2025,juin,services agricoles,58609,Feuil1
2025,juin,transformation primaire,5816,Feuil1
2025,juillet,agriculture,104578,Feuil1
2025,juillet,peche,12918,Feuil1
2025,juillet,acquaculture,46943,Feuil1
2025,juillet,services agricoles,63242,Feuil1
2025,juillet,transformation primaire,1868,Feuil1
2025,aout,agriculture,123669,Feuil1
2025,aout,peche,12946,Feuil1
2025,août,acquaculture,58872,Feuil1
2025,août,services agricoles,66419,Feuil1
2025,août,transformation primaire,1858,Feuil1
2025,septembre,agriculture,138370,Feuil1
2025,septembre,peche,13041,Feuil1
2025,septembre,acquaculture,75047,Feuil1
2025,septembre,services agricoles,71052,Feuil1
2025,septembre,transformation primaire,3121,Feuil1
2025,octobre,agriculture,153698,Feuil1
2025,octobre,peche,13041,Feuil1
2025,octobre,acquaculture,72210,Feuil1
2025,octobre,services agricoles,78764,Feuil1
2025,octobre,transformation primaire,4390,Feuil1
2025,novembre,agriculture,200084,Feuil1
2025,novembre,peche,29891,Feuil1
2025,novembre,acquaculture,74372,Feuil1
2025,novembre,services agricoles,85850,Feuil1
2025,novembre,transformation primaire,7663,Feuil1
2025,décembre,agriculture,275342,Feuil1
2025,décembre,peche,42751,Feuil1
2025,décembre,acquaculture,88088,Feuil1
2025,décembre,services agricoles,99498,Feuil1
2025,décembre,transformation primaire,9604,Feuil1
