سنة_الادراج_بالميزانية,العناصر,البرنامج,المحتوى_المادي,المحتوى_المالي_اد,ملاحظات,feuille
2014.0,تزويد 03 مناطق ريفية بالماء الصالح للشرب,برنامج التنمية المندمجة,1.0,600.0,"تقدم الانجاز 50%, التجهيز:في طور فتح الاعتمادات, الكهربة:تمت مراسلة مصالح التنمية المندمجة للموافقة على تقديرات steg",Feuil1
2015.0,حفر بئر عميقة بمنطقة الكربة بمنزل قمودي,البرنامج الوطني,1.0,150.0,"تقدم الإنجاز 100% (13,5 ل/ث- 1غ/ل)",Feuil1
2015.0,حفر بئرالعبابسة القرية,مشروع شمال الولاية,1.0,450.0,تقدم الإنجاز 100% (10 ل/ث),Feuil1
2015.0,حفر بئرالعيثة منزل قمودي,مشروع شمال الولاية,1.0,225.0,تقدم الإنجاز 100% (08 ل/ث),Feuil1
2016.0,احداث منطقة سقوية للري التكميلي هنشير الكسكسي,مشروع شمال الولاية,,650.0,تقدم الانجاز100% الكهربة:تم مد الsteg بطلب التزود,Feuil1
2016.0,احداث منطقة سقوية العمايمية,مشروع شمال الولاية,,500.0,تقدم الإنجاز 100%,Feuil1
2016.0,تهيئة وصيانة شبكات الماء الصالح للشرب بمنطقة السوينية والعبابسة,مشروع شمال الولاية,1.0,1000.0,تقدم الإنجاز 100%,Feuil1
2015.0,مد شبكة الماء الصالح للشرب بمشروع المقالصية,المشروع الجهوي للتنمية,1.0,500.0,تقدم الإنجاز 100%,Feuil1
2015.0,تهيئة مسالك فلاحية,مشروع شمال الولاية,,1266.3,تقدم الإنجاز 100% ( 3  كلم مسلك سيدي عيش في اتجاه هنشير الكسكسي-  6 كلم مسلك  العمايمية الحي في اتجاه القراملية,Feuil1
2016.0,تزود منطقة العقلة بالماء الصالح للشراب,البنك الافريقي للتنمية,1.0,800.0,تقدم الانجاز100% التجهيز:تم التزود الكهربة: تم مد الsteg بطلب التزود,Feuil1
2016.0,تعهد مشروع الماء الصالح للشرب القراملية,البرنامج الوطني,1.0,650.0,مشروع غير قابل للتنفيذ بسبب إشكال عقاري البئر موجودة بأرض الشخص المعترض,Feuil1
2016.0,تهيئة مسالك فلاحية,البرنامج الوطني,,675.0,"تقدم الإنجاز 100%( 4,5  كلم مسلك من دوار العقلة إلى منزل قمودي)",Feuil1
2017.0,إحداث بئر البزاينية (500 م),شركة فسفاط قفصة,1.0,380.0,"100%(12ل/ث و 0,6 غ/ل)",Feuil1
2017.0,إحداث بئر الفطايمية  (350 م),شركة فسفاط قفصة,1.0,240.0,تقدم الإنجاز 100%  (12ل/ث و 1 غ/ل),Feuil1
2017.0,إحداث بئر الصغايرية (250 م),شركة فسفاط قفصة,1.0,170.0,"تقدم الإنجاز 100%  (17ل/ث و1,8 غ/ل)",Feuil1
2017.0,إحداث بئر العوانسية (500م),البرنامج الوطني,1.0,600.0,"تقدم الإنجاز100% (17ل/ث  و  1,6 غ/ث)",Feuil1
2018.0,حفر بئر للماء الصالح للشرب بالبكاكرية: 350م,BAD,,350.0,بصدد اتمام الاجراءات التعاقدية للصفقة,Feuil1
2018.0,حفر بئر عميقة القرية مكرر(ابار تعويضية),البرنامج الوطني للادارة العامة,,350.0,بصدد التحضير لانطلاق الاشغال,Feuil1
2021.0,استصلاح المنطقة السقوية مقسم القرية,البرنامج الوطني للادارة العامة,,800.0,"اوقفت الدراسة في مرحلتها الاولى لاعتراض المواطنين, اجلت لسنة 2021",Feuil1
,,,,17885.6525,,Feuil1
