annee,auteur_affil,isn,langue,m_coll_auteur,m_lieu_edition,m_titre_orig,projet_develop,resume,titre,source,feuille
1976.0,DRE,1967,(FR),DRE,TUNIS,"Article sur les engrais organique, la préparation, la conservation et les doses de fumier, notam. de ferme, à utiliser et l'action de lhumus sur le sol",,"/Article/ sur les /engrais organique/, la préparation, la conservation et les doses de /fumier/, notam. de ferme, à utiliser et l'action de l/humus/ sur le /sol/",,http://www.onagri.tn/uploads/docagri/1967N.PDF,Feuil1
1975.0,DRE,1657,(FR),DRE,TUNIS,Article sur l'influence de la malnutrition sur la santé humaine et le taux de mortalité chez les enfants - Etude à l'hopital Farhat Hached de sousse Sousse en 1974,,/Article/ sur l'influence de la /malnutrition/ sur la /santé humaine/ et le /taux de mortalité/ chez les enfants - Etude à l'hopital Farhat Hached de sousse Sousse en 1974,Article sur l'influence de la malnutrition sur la santé humaine et le taux de mortalité chez les enfants - Etude à l'hopital Farhat Hached de sousse Sousse en 1974,http://www.onagri.tn/uploads/docagri/1657N.PDF,Feuil1
2004.0,"Ismail, S.",11515,(FR),INAT,Tunis,Bases endocriniennes de l'activité sexuelle chez la chamelle (camelus dromedarius),,/MEMOIRE D'ETUDE//CHAMEAU//REPRODUCTION ANIMALE//PROGESTERONE//CHAMEAU//CYCLE REPRODUCTEUR/,Bases endocriniennes de l'activité sexuelle chez la chamelle (camelus dromedarius),,Feuil1
2014.0,"Ressaissi,  Y",14018,(FR),INAT,Tunis,Choix d'un modèle d'évaluation génétique (L305 et TDM) chez les bovins laitiers en fonction de la taille des troupeaux\n,,,Choix d'un modèle d'évaluation génétique (L305 et TDM) chez les bovins laitiers en fonction de la taille des troupeaux\n,CD:319*ONAGRI,Feuil1
2007.0,,85207,(FR),FAO,Rome(IT.),Commission des ressources génétiques pour l'alimentation et l'agriculture. L'etat des ressources zoogénétiques pour l'alimentation et l'agriculture dans le monde -en bref,,"/GENETIQUE ANIMALE/   Résumé d'auteur :[L'etat des ressources zoogénétiques pour l'alimentation et l'agriculture dans le monde est la première évaluation globale de la biodiversité des animaux d'élevage. Basé sur 169 rapports nationaux, sur des contributions de plusieurs organisations internationales et sur 12 études thématiques spécialement mandatées, il présente une analyse de l'état de la biodiversité agricole dans le secteur de l'élevage - origines et développements, utilisations et valeurs, distribution et échange, état de danger et menaces - et de la capacité à gérer ces ressources - institutions, politiques et dispositions légales, activités d'élevage organisées et programmes de conservation.\n",Commission des ressources génétiques pour l'alimentation et l'agriculture. L'etat des ressources zoogénétiques pour l'alimentation et l'agriculture dans le monde -en bref,,Feuil1
2012.0,INAT,14225,(FR),INAT,Tunis,Contribution à l'étude bioécologique des moustiques (Diptera : Culicidae) dans l'Oued Khalij (Région de l'Ariana)\n,,/MEMOIRE D'ETUDE/BIOECOLOGIE/MOUSTIQUE/OUED KHALIJ/ARIANA/,Contribution à l'étude bioécologique des moustiques (Diptera : Culicidae) dans l'Oued Khalij (Région de l'Ariana)\n,CD:526*ONAGRI,Feuil1
2010.0,INAT,14154,(FR),INAT,Tunis,CONTRIBUTION A L'ETUDE DE LA CROISSANCE ET DES PERFORMANCES DE LA DAURADE\n,,,CONTRIBUTION A L'ETUDE DE LA CROISSANCE ET DES PERFORMANCES DE LA DAURADE\n,CD:456*ONAGRI,Feuil1
2008.0,"Mejri, O",12503,(FR),INAT,Tubis,"Contribution à l'étude du phénomène de la diapause chez la pyrale des dattes Ectomyelois ceratoniae(Zeller,1881), Perfectionnement des condition de l'élevage en masse ETessais de lutte boilogique.",,/MEMOIRE D'ETUDE//DIAPAUSE//PYRALE//DATTE//LUTTE BIOLOGIQUE//PIEGEAGE DES INSECTES//LUTTE ANTI INSECTE/,"Contribution à l'étude du phénomène de la diapause chez la pyrale des dattes Ectomyelois ceratoniae(Zeller,1881), Perfectionnement des condition de l'élevage en masse ETessais de lutte boilogique.",,Feuil1
2014.0,"BenMessaoud ,R",13915,(FR),INAT,Tunis,"Contribution à l'etude ecologhique et ethologique de la population de tursiops truncatus( montagu, 1821 ) de la région Nord -est de la Tunisie  et identification de son modèle de structure sociale.",,,"Contribution à l'etude ecologhique et ethologique de la population de tursiops truncatus( montagu, 1821 ) de la région Nord -est de la Tunisie  et identification de son modèle de structure sociale.",CD:216*ONAGRI,Feuil1
2013.0,FAO,85540,(FR),FAO,Rome,Convention sur l'élimination de toutes les formes de discrimination à l'égard des femmes (CEDAW/CEDEF) Un outil pour la formulation de politiques et de programmes de développement agricole et rural favorisant l'égalité des sexes\n,,"/DOCUMENT TECHNIQUE//DEVELOPPEMENT AGRICOLE//TRAVAILLEUR FEMININ/                    [Les présentes directives4 ont pour objet d'expliquer comment la FAO et les Ministères de l'agriculture des différents pays5 peuvent soutenir et utiliser la Convention, au niveau national, en tant qu'instrument d'élaboration et de programmation des politiques, de manière à assurer l'égalité entre les hommes et les femmes, dans le domaine de l'agriculture et du développement rural…]\n",Convention sur l'élimination de toutes les formes de discrimination à l'égard des femmes (CEDAW/CEDEF) Un outil pour la formulation de politiques et de programmes de développement agricole et rural favorisant l'égalité des sexes\n,Bibliothéque l'onagri,Feuil1
1978.0,DRE,1958,(FR),DRE,TUNIS,Document technique sur les prévision météorologique concern. la pluie pour l'année 1978-1979,,/Document technique/ sur les /prévision météorologique/ concern. la /pluie/ pour l'année 1978-1979,,http://www.onagri.tn/uploads/docagri/1958N.PDF,Feuil1
2011.0,INAT,14180,(FR),INAT,Tunis,"Effet de la B-cyclodextrine sur l'enracinement in vitro du fraisier ""Fragaria x ananassa Duch.""\n",,,"Effet de la B-cyclodextrine sur l'enracinement in vitro du fraisier ""Fragaria x ananassa Duch.""\n",CD:581*ONAGRI,Feuil1
2005.0,"Ben salah,H",13000,(FR),INRAT,Tunis,Effet de la date de semis sur les composantes du rendement et la qualité de l'huile de tournesol ( Helianthus annuus L ),,/ARTICLE//TOURNESOL//ACIDE OLEIQUE//ACIDE LINOLEIQUE//HUILE//QUALITE//HELIANTHUS ANNUUS/,,,Feuil1
2010.0,"Beji ,S",14185,(FR),INAT,Tunis,Effet du choix variétal et de la fertilisation organique sur le rendement et la qualité technologique du blé dur (Triticum durum Desf.) cultivé en Agriculture Biologique\n,,,Effet du choix variétal et de la fertilisation organique sur le rendement et la qualité technologique du blé dur (Triticum durum Desf.) cultivé en Agriculture Biologique\n,CD:586*ONAGRI,Feuil1
