annee,mois,station,quantite_pluviometrie_mm,moyenne_mensuelle_mm,nombre_jours_pluvieux_mm,feuille
2025,aout,morneg,19.0,3.7,1,Feuil2
2025,septempre,morneg,26.0,57.21,3,Feuil2
2025,octobre,morneg,46.0,46.0,4,Feuil2
2025,nevombre,morneg,33.0,57.21,5,Feuil2
2025,decembre,morneg,61.0,78.04,10,Feuil2
2025,janvier,fouchana,83.0,58.0,7,Feuil2
2025,fevrier,fouchana,44.0,44.5,5,Feuil2
2025,mars,fouchana,18.0,38.3,5,Feuil2
2025,avril,fouchana,66.0,35.4,6,Feuil2
2025,mai,fouchana,40.0,19.9,5,Feuil2
2025,juin,fouchana,10.0,11.3,1,Feuil2
2025,juiller,fouchana,0.0,3.8,0,Feuil2
2025,aout,fouchana,0.0,7.0,0,Feuil2
2025,septempre,fouchana,38.0,35.91,3,Feuil2
2025,octobre,fouchana,13.0,50.1,4,Feuil2
2025,nevombre,fouchana,27.0,35.91,6,Feuil2
2025,decembre,fouchana,60.0,62.71,11,Feuil2
2025,janvier,khldiai,105.0,70.8,9,Feuil2
2025,fevrier,khldiai,72.0,44.5,5,Feuil2
2025,mars,khldiai,36.0,42.5,5,Feuil2
2025,avril,khldiai,80.0,37.3,6,Feuil2
2025,mai,khldiai,44.0,22.5,7,Feuil2
2025,juin,khldiai,17.0,12.1,1,Feuil2
2025,juiller,khldiai,0.0,6.5,0,Feuil2
2025,aout,khldiai,0.0,2.7,0,Feuil2
2025,septempre,khldiai,37.0,55.2,3,Feuil2
2025,octobre,khldiai,28.0,44.1,4,Feuil2
2025,nevombre,khldiai,55.0,55.22,7,Feuil2
2025,decembre,khldiai,110.0,73.56,10,Feuil2
