composante,date,datemin,prixmin,prixmax,prix,feuille
Thiaclopride2 ( calypso),2023-01-20,2022-03-01,235.0,285.0,250.0,Feuil1
Imidaclopride2 (1l),2023-06-05,2023-01-20,180.0,380.0,,Feuil1
Huile minérale2,2023-06-05,2023-01-20,18.0,20.0,20.0,Feuil1
Acétamipride2,2023-06-05,2023-01-20,350.0,390.0,385.0,Feuil1
Deltametrine2,2023-06-05,2023-01-20,100.0,100.0,110.0,Feuil1
Chlorpyriphos Ethyl2,2023-06-05,2023-01-20,55.0,55.0,55.0,Feuil1
Abamectine2(1l),2023-06-05,2023-01-20,90.0,190.0,,Feuil1
Cyperméthrine2 (1l),2023-06-05,2023-01-20,60.0,60.0,60.0,Feuil1
Spinosade2 (100ml),2023-06-05,2023-01-20,110.0,110.0,,Feuil1
Pyriproxyféne2 ( Proximo EC),2023-06-05,2023-01-20,145.0,145.0,,Feuil1
Fenazaquin2 ( Magister)250ml,2023-06-05,2023-01-20,55.0,55.0,,Feuil1
Thiaclopride2 ( calypso),2023-06-05,2023-01-20,180.0,180.0,,Feuil1
