composante,utilisation,utilisation_ar,frequence_ar,frequence,source,source_ar,unite_ar,unite,composante_ar,images,feuille
Mancozèbe2,"Mildiou, rouille",الميلديو، الصدأ,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/كلغ,TND/kg,منكوزيب2,,Feuil1
Epoxiconazole (opus),"Oidium, septoriose, rouille",البياض الدقيقي،التبقع السبتوري، الصدأ,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,ايبوكسيكونازول,https://drive.google.com/file/d/1YCxCQZ8K4mSl3hvNXS2QyiAzLNhVx3eD/view?usp=sharing,Feuil1
Epoxiconazole+ Kerosym methyl (ogam),"Oidium, septoriose, rouille",البياض الدقيقي،التبقع السبتوري، الصدأ,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,ايبوكسيكونازول+ كيروزيم ميتيل,https://drive.google.com/file/d/1YCxCQZ8K4mSl3hvNXS2QyiAzLNhVx3eD/view?usp=sharing,Feuil1
Epoxiconazole+ thiophanate methyl (rex duo),"septoriose, rouille, fusariose",التبقع السبتوري، الصدأ، الفيزاريوز,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,ايبوكسيكونازول+ تيوفانات ميتيل,https://drive.google.com/file/d/1YCxCQZ8K4mSl3hvNXS2QyiAzLNhVx3eD/view?usp=sharing,Feuil1
Propiconazole+ cyproconazole,"Oidium, septoriose",البياض الدقيقي،التبقع السبتوري,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,بروبيكونازول+ سيبروكونازول,https://drive.google.com/file/d/1IY0wcMycGTSLxY8rUC4_2pfAfMSGGlgf/view?usp=sharing,Feuil1
Pyraclostrobine+ Epxiconazole (favia max),"Septoriose, rouille brune",التبقع السبتوري، الصدأ البني,شهريا,MENSUELLE,COCEBLE,التعاضدية المركزية للحبوب,دينار/ليتر,TND/l,بيراكلوستروبين+  ايبوكسيكونازول,https://drive.google.com/file/d/1YCxCQZ8K4mSl3hvNXS2QyiAzLNhVx3eD/view?usp=sharing,Feuil1
dodine2,"Tavelure, cloque",التجعد ،الجرب,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/ليتر,TND/l,دودين,https://drive.google.com/file/d/1DHzlEfDjrtzHz_ZPDiTUbi25ka7r6fNP/view?usp=sharing,Feuil1
manébe2,"Septoriose, rouille, mildiou,anthracnose, tavelure, rouille",التبقع السبتوري، ميلديو،انتراكنوز، الجرب، الصدأ,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/كلغ,TND/kg,مانيب2,https://drive.google.com/file/d/1oxumhpXD9N6400YxC5baWWK-UjNuBrwX/view?usp=sharing,Feuil1
trifloxysrobin (50 gr),"Oidium, tavelure",الجيارة، التبقع,شهريا,MENSUELLE,ONAGRI,المرصد الوطني للفلاحة,دينار/50غ,TND/50g,تريفلوكسيستروبين (50 غ),,Feuil1
trifloxysrobin2,"Oidium, tavelure",الجيارة، التبقع,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/50غ,TND/50g,تريفلوكسيستروبين2,,Feuil1
fosétyl-Al2,,,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/كلغ,TND/kg,فوسيتيل اليمنيوم2,,Feuil1
tébuconazole2,,,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/ليتر,TND/l,تيبيكونازول2,,Feuil1
Thiophanate-Méthyl3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,تيوفنات ميتيل3,,Feuil1
Soufre mouillable3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,كبريت ( بخارة ماء)3,,Feuil1
Cuivre Métal 50%(3),,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,مواد نحاسية 50(3),,Feuil1
Mancozèbe3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,منكوزيب3,,Feuil1
dodine3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,دودين3,,Feuil1
manébe3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,مانيب3,,Feuil1
propamocarbe3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,بروباموكرب3,,Feuil1
trifloxysrobin3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,تريفلوكسيستروبين3,,Feuil1
fosétyl-Al3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/كلغ,TND/kg,فوسيتيل اليمنيوم3,,Feuil1
myclobutanil3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,ميكلوبيتانيل3,,Feuil1
penconazole3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,بنكونازول3,,Feuil1
tébuconazole3,,,شهريا,MENSUELLE,CRDA Nabeul,المندوبية الجهوية للتنمية الفلاحية بنابل,دينار/ليتر,TND/l,تيبيكونازول3,,Feuil1
propamocarbe2,,,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/ليتر,TND/l,بروباموكرب2,,Feuil1
Zirame2,"Tavelure, cloque",الجرب، التجعد,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/كلغ,TND/kg,زيرام,,Feuil1
myclobutanil2,,,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/ليتر,TND/l,ميكلوبيتانيل2,,Feuil1
uniform,"azoxystrobine,mefenoxam",,شهريا,MENSUELLE,CRDA Kairouan,المندوبية الجهوية للتنمية الفلاحية بالقيروان,دينار/1/4يتر,TND,,,Feuil1
CELEST_TOP,"Difénoconazole, Fludioxinil et Thiamethoxam",,شهريا,MENSUELLE,Bureau de contrôle Production agricole Béja,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,دينار,TND,,,Feuil1
