composante,utilisation,utilisation_ar,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
Deltametrine2,"Puçeron, thrips, ver de la grappe, mineuse, carpocapse, cératite",الزيلي،التربس، دودة ثمار العنب، بسيلا الزيتون، عثة الزيتون، حافرة الأنفاق، الكاربوكابس، الذبابة المتوسطية,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/l,دلتامترين2,,Feuil1
Chlorpyriphos Ethyl1,"Cochenille farineuse, cicadelle, teigne de l’olivier, ver de la grappe",البق الدقيقي،السيكادل،عثة الزيتون، دودة ثمار العنب,شهريا,MENSUELLE,المجمع المهني للغلال,GIFruit,دينار/ليتر,TND/l,كلوروبيريفوس ايتيل1,https://drive.google.com/file/d/1qSs1IjzcUrh-NEkvB1EY2WFRSeN1X-8x/view?usp=sharing,Feuil1
Chlorpyriphos Ethyl2,"Cochenille farineuse, cicadelle, teigne de l’olivier, ver de la grappe",البق الدقيقي،السيكادل،عثة الزيتون، دودة ثمار العنب,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/l,كلوروبيريفوس ايتيل2,,Feuil1
Chlorpyriphos Ethyl (250 ml),"Cochenille farineuse, cicadelle, teigne de l’olivier, ver de la grappe",البق الدقيقي،السيكادل،عثة الزيتون، دودة ثمار العنب,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/250 مل,TND/250ml,كلوروبيريفوس ايتيل (250مل),https://drive.google.com/file/d/1qSs1IjzcUrh-NEkvB1EY2WFRSeN1X-8x/view?usp=sharing,Feuil1
Abamectine2(1l),"Acarien, psylle, mineuse",العناكب، البسيلا،حافرة الأنفاق,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/l,أبامكتين (1ل),https://drive.google.com/file/d/12olJ8zmSgvtcNI3pcZ3FFi43mD5hH3jj/view?usp=sharing,Feuil1
Cyperméthrine2 (1l),"Puçeron, ver de la grappe, psylle, dacus",الزيلي، دودة الثمار، البسيلا، ذبابة الزيتون,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/l,سيبرمترين (1ل),https://drive.google.com/file/d/1gQF2qyqmlYguvhqFxmpbqVrKSgpPxTij/view?usp=sharing,Feuil1
thiaclopride (500 ml),"Carpocapse, puçeron, mouche blanche, thrips, psylle",الزيلي، الكاربوكابس، الذبابة البيضاء، التربس، لبسيلا,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/500 مل,TND/500 ml,تياكلوبريد (1ل),,Feuil1
thiaclopride et déltaméthrine (1l),"puçeron, cératite,  carpocapse",الزيلي، الكاربوكابس، الذبابة المتوسطية,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/ليتر,TND/l,تياكلوبريد+دلتامترين (1ل),,Feuil1
Sulfoxaflor (250 ml ),"Cochenille, puçeron",البق، الزيلي,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/250 مل,TND/250ml,سولفوكزافلور (250مل),,Feuil1
Fenazaquin (1l),Acarien,العناكب,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/ليتر,TND/l,فينازاكين (1ل),,Feuil1
Pyriproxyfène (1l),"mouche blanche, cochenille australienne",الذبابة البيضاء، البق الأسترالي,شهريا,MENSUELLE,المرصد الوطني للفلاحة,ONAGRI,دينار/ليتر,TND/l,بيريبرواوكسيفين (1ل),,Feuil1
Spinosade2 (100ml),,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/100ml,سبينوزاد,,Feuil1
Pyriproxyféne2 ( Proximo EC),,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/ليتر,TND/l,بيريبرواوكسيفين 2(1ل),,Feuil1
Fenazaquin2 ( Magister)250ml,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/250 مل,TND/250ml,فينازاكين 2(1ل),,Feuil1
Sulfoxaflor2 (250 ml),,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/250 مل,TND/250ml,سولفوكزافلور2 (250مل),,Feuil1
Thiaclopride2 ( calypso),,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Nabeul,دينار/500 مل,TND/500ml,تياكلوبريد,,Feuil1
Imidaclopride 3,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,أميدا كلوبريد 3,,Feuil1
Huile minérale3,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,زيوت معدنية بيضاء3,,Feuil1
Acétamipride3,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,أسيتاميبريد3,,Feuil1
Diméthoate3,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,ديمتوات3,,Feuil1
Deltametrine3,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,دلتامترين3,,Feuil1
Chlorpyriphos Ethyl3,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,كلوروبيريفوس ايتيل3,,Feuil1
Abamectine3,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,أبامكتين 3,,Feuil1
Cyperméthrine 3,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,سيبرمترين 3,,Feuil1
Spinosade 240g/l(3),,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,سبينوزاد3,,Feuil1
Malathion,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Kairouan,دينار/ليتر,TND/l,مالتيون,,Feuil1
voliam targo,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/250 مل,TND/250ml,,,Feuil1
beseige,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,دينار/250 مل,TND/250ml,,,Feuil1
proclaim,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,,,,,Feuil1
takumi,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,,,,,Feuil1
coragen,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,,,,,Feuil1
sivanto prime,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,,,,,Feuil1
kungfu,,,شهريا,MENSUELLE,المندوبية الجهوية للتنمية الفلاحية بالقيروان,CRDA Kairouan,,,,,Feuil1
