annee,delegation,superficie_tomate_ha,production_tomate_tonne,superficie_piment_ha,production_piment_tonne,superficie_pasteque_ha,production_pasteque_tonne,superficie_melon_ha,production_melon_tonne,superficie_concombre_ha,production_concombre_tonne,superficie_courge_ha,production_courge_tonne,superficie_basilic_ha,production_basilic_tonne,total_superficie_ha,total_production_tonne,feuille
2021,القيروان الشمالية,10.0,1200.0,2.0,100.0,0.0,0.0,8.0,320,0.0,0,4.0,400,1.0,2.0,25.0,2022.0,Cultures maraichères protégées
2021,القيروان الجنوبية,15.0,750.0,0.0,0.0,30.0,1200.0,70.0,2450,0.0,0,0.0,0,0.0,0.0,115.0,4400.0,Cultures maraichères protégées
2021,الشبيكة,11.0,620.0,0.5,25.0,125.0,4800.0,85.0,2950,0.0,0,0.0,0,0.0,0.0,221.5,8395.0,Cultures maraichères protégées
2021,السبيخة,96.0,10796.0,8.1,405.0,15.0,600.0,10.0,350,12.0,510,0.0,0,0.0,0.0,141.1,12661.0,Cultures maraichères protégées
2021,حفوز,15.0,750.0,0.0,0.0,120.0,4800.0,40.0,1400,0.0,0,0.0,0,0.0,0.0,175.0,6950.0,Cultures maraichères protégées
2021,حاجب العيون,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Cultures maraichères protégées
2021,بوحجلة,0.0,0.0,0.0,0.0,0.0,0.0,3.0,90,0.0,0,0.0,0,0.0,0.0,3.0,90.0,Cultures maraichères protégées
2021,نصرالله,0.7,84.0,0.7,35.0,0.0,0.0,2.0,60,0.0,0,0.0,0,0.0,0.0,3.4,179.0,Cultures maraichères protégées
2021,الشراردة,0.0,0.0,0.0,0.0,550.0,22000.0,170.0,5950,0.0,0,0.0,0,0.0,0.0,720.0,27950.0,Cultures maraichères protégées
2021,الوسلاتية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Cultures maraichères protégées
2021,العلا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Cultures maraichères protégées
2021,المجموع,147.7,14200.0,11.299999999999999,565.0,840.0,33400.0,388.0,13570,12.0,510,4.0,400,1.0,2.0,1404.0,62647.0,Cultures maraichères protégées
2022,القيروان الشمالية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Cultures maraichères protégées
2022,القيروان الجنوبية,0.0,0.0,0.0,0.0,30.5,1217.5,37.5,1300,0.0,0,0.0,0,0.0,0.0,68.0,2517.5,Cultures maraichères protégées
2022,الشبيكة,3.8,246.0,0.35,17.5,110.0,4350.0,120.0,4200,0.0,0,0.0,0,,,234.15,8813.5,Cultures maraichères protégées
2022,السبيخة,106.0,12230.0,6.65,332.5,20.0,800.0,10.0,350,17.0,685,1.0,120,,,160.65,14517.5,Cultures maraichères protégées
2022,حفوز,5.0,250.0,0.0,0.0,150.0,6000.0,60.0,2100,0.0,0,0.0,0,,,215.0,8350.0,Cultures maraichères protégées
2022,حاجب العيون,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,,,0.0,0.0,Cultures maraichères protégées
2022,بوحجلة,10.0,500.0,0.0,0.0,5.0,175.0,5.0,150,0.0,0,0.0,0,,,20.0,825.0,Cultures maraichères protégées
2022,نصرالله,0.2,24.0,0.5,25.0,4.5,157.5,2.5,75,0.0,0,0.0,0,,,7.7,281.5,Cultures maraichères protégées
2022,الشراردة,0.0,0.0,0.0,0.0,350.0,14000.0,50.0,1750,0.0,0,0.0,0,,,400.0,15750.0,Cultures maraichères protégées
2022,الوسلاتية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,,,0.0,0.0,Cultures maraichères protégées
2022,العلا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,,,0.0,0.0,Cultures maraichères protégées
2022,المجموع,125.0,13250.0,7.5,375.0,670.0,26700.0,285.0,9925,17.0,685,1.0,120,0.0,0.0,1105.5,51055.0,Cultures maraichères protégées
2023,القيروان الشمالية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,القيروان الجنوبية,4.0,200.0,0.0,0.0,6.0,240.0,15.0,525,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,الشبيكة,0.7,84.0,0.3,15.0,90.0,3550.0,105.0,3650,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,السبيخة,105.4,12578.0,6.3,315.0,19.0,760.0,20.0,700,8.75,475,1.3,156,0.0,0.0,,,Cultures maraichères protégées
2023,حفوز,0.0,0.0,0.0,0.0,180.0,7200.0,50.0,1750,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,حاجب العيون,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,بوحجلة,0.0,0.0,0.0,0.0,50.0,1950.0,25.0,850,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,نصرالله,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,الشراردة,0.0,0.0,0.0,0.0,250.0,10000.0,50.0,1750,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,الوسلاتية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2023,العلا,,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0.0,0,0.0,0.0,0.0,,Cultures maraichères protégées
2023,المجموع,110.10000000000001,12862.0,6.6,330.0,595.0,23700.0,285.0,9925,8.75,475,1.3,156,0.0,0.0,1006.75,47448.0,Cultures maraichères protégées
2024,القيروان الشمالية,0.0,0.0,0.0,0.0,5.0,150.0,2.0,54,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,القيروان الجنوبية,20.0,1000.0,0.0,0.0,130.0,4400.0,185.0,5250,5.0,175,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,الشبيكة,0.5,70.0,0.7,35.0,170.0,5950.0,205.0,5850,5.0,175,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,السبيخة,122.0,16630.0,9.35,467.5,65.0,2100.0,40.0,1080,4.0,140,0.5,60,0.0,0.0,,,Cultures maraichères protégées
2024,حفوز,0.0,0.0,0.0,0.0,420.0,14200.0,90.0,2610,1.0,35,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,حاجب العيون,0.0,0.0,0.0,0.0,5.0,150.0,40.0,1080,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,بوحجلة,0.0,0.0,0.0,0.0,160.0,4850.0,105.0,2850,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,نصرالله,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,الشراردة,0.0,0.0,0.0,0.0,350.0,3000.0,85.0,2460,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,الوسلاتية,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,العلا,0.0,0.0,0.0,0.0,25.0,750.0,5.0,135,0.0,0,0.0,0,0.0,0.0,,,Cultures maraichères protégées
2024,المجموع,142.5,17700.0,10.049999999999999,502.5,1330.0,45550.0,285.0,9925,15.0,525,0.5,60,0.0,0.0,1783.05,74262.5,Cultures maraichères protégées
