code,produits,annee_1999,annee_2000,annee_2001,annee_2002,annee_2003,annee_2004,annee_2005,annee_2006,annee_2007,annee_2008,annee_2009,annee_2010,annee_2011,annee_2012,annee_2013,annee_2014,annee_2015,annee_2016,annee_2017,feuille
10649,Autres insectes,0,0,0,0,0,0,0,0,0,0,0,0,0,89133,146049,431999,469743,365557,603060,Feuil1
10690,Autres animaux vivants autres*,0,0,0,74760,48304,225550,99695,99355,93243,206502,236571,531161,457512,195880,298936,37342,35118,41559,339221,Feuil1
20110,"Viandes des animaux de l'espèces bovine,fraîches ou réfrigérées en carcasses ou demi carcasses*",2762516,5671902,0,0,2792927,26333869,25797601,14244032,2631062,1396764,7336110,1501688,7007373,12437077,17863876,0,6969640,0,6899678,Feuil1
20120,"Viandes des animaux de l'espèces bovine,fraîches ou réfrigérées autres morceaux non désosses*",0,0,0,0,0,0,0,0,0,0,0,0,795958,413744,0,0,0,0,0,Feuil1
20130,"Viandes des animaux de l'espèces bovine,fraîches ou réfrigérées désossées*",1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
20210,"Viandes des animaux de l'espèces bovine,congelées en carcasses ou demi carcasses*",0,30982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
20220,"Viandes des animaux de l'espèce bovine,congelées;autres morceaux non désosses*",0,0,0,0,0,0,0,0,0,973,131181,310659,339693,474448,364307,414177,750567,0,0,Feuil1
20230,"Viandes des animaux de l'espèce bovine,congelées désosses*",3390835,4725151,76025,0,1882270,2138857,3634827,7323166,10830424,18516093,13039751,20241518,8272039,20821746,15659228,20609157,11122965,5619348,13187339,Feuil1
20312,"Viandes des animaux de l'espèces porcine,fraîches,réfrigérées ou congelées,jambons,épaules et leurs morceaux non désosses*",0,0,0,0,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
20319,"Autres viandes des animaux de l'espèce porcine,fraîches,réfrigérées ou congelées *",1796,0,0,0,0,0,0,0,0,7563,21868,28520,0,0,0,0,0,0,0,Feuil1
20321,"Viandes des animaux de l'espèces porcine ,fraîches aumure;crustacées non décortiques cuits a l'eau ou a la vapeur,même réfrigères ,congelés sèches,sal",0,78781,0,0,0,0,0,0,0,73886,56470,0,0,0,125566,142577,115907,0,170045,Feuil1
20329,"Viandes des animaux de l'espèce porcine,fraîches,réfrigérées ou congelées;autres",0,0,0,0,0,0,0,0,141906,37707,0,29695,0,191606,188483,138937,0,0,124149,Feuil1
20410,"Viandes des animaux des espèces ovine ou caprine,fraîches,réfrigérées ou congelées en carcasses et demi carcasses d'agneau,fraîches ou réfrigérées*",0,0,0,0,0,5634314,3097923,2344554,450604,634749,1736508,881628,0,2178450,9000417,9369677,5467494,0,0,Feuil1
20422,"Autres viandes des animaux de l'espèces ovine,fraîches ou réfrigérées autre morceaux non désosses*",0,0,0,0,0,0,0,0,0,0,142056,0,0,0,0,0,0,0,0,Feuil1
20430,"Autres viandes des animaux de l'espèces ovine,fraîches ou réfrigérées carcasses et demi carcasses d'agneau,congelées *",0,0,0,0,0,0,2106586,1398885,4064535,5720035,4912003,8736727,3773935,9360126,5249892,8682537,4367954,0,0,Feuil1
20441,"Autres viandes des animaux de l'espèces ovine,congelées en carcasse ou demi carasses*",0,0,0,0,0,0,0,435812,87718,0,0,0,0,0,0,0,0,0,0,Feuil1
20442,"Autres viandes des animaux de l'espèce ovine,congelées en autres morceaux non désosses*",1600,0,0,0,0,0,0,0,0,122406,170718,179537,239612,120542,1092660,1080099,1775809,0,0,Feuil1
20443,"Autres viandes des animaux de l'espèces ovine,congelées désossées",0,0,0,0,0,0,0,0,0,0,0,0,190046,0,0,0,0,0,0,Feuil1
20450,Viandes des animaux de l'espèces caprine*,0,0,0,0,0,0,0,0,0,21158,0,0,0,0,0,0,0,0,0,Feuil1
20610,"Abats comestibles des animaux des espèces bovine,porcine,ovine,caprine,chevaline,asine ou mulassière,frais,réfrigères ou congelés*",0,0,0,0,0,0,0,63282,0,0,0,0,8709,14230,17591,8830,0,0,0,Feuil1
20621,"Abats comestibles des animaux des espèces bovine,congelés;langues*",0,0,0,0,0,0,0,0,0,0,8714,17916,11759,14076,8464,0,0,0,59800,Feuil1
20622,"Abats comestibles des animaux des espèces bovine,congelés foies*",0,0,0,0,0,0,31446,257803,379088,445749,710882,688278,908432,2611287,1612398,1166505,1189665,1479718,1712296,Feuil1
20629,Autres abats comestibles des animaux des espèces bovine congelés*,0,0,0,0,0,0,6098,50985,75213,67175,117453,156198,53574,108469,103584,168762,34928,70878,123561,Feuil1
20641,"Autres abats comestibles des animaux de l'espèces porcine,congelés;foies*",0,0,0,0,0,0,0,0,0,0,7795,0,0,0,0,0,0,0,1604,Feuil1
20680,"Autres de l'espèce porcine,frais ou réfrigérés*",0,0,0,0,0,41447,0,512,0,314,0,15322,1272,64586,28805,88514,39235,0,0,Feuil1
20690,"Viandes des animaux de l'espèce porcine,fraîches,réfrigérées ou autres congelés*",0,0,0,0,0,0,0,0,0,22274,34247,387746,200739,585379,867646,1494180,695997,1465830,1160165,Feuil1
20712,"Viandes et abats comestibles,frais,réfrigérés ou congelés des volailles du n° :01.05;non découpés en morceaux congelés*",0,0,0,0,379797,345771,0,105113,2898439,0,2162147,4819831,1546327,4517162,17313,82007,0,0,18293,Feuil1
20713,"Viandes et abats comestibles,morceaux frais ou réfrigérés*",1245,0,0,0,0,0,0,0,91213,0,0,91476,0,117775,0,2651,0,0,0,Feuil1
20714,"Viandes et abats comestibles,morceaux et abats congelés;de dinde et dindon*",41405,61700,0,0,0,45678,78265,82648,385758,557549,725022,1390817,1588611,7847044,2893753,5709869,258284,937920,1308562,Feuil1
20726,"Morceaux et abats ,frais ou réfrigères*",0,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
20727,"Morceaux et abats ,congelés *",0,9011,20906,11728,0,297758,978408,1496550,4887589,2842038,1825075,2748525,0,5650625,24993,2464881,176343,0,266302,Feuil1
20732,"Canards,d'oies ou de pintades non découpes en morceaux,frais ou réfrigéré sur bouquets ou pour ornements,frais,sèches,blanchis,teints,imprègnes ou aut",0,0,0,0,0,0,0,0,0,0,0,5201,0,0,0,0,0,0,0,Feuil1
20733,"Viandes non découpes en morceaux,congelés*",32676,68344,67916,47276,60389,63583,6674,40832,50900,55679,83902,107732,51920,0,0,0,0,0,0,Feuil1
20734,"Foies gras,frais ou réfrigérés *",351,786,1129,0,0,1794,0,0,0,9135,0,0,0,0,0,0,0,0,0,Feuil1
20735,"Autres viandes et abats comestibles,frais ou réfrigérés,des volailles du n°01.05*",1585,2403,1223,0,0,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
20736,"Autres viandes et abats comestibles,congelées *",40292,56329,55168,65602,63772,79909,42900,23790,55956,172981,189690,233044,187581,17775,0,0,0,0,0,Feuil1
20742,Canards non découpés en morceaux ; congelés,0,0,0,0,0,0,0,0,0,0,0,0,0,85605,85556,141478,25498,35029,0,Feuil1
20745,Autres canards congelés,0,0,0,0,0,0,0,0,0,0,0,0,0,144163,155770,293484,216712,198196,308620,Feuil1
20810,"Autres viandes et abats comestibles,frais,réfrigères ou congelés de lapins ou de lièvre*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,180742,0,26386,0,0,Feuil1
20890,"Autres viandes et abats comestibles,frais,réfrigères ou congelés;autres*",764,7000,0,0,92981,0,0,0,0,0,0,0,52893,0,0,0,0,0,0,Feuil1
20900,"Lard sans parties maigres,graisse de porc et graisse de volailles non fondues ni autrement extraites,frais,réfrigères,congelés,sales ou en saumure,se",0,0,0,0,0,416,0,0,1374,0,0,181,0,5239,0,0,0,0,0,Feuil1
21011,"Viandes et abats comestibles,sales ou en saumure sèches ou fumes;farines et poudres,comestibles,de viandes ou d'abats,viandes de l'espèces porcines*",0,0,0,0,0,0,0,0,0,0,0,0,0,1363,1520,0,0,0,0,Feuil1
21012,Poitrines(entrelardées)et leurs morceaux *,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61296,63346,Feuil1
21019,"Autres viandes et abats comestibles,sales ou en saumures,sèches ou fumes,farines et poudres,comestibles de viandes ou d'abats*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68762,155806,Feuil1
21020,"Viandes et abats comestibles,frais,réfrigères ou congelés;viandes de l'espèces bovine*",0,2493,0,0,0,0,0,0,0,0,0,0,0,4509,0,5016,28617,21929,31264,Feuil1
21090,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats.",7109,5477,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
21091,"Autres,y compris les farines et poudres,comestibles,de viandes ou d'abats de primates*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,0,0,0,Feuil1
21099,"Autres,y compris les farines et poudres,comestibles,de viandes ou d'abats autres*",0,0,0,5905,0,524,0,2253,4509,14022,20172,30985,21622,21763,17580,27539,16528,13245,41030,Feuil1
30110,"Poissons vivants ,poissons d'ornement *",3016,2160,17309,15452,20139,26135,29434,35940,68983,110574,100548,108355,133421,37824,0,0,0,0,0,Feuil1
30111,Poissons d'ornement d'eau douce,0,0,0,0,0,0,0,0,0,0,0,0,0,156139,238805,225795,195084,159555,121998,Feuil1
30191,"Autres poissons vivants;truites(salmo trutta,onocrhynchus mykiss,clarki agubaonita apaches et chrysogaster)*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,Feuil1
30192,Autres poissons vivants (anguille spp)*,0,1419,0,410,922,38,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
30193,Poissons vivants;carpes*,0,1616,7153,5028,0,0,0,0,0,0,0,0,0,0,0,8128,0,0,45062,Feuil1
30194,Thons rouges (Thunnus thynnus),0,0,0,0,0,0,0,0,0,2554282,0,0,0,1974394,7137194,0,0,0,0,Feuil1
30195,Thons rouges du sud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910719,0,0,0,Feuil1
30199,Poissons vivants;autres*,233621,568813,53575,88511,6980580,887439,4095747,3495785,4855496,3536230,9393856,19823396,19690841,21827772,25683509,30824963,30938576,41985856,42764865,Feuil1
30211,"Poissons frais ou réfrigérés a l'exception des filets de poissons et autre chair de poissons du n° 03.04 salmonides a l'exclusion des foies,oeufs et l",0,88,0,0,0,0,0,6993,0,0,0,0,0,0,0,0,0,0,0,Feuil1
30212,"Saumons du pacifique (oncorhynchus nerka,oncorhynchus *",3359,3093,20644,15354,0,1901,0,0,36361,171444,43754,94628,89562,50191,0,0,0,0,0,Feuil1
30213,Saumons du pacifique,0,0,0,0,0,0,0,0,0,0,0,0,0,3733,0,11507,60231,249854,383193,Feuil1
30214,Saumons de l'Atlantique et soumons du Danube,0,0,0,0,0,0,0,0,0,0,0,0,0,129986,146470,313657,223427,0,12400,Feuil1
30219,"Autres saumons,frais ou réfrigérés*",768,0,9073,1601,0,0,3459,19876,27775,16784,18613,2520,30045,0,0,0,0,0,0,Feuil1
30223,Poissons plats (soles),2301,15402,33698,11316,1060,1877,22308,24187,24027,84088,261836,201130,185135,264046,272936,227478,304379,368289,179101,Feuil1
30224,Turbots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473183,299512,184335,80798,Feuil1
30229,"Autres poissons (sardine) ,frais ou réfrigères a l'exclusion des filets et chair de poissons du n° 03.04 et a l'exclusion des foies,oeufs et laitances",102496,173325,68287,103784,31847,19791,0,0,0,0,0,335,0,33127,2787,7655,6474,2870,0,Feuil1
30233,Listaos ou bonites a ventre raye*,0,0,0,0,0,0,0,0,0,2445,0,0,0,0,0,0,0,0,0,Feuil1
30235,Thons rouges*,0,0,0,0,3455353,1046554,0,0,0,0,74,0,0,0,0,0,0,0,0,Feuil1
30239,Autres destines a la fabrication industrielle des produits relevant du n° 16.04*,47440,0,0,0,85,66,0,0,0,1768,0,0,6455,0,0,0,0,0,0,Feuil1
30240,"Harengs a l'exclusion des foies ,oeufs et laitances*",538,0,0,0,42070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
30241,"Harengs frais ou refrigeres,a l'exception des filets et chair de poissons du n 0304 et a l'exclusion des foies,oeufs et laitances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346462,0,15459,Feuil1
30242,Anchois,0,0,0,0,0,0,0,0,0,0,0,0,0,422287,0,0,0,588,115844,Feuil1
30243,"Sardines, sardinelles , sprats ou esprots",0,0,0,0,0,0,0,0,0,0,0,0,0,1673294,742850,1176612,2144605,1810872,0,Feuil1
30244,Maqueraux,0,0,0,0,0,0,0,0,0,0,0,0,0,920526,1593461,1059465,966078,1082838,449687,Feuil1
30245,Chinchards,0,0,0,0,0,0,0,0,0,0,0,0,0,77266,4175,6081,6250,1784,3552,Feuil1
30247,Espadons,0,0,0,0,0,0,0,0,0,0,0,0,0,29992,0,4759,0,0,0,Feuil1
30250,"Morues(gadus morhua,gadus ogac,macrocephalus),a l'exclusion des foies,oeufs et laitances*",0,0,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
30254,Merlus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2981,14240,0,0,Feuil1
30256,Merlans bleus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,591,8922,14111,Feuil1
30259,Autres harengs,0,0,0,0,0,0,0,0,0,0,0,0,0,9053,1539,7494,11500,0,0,Feuil1
30261,"Autres poissons a l'exclusion des foies oeufs et laitances,sardine*",0,0,0,0,366800,984385,2729018,81730,6135,330400,292943,166162,708986,32083,0,0,0,0,0,Feuil1
30264,Maquereaux(scomber)*,0,609,66,0,13486,89644,49238,3224,230054,368235,1328919,907742,252497,192793,0,0,0,0,0,Feuil1
30265,Squales*,0,0,0,0,0,0,0,0,0,389116,0,0,0,0,0,0,0,0,0,Feuil1
30266,Anguilles(anguilla spp) a l'exception des filets et chair de poisson*,311,7811,14989,4495,4447,10545,2986,958,0,4019,1694,0,0,0,0,0,0,0,0,Feuil1
30267,Espadons (Xiphias gladius),0,0,0,0,0,0,0,0,0,145723,0,0,0,0,0,0,0,0,0,Feuil1
30269,"Capres d'eau douce ,frais ou réfrigères a l'exception des filets et chair de poissons du n° 03.04 et a exclusion des foies ,oeufs et laitances *",1894098,1799704,2427837,1416976,2791074,2354064,2903622,3317637,4368756,5108646,4482624,5177638,5089215,1473396,0,0,0,0,0,Feuil1
30270,"Foies,oeufs et laitances*",5718,3973,125,0,0,0,0,607,9675,0,6575,9848,59,5950,0,0,0,0,0,Feuil1
30273,Carpes tilapias,0,0,0,0,0,0,0,0,0,0,0,0,0,30924,706,14534,4147,12791,68369,Feuil1
30274,Anguilles tilapias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13131,Feuil1
30281,Squales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138,0,0,Feuil1
30282,Raies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,Feuil1
30284,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,2055,126994,228025,200197,27518,35029,Feuil1
30285,Dorades,0,0,0,0,0,0,0,0,0,0,0,0,0,20439,68857,27690,24455,208442,4732,Feuil1
30289,Autres tilapias,0,0,0,0,0,0,0,0,0,0,0,0,0,2704003,3166016,2748936,1689984,2496058,2484295,Feuil1
30290,"Foies, oufs et laitances d'autres poissons,frais ou refrigeres",0,0,0,0,0,0,0,0,0,0,0,0,0,20679,25232,71370,96826,67185,22016,Feuil1
30291,Fois et œufs de poissons frais ou réfrigérés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14647,Feuil1
30310,"Saumons du pacifique,a l'exception des filets et chair de poissons du n 0304",19591,86138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
30311,Poissons congelés a l'exception des filets de poissons et autre chair de poissons;saumons du pacifique saumons rouges*,0,0,0,0,1432,0,0,0,0,0,2155,84667,4722,0,0,0,0,0,0,Feuil1
30312,Autres saumons du pacifique a l'exception des filets et autre chair de poissons du n 0304,0,0,0,0,0,0,0,0,0,0,0,0,0,44454,328,83755,74492,106420,434273,Feuil1
30313,"Saumons de l'Atlantique a l'exception des filets et chair de poissons du n 0304 et a l'exclusion des foies,oeufs et laitances,congeles",0,0,0,0,0,0,0,0,0,0,0,0,0,716578,1294155,931577,700819,1495172,1569110,Feuil1
30314,Truites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256,1597,0,0,0,Feuil1
30319,Poissons congelés a l'exception des filets de poissons et autre chair de poissons;saumons du pacifique autres*,0,0,0,0,5763,0,0,0,3053,10862,43611,55305,19437,125799,0,58003,0,0,0,Feuil1
30321,"Autres salmonides,a l'exclusion des foies,oeufs et laitances;autres salmonides*",25969,3874,0,0,3548,0,0,0,0,37922,0,0,1554,0,0,0,0,0,0,Feuil1
30322,Saumons de l'atlantique(salmo salar)*,53664,36693,197152,116279,145455,207441,223623,296927,220695,253953,486415,842768,373497,154728,0,0,0,0,0,Feuil1
30324,"Siluridés congelés à l'exception des filets et chair de poissons du n 0304 et a l'exclusion des foies,oeufs et laitances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10971,9494,Feuil1
30325,Carpes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7918,0,Feuil1
30329,"Autres salmonides a l'exception des filets et autres chair de poissons du n° 03.04 et l'exclusion des foies ,oeufs et laitances,congelés *",27357,0,0,955,5008,2329,5517,25220,20448,40104,37877,27591,20073,3573,0,0,0,0,0,Feuil1
30333,Soles(solea spp)*,83485,5967,58587,91350,85786,72054,29331,45767,111403,166095,310983,189472,48404,104929,28199,21924,44771,101386,41753,Feuil1
30339,"Flets communs a l'exception des filets et autre chair de poissons du n° 03.04 et l'exclusion des foies ,oeufs et laitances ,congelés*",225650,54323,11773,4651,7753,32300,11840,26442,87518,19918,53478,7247,84608,0,87192,94391,0,0,0,Feuil1
30341,"Thons(du genre thunnus),listaos ou bonites a ventre raye a l'exclusion des foies oeufs et laitances *",5868448,6200124,12035089,11525110,9949334,10738486,13295751,22283424,18358725,21180704,18746286,14700603,11772018,4612962,5803864,5820311,1075732,490928,981406,Feuil1
30342,Thons a nageoires jaunes (thunnus albacares)*,472174,867825,2143965,2942400,4327696,4596031,4398775,5694622,5040081,4670245,5965018,4684971,7304987,5160873,4515406,654115,205840,942182,2694993,Feuil1
30343,Listaos ou bonites a ventre raye*,0,808464,2543685,3449525,5881335,1276671,4876751,5153180,2755602,7654320,10515448,8522614,10894732,24858713,20811792,21274026,29090386,43638354,62891805,Feuil1
30344,Thons obèses*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49177,544570,Feuil1
30345,Thons rouges*,0,0,0,0,0,75494,0,0,28620,0,0,0,0,0,0,0,0,0,0,Feuil1
30349,Autres destines a la fabrication industrielle des produits relevant du n° 1604*,520895,0,63592,25257,134316,675889,506046,738123,799371,1876,20111,0,0,0,82258,3262280,3978747,1498987,3938044,Feuil1
30350,"Harengs(clupeea ,harengus,clupea pallasii),a l'exclusion des foies ,oeufs et laitances*",0,0,0,0,314653,0,76715,755639,0,0,0,0,0,0,0,0,0,0,0,Feuil1
30351,"Harengs (clupea harengus, clupea pallasii) et morues (gadus morhua,gadus ogac,gadus macrocephalus), à l'exclusion des foies,oeufs et laitances*",0,0,0,0,0,0,0,0,0,0,16088,17868,1727841,1226189,0,6397352,463836,0,20758,Feuil1
30352,"Morues [Gadus morhua, Gadus ogac, Gadus macrocephalus], congelés",0,0,0,0,0,0,0,0,20367,2071,0,98421,0,0,0,0,0,0,0,Feuil1
30353,"Sardines a l'exception des filets et chair de poissons du n 0304 et a l'exclusion des foies,oeufs et laitances,congeles",0,0,0,0,0,0,0,0,0,0,0,0,0,6486879,8038705,5486041,105159,48608,424407,Feuil1
30354,"Maquereaux congeles, a l'exception des filets et autre chair de poissons du n?0304 et a l'exclusion des foies, oeufs et laitances",0,0,0,0,0,0,0,0,0,0,0,0,0,4076369,4464620,1163338,290697,489904,330129,Feuil1
30357,"Espadons congeles, a l'exception des filets et autre chair de poissons du n?0304 et a l'exclusion des foies, oeufs et laitances",0,0,0,0,0,0,0,0,0,0,0,0,0,40245,27438,36480,20776,0,0,Feuil1
30359,"Autres poissons congelés de la sous 0 position 0303,5, y compris les anchois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97109,Feuil1
30361,"Espadons (Xiphias gladius) et légines ( Dissostichus spp.), à l'exclusion d",0,0,0,0,0,0,0,0,0,17353,178136,161067,231575,52134,0,0,0,0,0,Feuil1
30363,"Autres espèces de Morues congelés à l'exception des filets et chair de poissons du n 0304 et a l'exclusion des foies,oeufs et laitances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75680,44293,37105,0,54262,Feuil1
30366,"Merlus du genre merluccius, congeles, a l'exception des filets et autre chair de poissons du n 03 04 et a l'exclusion des foies, oeufs et laitances",0,0,0,0,0,0,0,0,0,0,0,0,0,31781,8060,0,34263,19536,0,Feuil1
30369,Autres poissons des familles bregmaceroitidas,0,0,0,0,0,0,0,0,0,0,0,0,0,71619,108047,50183,49146,217702,285163,Feuil1
30371,"Autres poissons a l'exclusion des foies,oeufs et laitance;sardines*",0,0,0,0,4043530,3364757,6795393,5200354,6752490,15859932,10429183,7296829,7531496,523472,0,0,0,0,0,Feuil1
30373,Lieus noirs (pollachius virens)*,0,0,0,0,0,0,0,0,0,0,0,8711,9505,0,0,0,0,0,0,Feuil1
30374,"Maquereaux (scomber,scombrus,scomber australasicus scomber japonicus)*",0,0,0,0,816481,2002948,2811129,2449006,4215614,2906202,3364019,2052678,1560644,690319,0,0,0,0,0,Feuil1
30375,Squales*,14229,56433,5968,48508,3379,89158,163126,63698,54852,165666,57242,53002,48373,0,0,0,0,0,0,Feuil1
30376,Anguilles(anguilla spp)*,0,0,0,1087,0,0,0,0,0,1615,1088,0,0,0,0,0,0,0,0,Feuil1
30377,"Bars,(loups)(dicentrarchus labrax,dicentrarchus punctatus)*",0,66,0,0,19677,12957,43572,24000,7787,9663,6637,43539,0,0,0,0,0,0,0,Feuil1
30378,Merlus(merluccius spp.urophycis spp)*,41861,190119,48817,45735,139471,192198,5995,0,0,0,28837,0,0,0,0,0,0,0,0,Feuil1
30379,"Capres;d'eaux douce ,congelés a l'exception des filets et autre chair de poissons du n° 03.04 et a l'exclusion des foies,oeufs et laitances *",394108,505469,752709,388002,943971,892401,1429203,2833250,4252526,3866892,5104645,4320715,3626909,747359,0,0,0,0,0,Feuil1
30380,"Foies,oeufs et laitances *",1136,0,19581,49327,100134,0,3723,36906,9054,5344,11812,0,212,6800,0,0,0,0,0,Feuil1
