nbr,inv,emp,gouv,delegation,annee_doa,feuille
3,197737,11,بنزرت,جرزونة,2010,SQL Results
27,1639751,30,سيدي بوزيد,جلمة,2010,SQL Results
18,2610200,24,المنستير,جمال,2010,SQL Results
45,1487824,50,جندوبة,جندوبة,2010,SQL Results
19,732060,19,جندوبة,جندوبة الشما لية,2010,SQL Results
15,785855,25,بنزرت,جومين,2010,SQL Results
40,6476500,52,القيروان,حاجب العيون,2010,SQL Results
5,217180,5,القصرين,حاسي الفريد,2010,SQL Results
13,1040847,30,توزر,حزوة,2010,SQL Results
14,448000,15,القيروان,حفوز,2010,SQL Results
1,3150,12,تــونس,حلق الوادي,2010,SQL Results
2,66000,2,بن عروس,حمام الأنف,2010,SQL Results
1,10053,1,نابل,حمام الغزاز,2010,SQL Results
1,21000,1,سوسة,حمام سوسة,2010,SQL Results
5,394914,10,مدنين,حومة السوق,2010,SQL Results
4,142329,5,القصرين,حيدرة,2010,SQL Results
8,1102915,8,نابل,دار شعبان الفهري,2010,SQL Results
7,575000,7,توزر,دقاش,2010,SQL Results
15,1913696,15,قبلي,دوز الجنوبية,2010,SQL Results
14,652855,14,قبلي,دوز الشما لية,2010,SQL Results
7,1031346,14,بنزرت,راس الجبل,2010,SQL Results
18,2441625,36,تطاوين,رمادة,2010,SQL Results
9,448500,9,المنستير,زرمدين,2010,SQL Results
19,1302110,27,زغوان,زغوان,2010,SQL Results
8,325932,9,صفاقس,ساقية الدائر,2010,SQL Results
3,795000,5,صفاقس,ساقية الزيت,2010,SQL Results
19,1540500,19,الكاف,ساقية سيدي يوسف,2010,SQL Results
21,1335814,25,سيدي بوزيد,سبا لة أولاد عسكر,2010,SQL Results
75,8298230,108,القصرين,سبيبة,2010,SQL Results
101,10625442,159,القصرين,سبيطلة,2010,SQL Results
9,519363,9,بنزرت,سجنان,2010,SQL Results
1,30555,0,أريانة,سكرة,2010,SQL Results
9,745100,9,سليانة,سليانة الجنوبية,2010,SQL Results
12,608100,13,سليانة,سليانة الشما لية,2010,SQL Results
25,9765133,42,نابل,سليمان,2010,SQL Results
1,21000,1,سوسة,سوسة الرياض,2010,SQL Results
4,150500,4,سوسة,سوسة المدينة,2010,SQL Results
3,153970,3,قبلي,سوق الأحد,2010,SQL Results
6,215287,7,سيدي بوزيد,سوق الجديد,2010,SQL Results
2,95500,2,سوسة,سيدي الهاني,2010,SQL Results
12,1476100,14,سليانة,سيدي بورويس,2010,SQL Results
60,63754236,119,سيدي بوزيد,سيدي بوزيد الشرقية,2010,SQL Results
39,1283823,43,سيدي بوزيد,سيدي بوزيد الغربية,2010,SQL Results
1,225000,2,سوسة,سيدي بوعلي,2010,SQL Results
18,33582073,95,أريانة,سيدي ثابت,2010,SQL Results
7,2687583,8,تــونس,سيدي حسين,2010,SQL Results
5,2517000,9,المهدية,سيدي علوان,2010,SQL Results
18,7754128,24,سيدي بوزيد,سيدي علي بن عون,2010,SQL Results
14,1132500,18,القيروان,سيدي علي نصرالله,2010,SQL Results
45,1599700,48,القيروان,سيدي عمر بوحجلة,2010,SQL Results
23,9572000,52,قفصة,سيدي عيش,2010,SQL Results
9,852274,12,مدنين,سيدي مخلوف,2010,SQL Results
9,445500,10,المهدية,شربان,2010,SQL Results
9,4501400,14,صفاقس,صفاقس الجنوبية,2010,SQL Results
22,4955913,139,صفاقس,صفاقس المدينة,2010,SQL Results
8,5941500,11,زغوان,صواف,2010,SQL Results
3,2220000,15,المنستير,صيادة لمطة بوحجر,2010,SQL Results
11,4479513,31,منــوبة,طبربة,2010,SQL Results
7,162715,7,جندوبة,طبرقة,2010,SQL Results
9,602500,28,المنستير,طبلبة,2010,SQL Results
1,33700,1,صفاقس,طينة,2010,SQL Results
7,637200,7,صفاقس,عقارب,2010,SQL Results
5,173614,5,باجة,عمدون,2010,SQL Results
2,91199,2,جندوبة,عين دراهم,2010,SQL Results
11,551840,14,بنزرت,غار الملح,2010,SQL Results
8,583612,11,جندوبة,غارالدماء,2010,SQL Results
15,3559232,28,تطاوين,غمراسن,2010,SQL Results
10,367534,10,قابس,غنوش,2010,SQL Results
12,522390,12,جندوبة,فرنانة,2010,SQL Results
21,3714406,34,القصرين,فريانة,2010,SQL Results
100,4651390,138,القصرين,فوسانة,2010,SQL Results
10,7548800,15,بن عروس,فوشانة,2010,SQL Results
27,2700991,42,قابس,قابس الجنوبية,2010,SQL Results
6,570471,10,قابس,قابس الغربية,2010,SQL Results
9,906291,15,قابس,قابس المدينة,2010,SQL Results
7,196007,7,باجة,قبلاط,2010,SQL Results
42,1640486,48,قبلي,قبلي الجنوبية,2010,SQL Results
12,2179953,32,قبلي,قبلي الشما لية,2010,SQL Results
18,1550920,19,نابل,قربة,2010,SQL Results
5,185750,9,صفاقس,قرقنة,2010,SQL Results
23,14872690,35,نابل,قرمبا لية,2010,SQL Results
1,40500,1,المنستير,قصر هلال,2010,SQL Results
23,29906000,52,المهدية,قصور الساف,2010,SQL Results
1,51000,1,المنستير,قصيبة المديوني,2010,SQL Results
19,15652350,30,سليانة,قعفور,2010,SQL Results
3,404713,5,قفصة,قفصة الجنوبية,2010,SQL Results
40,4232870,73,قفصة,قفصة الشما لية,2010,SQL Results
7,161974,7,أريانة,قلعة الأندلس,2010,SQL Results
19,702900,21,الكاف,قلعة الخصبة,2010,SQL Results
5,170700,5,الكاف,قلعة سنان,2010,SQL Results
4,225070,11,نابل,قليبية,2010,SQL Results
5,13323000,11,سليانة,كسرى,2010,SQL Results
2,211000,2,سوسة,كندار,2010,SQL Results
6,318752,8,القصرين,ماجل با لعباس,2010,SQL Results
24,5004692,36,قابس,مارث,2010,SQL Results
29,15138838,39,بنزرت,ماطر,2010,SQL Results
47,47562024,73,باجة,مجاز الباب,2010,SQL Results
25,4065698,37,مدنين,مدنين الجنوبية,2010,SQL Results
20,2487219,30,مدنين,مدنين الشما لية,2010,SQL Results
83,23605290,100,بن عروس,مرناق,2010,SQL Results
2,340000,4,سوسة,مساكن,2010,SQL Results
20,10786203,31,قابس,مطماطة الجديدة,2010,SQL Results
19,1193300,19,سليانة,مكثر,2010,SQL Results
1,64000,1,المهدية,ملولش,2010,SQL Results
12,641023,15,قابس,منزل الحبيب,2010,SQL Results
7,311022,9,بنزرت,منزل بورقيبة,2010,SQL Results
15,352354,16,نابل,منزل بوزلفة,2010,SQL Results
10,1915779,13,سيدي بوزيد,منزل بوزيان,2010,SQL Results
11,271597,11,نابل,منزل تميم,2010,SQL Results
5,294784,7,بنزرت,منزل جميل,2010,SQL Results
15,1087796,19,صفاقس,منزل شاكر,2010,SQL Results
4,1840000,20,منــوبة,منوبة,2010,SQL Results
3,357609,3,نابل,نابل,2010,SQL Results
17,967900,17,الكاف,نبر,2010,SQL Results
6,377611,16,باجة,نفزة,2010,SQL Results
5,1370924,3,توزر,نفطة,2010,SQL Results
19,8200500,25,المهدية,هبيرة,2010,SQL Results
5,20775000,5,سوسة,هرقلة,2010,SQL Results
6,5723586,9,منــوبة,واد الليل,2010,SQL Results
9,285770,10,جندوبة,واد مليز,2010,SQL Results
16,1520772,23,زغوان,الفحص,2011,SQL Results
1,28800,1,مدنين,أجيم,2011,SQL Results
1,34500,1,أريانة,أريانة المدينة,2011,SQL Results
5,433600,5,سوسة,أكودة,2011,SQL Results
9,1157054,14,قفصة,أم  العرائس,2011,SQL Results
15,1839187,18,بنزرت,أوتيك,2011,SQL Results
8,526000,9,المهدية,أولاد الشامخ,2011,SQL Results
30,5056613,52,سيدي بوزيد,أولاد حفوز,2011,SQL Results
2,11513,2,تطاوين,البئر الأحمر,2011,SQL Results
6,212146,7,منــوبة,البطان,2011,SQL Results
13,910700,12,المنستير,البقا لطة,2011,SQL Results
38,14026430,53,منــوبة,الجديدة,2011,SQL Results
19,1272500,22,الكاف,الجريصة,2011,SQL Results
13,912000,14,المهدية,الجم,2011,SQL Results
32,23494965,63,قابس,الحامة,2011,SQL Results
5,309944,7,نابل,الحمامات,2011,SQL Results
4,295360,4,صفاقس,الحنشة,2011,SQL Results
51,1837000,51,الكاف,الدهماني,2011,SQL Results
1,22201,1,تطاوين,الذهيبة,2011,SQL Results
5,791840,5,قفصة,الرديف,2011,SQL Results
94,20644458,138,سيدي بوزيد,الرقاب,2011,SQL Results
11,1090000,13,سليانة,الروحية,2011,SQL Results
6,726616,9,زغوان,الزريبة,2011,SQL Results
2,51000,2,المنستير,الساحلين,2011,SQL Results
24,47309000,57,القيروان,السبيخة,2011,SQL Results
24,1190800,24,الكاف,السرس,2011,SQL Results
27,4771151,42,قفصة,السند,2011,SQL Results
13,2490000,25,المهدية,السواسي,2011,SQL Results
1,7000,1,تــونس,السيجومي,2011,SQL Results
11,6487500,26,المهدية,الشابة,2011,SQL Results
39,1821000,48,القيروان,الشبيكة,2011,SQL Results
13,505500,14,القيروان,الشراردة,2011,SQL Results
16,1625187,18,صفاقس,الصخيرة,2011,SQL Results
9,571885,17,تطاوين,الصمّار,2011,SQL Results
5,237503,5,بنزرت,العا لية,2011,SQL Results
2,53831,2,صفاقس,العامرة,2011,SQL Results
7,4142000,12,سليانة,العروسة,2011,SQL Results
7,179000,8,القيروان,العلا,2011,SQL Results
9,360034,9,القصرين,العيون,2011,SQL Results
6,380705,6,صفاقس,الغريبة,2011,SQL Results
13,2573113,13,بنزرت,الغزالة,2011,SQL Results
19,1010399,19,قبلي,الفوار,2011,SQL Results
7,573875,8,قفصة,القصر,2011,SQL Results
49,1721224,67,القصرين,القصرين الجنوبية,2011,SQL Results
1,29761,1,القصرين,القصرين الشما لية,2011,SQL Results
41,2153000,41,الكاف,القصور,2011,SQL Results
7,395615,9,قفصة,القطار,2011,SQL Results
7,708200,8,سوسة,القلعة الصغرى,2011,SQL Results
11,970000,14,سوسة,القلعة الكبرى,2011,SQL Results
43,1479500,49,القيروان,القيروان الجنوبية,2011,SQL Results
6,477000,9,القيروان,القيروان الشما لية,2011,SQL Results
24,2062300,29,الكاف,الكاف الشرقية,2011,SQL Results
16,1097700,18,الكاف,الكاف الغربية,2011,SQL Results
5,2233000,9,سليانة,الكريب,2011,SQL Results
1,90724,2,قفصة,المتلوي,2011,SQL Results
12,18248519,21,صفاقس,المحرس,2011,SQL Results
9,1148900,9,بن عروس,المحمدية,2011,SQL Results
2,412000,2,تــونس,المرسى,2011,SQL Results
4,1775000,5,منــوبة,المرناقية,2011,SQL Results
2,56000,2,بن عروس,المروج,2011,SQL Results
28,3616288,39,سيدي بوزيد,المزونة,2011,SQL Results
7,519761,8,قابس,المطوية,2011,SQL Results
5,257455,4,قفصة,المظيلة,2011,SQL Results
24,4671580,35,سيدي بوزيد,المكناسي,2011,SQL Results
10,721050,6,المنستير,المكنين,2011,SQL Results
16,66619700,37,المنستير,المنستير,2011,SQL Results
13,2699500,34,المهدية,المهدية,2011,SQL Results
14,378706,15,نابل,الميدة,2011,SQL Results
11,2337112,13,زغوان,الناظور,2011,SQL Results
2,107500,2,سوسة,النفيضة,2011,SQL Results
15,4178835,25,نابل,الهوارية,2011,SQL Results
4,249900,3,المنستير,الوردانين,2011,SQL Results
7,181500,7,القيروان,الوسلاتية,2011,SQL Results
21,1380318,27,سيدي بوزيد,بئر الحفي,2011,SQL Results
10,736564,11,صفاقس,بئر علي بن خليفة,2011,SQL Results
14,3654491,17,زغوان,بئر مشارقة,2011,SQL Results
37,20317284,51,باجة,باجة الجنوبية,2011,SQL Results
22,1854376,25,باجة,باجة الشما لية,2011,SQL Results
2,108000,2,تــونس,باردو,2011,SQL Results
3,650739,5,منــوبة,برج العامري,2011,SQL Results
20,705137,23,جندوبة,بلطة بوعوان,2011,SQL Results
30,6212639,44,مدنين,بن قردان,2011,SQL Results
6,396500,8,المنستير,بنبلة,2011,SQL Results
19,1244019,19,بنزرت,بنزرت الجنوبية,2011,SQL Results
1,30751,1,بنزرت,بنزرت الشما لية,2011,SQL Results
8,2648000,10,المنستير,بني حسان,2011,SQL Results
5,361400,6,مدنين,بني خداش,2011,SQL Results
15,6124662,18,نابل,بني خلاد,2011,SQL Results
32,95851396,74,نابل,بني خيار,2011,SQL Results
3,280000,4,المهدية,بو مرداس,2011,SQL Results
28,1221837,43,جندوبة,بوسا لم,2011,SQL Results
3,160000,3,سليانة,بوعرادة,2011,SQL Results
10,780555,14,نابل,بوعرقوب,2011,SQL Results
4,126200,4,سوسة,بوفيشة,2011,SQL Results
9,396664,10,القصرين,تا لة,2011,SQL Results
12,566200,13,الكاف,تاجروين,2011,SQL Results
14,1765503,22,نابل,تاكلسة,2011,SQL Results
13,5433452,14,باجة,تبرسق,2011,SQL Results
23,1464456,25,باجة,تستور,2011,SQL Results
4,213246,6,تطاوين,تطاوين الجنوبية,2011,SQL Results
17,1570618,35,تطاوين,تطاوين الشما لية,2011,SQL Results
6,1149332,7,توزر,توزر,2011,SQL Results
2,73117,2,باجة,تيبار,2011,SQL Results
4,344000,5,صفاقس,جبنيانة,2011,SQL Results
6,529005,10,القصرين,جدليان,2011,SQL Results
21,3562734,25,مدنين,جرجيس,2011,SQL Results
5,1545313,30,بنزرت,جرزونة,2011,SQL Results
36,4482992,42,سيدي بوزيد,جلمة,2011,SQL Results
13,177000,10,المنستير,جمال,2011,SQL Results
43,4705891,58,جندوبة,جندوبة,2011,SQL Results
21,950707,23,جندوبة,جندوبة الشما لية,2011,SQL Results
14,5045252,18,بنزرت,جومين,2011,SQL Results
16,1259000,22,القيروان,حاجب العيون,2011,SQL Results
4,216631,4,القصرين,حاسي الفريد,2011,SQL Results
9,3037350,20,توزر,حزوة,2011,SQL Results
18,7028000,24,القيروان,حفوز,2011,SQL Results
10,556106,11,تــونس,حلق الوادي,2011,SQL Results
3,16500000,6,بن عروس,حما م الشط,2011,SQL Results
1,16000,1,نابل,حمام الغزاز,2011,SQL Results
1,31000,1,سوسة,حمام سوسة,2011,SQL Results
8,619168,14,مدنين,حومة السوق,2011,SQL Results
3,167628,4,القصرين,حيدرة,2011,SQL Results
8,479289,8,نابل,دار شعبان الفهري,2011,SQL Results
6,840795,6,توزر,دقاش,2011,SQL Results
12,566721,12,قبلي,دوز الجنوبية,2011,SQL Results
10,448198,10,قبلي,دوز الشما لية,2011,SQL Results
3,324602,12,بنزرت,راس الجبل,2011,SQL Results
28,6991001,55,تطاوين,رمادة,2011,SQL Results
3,180970,3,أريانة,رواد,2011,SQL Results
3,101000,3,المنستير,زرمدين,2011,SQL Results
39,42183162,74,زغوان,زغوان,2011,SQL Results
1,133500,2,صفاقس,ساقية الدائر,2011,SQL Results
1,105300,1,صفاقس,ساقية الزيت,2011,SQL Results
20,1265000,20,الكاف,ساقية سيدي يوسف,2011,SQL Results
15,558286,16,سيدي بوزيد,سبا لة أولاد عسكر,2011,SQL Results
51,11134049,64,القصرين,سبيبة,2011,SQL Results
103,4622441,136,القصرين,سبيطلة,2011,SQL Results
9,798499,9,بنزرت,سجنان,2011,SQL Results
1,39440,1,أريانة,سكرة,2011,SQL Results
1,100000,1,سليانة,سليانة الشما لية,2011,SQL Results
7,202821,7,نابل,سليمان,2011,SQL Results
7,58767000,33,سوسة,سوسة المدينة,2011,SQL Results
7,4522394,26,قبلي,سوق الأحد,2011,SQL Results
27,1416542,29,سيدي بوزيد,سوق الجديد,2011,SQL Results
4,201000,4,سوسة,سيدي الهاني,2011,SQL Results
3,403000,3,سليانة,سيدي بورويس,2011,SQL Results
52,2914277,61,سيدي بوزيد,سيدي بوزيد الشرقية,2011,SQL Results
45,1538712,48,سيدي بوزيد,سيدي بوزيد الغربية,2011,SQL Results
1,48500,1,سوسة,سيدي بوعلي,2011,SQL Results
11,1100500,11,أريانة,سيدي ثابت,2011,SQL Results
8,2799000,10,تــونس,سيدي حسين,2011,SQL Results
9,6175000,15,المهدية,سيدي علوان,2011,SQL Results
22,2053748,27,سيدي بوزيد,سيدي علي بن عون,2011,SQL Results
13,645200,19,القيروان,سيدي علي نصرالله,2011,SQL Results
59,1421000,60,القيروان,سيدي عمر بوحجلة,2011,SQL Results
14,4338325,15,قفصة,سيدي عيش,2011,SQL Results
8,745860,9,مدنين,سيدي مخلوف,2011,SQL Results
5,2312000,14,المهدية,شربان,2011,SQL Results
9,2466000,11,صفاقس,صفاقس الجنوبية,2011,SQL Results
4,2088000,5,صفاقس,صفاقس الغربية,2011,SQL Results
26,7567705,190,صفاقس,صفاقس المدينة,2011,SQL Results
6,6088700,50,زغوان,صواف,2011,SQL Results
4,186000,1,المنستير,صيادة لمطة بوحجر,2011,SQL Results
13,5890619,25,منــوبة,طبربة,2011,SQL Results
7,276416,10,جندوبة,طبرقة,2011,SQL Results
27,34458400,120,المنستير,طبلبة,2011,SQL Results
2,52841,2,صفاقس,طينة,2011,SQL Results
8,6670257,11,صفاقس,عقارب,2011,SQL Results
10,769952,10,باجة,عمدون,2011,SQL Results
3,148475,3,جندوبة,عين دراهم,2011,SQL Results
14,44118645,46,بنزرت,غار الملح,2011,SQL Results
7,121280,9,جندوبة,غارالدماء,2011,SQL Results
6,472642,12,تطاوين,غمراسن,2011,SQL Results
9,481965,10,قابس,غنوش,2011,SQL Results
13,1025633,15,جندوبة,فرنانة,2011,SQL Results
15,824237,22,القصرين,فريانة,2011,SQL Results
132,10925784,163,القصرين,فوسانة,2011,SQL Results
10,6772800,15,بن عروس,فوشانة,2011,SQL Results
16,1468157,22,قابس,قابس الجنوبية,2011,SQL Results
1,152503,2,قابس,قابس الغربية,2011,SQL Results
4,178692,9,قابس,قابس المدينة,2011,SQL Results
17,1372295,17,باجة,قبلاط,2011,SQL Results
23,1039392,24,قبلي,قبلي الجنوبية,2011,SQL Results
5,336695,5,قبلي,قبلي الشما لية,2011,SQL Results
26,19481822,118,نابل,قربة,2011,SQL Results
12,314926,12,صفاقس,قرقنة,2011,SQL Results
14,5204760,21,نابل,قرمبا لية,2011,SQL Results
8,3110000,16,المهدية,قصور الساف,2011,SQL Results
6,226200,5,المنستير,قصيبة المديوني,2011,SQL Results
2,136000,2,سليانة,قعفور,2011,SQL Results
16,2867621,22,قفصة,قفصة الجنوبية,2011,SQL Results
75,23167664,137,قفصة,قفصة الشما لية,2011,SQL Results
10,451819,11,أريانة,قلعة الأندلس,2011,SQL Results
11,341200,11,الكاف,قلعة الخصبة,2011,SQL Results
8,234480,8,الكاف,قلعة سنان,2011,SQL Results
16,2278165,57,نابل,قليبية,2011,SQL Results
1,70000,1,سليانة,كسرى,2011,SQL Results
3,107000,3,سوسة,كندار,2011,SQL Results
17,5228775,22,القصرين,ماجل با لعباس,2011,SQL Results
18,2148399,22,قابس,مارث,2011,SQL Results
25,3147745,31,بنزرت,ماطر,2011,SQL Results
29,1716675,29,باجة,مجاز الباب,2011,SQL Results
21,2036563,28,مدنين,مدنين الجنوبية,2011,SQL Results
11,1417300,13,مدنين,مدنين الشما لية,2011,SQL Results
95,13269900,95,بن عروس,مرناق,2011,SQL Results
3,468500,3,سوسة,مساكن,2011,SQL Results
5,397249,6,قابس,مطماطة الجديدة,2011,SQL Results
7,595000,7,سليانة,مكثر,2011,SQL Results
8,950000,10,المهدية,ملولش,2011,SQL Results
11,1321183,11,قابس,منزل الحبيب,2011,SQL Results
7,578492,9,بنزرت,منزل بورقيبة,2011,SQL Results
18,5447974,21,نابل,منزل بوزلفة,2011,SQL Results
12,5728851,19,سيدي بوزيد,منزل بوزيان,2011,SQL Results
6,303290,8,نابل,منزل تميم,2011,SQL Results
6,1000564,10,بنزرت,منزل جميل,2011,SQL Results
21,3554936,32,صفاقس,منزل شاكر,2011,SQL Results
4,1298000,8,منــوبة,منوبة,2011,SQL Results
6,564052,6,مدنين,ميدون,2011,SQL Results
5,9770000,7,نابل,نابل,2011,SQL Results
36,1529400,36,الكاف,نبر,2011,SQL Results
4,278927,5,باجة,نفزة,2011,SQL Results
6,718602,6,توزر,نفطة,2011,SQL Results
15,1994000,17,المهدية,هبيرة,2011,SQL Results
2,292000,4,منــوبة,واد الليل,2011,SQL Results
9,148779,11,جندوبة,واد مليز,2011,SQL Results
25,9944675,37,زغوان,الفحص,2012,SQL Results
2,349000,9,مدنين,أجيم,2012,SQL Results
2,89280,2,أريانة,أريانة المدينة,2012,SQL Results
18,2134497,21,قفصة,أم  العرائس,2012,SQL Results
12,3673679,14,بنزرت,أوتيك,2012,SQL Results
11,721000,11,المهدية,أولاد الشامخ,2012,SQL Results
35,3613805,46,سيدي بوزيد,أولاد حفوز,2012,SQL Results
1,211892,3,تطاوين,البئر الأحمر,2012,SQL Results
4,324028,4,منــوبة,البطان,2012,SQL Results
5,345000,4,المنستير,البقا لطة,2012,SQL Results
18,2225548,20,منــوبة,الجديدة,2012,SQL Results
15,390050,15,الكاف,الجريصة,2012,SQL Results
14,7662000,12,المهدية,الجم,2012,SQL Results
14,3806522,32,قابس,الحامة,2012,SQL Results
17,7496736,27,نابل,الحمامات,2012,SQL Results
2,182750,2,صفاقس,الحنشة,2012,SQL Results
34,1865557,34,الكاف,الدهماني,2012,SQL Results
2,124521,4,تطاوين,الذهيبة,2012,SQL Results
5,945243,6,قفصة,الرديف,2012,SQL Results
132,30525079,180,سيدي بوزيد,الرقاب,2012,SQL Results
3,319000,4,سليانة,الروحية,2012,SQL Results
2,426284,6,زغوان,الزريبة,2012,SQL Results
6,2671900,6,المنستير,الساحلين,2012,SQL Results
35,7575000,45,القيروان,السبيخة,2012,SQL Results
36,2421226,36,الكاف,السرس,2012,SQL Results
24,3132171,30,قفصة,السند,2012,SQL Results
14,4552000,27,المهدية,السواسي,2012,SQL Results
9,1235000,38,المهدية,الشابة,2012,SQL Results
23,2093000,26,القيروان,الشبيكة,2012,SQL Results
19,964000,19,القيروان,الشراردة,2012,SQL Results
13,803894,13,صفاقس,الصخيرة,2012,SQL Results
