nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
1,44900.0,تــونس,المنزه,الخدمات,SQL Results
1,4230000.0,نابل,قليبية,التحويل الأولي,SQL Results
7,779520.0,قفصة,قفصة الشما لية,الخدمات,SQL Results
2,419500.0,تــونس,البحيرة,الخدمات,SQL Results
2,299319.0,أريانة,سيدي ثابت,الخدمات,SQL Results
6,628651.0,القصرين,جدليان,الفلاحي,SQL Results
1,62400.0,مدنين,أجيم,الخدمات,SQL Results
4,146898.0,مدنين,سيدي مخلوف,الخدمات,SQL Results
5,391000.0,المهدية,سيدي علوان,الخدمات,SQL Results
1,1021356.0,أريانة,سكرة,الفلاحي,SQL Results
1,94000.0,المنستير,زرمدين,الخدمات,SQL Results
4,599368.0,منــوبة,برج العامري,الخدمات,SQL Results
1,62837.0,القصرين,حاسي الفريد,الخدمات,SQL Results
1,77200.0,قفصة,الرديف,الخدمات,SQL Results
1,465000.0,تــونس,المنزه,الفلاحي,SQL Results
1,23317.0,نابل,بني خيار,تربية الأحياء المائية,SQL Results
1,80430.0,صفاقس,ساقية الزيت,الخدمات,SQL Results
1,83000.0,منــوبة,المرناقية,الخدمات,SQL Results
1,73630.0,الكاف,قلعة الخصبة,الخدمات,SQL Results
1,778772.0,نابل,قرمبا لية,التحويل الأولي,SQL Results
1,2500.0,تطاوين,البئر الأحمر,الخدمات,SQL Results
132,9019822.0,القصرين,فوسانة,الفلاحي,SQL Results
7,415571.0,القيروان,منزل المهيري,الفلاحي,SQL Results
23,2481000.0,المهدية,هبيرة,الفلاحي,SQL Results
16,1342897.0,قبلي,قبلي الجنوبية,التحويل الأولي,SQL Results
90,22823276.0,صفاقس,منزل شاكر,الفلاحي,SQL Results
17,1742860.0,سليانة,الروحية,الفلاحي,SQL Results
27,8982284.0,نابل,قرمبا لية,الفلاحي,SQL Results
56,6591673.0,قابس,المطوية,الفلاحي,SQL Results
5,827228.0,قابس,الحامة,الخدمات,SQL Results
24,1736842.0,مدنين,مدنين الجنوبية,الخدمات,SQL Results
21,2342335.0,صفاقس,المحرس,الفلاحي,SQL Results
3,166065.0,صفاقس,الغريبة,الخدمات,SQL Results
14,1361869.0,جندوبة,جندوبة,الخدمات,SQL Results
70,18721435.0,باجة,مجاز الباب,الفلاحي,SQL Results
4,553000.0,سوسة,القلعة الصغرى,الفلاحي,SQL Results
15,2441261.0,جندوبة,بلطة بوعوان,الفلاحي,SQL Results
8,860687.0,جندوبة,جندوبة الشما لية,الخدمات,SQL Results
3,620000.0,المهدية,أولاد الشامخ,الخدمات,SQL Results
8,1506913.0,جندوبة,طبرقة,الصيد البحري,SQL Results
31,5380706.0,الكاف,نبر,الفلاحي,SQL Results
16,2865810.0,الكاف,ساقية سيدي يوسف,الفلاحي,SQL Results
52,4935956.0,قابس,مارث,الفلاحي,SQL Results
27,3904335.0,الكاف,قلعة الخصبة,الفلاحي,SQL Results
18,1925307.0,قابس,قابس الغربية,الفلاحي,SQL Results
5,473536.0,زغوان,الزريبة,الفلاحي,SQL Results
3,280197.0,بنزرت,راس الجبل,التحويل الأولي,SQL Results
5,407777.0,سوسة,بوفيشة,الفلاحي,SQL Results
