عدد,نوع_الدعامة,الموضوع_الدعايم_المكتوبة_المتوفرة_بموقع_واب_الوكالة,المجال,القطاع,القطاع_الفرعي,feuille
115,حصة تلفزية,مقاومة الإنجراف,فلاحة,الغابات وCES,,Feuil1
116,حصة تلفزية,مقاومة المالسكو بغراسات القارص,فلاحة,أشجار مثمرة,قوارص,Feuil1
117,حصة تلفزية,مقاومة حافرة أوراق الحمضيات,فلاحة,أشجار مثمرة,قوارص,Feuil1
118,حصة تلفزية,مقاومة سوسة البطاطا,فلاحة,خضروات,بطاطا,Feuil1
119,حصة تلفزية,وقاية الغابات من الحرائق,فلاحة,الغابات وCES,,Feuil1
120,شريط وثائقي,إستغلال الفلين,فلاحة,الغابات وCES,فلين,Feuil1
121,شريط وثائقي,الإتصال والإعلام لتنمية المرأة الريفية,فلاحة,المرأة الريفية,المرأة الريفية,Feuil1
122,شريط وثائقي,الأعلاف البديلة (5 أشرطة ),فلاحة,زراعات كبرى,أعلاف,Feuil1
123,شريط وثائقي,الإقتصاد في مياه الري,فلاحة,هندسة ريفية,مياه,Feuil1
124,شريط وثائقي,التسيير المحكم لتربية دجاج اللحم,فلاحة,تربية الماشية والأعلاف,دواجن,Feuil1
125,شريط وثائقي,الخطة الوطنية للنهوض بصيد السمك الأزرق,صيد بحري,صيد بحري,سمك أزرق,Feuil1
126,شريط وثائقي,الراحة البيولوجية بخليج قابس,صيد بحري,صيد بحري,موارد بحرية,Feuil1
127,شريط وثائقي,الصيد البري,مواضيع مختلفة,مواضيع مختلفة,موارد طبيعية,Feuil1
128,شريط وثائقي,العناية بغراسات الكروم في فصل الربيع,فلاحة,أشجار مثمرة,كروم,Feuil1
129,شريط وثائقي,المحافظة على المراعي الصحراوية بولاية تطاوين,فلاحة,تربية الماشية والأعلاف,مراعي,Feuil1
130,شريط وثائقي,المحافظة على جودة الحليب,فلاحة,تربية الماشية,ألبان,Feuil1
131,شريط وثائقي,المرأة المهندسة الباعثة للمشاريع,فلاحة,مرأة ريفية,موارد بشرية,Feuil1
132,شريط وثائقي,المكافحة الزراعية لحافرة  الحمضيات,فلاحة,أشجار مثمرة,قوارص,Feuil1
133,شريط وثائقي,المناطق الرطبة (عربية),فلاحة,مواضيع مختلفة,موارد طبيعية,Feuil1
134,شريط وثائقي,المناطق الرطبة (فرنسية),فلاحة,مواضيع مختلفة,موارد طبيعية,Feuil1
135,شريط وثائقي,الموارد المائية بالبلاد التونسية,فلاحة,مواضيع مختلفة,موارد طبيعية,Feuil1
136,شريط وثائقي,اليوم العالمي للمياه,فلاحة,هندسة ريفية,هندسة ريفية,Feuil1
137,شريط وثائقي,أمراض النخيل,فلاحة,أشجار مثمرة,نخيل,Feuil1
138,شريط وثائقي,تأهيل مركز التكوين المهني للصيد البحري بطبرقة,مواضيع مختلفة,مواضيع مختلفة,تنمية الموارد البشرية,Feuil1
139,شريط وثائقي,تثمين مادة المرجين بالرش في غراسات الزيتون,فلاحة,أشجار مثمرة,زيتون,Feuil1
140,شريط وثائقي,تربية الإبل,فلاحة,تربية الماشية,إبل,Feuil1
141,شريط وثائقي,تربية الأحياء المائية,صيد بحري,تربية الأسماك,,Feuil1
142,شريط وثائقي,تربية الأحياء المائية,صيد بحري,صيد بحري,تربية الأسماك,Feuil1
143,شريط وثائقي,تربية السمان,فلاحة,تربية الماشية والأعلاف,سمان,Feuil1
144,شريط وثائقي,تعاضدية الخدمات الفلاحية,فلاحة,المرأة الريفية,هياكل الدعم,Feuil1
145,شريط وثائقي,تقنيات انتاج الفلين,فلاحة,الغابات وCES,غابات,Feuil1
146,شريط وثائقي,تلقيح أشجار النخيل,فلاحة,أشجار مثمرة,تمور,Feuil1
147,شريط وثائقي,تونس بلد الزيتونة,فلاحة,أشجار مثمرة,زيتون,Feuil1
148,شريط وثائقي,جدولة ديون الفلاحين المتضررين من الجفاف,فلاحة,زراعات كبرى,حبوب,Feuil1
149,شريط وثائقي,حافرة الطماطم,فلاحة,خضروات,طماطم,Feuil1
150,شريط وثائقي,حماية المنشآت المائية بواسطة التشجير,فلاحة,المحافظة على المياه والتربة,مياه,Feuil1
151,شريط وثائقي,دور المراعي في مقاومة التصحر,فلاحة,تربية الماشية والأعلاف,مراعي,Feuil1
152,شريط وثائقي,سواعد الخير APIA,فلاحة,المرأة الريفية,إستثمار,Feuil1
153,شريط وثائقي,صناعة المستسمد بالإعتماد على فيتورة الزيتون,فلاحة,أشجار مثمرة,زيتون,Feuil1
154,شريط وثائقي,صيد المرجان,صيد بحري,صيد بحري,الغوص,Feuil1
155,شريط وثائقي,غراسة الرمان,فلاحة,أشجار مثمرة,رمان,Feuil1
156,شريط وثائقي,غراسة القنارية,فلاحة,خضروات,قنارية,Feuil1
157,شريط وثائقي,غراسة القوارص,فلاحة,أشجار مثمرة,قوارص,Feuil1
158,شريط وثائقي,محمية إشكل,فلاحة,مواضيع مختلفة,موارد طبيعية,Feuil1
159,شريط وثائقي,مكافحة حافرة الطماطم,فلاحة,خضروات,طماطم,Feuil1
160,شريط وثائقي,نباتات الزينة والمناطق الخضراء (مركز تاكلسة),فلاحة,مواضيع مختلفة,مواضيع مختلفة,Feuil1
161,شريط وثائقي,نباتات الزينة والمناطق الخضراء (مركز شط مريم),فلاحة,مواضيع مختلفة,مواضيع مختلفة,Feuil1
162,شريط وثائقي,نباتات الزينة والمناطق الخضراء (مركز مدنين),فلاحة,مواضيع مختلفة,مواضيع مختلفة,Feuil1
163,شريط وثائقي,نباتات الزينة والمناطق الخضراء (معهد بوشريك),فلاحة,مواضيع مختلفة,مواضيع مختلفة,Feuil1
164,شريط وثائقي,نصائح موجهة إلى مزارعي الحبوب (العينة التأليفية),فلاحة,زراعات كبرى,حبوب,Feuil1
165,مطوية,زراعة الدرع العلفي,فلاحة,زراعات كبرى,زراعات علفية,Feuil1
166,مطوية,إحكام التسميد الأزرتيوالتعريف ببدائل الأمونيتر,فلاحة,كل القطاعات,كل القطاعات الفرعية,Feuil1
167,مطوية,أعلاف الصيانة,فلاحة,تربية الماشية,كل القطاعات الفرعية,Feuil1
168,مطوية,الإجراءات الجديدة لتصدير منتجات الصيد البحري نحو بلدان الإتحاد الأوروبي,الصيد البحري,الصيد البحري,كل القطاعات الفرعية,Feuil1
169,مطوية,الأحجام والموازين الدنيا للأصناف المائية المسموح بصيدها,الصيد البحري,الصيد البحري,كل القطاعات الفرعية,Feuil1
170,مطوية,الإستغلال الرشيد لمخزون الأخطبوط,الصيد البحري,الصيد البحري,الصيد الساحلى,Feuil1
