annee,mois,type_produit,prix_dachat,feuille
2023,mai,orge-import,1150.0,2018
2023,juin,ble-dur-import,1461.0,2018
2023,juin,ble-tendre-import,994.0,2018
2023,juin,orge-import,1147.0,2018
2023,juillet,ble-dur-import,1407.0,2018
2023,juillet,ble-tendre-import,969.0,2018
2023,juillet,orge-import,918.0,2018
2023,aout,ble-dur-import,1331.0,2018
2023,aout,ble-tendre-import,903.0,2018
2023,aout,orge-import,960.0,2018
2023,septembre,ble-dur-import,1286.0,2018
2023,septembre,ble-tendre-import,1026.0,2018
2023,septembre,orge-import,0.0,2018
2023,octobre,ble-dur-import,1312.0,2018
2023,octobre,ble-tendre-import,864.0,2018
2023,octobre,orge-import,727.0,2018
2023,novembre,ble-dur-import,1286.0,2018
2023,novembre,ble-tendre-import,809.0,2018
2023,novembre,orge-import,675.0,2018
2023,decembre,ble-dur-import,1265.0,2018
2023,decembre,ble-tendre-import,816.0,2018
2023,decembre,orge-import,0.0,2018
2024,janvier,ble-dur-import,1361.6290404977306,2018
2024,janvier,ble-tendre-import,854.7729926971602,2018
2024,janvier,orge-import,698.9496149626681,2018
2024,fevrier,ble-dur-import,1355.754788612387,2018
2024,fevrier,ble-tendre-import,853.7303537417995,2018
2024,fevrier,orge-import,690.2513577964994,2018
2024,mars,ble-dur-import,1365.1180466479777,2018
2024,mars,ble-tendre-import,854.0173916648291,2018
2024,mars,orge-import,739.8059302506497,2018
2024,avril,ble-dur-import,1351.370680913651,2018
2024,avril,ble-tendre-import,763.1611454651088,2018
2024,avril,orge-import,0.0,2018
2024,mai,ble-dur-import,1232.9703659128543,2018
2024,mai,ble-tendre-import,795.276023108099,2018
2024,mai,orge-import,718.8402,2018
2024,juin,ble-dur-import,1147.6728,2018
2024,juin,ble-tendre-import,829.8001502310047,2018
2024,juin,orge-import,0.0,2018
2024,juillet,ble-dur-import,1124.2157887473873,2018
2024,juillet,ble-tendre-import,770.7688641494142,2018
2024,juillet,orge-import,719.328453044306,2018
2024,aout,ble-dur-import,985.7957170909091,2018
2024,aout,ble-tendre-import,755.7981653031,2018
2024,aout,orge-import,735.768,2018
2024,septembre,ble-dur-import,991.4865806451613,2018
2024,septembre,ble-tendre-import,734.8526076300332,2018
2024,septembre,orge-import,722.568,2018
2024,octobre,ble-dur-import,971.200845058867,2018
2024,octobre,ble-tendre-import,735.3596318360628,2018
2024,octobre,orge-import,722.568,2018
2024,novembre,ble-dur-import,1030.9365640359674,2018
2024,novembre,ble-tendre-import,748.2438822447102,2018
2024,novembre,orge-import,767.6621645021645,2018
2024,decembre,ble-dur-import,1047.1078364436353,2018
2024,decembre,ble-tendre-import,780.5031453119163,2018
2024,decembre,orge-import,785.9410491257286,2018
2025,janvier,ble-dur-import,1115.63817672453,2018
2025,janvier,ble-tendre-import,829.2347714011185,2018
2025,janvier,orge-import,0.0,2018
2025,fevrier,ble-dur-import,1069.737416535239,2018
2025,fevrier,ble-tendre-import,795.933237164751,2018
2025,fevrier,orge-import,745.2187494143692,2018
2025,mars,ble-dur-import,1063.1872806629688,2018
2025,mars,ble-tendre-import,781.8179434364137,2018
2025,mars,orge-import,728.743309398409,2018
2025,avril,ble-dur-import,1030.4908264021642,2018
2025,avril,ble-tendre-import,784.6002814666667,2018
2025,avril,orge-import,760.9243874390539,2018
2025,mai,ble-dur-import,0.0,2018
2025,mai,ble-tendre-import,795.7819765747226,2018
2025,mai,orge-import,753.5448898671865,2018
2025,juin,ble-dur-import,0.0,2018
2025,juin,ble-tendre-import,760.0304500727273,2018
2025,juin,orge-import,732.9195604492215,2018
2025,juillet,ble-dur-import,0.0,2018
2025,juillet,ble-tendre-import,761.191115972257,2018
2025,juillet,orge-import,0.0,2018
2025,aout,ble-dur-import,0.0,2018
2025,aout,ble-tendre-import,725.0822074996157,2018
2025,aout,orge-import,0.0,2018
2025,septembre,ble-dur-import,0.0,2018
2025,septembre,ble-tendre-import,766.1130230115363,2018
2025,septembre,orge-import,0.0,2018
2025,octobre,ble-dur-import,0.0,2018
2025,octobre,ble-tendre-import,759.9057163524419,2018
2025,octobre,orge-import,0.0,2018
2025,novembre,ble-dur-import,0.0,2018
2025,novembre,ble-tendre-import,742.1740180245789,2018
2025,novembre,orge-import,0.0,2018
2025,decembre,ble-dur-import,936.8987630555845,2018
2025,decembre,ble-tendre-import,734.201037631475,2018
2025,decembre,orge-import,770.4370949998222,2018
