date,gouvernorat,prix_min,prix_max,feuille
2025-01-10,Sidi Bouzid,11.0,11.3,Prix HOEV
2025-01-11,Kairouan,,,Prix HOEV
2025-01-11,Sfax,11.3,11.5,Prix HOEV
2025-01-11,Sidi Bouzid,11.3,11.5,Prix HOEV
2025-01-12,Kairouan,,,Prix HOEV
2025-01-12,Sfax,11.3,11.5,Prix HOEV
2025-01-12,Sidi Bouzid,11.3,11.5,Prix HOEV
2025-01-13,Kairouan,,,Prix HOEV
2025-01-13,Sfax,11.3,11.5,Prix HOEV
2025-01-13,Sidi Bouzid,11.3,11.5,Prix HOEV
2025-01-14,Kairouan,,,Prix HOEV
2025-01-14,Sfax,11.8,11.8,Prix HOEV
2025-01-14,Sidi Bouzid,11.8,11.8,Prix HOEV
2025-01-15,Kairouan,,,Prix HOEV
2025-01-15,Sfax,11.8,11.8,Prix HOEV
2025-01-15,Sidi Bouzid,11.8,11.8,Prix HOEV
2025-01-16,Kairouan,,,Prix HOEV
2025-01-16,Sfax,11.8,11.8,Prix HOEV
2025-01-16,Sidi Bouzid,11.8,11.8,Prix HOEV
2025-01-17,Kairouan,,,Prix HOEV
2025-01-17,Sfax,11.8,11.8,Prix HOEV
2025-01-17,Sidi Bouzid,11.8,11.8,Prix HOEV
2025-01-18,Kairouan,,,Prix HOEV
2025-01-18,Sfax,11.8,11.8,Prix HOEV
2025-01-18,Sidi Bouzid,11.8,11.8,Prix HOEV
2025-01-19,Kairouan,,,Prix HOEV
2025-01-19,Sfax,11.8,11.8,Prix HOEV
2025-01-19,Sidi Bouzid,11.8,11.8,Prix HOEV
2025-01-20,Kairouan,,,Prix HOEV
2025-01-20,Sfax,11.8,11.8,Prix HOEV
2025-01-20,Sidi Bouzid,11.8,11.8,Prix HOEV
2025-01-21,Kairouan,,,Prix HOEV
2025-01-21,Sfax,12.0,12.0,Prix HOEV
2025-01-21,Sidi Bouzid,12.0,12.0,Prix HOEV
2025-01-22,Kairouan,,,Prix HOEV
2025-01-22,Sfax,12.0,12.0,Prix HOEV
2025-01-22,Sidi Bouzid,12.0,12.0,Prix HOEV
2025-01-23,Kairouan,,,Prix HOEV
2025-01-23,Sfax,12.0,12.0,Prix HOEV
2025-01-23,Sidi Bouzid,12.0,12.0,Prix HOEV
2025-01-24,Kairouan,,,Prix HOEV
2025-01-24,Sfax,11.8,12.0,Prix HOEV
2025-01-24,Sidi Bouzid,11.8,12.0,Prix HOEV
2025-01-25,Kairouan,,,Prix HOEV
2025-01-25,Sfax,12.0,12.0,Prix HOEV
2025-01-25,Sidi Bouzid,12.0,12.0,Prix HOEV
2025-01-26,Kairouan,,,Prix HOEV
2025-01-26,Sfax,11.5,11.5,Prix HOEV
2025-01-26,Sidi Bouzid,11.5,11.5,Prix HOEV
2025-01-27,Kairouan,,,Prix HOEV
2025-01-27,Sfax,,,Prix HOEV
2025-01-27,Sidi Bouzid,,,Prix HOEV
2025-01-28,Kairouan,,,Prix HOEV
2025-01-28,Sfax,,,Prix HOEV
2025-01-28,Sidi Bouzid,,,Prix HOEV
2025-01-29,Kairouan,,,Prix HOEV
2025-01-29,Sfax,10.5,11.0,Prix HOEV
2025-01-29,Sidi Bouzid,10.5,11.0,Prix HOEV
2025-01-30,Kairouan,,,Prix HOEV
2025-01-30,Sfax,10.8,11.2,Prix HOEV
2025-01-30,Sidi Bouzid,10.8,11.2,Prix HOEV
2025-01-31,Kairouan,,,Prix HOEV
2025-01-31,Sfax,10.8,11.2,Prix HOEV
2025-01-31,Sidi Bouzid,10.8,11.2,Prix HOEV
2025-02-01,Kairouan,,,Prix HOEV
2025-02-01,Sfax,10.8,11.2,Prix HOEV
2025-02-01,Sidi Bouzid,10.8,11.2,Prix HOEV
2025-02-02,Kairouan,,,Prix HOEV
2025-02-02,Sfax,,,Prix HOEV
2025-02-02,Sidi Bouzid,,,Prix HOEV
2025-02-03,Kairouan,,,Prix HOEV
2025-02-03,Sfax,10.5,11.0,Prix HOEV
2025-02-03,Sidi Bouzid,10.5,11.0,Prix HOEV
2025-02-04,Kairouan,,,Prix HOEV
2025-02-04,Sfax,10.7,10.8,Prix HOEV
2025-02-04,Sidi Bouzid,10.7,10.8,Prix HOEV
2025-02-05,Kairouan,,,Prix HOEV
2025-02-05,Sfax,10.8,11.2,Prix HOEV
2025-02-05,Sidi Bouzid,10.8,11.2,Prix HOEV
2025-02-06,Kairouan,,,Prix HOEV
2025-02-06,Sfax,10.8,10.85,Prix HOEV
2025-02-06,Sidi Bouzid,10.8,10.85,Prix HOEV
2025-02-07,Kairouan,,,Prix HOEV
2025-02-07,Sfax,10.8,11.0,Prix HOEV
2025-02-07,Sidi Bouzid,10.8,11.0,Prix HOEV
2025-02-08,Kairouan,,,Prix HOEV
2025-02-08,Sfax,,,Prix HOEV
2025-02-08,Sidi Bouzid,,,Prix HOEV
2025-02-09,Kairouan,,,Prix HOEV
2025-02-09,Sfax,,,Prix HOEV
2025-02-09,Sidi Bouzid,,,Prix HOEV
2025-02-10,Kairouan,,,Prix HOEV
2025-02-10,Sfax,10.8,11.0,Prix HOEV
2025-02-10,Sidi Bouzid,10.8,11.0,Prix HOEV
2025-02-11,Kairouan,,,Prix HOEV
2025-02-11,Sfax,10.8,11.0,Prix HOEV
2025-02-11,Sidi Bouzid,10.8,11.0,Prix HOEV
2025-02-12,Kairouan,,,Prix HOEV
2025-02-12,Sfax,10.8,11.0,Prix HOEV
2025-02-12,Sidi Bouzid,10.8,11.0,Prix HOEV
2025-02-13,Kairouan,,,Prix HOEV
2025-02-13,Sfax,10.8,11.0,Prix HOEV
2025-02-13,Sidi Bouzid,10.8,11.0,Prix HOEV
2025-02-14,Kairouan,,,Prix HOEV
2025-02-14,Sfax,10.8,11.0,Prix HOEV
2025-02-14,Sidi Bouzid,10.8,11.0,Prix HOEV
2025-02-15,Kairouan,,,Prix HOEV
2025-02-15,Sfax,10.8,11.0,Prix HOEV
2025-02-15,Sidi Bouzid,10.8,11.0,Prix HOEV
2025-02-16,Kairouan,,,Prix HOEV
2025-02-16,Sfax,10.8,11.0,Prix HOEV
2025-02-16,Sidi Bouzid,10.8,11.0,Prix HOEV
2025-02-17,Kairouan,,,Prix HOEV
2025-02-17,Sfax,10.9,11.0,Prix HOEV
2025-02-17,Sidi Bouzid,10.9,11.0,Prix HOEV
2025-02-18,Kairouan,,,Prix HOEV
2025-02-18,Sfax,10.9,11.0,Prix HOEV
2025-02-18,Sidi Bouzid,10.9,11.0,Prix HOEV
2025-02-19,Kairouan,,,Prix HOEV
2025-02-19,Sfax,10.9,11.1,Prix HOEV
2025-02-19,Sidi Bouzid,10.9,11.1,Prix HOEV
2025-02-20,Kairouan,,,Prix HOEV
2025-02-20,Sfax,10.9,11.1,Prix HOEV
2025-02-20,Sidi Bouzid,10.9,11.1,Prix HOEV
2025-02-21,Kairouan,,,Prix HOEV
2025-02-21,Sfax,10.9,11.1,Prix HOEV
2025-02-21,Sidi Bouzid,10.9,11.1,Prix HOEV
2025-02-22,Kairouan,,,Prix HOEV
2025-02-22,Sfax,11.0,11.1,Prix HOEV
2025-02-22,Sidi Bouzid,11.0,11.1,Prix HOEV
2025-02-23,Kairouan,,,Prix HOEV
2025-02-23,Sfax,,,Prix HOEV
2025-02-23,Sidi Bouzid,,,Prix HOEV
2025-02-24,Kairouan,,,Prix HOEV
2025-02-24,Sfax,11.2,11.3,Prix HOEV
2025-02-24,Sidi Bouzid,11.2,11.3,Prix HOEV
2025-02-25,Kairouan,,,Prix HOEV
2025-02-25,Sfax,11.2,11.2,Prix HOEV
2025-02-25,Sidi Bouzid,11.2,11.2,Prix HOEV
2025-02-26,Kairouan,,,Prix HOEV
2025-02-26,Sfax,11.2,11.4,Prix HOEV
2025-02-26,Sidi Bouzid,11.2,11.4,Prix HOEV
2025-02-27,Kairouan,,,Prix HOEV
2025-02-27,Sfax,11.6,11.6,Prix HOEV
2025-02-27,Sidi Bouzid,11.6,11.6,Prix HOEV
2025-02-28,Kairouan,,,Prix HOEV
2025-02-28,Sfax,11.7,11.7,Prix HOEV
2025-02-28,Sidi Bouzid,11.7,11.7,Prix HOEV
2025-03-01,Kairouan,,,Prix HOEV
2025-03-01,Sfax,11.5,12.0,Prix HOEV
2025-03-01,Sidi Bouzid,11.5,12.0,Prix HOEV
2025-03-02,Kairouan,,,Prix HOEV
2025-03-02,Sfax,,,Prix HOEV
2025-03-02,Sidi Bouzid,,,Prix HOEV
2025-03-03,Kairouan,,,Prix HOEV
2025-03-03,Sfax,11.5,11.8,Prix HOEV
2025-03-03,Sidi Bouzid,11.5,11.8,Prix HOEV
2025-03-04,Kairouan,,,Prix HOEV
2025-03-04,Sfax,11.8,11.8,Prix HOEV
2025-03-04,Sidi Bouzid,11.8,11.8,Prix HOEV
2025-03-05,Kairouan,,,Prix HOEV
2025-03-05,Sfax,11.8,12.0,Prix HOEV
2025-03-05,Sidi Bouzid,11.8,12.0,Prix HOEV
2025-03-06,Kairouan,,,Prix HOEV
2025-03-06,Sfax,11.6,12.0,Prix HOEV
2025-03-06,Sidi Bouzid,11.6,12.0,Prix HOEV
2025-03-07,Kairouan,,,Prix HOEV
2025-03-07,Sfax,11.9,12.0,Prix HOEV
2025-03-07,Sidi Bouzid,11.9,12.0,Prix HOEV
2025-03-08,Kairouan,,,Prix HOEV
2025-03-08,Sfax,12.3,12.3,Prix HOEV
2025-03-08,Sidi Bouzid,12.3,12.3,Prix HOEV
2025-03-09,Kairouan,,,Prix HOEV
2025-03-09,Sfax,,,Prix HOEV
2025-03-09,Sidi Bouzid,,,Prix HOEV
2025-03-10,Kairouan,,,Prix HOEV
2025-03-10,Sfax,12.0,12.3,Prix HOEV
2025-03-10,Sidi Bouzid,12.0,12.3,Prix HOEV
2025-03-11,Kairouan,,,Prix HOEV
2025-03-11,Sfax,12.0,12.3,Prix HOEV
2025-03-11,Sidi Bouzid,12.0,12.3,Prix HOEV
2025-03-12,Kairouan,,,Prix HOEV
2025-03-12,Sfax,12.0,12.3,Prix HOEV
2025-03-12,Sidi Bouzid,12.0,12.3,Prix HOEV
2025-03-13,Kairouan,,,Prix HOEV
2025-03-13,Sfax,12.0,12.1,Prix HOEV
2025-03-13,Sidi Bouzid,12.0,12.1,Prix HOEV
