nom_gda,annee_creation,delegation,vocation,nombre_famille_beneficiaire_2022,feuille
Oued Errkham,1990-01-03,Bir Ali,Eau potable,260,Eau potable
Ouled Mahmoud,1990-01-03,Bir Ali,Eau potable,260,Eau potable
Sidi Dhaher 1,1993-02-02,Bir Ali,Eau potable,177,Eau potable
Ouled Jaballah,1997-07-12,Djebeniana,Eau potable,113,Eau potable
Dhreaa Ben Zied,2015-12-03,El Amra,Eau potable,128,Eau potable
El Intilaka Graiba,1990-05-24,Graiba,Eau potable,480,Eau potable
El kharweaa,1993-02-02,Graiba,Eau potable,350,Eau potable
El Atil,1997-11-12,Graiba,Eau potable,342,Eau potable
Zabboussa Khaouala,1998-11-26,Graiba,Eau potable,480,Eau potable
Ouled El Fetnassi,2014-07-04,Graiba,Eau potable,78,Eau potable
Bir Saleh,1995-06-28,Hencha,Eau potable,1169,Eau potable
Markez Mosbah,1990-07-05,Hencha,Eau potable,571,Eau potable
EL Hmem Oued Errogua,1990-07-05,Hencha,Eau potable,264,Eau potable
Sidi Issa,1990-03-07,Hencha,Eau potable,379,Eau potable
El Amel,1997-07-12,Hencha,Eau potable,156,Eau potable
Echheb Elbaydhine,2001-11-27,Hencha,Eau potable,467,Eau potable
Ettataouer om saleh,1990-02-08,Hencha,Eau potable,363,Eau potable
El Ghib w Ennib,2002-12-27,Hencha,Eau potable,881,Eau potable
Adal,1989-08-12,Mahrès,Eau potable,358,Eau potable
Essmara,1994-08-08,Mahrès,Eau potable,55,Eau potable
Sidi Ghrib,1998-11-25,Mahrès,Eau potable,470,Eau potable
Bir Ettofla,2005-07-28,Mahrès,Eau potable,77,Eau potable
Intilaka,2005-07-02,Mahrès,Eau potable,49,Eau potable
Mhadhba,1994-08-08,Menzel chaker,Eau potable,161,Eau potable
El Khfayfa w Aouin,1995-06-28,Menzel chaker,Eau potable,110,Eau potable
El Haj Guassem 1,1992-04-24,Menzel chaker,Eau potable,53,Eau potable
Bou Jarboua,1989-08-12,Menzel chaker,Eau potable,811,Eau potable
Chealab,1990-05-24,Menzel chaker,Eau potable,452,Eau potable
El Haj Guassem 2,1995-08-25,Menzel chaker,Eau potable,110,Eau potable
Bir Ben Ayed,1997-07-12,Menzel chaker,Eau potable,53,Eau potable
Menzel Chaker El Markez,2006-03-08,Menzel chaker,Eau potable,53,Eau potable
Guasser Errih,2008-10-25,Menzel chaker,Eau potable,206,Eau potable
Echneyna,2010-04-08,Menzel chaker,Eau potable,213,Eau potable
Bir Abbès,1993-02-02,Sakiet Ezzit,Eau potable,355,Eau potable
Sidi Saleh,2001-11-27,Sakiet Ezzit,Eau potable,92,Eau potable
Sidi Abdel kefi,2008-11-08,Sfax Sud,Eau potable,262,Eau potable
Sbih El Khadhra,2003-06-25,Skhira,Eau potable,1244,Eau potable
Nawel Sud,2017-04-04,Skhira,Eau potable,42,Eau potable
Ouled Aoun Allah Nawel Nord,2018-02-02,Skhira,Eau potable,271,Eau potable
El Jrawla,1989-08-12,Skhira,Eau potable,591,Eau potable
Sidi Mhmed,1995-06-26,Skhira,Eau potable,53,Eau potable
Ouadi Ennekhla El Hmada Nawel,2018-05-11,Skhira,Eau potable,260,Eau potable
El Mghadhia,1997-07-12,Skhira,Eau potable,622,Eau potable
Echwikat,1997-07-12,Skhira,Eau potable,156,Eau potable
El Frichet,1997-11-12,Skhira,Eau potable,379,Eau potable
Bou Saiid El Hadhara,2015-07-06,Skhira,Eau potable,169,Eau potable
