الميناء,جانفي,فيفري,مارس,افريل,ماي,جوان,جويلية,اوت,سبتمبر,اكتوبر,نوفمبر,ديسمبر,feuille
ولاية بن عروس,17572.5,17955.9,18609.1,18296.699999999997,20369.899471999997,17934.600000000002,16521.7,18322.26,16649.5,17534.16,13624.900000000001,15328.9,ص س 2017
قليبية,55220.96,36424.42,39454.7,95140.0,120052.48,77117.36,116763.76,119209.0,61238.92,81522.2,61628.0,91284.7,ص س 2017
سليمان,24274.9,37300.56,42249.26,31479.98,36932.78,29527.48,22039.82,21373.84,49174.6,56067.28,21694.76,25271.74,ص س 2017
سيدي داود,55309.0,105080.0,20377.0,14555.0,63687.0,30672.0,21371.0,29230.7,103234.0,187582.0,166140.0,53392.0,ص س 2017
الحمامات وبني خيار,11310.3,24835.8,23536.5,4664.7,44227.32,39916.2,12609.6,36018.3,41939.7,193893.9,41258.1,15016.5,ص س 2017
الهوارية,10641.48,6801.8,396.18,3555.68,1312.08,1934.04,861.94,2137.1,626.22,3953.28,2358.62,2210.94,ص س 2017
سوسة,32944.0,31609.2,46292.0,62480.0,85474.06,60484.9,69296.0,78445.06,55138.6,61060.0,59313.4,60385.5,ص س 2017
السلوم,1398.7,4118.0,1263.8,1746.6,2563.1,4799.6,4742.8,11175.4,6858.6,3180.8,3692.0,2598.6,ص س 2017
هرقلة,5935.6,2953.6,4075.4,3656.5,5644.5,8165.0,7618.3,15250.8,24168.4,9869.0,7128.4,5232.7,ص س 2017
القنطاوي,1704.0,4544.0,1420.0,2840.0,3550.0,4260.0,4970.0,7100.0,7100.0,4260.0,4260.0,3976.0,ص س 2017
سيدي عبد الحميد,14200.0,15818.8,23146.0,31240.0,41975.2,31957.1,30571.18,33465.14,30629.4,29308.8,34903.6,35464.5,ص س 2017
المنستير,11800.2,16924.98,18183.1,18349.24,16268.94,12328.44,13507.04,11817.24,23217.0,22137.8,25642.36,7998.86,ص س 2017
خنيس,9427.38,4224.5,5430.08,6655.54,5187.26,4485.78,2716.46,5317.9,4828.0,8287.12,6125.88,5317.9,ص س 2017
قصيبة المديوني,5593.38,4221.66,5052.36,6658.38,4644.52,3565.62,3020.34,4549.68,4482.94,7053.14,5181.58,5641.66,ص س 2017
صيادة,11005.0,15634.2,12936.2,0.0,47243.4,11331.6,2257.8,25645.2,0.0,20178.2,14384.6,4913.2,ص س 2017
طبلبة,28059.2,61779.94,78775.92,53802.38,105332.76,560738.12,47278.9,94545.02,96013.3,69656.68,43896.46,54972.46,ص س 2017
بقالطة,24708.0,28598.8,26042.8,0.0,22137.8,23884.4,20859.8,20519.0,20007.8,19723.8,2155.6,18161.8,ص س 2017
مهدية,5898.68,19652.8,19445.48,29276.14,18167.48,24902.54,19865.8,65178.0,23201.38,35664.72,28000.98,9350.7,ص س 2017
صلقطة,4047.0,3337.0,4118.0,2982.0,3834.0,3124.0,2982.0,6035.0,2627.0,24140.0,13774.0,3834.0,ص س 2017
الشابة,496724.52,413833.44,412918.96,557651.04,424790.16,421058.4,479829.36,559968.48,430225.92,500663.6,493665.84,511200.0,ص س 2017
ملولش,35900.44,41040.84,42361.44,41442.7,41701.14,40555.2,49586.4,46050.6,37133.0,36905.8,41776.4,47371.2,ص س 2017
صفاقس,8964.46,24503.52,40399.0,45692.76,35852.16,31870.48,12354.0,17233.12,19652.8,18829.2,19152.96,22938.68,ص س 2017
اللوزة,90880.0,93578.0,96844.0,125244.0,77816.0,92314.2,110263.0,91732.0,86407.0,119351.0,129646.0,108062.0,ص س 2017
العوابد,18247.0,20590.0,11076.0,24566.0,12070.0,11360.0,17608.0,23430.0,19880.0,29678.0,14626.0,0.0,ص س 2017
سيدي منصور,32503.8,19368.8,20831.4,23742.4,20448.0,32731.0,25574.2,17267.2,0.0,0.0,0.0,0.0,ص س 2017
مليتة,84788.2,90596.0,128467.4,199510.0,299620.0,298058.0,283432.0,291384.0,106500.0,689410.0,355000.0,399304.0,ص س 2017
العطايا,78384.0,39192.0,35500.0,38183.8,47328.6,49771.0,75970.0,52980.2,38879.6,44602.2,94543.6,26823.8,ص س 2017
القراطن,56942.0,54244.0,69466.4,71568.0,88182.0,77816.0,82644.0,86904.0,64184.0,82644.0,94430.0,91306.0,ص س 2017
المحرس,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ص س 2017
زبوسة,28428.4,6390.0,6390.0,7621.14,15875.6,15506.4,17040.0,23685.6,42707.92,51274.78,72494.0,92109.6,ص س 2017
الصخيرة,42600.0,32802.0,29323.0,31169.0,24424.0,29962.0,30317.0,22578.0,17750.0,26838.0,47456.4,19056.4,ص س 2017
قابس,42202.4,47570.0,75231.6,292775.6,307430.0,71340.8,409513.8,322993.2,193105.8,202094.4,106670.4,79761.4,ص س 2017
غنوش,56717.64,62896.06,55808.84,74795.66,65352.66,48843.74,74062.94,49806.5,23434.26,102698.66,97203.26,0.0,ص س 2017
الزرات,14668.6,17622.2,4444.6,14129.0,29947.8,49700.0,10124.6,9911.6,15975.0,13788.2,18673.0,18673.0,ص س 2017
جرجيس,190558.32,317051.92,290344.56,349444.96,314121.04,262597.76,196170.16,235606.4,225098.4,206564.56,153763.28,205212.72,ص س 2017
حومة السوق,139728.0,137740.0,163300.0,206752.0,207959.0,184600.0,133480.0,76183.0,100110.0,129504.0,166140.0,120700.0,ص س 2017
أجيم,43310.0,40711.4,40399.0,44517.0,66669.0,52781.4,98690.0,97980.0,65675.0,89389.0,80812.2,59143.0,ص س 2017
بوغرارة,123682.0,78668.0,22152.0,9798.0,10252.4,35216.0,76822.0,53931.6,22492.8,18786.6,48422.0,59711.0,ص س 2017
الكتف,190223.2,198487.6,219106.0,211395.4,114409.4,139941.0,109794.4,38624.0,26738.6,40796.6,145677.8,143874.4,ص س 2017
حاسي جلابة,17466.0,13146.36,17182.0,22720.0,21300.0,24566.0,22720.0,17608.0,17352.4,20590.0,15620.0,15336.0,ص س 2017
أغير,4828.0,11218.0,9230.0,9656.0,35599.4,35500.0,18460.0,15478.0,7242.0,10650.0,14058.0,6816.0,ص س 2017
القرين,16046.0,14493.94,18886.0,19880.0,24125.8,17892.0,21300.0,21342.6,16954.8,23856.0,14200.0,16046.0,ص س 2017
الانتاج بالكغ,,,,,,,,,,,,,ص س 2017
