nom_fr,nom_ar,station,inm,x_utm,y_utm,zone_utm,longitude,latitude,gouvernorat_ar,gouvernorat_fr,region_ar,region_fr,feuille
TIBAR SM,تيبار *,تيبار,True,509421.16,4041853.56,32.0,9.1052273643938,36.521994878045,بــاجة,Béja,الشمال الغربي,Nord-ouest,station
KEF CMA,الكاف *,الكاف,True,476995.26,3998553.06,32.0,8.7443262882616,36.131399143913,الكاف,Kef,الشمال الغربي,Nord-ouest,station
O.MELLEGUE K13,سد ملاق,سد ملاق,False,473901.1,4019924.99,32.0,8.7092281030634,36.323990638357,الكاف,Kef,الشمال الغربي,Nord-ouest,station
SAKIET SIDI YOUSSEF SM,ساقية سيدي يوسف*,ساقية سيدي يوسف,True,443146.04,4010008.66,32.0,8.3673187692483,36.233272056783,الكاف,Kef,الشمال الغربي,Nord-ouest,station
"KALAAT ESSENAM DELEG,",قلعة سنان,قلعة سنان,False,440360.83,3958195.64,32.0,8.3402200182765,35.765992093503,الكاف,Kef,الشمال الغربي,Nord-ouest,station
KSOUR ECOLE,القصور,القصور,False,481410.72,3972987.59,32.0,8.7939942552158,35.900994436508,الكاف,Kef,الشمال الغربي,Nord-ouest,station
SERS DELEGATION,السرس,السرس,False,503340.85,3991336.04,32.0,9.0370897709112,36.066599589669,الكاف,Kef,الشمال الغربي,Nord-ouest,station
TEJROUINE,تاجروين,تاجروين,False,454127.1,3977080.36,32.0,8.491428056707,35.936995531858,الكاف,Kef,الشمال الغربي,Nord-ouest,station
SILIANA AGRICOLE,سليانة,سليانة,False,532971.77,3993493.79,32.0,9.3662206082953,36.085492275688,سليانة,Siliana,الشمال الغربي,Nord-ouest,station
BOU ARADA II,بوعرادة,بوعرادة,False,556143.13,4022912.59,32.0,9.6256976963116,36.349642784683,سليانة,Siliana,الشمال الغربي,Nord-ouest,station
KRIB FERME COSSEM,الكريب,الكريب,False,512354.04,4019345.49,32.0,9.1376287472229,36.319045447482,سليانة,Siliana,الشمال الغربي,Nord-ouest,station
ROHIA,الروحية *,الروحية,True,505451.45,3945319.68,32.0,9.0602172222183,35.6516938101,سليانة,Siliana,الشمال الغربي,Nord-ouest,station
SAADIA DU BARGOU SM,سعدية برقو*,سعدية برقو,True,554072.94,3988108.02,32.0,9.6002187613792,36.035998129903,سليانة,Siliana,الشمال الغربي,Nord-ouest,station
BARRAGE LAKHMES,سد الأخماس,سد الأخماس,False,533624.59,3992298.35,32.0,9.373422628262,36.074696187334,سليانة,Siliana,الشمال الغربي,Nord-ouest,station
MAKTAR PF,مكثر,مكثر,False,518440.75,3967686.75,32.0,9.2042208173372,35.853203084197,سليانة,Siliana,الشمال الغربي,Nord-ouest,station
TUNIS CARTHAGE SM,تونس قرطاج*,تونس قرطاج,True,611305.56,4077217.91,32.0,10.248222792163,36.834283938287,تونس,Tunis,الشمال الشرقي,Nord-est,station
TUNIS MANOUBIA,تونس المنوبية,تونس المنوبية,False,604672.08,4071591.74,32.0,10.17307812406,36.784336369211,منوبة,Manouba,الشمال الشرقي,Nord-est,station
ARIANA CENTRE D'ETUD,أريانة,أريانة,False,605074.7,4078676.62,32.0,10.178561254863,36.848147444731,أريانة,Ariana,الشمال الشرقي,Nord-est,station
SIDI THABET,سيدي ثابت,سيدي ثابت,False,592775.81,4085697.54,32.0,10.041490808283,36.912717651519,أريانة,Ariana,الشمال الشرقي,Nord-est,station
MANOUBA,منوبة,منوبة,False,596120.92,4071341.39,32.0,10.077218822341,36.782990690119,منوبة,Manouba,الشمال الشرقي,Nord-est,station
BORJ EL AMRI,برج العامري,برج العامري,False,579204.96,4063679.12,32.0,9.886868461908,36.715495078711,منوبة,Manouba,الشمال الشرقي,Nord-est,station
BATANE OMVVM,البطان,البطان,False,575830.0,4072660.0,32.0,9.8499854460928,36.796723845186,منوبة,Manouba,الشمال الشرقي,Nord-est,station
BEN AROUS MUNICIP.,بن عروس *,بن عروس,True,613157.56,4064659.86,32.0,10.267122751023,36.720884250919,بن عروس,Ben Arous,الشمال الشرقي,Nord-est,station
BORJ CEDRIA,برج السدرية,برج السدرية,False,618711.05,4058343.96,32.0,10.328321506564,36.663282489476,بن عروس,Ben Arous,الشمال الشرقي,Nord-est,station
EL KHELIDIA,الخليدية,الخليدية,False,606762.14,4055291.03,32.0,10.194220612496,36.637192594208,بن عروس,Ben Arous,الشمال الشرقي,Nord-est,station
NABEUL SM,نابل*,نابل,True,656880.8,4034586.9,32.0,10.750420019007,36.443676817315,نابل,Nabeul,الشمال الشرقي,Nord-est,station
KELIBIA SM,قليبية *,قليبية,True,686860.67,4080887.76,32.0,11.096021470221,36.855420992204,نابل,Nabeul,الشمال الشرقي,Nord-est,station
KORBA SM,قربة *,قربة,True,666351.97,4049746.68,32.0,10.859311286423,36.578676719981,نابل,Nabeul,الشمال الشرقي,Nord-est,station
MENZEL BOUZELFA,منزل بوزلفة,منزل بوزلفة,False,641521.56,4060737.53,32.0,10.583915904047,36.681732670016,نابل,Nabeul,الشمال الشرقي,Nord-est,station
GROMBALIA DRE,قرمبالية,قرمبالية,False,632370.48,4049106.54,32.0,10.479523673053,36.578234251481,نابل,Nabeul,الشمال الشرقي,Nord-est,station
HAOUARIA DELEG  SM,الهوارية *,الهوارية,True,679015.14,4100749.23,32.0,11.012777506174,37.035877124937,نابل,Nabeul,الشمال الشرقي,Nord-est,station
HAMMAMET SM PF,الحمامات *,الحمامات,True,643789.14,4030913.66,32.0,10.603727531996,36.412631360421,نابل,Nabeul,الشمال الشرقي,Nord-est,station
ZAGHOUAN,زغوان,زغوان,False,602733.83,4028681.26,32.0,10.14561985321,36.397791242139,زغوان,Zaghouan,الشمال الشرقي,Nord-est,station
PT DU FAHS SM,الفحص *,الفحص,True,580351.43,4023402.6,32.0,9.8955142628732,36.35234069658,زغوان,Zaghouan,الشمال الشرقي,Nord-est,station
BIR MECHARGA BGE,سد بئر مشارقة,سد بئر مشارقة,False,591706.51,4040938.42,32.0,10.024123415358,36.509391010481,زغوان,Zaghouan,الشمال الشرقي,Nord-est,station
SAOUAF,صواف,صواف,False,605543.82,4009993.29,32.0,10.174419953392,36.229040758122,زغوان,Zaghouan,الشمال الشرقي,Nord-est,station
DJEBIBINA YABSA(NADH,الجبيبنة 3 النظور,الجبيبنة 3 النظور,False,598772.12,3997183.71,32.0,10.09747777495,36.114287765337,زغوان,Zaghouan,الشمال الشرقي,Nord-est,station
SIDI AHMED SM BIZERTE,بنزرت سيدي أحمد *,بنزرت سيدي أحمد,True,569369.57,4121006.78,32.0,9.7820226628089,37.232989849915,بنزرت,Bizerte,الشمال الشرقي,Nord-est,station
TINJA HER,تينجة,تينجة,False,567284.29,4114199.87,32.0,9.7579058445348,37.171789190267,بنزرت,Bizerte,الشمال الشرقي,Nord-est,station
RAS JEBEL,راس الجبل,راس الجبل,False,599970.09,4119318.0,32.0,10.126721252322,37.214993463477,بنزرت,Bizerte,الشمال الشرقي,Nord-est,station
EL ALIA SE,العالية,العالية,False,592123.34,4113835.91,32.0,10.037618248338,37.166386308964,بنزرت,Bizerte,الشمال الشرقي,Nord-est,station
SIDI MBAREK (MATEUR),ماطر,ماطر,False,558995.27,4097463.04,32.0,9.6632261365483,37.021497422129,بنزرت,Bizerte,الشمال الشرقي,Nord-est,station
DJOUMIN DELEGATION,جومين,جومين,False,534620.7,4086844.85,32.0,9.388721221929,36.926991557735,بنزرت,Bizerte,الشمال الشرقي,Nord-est,station
SEJENANE DELG,سجنان,سجنان,False,521878.03,4101528.98,32.0,9.2460787915155,37.059740858762,بنزرت,Bizerte,الشمال الشرقي,Nord-est,station
KAIROUAN SM,القيروان *,القيروان,True,599929.04,3948574.72,32.0,10.104228673264,35.675987770208,القيروان,Kairouan,الوسط الغربي,Centre-ouest,station
HAFFOUZ DRE,حفوز,حفوز,False,561271.88,3943732.13,32.0,9.6767193935907,35.635496703727,القيروان,Kairouan,الوسط الغربي,Centre-ouest,station
NEBHANA BARRAGE,سد نبهانة,سد نبهانة,False,563581.9,3916796.23,32.0,9.7001192638117,35.39249566249,القيروان,Kairouan,الوسط الغربي,Centre-ouest,station
OUSLATIA   INRAT,الوسلاتية,الوسلاتية,False,553437.33,3959154.32,32.0,9.5912254518265,35.774995501466,القيروان,Kairouan,الوسط الغربي,Centre-ouest,station
SBIKHA,السبيخة,السبيخة,False,593454.23,3975360.2,32.0,10.035819671359,35.918093077155,القيروان,Kairouan,الوسط الغربي,Centre-ouest,station
SIDI AMOR BOUHAJLA,سيدي عمر بوحجلة,سيدي عمر بوحجلة,False,596067.98,3917384.39,32.0,10.057861394452,35.395191328003,القيروان,Kairouan,الوسط الغربي,Centre-ouest,station
SIDI SAAD BARRAGE,سد سيدي سعد,سد سيدي سعد,False,563055.0,3915854.0,32.0,9.6942548337288,35.384035869199,القيروان,Kairouan,الوسط الغربي,Centre-ouest,station
KASSERINE,القصرين,القصرين,False,484175.15,3891432.64,32.0,8.8262275550563,35.165694109983,القصرين,Kasserine,الوسط الغربي,Centre-ouest,station
FERIANA SM,فريانة *,فريانة,True,461328.21,3867297.37,32.0,8.5764768869006,34.947445857836,القصرين,Kasserine,الوسط الغربي,Centre-ouest,station
FOUSSANA,فوسانة,فوسانة,False,466792.92,3912140.94,32.0,8.6345121037369,35.351990851149,القصرين,Kasserine,الوسط الغربي,Centre-ouest,station
KHANGUET ZAZIA,خنقة الزازية,خنقة الزازية,False,511354.83,3883141.79,32.0,9.1245631580291,35.090992806311,القصرين,Kasserine,الوسط الغربي,Centre-ouest,station
SBIBA VILLE SM,سبيبة *,سبيبة,True,511204.67,3898412.45,32.0,9.1231248552564,35.228695883134,القصرين,Kasserine,الوسط الغربي,Centre-ouest,station
SBEITLA  PAVA,سبيطلة,سبيطلة,False,511205.3,3898412.45,32.0,9.1231358445997,35.228695871943,القصرين,Kasserine,الوسط الغربي,Centre-ouest,station
TALA SM,تالة *,تالة,True,470148.43,3937282.79,32.0,8.6705244900281,35.578792305635,القصرين,Kasserine,الوسط الغربي,Centre-ouest,station
SIDI BOUZID SM,سيدي بوزيد,سيدي بوزيد,False,540827.91,3869253.03,32.0,9.4472191471552,34.964998893197,سيدي بوزيد,Sidi Bouzid,الوسط الغربي,Centre-ouest,station
SIDI ALI BEN AOUN,سيدي علي بن عون,سيدي علي بن عون,False,512991.7,3856994.7,32.0,9.1421145829507,34.855193643587,سيدي بوزيد,Sidi Bouzid,الوسط الغربي,Centre-ouest,station
BIR LAHFAY,بير الحفي,بير الحفي,False,517911.45,3865436.55,32.0,9.1961173357617,34.931244896437,سيدي بوزيد,Sidi Bouzid,الوسط الغربي,Centre-ouest,station
MEKNASSY GR SM,المكناسي *,المكناسي,True,474106.72,3864208.09,32.0,8.7165113220918,34.919998758571,سيدي بوزيد,Sidi Bouzid,الوسط الغربي,Centre-ouest,station
REGUEB SM DELEGATION,الرقاب *,الرقاب,True,572152.19,3856471.01,32.0,9.789227091835,34.847997081351,سيدي بوزيد,Sidi Bouzid,الوسط الغربي,Centre-ouest,station
JELMA HER,جلمة,جلمة,False,539038.42,3903181.05,32.0,9.429224538231,35.270998744003,سيدي بوزيد,Sidi Bouzid,الوسط الغربي,Centre-ouest,station
MEZZOUNA DISPENSAIRE,المزونة,المزونة,False,577688.81,3826322.89,32.0,9.8470003046027,34.575738862006,سيدي بوزيد,Sidi Bouzid,الوسط الغربي,Centre-ouest,station
SOUSSE PF,سوسة,سوسة,False,648678.8,3966232.68,32.0,10.646020214152,35.828981046413,سوسة,Sousse,الوسط الشرقي,Centre-est,station
ENFIDA FORET,النفيضة,النفيضة,False,623933.78,3999650.87,32.0,10.377370393624,36.133633001667,سوسة,Sousse,الوسط الشرقي,Centre-est,station
MSAKEN DELG SM,مساكن *,مساكن,True,642673.63,3955349.09,32.0,10.577622163729,35.731787423243,سوسة,Sousse,الوسط الشرقي,Centre-est,station
SIDI BOU ALI,سيدي بوعلي,سيدي بوعلي,False,633381.68,3980267.82,32.0,10.479071465564,35.957682144327,سوسة,Sousse,الوسط الشرقي,Centre-est,station
KUNDAR,الكندار,الكندار,False,615821.82,3979070.57,32.0,10.284219978133,35.949137046436,سوسة,Sousse,الوسط الشرقي,Centre-est,station
SKANES MONASTIR  SM,المنستير,المنستير,False,658567.66,3957626.28,32.0,10.753751845258,35.749872910709,المنستير,Monastir,الوسط الشرقي,Centre-est,station
MOKNINE SM,المكنين *,المكنين,True,655414.14,3943829.29,32.0,10.716227613649,35.626033501928,المنستير,Monastir,الوسط الشرقي,Centre-est,station
TEBOULBA BNE VENNE I,طبلبة,طبلبة,False,661100.75,3944978.94,32.0,10.779220676231,35.635476681236,المنستير,Monastir,الوسط الشرقي,Centre-est,station
JEMMEL,جــمال,جــمال,False,659657.04,3943654.69,32.0,10.763028593199,35.623779086531,المنستير,Monastir,الوسط الشرقي,Centre-est,station
MAHDIA,المهدية,المهدية,False,684188.87,3932442.47,32.0,11.03121950373,35.518476551356,المهدية,Mahdia,الوسط الشرقي,Centre-est,station
CHEBBA MUNICIPALITE,الشابة,الشابة,False,692527.66,3901455.2,32.0,11.115821843158,35.237677673665,المهدية,Mahdia,الوسط الشرقي,Centre-est,station
SOUASSI,السواسي,السواسي,False,640328.02,3912794.67,32.0,10.544328787262,35.348562893923,المهدية,Mahdia,الوسط الشرقي,Centre-est,station
EL JEM SM,الـــجم *,الـــجم,True,655436.32,3907231.37,32.0,10.70947559224,35.296183191178,المهدية,Mahdia,الوسط الشرقي,Centre-est,station
SFAX MAOU SM,صفاقس*,صفاقس,True,658803.72,3842974.82,32.0,10.734221118816,34.716489256855,صفاقس,Sfax,الوسط الشرقي,Centre-est,station
AGAREB DELEGATION,عقارب,عقارب,False,640341.47,3845380.59,32.0,10.533073894628,34.740884202099,صفاقس,Sfax,الوسط الشرقي,Centre-est,station
BIR ALI BEN KHELIFA,بير علي بن خليفة,بير علي بن خليفة,False,600261.35,3844457.33,32.0,10.095218308699,34.7372916582,صفاقس,Sfax,الوسط الشرقي,Centre-est,station
EL GHRAIBA,الغريبة,الغريبة,False,612115.63,3818240.8,32.0,10.221215220282,34.499686280162,صفاقس,Sfax,الوسط الشرقي,Centre-est,station
KERKENEH MELLITTA,قرقنة,قرقنة,False,686003.8,3835305.16,32.0,11.029420434163,34.642780381169,صفاقس,Sfax,الوسط الشرقي,Centre-est,station
MENZEL CHAKER,منزل شاكر,منزل شاكر,False,620462.24,3824684.23,32.0,10.313026468587,34.556840358118,صفاقس,Sfax,الوسط الشرقي,Centre-est,station
HANCHA,الحنشة,الحنشة,False,659006.63,3888071.25,32.0,10.745022258963,35.122933870335,صفاقس,Sfax,الوسط الشرقي,Centre-est,station
GAFSA 1 SM,قفصة *,قفصة,True,481552.08,3809299.04,32.0,8.7992282777848,34.424999447597,قفصة,Gafsa,الجنوب الغربي,Sud-ouest,station
EL GUETAR,القطار,القطار,False,493121.66,3799303.66,32.0,8.9252150527366,34.334994018586,قفصة,Gafsa,الجنوب الغربي,Sud-ouest,station
ESSNED,السند,السند,False,523692.5,3822783.79,32.0,9.2582167860925,34.546492564652,قفصة,Gafsa,الجنوب الغربي,Sud-ouest,station
METLAOUI SM,المنلوي*,المنلوي,True,446750.8,3797456.85,32.0,8.4212205791668,34.3169908754,قفصة,Gafsa,الجنوب الغربي,Sud-ouest,station
MOULARES SM,الرديف *,الرديف,True,423606.11,3802607.62,32.0,8.1692280359067,34.36199140257,قفصة,Gafsa,الجنوب الغربي,Sud-ouest,station
REDEYEF  SM,سيدي يعيش,سيدي يعيش,False,480049.09,3840938.8,32.0,8.782128161433,34.710292544062,قفصة,Gafsa,الجنوب الغربي,Sud-ouest,station
SIDI AIECH,أم العرائس*,أم العرائس,True,435289.89,3816491.96,32.0,8.295219542952,34.487989060025,قفصة,Gafsa,الجنوب الغربي,Sud-ouest,station
TOZEUR SM,توزر *,توزر,True,416556.7,3754222.61,32.0,8.0972216905366,33.925131003408,توزر,Tozeur,الجنوب الغربي,Sud-ouest,station
TAMEGHZA.GN,تمغزة,تمغزة,False,403085.08,3804794.4,32.0,7.9458483277853,34.379991548716,توزر,Tozeur,الجنوب الغربي,Sud-ouest,station
DEGACHE MUNICIPALITE,دقاش,دقاش,False,429748.99,3760642.57,32.0,8.239418540168,33.983992336094,توزر,Tozeur,الجنوب الغربي,Sud-ouest,station
NEFTA,نفطة,نفطة,False,398926.4,3747148.07,32.0,7.9073248337416,33.85979424834,توزر,Tozeur,الجنوب الغربي,Sud-ouest,station
KEBILI SE,قبلي,قبلي,False,498075.25,3729447.94,32.0,8.979226434895,33.704991510318,قبلي,Kébili,الجنوب الغربي,Sud-ouest,station
KSAR GHILENE,قصر غيلان,قصر غيلان,False,561955.19,3651615.28,32.0,9.6632202201145,33.001195698286,قبلي,Kébili,الجنوب الغربي,Sud-ouest,station
EL FAOUR DOUZ,الفوار,الفوار,False,469183.87,3692377.57,32.0,8.6687198150386,33.370194346547,قبلي,Kébili,الجنوب الغربي,Sud-ouest,station
DOUZ CRDA SM,دوز *,دوز,True,502251.52,3702506.47,32.0,9.0242235902315,33.461995728493,قبلي,Kébili,الجنوب الغربي,Sud-ouest,station
GABES SM,قابس *,قابس,True,602561.24,3746964.39,32.0,10.108726534092,33.857991350912,قابس,Gabès,الجنوب الشرقي,Sud-est,station
EL HAMMA PV,الحامة,الحامة,False,575515.04,3745214.25,32.0,9.8162286786549,33.844494945233,قابس,Gabès,الجنوب الشرقي,Sud-est,station
METOUIA SM,المطوية *,المطوية,True,595788.88,3757972.14,32.0,10.036719645474,33.957894250754,قابس,Gabès,الجنوب الشرقي,Sud-est,station
MATMATA DELEGATION,مطماطة,مطماطة,False,591655.57,3711922.95,32.0,9.9872229572641,33.542987432668,قابس,Gabès,الجنوب الشرقي,Sud-est,station
MEDENINE 1 SM,مدنين *,مدنين,True,639617.92,3689541.58,32.0,10.50021922704,33.335985664643,مدنين,Médenine,الجنوب الشرقي,Sud-est,station
BENI KHEDECHE,بني خداش,بني خداش,False,612090.36,3679204.37,32.0,10.203218268019,33.245990797534,مدنين,Médenine,الجنوب الشرقي,Sud-est,station
BEN GUERDANE 1 SM,بن قردان *,بن قردان,True,665078.01,3670475.39,32.0,10.770229027541,33.160483890664,مدنين,Médenine,الجنوب الشرقي,Sud-est,station
ZARZIS VILLE SE 2,جرجيس,جرجيس,False,696693.86,3708503.89,32.0,11.117349738899,33.497973658389,مدنين,Médenine,الجنوب الشرقي,Sud-est,station
JERBA EL MAY SM,جربة حومة السوق*,جربة حومة السوق,True,674693.73,3741526.05,32.0,10.887131293012,33.799484713202,مدنين,Médenine,الجنوب الشرقي,Sud-est,station
TATAOUINE SM,تطاوين *,تطاوين,True,635705.26,3644173.01,32.0,10.45144644085,32.927391566603,تطاوين,Tataouine,الجنوب الشرقي,Sud-est,station
"GHOMRASSEN DELEG,",غمراسن,غمراسن,False,625763.48,3659410.56,32.0,10.347223976068,33.065987765703,تطاوين,Tataouine,الجنوب الشرقي,Sud-est,station
REMADA SM,رمادة *,رمادة,True,632099.06,3576261.17,32.0,10.403298464436,32.315391001834,تطاوين,Tataouine,الجنوب الشرقي,Sud-est,station
Kalaat Andalos,قلعة الأندلس,قلعة الأندلس,,,,,10.114,37.033,أريانة,Ariana,الشمال الشرقي,Nord-est,station
Sidi Boubaker,سيدي بوبكر,سيدي بوبكر,,,,,8.461188,34.665906,قفصة,Gafsa,الجنوب الغربي,Sud-ouest,station
