annee,type_de_peche,valeur_1000_dinars,feuille
2012,صيد التنيات,7196.0,Feuil2
2012,تربية الاحياء المائية,70807.0,Feuil2
2012,صيد البحيرات,2092.0,Feuil2
2012,صيد المحار,2413.0,Feuil2
2012,صيد الاسفنج,1190.0,Feuil2
2012,صيد جرادالبحر,1286.0,Feuil2
2012,صيد المرجان الأحمر,2666.0,Feuil2
2012,المجموع,466156.0,Feuil2
2013,صيد ساحلي,167930.0,Feuil2
2013,صيد بالجر القاعي,138763.0,Feuil2
2013,صيد بالجر العائم,891.0,Feuil2
2013,صيدالسمك الازرق,106072.0,Feuil2
2013,صيد التنيات,21332.0,Feuil2
2013,تربية الاحياء المائية,91562.0,Feuil2
2013,صيد البحيرات,3014.0,Feuil2
2013,صيد المحار,3734.0,Feuil2
2013,صيد الاسفنج,1600.0,Feuil2
2013,صيد جرادالبحر,1882.0,Feuil2
2013,صيد المرجان الأحمر,3224.0,Feuil2
2013,المجموع,540004.0,Feuil2
2014,صيد ساحلي,213566.0,Feuil2
2014,صيد بالجر القاعي,158647.0,Feuil2
2014,صيد بالجر العائم,889.0,Feuil2
2014,صيدالسمك الازرق,117688.0,Feuil2
2014,صيد التنيات,26239.0,Feuil2
2014,تربية الاحياء المائية,98780.0,Feuil2
2014,صيد البحيرات,2126.0,Feuil2
2014,صيد المحار,6642.0,Feuil2
2014,صيد الاسفنج,3505.0,Feuil2
2014,صيد جرادالبحر,2262.0,Feuil2
2014,صيد المرجان الأحمر,6206.0,Feuil2
2014,المجموع,636550.0,Feuil2
2015,صيد ساحلي,239572.0,Feuil2
2015,صيد بالجر القاعي,185226.0,Feuil2
2015,صيد بالجر العائم,612.0,Feuil2
2015,صيدالسمك الازرق,136241.0,Feuil2
2015,صيد التنيات,25650.0,Feuil2
2015,تربية الاحياء المائية,123971.0,Feuil2
2015,صيد البحيرات,4385.0,Feuil2
2015,صيد المحار,7054.0,Feuil2
2015,صيد الاسفنج,2996.0,Feuil2
2015,صيد جرادالبحر,1931.0,Feuil2
2015,صيد المرجان الأحمر,8827.0,Feuil2
2015,المجموع,736465.0,Feuil2
2016,صيد ساحلي,254338.0,Feuil2
2016,صيد بالجر القاعي,202778.0,Feuil2
2016,صيد بالجر العائم,326.0,Feuil2
2016,صيدالسمك الازرق,118778.0,Feuil2
2016,صيد التنيات,44204.0,Feuil2
2016,تربية الاحياء المائية,178387.0,Feuil2
2016,صيد البحيرات,5115.0,Feuil2
2016,صيد المحار,10568.0,Feuil2
2016,صيد الاسفنج,5149.0,Feuil2
2016,صيد جرادالبحر,2583.0,Feuil2
2016,صيد المرجان الأحمر,6144.0,Feuil2
2016,المجموع,828370.0,Feuil2
2017,صيد ساحلي,304210.0,Feuil2
2017,صيد بالجر القاعي,211270.0,Feuil2
2017,صيد بالجر العائم,183.0,Feuil2
2017,صيدالسمك الازرق,179949.0,Feuil2
2017,صيد التنيات,61595.0,Feuil2
2017,تربية الاحياء المائية,229184.0,Feuil2
2017,صيد البحيرات,4900.0,Feuil2
2017,صيد المحار,10607.0,Feuil2
2017,صيد الاسفنج,4233.0,Feuil2
2017,صيد جرادالبحر,3205.0,Feuil2
2017,صيد المرجان الأحمر,5568.0,Feuil2
2017,المجموع,1014904.0,Feuil2
2018,صيد ساحلي,397292.0,Feuil2
2018,صيد بالجر القاعي,253005.0,Feuil2
2018,صيد بالجر العائم,0.0,Feuil2
2018,صيدالسمك الازرق,238925.0,Feuil2
2018,صيد التنيات,63450.0,Feuil2
2018,تربية الاحياء المائية,243416.0,Feuil2
2018,صيد البحيرات,5710.0,Feuil2
2018,صيد المحار,9185.0,Feuil2
2018,صيد الاسفنج,1713.0,Feuil2
2018,صيد جرادالبحر,2446.0,Feuil2
2018,صيد المرجان الأحمر,6199.0,Feuil2
2018,المجموع,1221341.0,Feuil2
2019,صيد ساحلي,492308.0,Feuil2
2019,صيد بالجر القاعي,253538.0,Feuil2
2019,صيد بالجر العائم,,Feuil2
2019,صيدالسمك الازرق,207862.0,Feuil2
2019,صيد التنيات,72000.0,Feuil2
2019,تربية الاحياء المائية,339240.0,Feuil2
2019,صيد البحيرات,4216.0,Feuil2
2019,صيد المحار,4911.0,Feuil2
2019,صيد الاسفنج,4325.0,Feuil2
2019,صيد جرادالبحر,2830.0,Feuil2
2019,صيد المرجان الأحمر,5813.0,Feuil2
2019,المجموع,1387043.0,Feuil2
2020,صيد ساحلي,409230.0,Feuil2
2020,صيد بالجر القاعي,369133.0,Feuil2
2020,صيد بالجر العائم,0.0,Feuil2
2020,صيدالسمك الازرق,195418.0,Feuil2
2020,صيد التنيات,127125.0,Feuil2
2020,تربية الاحياء المائية,330668.0,Feuil2
2020,صيد البحيرات,7201.0,Feuil2
2020,صيد المحار,1777.0,Feuil2
2020,صيد الاسفنج,1200.0,Feuil2
2020,صيد جرادالبحر,2054.0,Feuil2
2020,صيد المرجان الأحمر,4598.0,Feuil2
2020,المجموع,1448404.0,Feuil2
2021,صيد ساحلي,458204.0,Feuil2
2021,صيد بالجر القاعي,353982.0,Feuil2
2021,صيد بالجر العائم,,Feuil2
2021,صيدالسمك الازرق,194330.0,Feuil2
2021,صيد التنيات,131002.0,Feuil2
2021,تربية الاحياء المائية,380896.0,Feuil2
2021,صيد البحيرات,6187.0,Feuil2
2021,صيد المحار,,Feuil2
2021,صيد الاسفنج,180.0,Feuil2
2021,صيد جرادالبحر,2467.0,Feuil2
2021,صيد المرجان الأحمر,4002.0,Feuil2
2021,المجموع,1531250.0,Feuil2
2022,صيد ساحلي,407624.0,Feuil2
2022,صيد بالجر القاعي,338310.0,Feuil2
2022,صيد بالجر العائم,,Feuil2
2022,صيدالسمك الازرق,230376.0,Feuil2
2022,صيد التنيات,132659.0,Feuil2
2022,تربية الاحياء المائية,328885.0,Feuil2
2022,صيد البحيرات,5639.0,Feuil2
2022,صيد المحار,,Feuil2
2022,صيد الاسفنج,2800.0,Feuil2
2022,صيد جرادالبحر,2268.0,Feuil2
2022,صيد المرجان الأحمر,4647.0,Feuil2
2022,المجموع,1453208.0,Feuil2
2023,صيد ساحلي,470465.0,Feuil2
2023,صيد بالجر القاعي,342945.0,Feuil2
2023,صيد بالجر العائم,,Feuil2
2023,صيدالسمك الازرق,254660.0,Feuil2
2023,صيد التنيات,128570.0,Feuil2
2023,تربية الاحياء المائية,349192.0,Feuil2
2023,صيد البحيرات,6134.0,Feuil2
2023,صيد المحار,,Feuil2
2023,صيد الاسفنج,3000.0,Feuil2
2023,صيد جرادالبحر,2020.0,Feuil2
2023,صيد المرجان الأحمر,6301.0,Feuil2
2023,المجموع,1563287.0,Feuil2
