annee,gouvernorat,valeur_production_1000_dinars,feuille
2015,قابس,26452,Feuil1
2015,مدنين,79142,Feuil1
2015,ولايات اخرى,854,Feuil1
2016,جندوبة و باجة,7946,Feuil1
2016,بنزرت,54426,Feuil1
2016,اريانة,1133,Feuil1
2016,تونس و بن عروس,18391,Feuil1
2016,نابل,78852,Feuil1
2016,سوسة,59770,Feuil1
2016,المنستير,144059,Feuil1
2016,المهدية,185461,Feuil1
2016,صفاقس,165405,Feuil1
2016,قابس,23678,Feuil1
2016,مدنين,87653,Feuil1
2016,ولايات اخرى,1596,Feuil1
2017,جندوبة و باجة,9053,Feuil1
2017,بنزرت,84041,Feuil1
2017,اريانة,1125,Feuil1
2017,تونس و بن عروس,32595,Feuil1
2017,نابل,83586,Feuil1
2017,سوسة,56311,Feuil1
2017,المنستير,225721,Feuil1
2017,المهدية,138889,Feuil1
2017,صفاقس,225219,Feuil1
2017,قابس,28995,Feuil1
2017,مدنين,127234,Feuil1
2017,ولايات اخرى,2135,Feuil1
2018,جندوبة و باجة,10355,Feuil1
2018,بنزرت,68428,Feuil1
2018,اريانة,2208,Feuil1
2018,تونس و بن عروس,25968,Feuil1
2018,نابل,78428,Feuil1
2018,سوسة,47283,Feuil1
2018,المنستير,298607,Feuil1
2018,المهدية,198694,Feuil1
2018,صفاقس,302158,Feuil1
2018,قابس,38835,Feuil1
2018,مدنين,149875,Feuil1
2018,ولايات اخرى,502,Feuil1
2019,جندوبة و باجة,11485,Feuil1
2019,بنزرت,83838,Feuil1
2019,اريانة,1715,Feuil1
2019,تونس و بن عروس,32750,Feuil1
2019,نابل,86696,Feuil1
2019,سوسة,55372,Feuil1
2019,المنستير,299720,Feuil1
2019,المهدية,219126,Feuil1
2019,صفاقس,341564,Feuil1
2019,قابس,46693,Feuil1
2019,مدنين,139738,Feuil1
2019,ولايات اخرى,68346,Feuil1
2020,جندوبة و باجة,12210,Feuil1
2020,بنزرت,73034,Feuil1
2020,اريانة,1447,Feuil1
2020,تونس و بن عروس,23544,Feuil1
2020,نابل,95780,Feuil1
2020,سوسة,63174,Feuil1
2020,المنستير,307181,Feuil1
2020,المهدية,318615,Feuil1
2020,صفاقس,384763,Feuil1
2020,قابس,49816,Feuil1
2020,مدنين,117925,Feuil1
2020,ولايات اخرى,915,Feuil1
2021,جندوبة و باجة,14721,Feuil1
2021,بنزرت,80493,Feuil1
2021,اريانة,4856,Feuil1
2021,تونس و بن عروس,32606,Feuil1
2021,نابل,98783,Feuil1
2021,سوسة,94182,Feuil1
2021,المنستير,332268,Feuil1
2021,المهدية,305704,Feuil1
2021,صفاقس,360902,Feuil1
2021,قابس,81122,Feuil1
2021,مدنين,123321,Feuil1
2021,ولايات اخرى,2292,Feuil1
2022,جندوبة و باجة,12755,Feuil1
2022,بنزرت,87602,Feuil1
2022,اريانة,5185,Feuil1
2022,تونس و بن عروس,37842,Feuil1
2022,نابل,93146,Feuil1
2022,سوسة,82755,Feuil1
2022,المنستير,345912,Feuil1
2022,المهدية,261816,Feuil1
2022,صفاقس,317784,Feuil1
2022,قابس,90521,Feuil1
2022,مدنين,116687,Feuil1
2022,ولايات اخرى,1203,Feuil1
2023,جندوبة و باجة,14026,Feuil1
2023,بنزرت,112404,Feuil1
2023,اريانة,4949,Feuil1
2023,تونس و بن عروس,48378,Feuil1
2023,نابل,108034,Feuil1
2023,سوسة,107061,Feuil1
2023,المنستير,388208,Feuil1
2023,المهدية,286009,Feuil1
2023,صفاقس,273519,Feuil1
2023,قابس,81949,Feuil1
2023,مدنين,137733,Feuil1
2023,ولايات اخرى,1017,Feuil1
