annee,delegation,superficie_des_cereales_en_ha,superficie_des_fourrages_en_ha,superficie_des_legumineuses_en_ha,superficie_des_cultures_maraicheres_en_ha,feuille
2023,BORJ EL AMRI,4934.679784366577,1540.562248995984,182.52631578947367,164.616497829233,Feuil2
2023,DJEDAIDA,5665.43935309973,3635.726907630522,176.4421052631579,404.9475695208169,Feuil2
2023,TEBOURBA,7636.026954177898,2262.425702811245,638.8421052631578,94.16063675832127,Feuil2
2023,EL BATTANE,2450.9183288409704,1162.0240963855422,42.589473684210525,520.1881331403763,Feuil2
2024,MANOUBA,145.0,252.1606425702811,28.184210526315784,35.09406657018813,Feuil2
2024,DOUAR HICHER,87.0,74.56023222060958,0.0,10.528219971056439,Feuil2
2024,OUED ELLIL,775.0,882.562248995984,28.184210526315784,63.16931982633864,Feuil2
2024,MORNAGUIA,10533.0,1862.5502008032129,62.63157894736842,84.22575976845151,Feuil2
2024,BORJ EL AMRI,5825.0,2005.8232931726907,187.89473684210526,175.47033285094068,Feuil2
2024,DJEDAIDA,6685.0,4733.74297188755,181.63157894736844,431.64740926944216,Feuil2
2024,TEBOURBA,9010.0,2945.694779116466,657.6315789473683,100.36903039073806,Feuil2
2024,EL BATTANE,2890.0,1512.9638554216867,43.8421052631579,554.4862518089725,Feuil2
