annee,gouvernorat,effectif_menages_communal,effectif_menages_non_communal,menages_communal_branches,menages_non_communal_branches,taux_branchement_comm,taux_branchement_non_comm,feuille
2020,Nabeul,161.9557156403505,73.00622083304154,161.867,42.705,0.9994522228499332,0.584950152366637,Feuil1
2020,Zaghouan,22.368904749939343,26.81841357100869,22.316,12.285,0.9976348976165457,0.4580807871976574,Feuil1
2020,Bizerte,104.71735318811098,53.42508726243098,104.305,27.701,0.996062226789,0.5185017267997913,Feuil1
2020,Nord Est,289.0419735784008,153.2497216664812,288.488,82.691,0.9980834147665735,0.5395833617235613,Feuil1
2020,Beja,36.567668823391,43.83206295378335,36.548,17.709,0.9994621253138669,0.404019313867851,Feuil1
2020,Jendouba,35.469601469259814,77.53796783497641,35.451,32.441,0.999475565879252,0.4183885766653568,Feuil1
2020,Le Kef,41.33033359227322,28.996575627162617,40.956,8.572,0.990942884807898,0.2956211143763526,Feuil1
2020,Siliana,28.16109198403347,34.45482204113415,28.146,12.123,0.9994640838486653,0.3518520567462767,Feuil1
2020,Nord Ouest,141.5286958689575,184.82142845705653,141.101,70.84500000000001,0.9969780272026706,0.3833159422661909,Feuil1
2020,Kairouan,53.72540900040118,93.65401422126575,53.419,29.477,0.994296758161508,0.3147435830177874,Feuil1
2020,Kasserine,50.11197621873839,57.782746224911406,49.062,6.714,0.9790473994848007,0.116193854370761,Feuil1
2020,Sidi Bouzid,30.368035676580007,76.09953981728096,30.346,23.528,0.9992743792580235,0.3091740115182296,Feuil1
2020,Centre Ouest,134.20542089571958,227.53630026345814,132.827,59.719,0.9897290222219067,0.2624592204885681,Feuil1
2020,Sousse,163.20428742495676,32.041785856976134,162.943,25.003166757774185,0.9983990161712087,0.78033,Feuil1
2020,Monastir,147.97651151694245,0.0,147.90104349606875,,0.9994899999999995,,Feuil1
2020,Mahdia,55.23927119464296,56.32472946709555,55.2099943809098,37.097719816207814,0.99947,0.65864,Feuil1
2020,Sfax,171.84258432189563,88.83324143694142,171.75322617804815,49.94116000343408,0.9994799999999995,0.5621899999999997,Feuil1
2020,Centre Est,538.2626544584377,177.1997567610131,537.8072640550267,112.04204657741607,0.9991539624760533,0.632292327175853,Feuil1
2020,Gafsa,67.66322986264281,20.538413152591477,67.38581062020597,6.215,0.9959,0.3026037091485721,Feuil1
