annee,source,volume_produit_million_m3,feuille
2008,Eaux Traitées-HarKousia,0.4,Feuil1
2008,Eaux Traitées-Ain Drahem,0.7,Feuil1
2008,Eaux Traitées-Zahret Median,0.7,Feuil1
2008,Eaux Traitées-Ezzouhour,1.3,Feuil1
2008,Eaux Traitées-Lebna,0.0,Feuil1
2008,Eaux Traitées-Znatir,0.0,Feuil1
2008,Eaux souterraines-Mateur,3.4,Feuil1
2008,Eaux souterraines-Faouara,2.1,Feuil1
2008,Eaux souterraines-Zaghouan et Bargou,10.3,Feuil1
2008,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,1.6,Feuil1
2008,Eaux souterraines-Kairouanais,26.4,Feuil1
2008,Eaux souterraines-Sbeitla-Jelma,28.5,Feuil1
2008,Eaux souterraines-Sud Tunisien,25.1,Feuil1
2008,Eaux souterraines-Gabes,13.4,Feuil1
2008,Eaux souterraines-Régies autonomes,72.4,Feuil1
2008,Eaux dessalées-Gabes,7.5,Feuil1
2008,Eaux dessalées-Kerkenah,1.2,Feuil1
2008,Eaux dessalées-Jerba,5.2,Feuil1
2008,Eaux dessalées-Zarzis,4.3,Feuil1
2008,Eaux dessalées-Autres,0.0,Feuil1
2008,Eaux déferinisées- Sfax,0.0,Feuil1
2009,Eaux Traitées-Fernana,27.123,Feuil1
2009,Eaux Traitées-GEC,131.03392,Feuil1
2009,Eaux Traitées-Belli,88.268724,Feuil1
2009,Eaux Traitées-Mateur,17.528096,Feuil1
2009,Eaux Traitées-Sidi Ejdidi,13.758512,Feuil1
2009,Eaux Traitées-Oued El Kébir,1.677074,Feuil1
2009,Eaux Traitées-HarKousia,0.120106,Feuil1
2009,Eaux Traitées-Ain Drahem,0.636634,Feuil1
2009,Eaux Traitées-Zahret Median,0.651614,Feuil1
2009,Eaux Traitées-Ezzouhour,0.539947,Feuil1
2009,Eaux Traitées-Lebna,0.0,Feuil1
2009,Eaux Traitées-Znatir,0.0,Feuil1
2009,Eaux souterraines-Mateur,2.492378,Feuil1
2009,Eaux souterraines-Faouara,2.070928,Feuil1
2009,Eaux souterraines-Zaghouan et Bargou,8.780406,Feuil1
2009,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,2.802505,Feuil1
2009,Eaux souterraines-Kairouanais,27.419658,Feuil1
2009,Eaux souterraines-Sbeitla-Jelma,27.928365,Feuil1
2009,Eaux souterraines-Sud Tunisien,26.36698,Feuil1
2009,Eaux souterraines-Gabes,15.012,Feuil1
2009,Eaux souterraines-Régies autonomes,73.445,Feuil1
2009,Eaux dessalées-Gabes,7.547637,Feuil1
2009,Eaux dessalées-Kerkenah,1.221797,Feuil1
2009,Eaux dessalées-Jerba,6.130674,Feuil1
2009,Eaux dessalées-Zarzis,4.59352,Feuil1
2009,Eaux dessalées-Autres,0.0,Feuil1
2009,Eaux déferinisées- Sfax,3.672238,Feuil1
2010,Eaux Traitées-Fernana,25.312637,Feuil1
2010,Eaux Traitées-GEC,137.782084,Feuil1
2010,Eaux Traitées-Belli,97.328937,Feuil1
2010,Eaux Traitées-Mateur,17.043497,Feuil1
2010,Eaux Traitées-Sidi Ejdidi,13.364228,Feuil1
2010,Eaux Traitées-Oued El Kébir,0.675585,Feuil1
2010,Eaux Traitées-HarKousia,0.331669,Feuil1
2010,Eaux Traitées-Ain Drahem,0.659537,Feuil1
2010,Eaux Traitées-Zahret Median,0.714989,Feuil1
2010,Eaux Traitées-Ezzouhour,1.125518,Feuil1
2010,Eaux Traitées-Lebna,0.0,Feuil1
2010,Eaux Traitées-Znatir,0.0,Feuil1
2010,Eaux souterraines-Mateur,3.924323,Feuil1
2010,Eaux souterraines-Faouara,2.318065,Feuil1
2010,Eaux souterraines-Zaghouan et Bargou,8.491825,Feuil1
2010,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,3.792508,Feuil1
2010,Eaux souterraines-Kairouanais,27.811965,Feuil1
2010,Eaux souterraines-Sbeitla-Jelma,29.501643,Feuil1
2010,Eaux souterraines-Sud Tunisien,28.160036,Feuil1
2010,Eaux souterraines-Gabes,17.263069,Feuil1
2010,Eaux souterraines-Régies autonomes,84.431,Feuil1
2010,Eaux dessalées-Gabes,8.046712,Feuil1
2010,Eaux dessalées-Kerkenah,0.985629,Feuil1
2010,Eaux dessalées-Jerba,5.776597,Feuil1
2010,Eaux dessalées-Zarzis,4.910308,Feuil1
2010,Eaux dessalées-Autres,0.0,Feuil1
2010,Eaux déferinisées- Sfax,4.244692,Feuil1
2011,Eaux Traitées-Fernana,23.571,Feuil1
2011,Eaux Traitées-GEC,147.13,Feuil1
2011,Eaux Traitées-Belli,100.134,Feuil1
2011,Eaux Traitées-Mateur,19.291,Feuil1
2011,Eaux Traitées-Sidi Ejdidi,12.284,Feuil1
2011,Eaux Traitées-Oued El Kébir,0.911,Feuil1
2011,Eaux Traitées-HarKousia,0.606,Feuil1
2011,Eaux Traitées-Ain Drahem,0.702,Feuil1
2011,Eaux Traitées-Zahret Median,0.785,Feuil1
2011,Eaux Traitées-Ezzouhour,1.543,Feuil1
2011,Eaux Traitées-Lebna,0.0,Feuil1
2011,Eaux Traitées-Znatir,0.0,Feuil1
2011,Eaux souterraines-Mateur,4.519,Feuil1
2011,Eaux souterraines-Faouara,1.859,Feuil1
2011,Eaux souterraines-Zaghouan et Bargou,7.284,Feuil1
2011,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,3.85,Feuil1
2011,Eaux souterraines-Kairouanais,28.332,Feuil1
2011,Eaux souterraines-Sbeitla-Jelma,29.633,Feuil1
2011,Eaux souterraines-Sud Tunisien,29.768,Feuil1
2011,Eaux souterraines-Gabes,14.388,Feuil1
2011,Eaux souterraines-Régies autonomes,89.278,Feuil1
2011,Eaux dessalées-Gabes,8.023922,Feuil1
2011,Eaux dessalées-Kerkenah,1.014926,Feuil1
2011,Eaux dessalées-Jerba,5.440186,Feuil1
2011,Eaux dessalées-Zarzis,4.805029,Feuil1
2011,Eaux dessalées-Autres,0.0,Feuil1
2011,Eaux déferinisées- Sfax,5.396834,Feuil1
2012,Eaux Traitées-Fernana,26.138,Feuil1
2012,Eaux Traitées-GEC,160.548662,Feuil1
2012,Eaux Traitées-Belli,104.250442,Feuil1
2012,Eaux Traitées-Mateur,21.854612,Feuil1
2012,Eaux Traitées-Sidi Ejdidi,12.761714,Feuil1
2012,Eaux Traitées-Oued El Kébir,1.180697,Feuil1
2012,Eaux Traitées-HarKousia,0.968073,Feuil1
2012,Eaux Traitées-Ain Drahem,0.732293,Feuil1
2012,Eaux Traitées-Zahret Median,0.873067,Feuil1
2012,Eaux Traitées-Ezzouhour,3.170595,Feuil1
2012,Eaux Traitées-Lebna,0.03194,Feuil1
2012,Eaux Traitées-Znatir,0.0,Feuil1
2012,Eaux souterraines-Mateur,3.103974,Feuil1
2012,Eaux souterraines-Faouara,2.236835,Feuil1
2012,Eaux souterraines-Zaghouan et Bargou,9.273158,Feuil1
2012,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,4.396113,Feuil1
2012,Eaux souterraines-Kairouanais,28.066781000000002,Feuil1
2012,Eaux souterraines-Sbeitla-Jelma,30.3691,Feuil1
2012,Eaux souterraines-Sud Tunisien,31.428594000000004,Feuil1
2012,Eaux souterraines-Gabes,17.567999999999998,Feuil1
2012,Eaux souterraines-Régies autonomes,94.291,Feuil1
2012,Eaux dessalées-Gabes,7.628579,Feuil1
2012,Eaux dessalées-Kerkenah,1.602742,Feuil1
2012,Eaux dessalées-Jerba,5.733518,Feuil1
2012,Eaux dessalées-Zarzis,4.74556,Feuil1
2012,Eaux dessalées-Autres,0.0,Feuil1
2012,Eaux déferinisées- Sfax,6.220821,Feuil1
2013,Eaux Traitées-Fernana,28.671683,Feuil1
2013,Eaux Traitées-GEC,165.522161,Feuil1
2013,Eaux Traitées-Belli,110.037596,Feuil1
2013,Eaux Traitées-Mateur,23.056815,Feuil1
2013,Eaux Traitées-Sidi Ejdidi,12.897702,Feuil1
2013,Eaux Traitées-Oued El Kébir,0.619593,Feuil1
2013,Eaux Traitées-HarKousia,1.279055,Feuil1
2013,Eaux Traitées-Ain Drahem,0.783355,Feuil1
2013,Eaux Traitées-Zahret Median,0.888731,Feuil1
2013,Eaux Traitées-Ezzouhour,1.87856,Feuil1
2013,Eaux Traitées-Lebna,0.289034,Feuil1
2013,Eaux Traitées-Znatir,1.307722,Feuil1
2013,Eaux souterraines-Mateur,3.045939,Feuil1
2013,Eaux souterraines-Faouara,2.143649000000001,Feuil1
2013,Eaux souterraines-Zaghouan et Bargou,8.996038,Feuil1
2013,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,5.951636,Feuil1
2013,Eaux souterraines-Kairouanais,28.515955,Feuil1
2013,Eaux souterraines-Sbeitla-Jelma,30.590805,Feuil1
2013,Eaux souterraines-Sud Tunisien,33.001896,Feuil1
2013,Eaux souterraines-Gabes,19.985465000000005,Feuil1
2013,Eaux souterraines-Régies autonomes,102.08417,Feuil1
2013,Eaux dessalées-Gabes,6.532929,Feuil1
2013,Eaux dessalées-Kerkenah,1.6575,Feuil1
2013,Eaux dessalées-Jerba,6.427522,Feuil1
2013,Eaux dessalées-Zarzis,5.034263,Feuil1
2013,Eaux dessalées-Autres,0.284006,Feuil1
2013,Eaux déferinisées- Sfax,7.87368,Feuil1
2014,Eaux Traitées-Fernana,28.044658,Feuil1
2014,Eaux Traitées-GEC,173.287115,Feuil1
2014,Eaux Traitées-Belli,115.84826,Feuil1
2014,Eaux Traitées-Mateur,23.656765,Feuil1
2014,Eaux Traitées-Sidi Ejdidi,12.239205,Feuil1
2014,Eaux Traitées-Oued El Kébir,1.049025,Feuil1
2014,Eaux Traitées-HarKousia,1.274927,Feuil1
2014,Eaux Traitées-Ain Drahem,0.922201,Feuil1
2014,Eaux Traitées-Zahret Median,1.017405,Feuil1
2014,Eaux Traitées-Ezzouhour,1.424914,Feuil1
2014,Eaux Traitées-Lebna,0.603348,Feuil1
2014,Eaux Traitées-Znatir,1.14615,Feuil1
2014,Eaux souterraines-Mateur,3.79716,Feuil1
2014,Eaux souterraines-Faouara,3.419981999999999,Feuil1
2014,Eaux souterraines-Zaghouan et Bargou,9.253247,Feuil1
2014,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,7.185252,Feuil1
2014,Eaux souterraines-Kairouanais,28.427793,Feuil1
2014,Eaux souterraines-Sbeitla-Jelma,28.763945,Feuil1
2014,Eaux souterraines-Sud Tunisien,33.755501,Feuil1
2014,Eaux souterraines-Gabes,22.040335,Feuil1
2014,Eaux souterraines-Régies autonomes,104.345,Feuil1
2014,Eaux dessalées-Gabes,4.682226,Feuil1
2014,Eaux dessalées-Kerkenah,1.586104,Feuil1
2014,Eaux dessalées-Jerba,6.382903,Feuil1
2014,Eaux dessalées-Zarzis,4.844223,Feuil1
2014,Eaux dessalées-Autres,0.48576,Feuil1
2014,Eaux déferinisées- Sfax,8.010042,Feuil1
2015,Eaux Traitées-Fernana,24.492363,Feuil1
2015,Eaux Traitées-GEC,180.50301000000002,Feuil1
2015,Eaux Traitées-Belli,122.419021,Feuil1
2015,Eaux Traitées-Mateur,24.34907,Feuil1
2015,Eaux Traitées-Sidi Ejdidi,12.362293,Feuil1
2015,Eaux Traitées-Oued El Kébir,0.891008,Feuil1
2015,Eaux Traitées-HarKousia,1.380304,Feuil1
2015,Eaux Traitées-Ain Drahem,0.906995,Feuil1
2015,Eaux Traitées-Zahret Median,1.261403,Feuil1
2015,Eaux Traitées-Ezzouhour,2.250351,Feuil1
2015,Eaux Traitées-Lebna,0.965158,Feuil1
2015,Eaux Traitées-Znatir,0.708472,Feuil1
2015,Eaux souterraines-Mateur,4.431812,Feuil1
2015,Eaux souterraines-Faouara,4.462211999999999,Feuil1
2015,Eaux souterraines-Zaghouan et Bargou,9.815771,Feuil1
2015,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,7.185252,Feuil1
2015,Eaux souterraines-Kairouanais,28.502482,Feuil1
2015,Eaux souterraines-Sbeitla-Jelma,28.670305,Feuil1
2015,Eaux souterraines-Sud Tunisien,34.675136,Feuil1
2015,Eaux souterraines-Gabes,21.5015,Feuil1
2015,Eaux souterraines-Régies autonomes,108.738047,Feuil1
2015,Eaux dessalées-Gabes,4.468503,Feuil1
2015,Eaux dessalées-Kerkenah,1.737721,Feuil1
2015,Eaux dessalées-Jerba,6.518358,Feuil1
2015,Eaux dessalées-Zarzis,4.892889,Feuil1
2015,Eaux dessalées-Autres,0.417945,Feuil1
2015,Eaux déferinisées- Sfax,8.022925,Feuil1
2016,Eaux Traitées-Fernana,24.510504,Feuil1
2016,Eaux Traitées-GEC,184.280356,Feuil1
2016,Eaux Traitées-Belli,126.660365,Feuil1
2016,Eaux Traitées-Mateur,23.869399,Feuil1
2016,Eaux Traitées-Sidi Ejdidi,13.608222,Feuil1
2016,Eaux Traitées-Oued El Kébir,0.445624,Feuil1
2016,Eaux Traitées-HarKousia,0.156804,Feuil1
2016,Eaux Traitées-Ain Drahem,0.967092,Feuil1
2016,Eaux Traitées-Zahret Median,1.426362,Feuil1
2016,Eaux Traitées-Ezzouhour,0.306773,Feuil1
2016,Eaux Traitées-Lebna,0.893426,Feuil1
2016,Eaux Traitées-Znatir,0.228998,Feuil1
2016,Eaux souterraines-Mateur,5.187085,Feuil1
2016,Eaux souterraines-Faouara,3.279556,Feuil1
2016,Eaux souterraines-Zaghouan et Bargou,10.437488,Feuil1
2016,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,4.407736,Feuil1
2016,Eaux souterraines-Kairouanais,28.437624,Feuil1
2016,Eaux souterraines-Sbeitla-Jelma,28.75675,Feuil1
2016,Eaux souterraines-Sud Tunisien,32.799063000000004,Feuil1
2016,Eaux souterraines-Gabes,20.786982999999996,Feuil1
2016,Eaux souterraines-Régies autonomes,104.836923,Feuil1
2016,Eaux dessalées-Gabes,5.035068,Feuil1
2016,Eaux dessalées-Kerkenah,1.869715,Feuil1
2016,Eaux dessalées-Jerba,6.34625,Feuil1
2016,Eaux dessalées-Zarzis,5.027913,Feuil1
2016,Eaux dessalées-Autres,9.589192,Feuil1
2016,Eaux déferinisées- Sfax,9.590289,Feuil1
2017,Eaux Traitées-Fernana,26.922992999999998,Feuil1
2017,Eaux Traitées-GEC,190.943042,Feuil1
2017,Eaux Traitées-Belli,127.821427,Feuil1
2017,Eaux Traitées-Mateur,26.011774,Feuil1
2017,Eaux Traitées-Sidi Ejdidi,13.776685,Feuil1
2017,Eaux Traitées-Oued El Kébir,0.555933,Feuil1
2017,Eaux Traitées-HarKousia,1.158747,Feuil1
2017,Eaux Traitées-Ain Drahem,1.053903,Feuil1
2017,Eaux Traitées-Zahret Median,1.43938,Feuil1
2017,Eaux Traitées-Ezzouhour,2.841292,Feuil1
2017,Eaux Traitées-Lebna,0.999365,Feuil1
2017,Eaux Traitées-Znatir,1.555214,Feuil1
2017,Eaux souterraines-Mateur,4.376628,Feuil1
2017,Eaux souterraines-Faouara,3.019343,Feuil1
2017,Eaux souterraines-Zaghouan et Bargou,11.030747999999999,Feuil1
2017,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,6.789362,Feuil1
2017,Eaux souterraines-Kairouanais,27.378906,Feuil1
2017,Eaux souterraines-Sbeitla-Jelma,28.239719,Feuil1
2017,Eaux souterraines-Sud Tunisien,37.175779,Feuil1
2017,Eaux souterraines-Gabes,23.093417,Feuil1
2017,Eaux souterraines-Régies autonomes,104.71105899999999,Feuil1
2017,Eaux dessalées-Gabes,4.122814,Feuil1
2017,Eaux dessalées-Kerkenah,1.926007,Feuil1
2017,Eaux dessalées-Jerba,5.18333,Feuil1
2017,Eaux dessalées-Zarzis,4.746128,Feuil1
2017,Eaux dessalées-Autres,14.107035,Feuil1
2017,Eaux déferinisées- Sfax,9.499301,Feuil1
2018,Eaux Traitées-Fernana,26.934023,Feuil1
2018,Eaux Traitées-GEC,192.74756299999999,Feuil1
2018,Eaux Traitées-Belli,135.65408,Feuil1
2018,Eaux Traitées-Mateur,28.765113,Feuil1
2018,Eaux Traitées-Sidi Ejdidi,13.6248,Feuil1
2018,Eaux Traitées-Oued El Kébir,0.258648,Feuil1
2018,Eaux Traitées-HarKousia,0.720227,Feuil1
2018,Eaux Traitées-Ain Drahem,1.142843,Feuil1
2018,Eaux Traitées-Zahret Median,1.228744,Feuil1
2018,Eaux Traitées-Ezzouhour,1.136568,Feuil1
2018,Eaux Traitées-Lebna,0.87978,Feuil1
2018,Eaux Traitées-Znatir,0.192945,Feuil1
2018,Eaux souterraines-Mateur,3.037632,Feuil1
2018,Eaux souterraines-Faouara,2.881081,Feuil1
2018,Eaux souterraines-Zaghouan et Bargou,7.874962000000001,Feuil1
2018,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,12.80347,Feuil1
2018,Eaux souterraines-Kairouanais,26.555214,Feuil1
2018,Eaux souterraines-Sbeitla-Jelma,26.908969,Feuil1
2018,Eaux souterraines-Sud Tunisien,36.131377,Feuil1
2018,Eaux souterraines-Gabes,24.015196,Feuil1
2018,Eaux souterraines-Régies autonomes,121.634,Feuil1
2018,Eaux dessalées-Gabes,5.959918999999999,Feuil1
2018,Eaux dessalées-Kerkenah,1.942831,Feuil1
2018,Eaux dessalées-Jerba,10.383746,Feuil1
2018,Eaux dessalées-Zarzis,,Feuil1
2018,Eaux dessalées-Autres,12.93,Feuil1
2018,Eaux déferinisées- Sfax,8.11,Feuil1
2019,Eaux Traitées-Fernana,22.5,Feuil1
2019,Eaux Traitées-GEC,201.4,Feuil1
2019,Eaux Traitées-Belli,132.7,Feuil1
2019,Eaux Traitées-Mateur,30.8,Feuil1
2019,Eaux Traitées-Sidi Ejdidi,13.2,Feuil1
2019,Eaux Traitées-Oued El Kébir,2.2,Feuil1
2019,Eaux Traitées-HarKousia,1.6,Feuil1
2019,Eaux Traitées-Ain Drahem,1.1,Feuil1
2019,Eaux Traitées-Zahret Median,1.3,Feuil1
2019,Eaux Traitées-Ezzouhour,2.6,Feuil1
2019,Eaux Traitées-Lebna,1.5,Feuil1
2019,Eaux Traitées-Znatir,1.5,Feuil1
2019,Eaux souterraines-Mateur,2.4,Feuil1
2019,Eaux souterraines-Faouara,3.8,Feuil1
2019,Eaux souterraines-Zaghouan et Bargou,9.0,Feuil1
2019,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,15.7,Feuil1
2019,Eaux souterraines-Kairouanais,30.2,Feuil1
2019,Eaux souterraines-Sbeitla-Jelma,27.3,Feuil1
2019,Eaux souterraines-Sud Tunisien,36.7,Feuil1
2019,Eaux souterraines-Gabes,26.4,Feuil1
2019,Eaux souterraines-Régies autonomes,132.7,Feuil1
2019,Eaux dessalées-Gabes,4.0,Feuil1
2019,Eaux dessalées-Kerkenah,2.1,Feuil1
2019,Eaux dessalées-Jerba,10.0,Feuil1
2019,Eaux dessalées-Zarzis,,Feuil1
2019,Eaux dessalées-Autres,14.0,Feuil1
2019,Eaux déferinisées- Sfax,5.98096,Feuil1
2020,Eaux Traitées-Fernana,29.705253,Feuil1
2020,Eaux Traitées-GEC,213.699379,Feuil1
2020,Eaux Traitées-Belli,131.031704,Feuil1
2020,Eaux Traitées-Mateur,32.656931,Feuil1
2020,Eaux Traitées-Sidi Ejdidi,13.652086,Feuil1
2020,Eaux Traitées-Oued El Kébir,2.002156,Feuil1
2020,Eaux Traitées-HarKousia,1.362131,Feuil1
2020,Eaux Traitées-Ain Drahem,1.380239,Feuil1
2020,Eaux Traitées-Zahret Median,1.510282,Feuil1
2020,Eaux Traitées-Ezzouhour,1.830455,Feuil1
2020,Eaux Traitées-Lebna,1.033267,Feuil1
2020,Eaux Traitées-Znatir,1.362131,Feuil1
2020,Eaux souterraines-Mateur,2.867876,Feuil1
2020,Eaux souterraines-Faouara,4.45373,Feuil1
2020,Eaux souterraines-Zaghouan et Bargou,8.396349,Feuil1
2020,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,17.30486,Feuil1
2020,Eaux souterraines-Kairouanais,30.519908,Feuil1
2020,Eaux souterraines-Sbeitla-Jelma,29.665532,Feuil1
2020,Eaux souterraines-Sud Tunisien,36.779972,Feuil1
2020,Eaux souterraines-Gabes,28.564819,Feuil1
2020,Eaux souterraines-Régies autonomes,135.917854188349,Feuil1
2020,Eaux dessalées-Gabes,4.283418999999999,Feuil1
2020,Eaux dessalées-Kerkenah,2.331685,Feuil1
2020,Eaux dessalées-Jerba,9.709407000000002,Feuil1
2020,Eaux dessalées-Zarzis,,Feuil1
2020,Eaux dessalées-Autres,14.368881,Feuil1
2020,Eaux déferinisées- Sfax,6.121574,Feuil1
2021,Eaux Traitées-Fernana,30.023012,Feuil1
2021,Eaux Traitées-GEC,219.727221,Feuil1
2021,Eaux Traitées-Belli,142.464279,Feuil1
2021,Eaux Traitées-Mateur,34.564856,Feuil1
2021,Eaux Traitées-Sidi Ejdidi,11.975433,Feuil1
2021,Eaux Traitées-Oued El Kébir,2.673025,Feuil1
2021,Eaux Traitées-HarKousia,1.007959,Feuil1
2021,Eaux Traitées-Ain Drahem,1.429184,Feuil1
2021,Eaux Traitées-Zahret Median,1.536515,Feuil1
2021,Eaux Traitées-Ezzouhour,0.31341,Feuil1
2021,Eaux Traitées-Lebna,0.618945,Feuil1
2021,Eaux Traitées-Znatir,0.453403,Feuil1
2021,Eaux souterraines-Mateur,2.534555,Feuil1
2021,Eaux souterraines-Faouara,3.5791,Feuil1
2021,Eaux souterraines-Zaghouan et Bargou,8.110425,Feuil1
2021,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,17.845789999999997,Feuil1
2021,Eaux souterraines-Kairouanais,31.491719,Feuil1
2021,Eaux souterraines-Sbeitla-Jelma,32.395559,Feuil1
2021,Eaux souterraines-Sud Tunisien,36.23822,Feuil1
2021,Eaux souterraines-Gabes,28.552063,Feuil1
2021,Eaux souterraines-Régies autonomes,137.20128766666667,Feuil1
2021,Eaux dessalées-Gabes,3.7576118,Feuil1
2021,Eaux dessalées-Kerkenah,2.487542,Feuil1
2021,Eaux dessalées-Jerba,9.718575,Feuil1
2021,Eaux dessalées-Zarzis,,Feuil1
2021,Eaux dessalées-Autres,13.518655666666668,Feuil1
2021,Eaux déferinisées- Sfax,7.278567,Feuil1
2022,Eaux Traitées-Fernana,27.731953,Feuil1
2022,Eaux Traitées-GEC,226.8243325,Feuil1
2022,Eaux Traitées-Belli,143.812765,Feuil1
2022,Eaux Traitées-Mateur,40.671952,Feuil1
2022,Eaux Traitées-Sidi Ejdidi,13.234686,Feuil1
2022,Eaux Traitées-Oued El Kébir,0.529155,Feuil1
2022,Eaux Traitées-HarKousia,1.40498,Feuil1
2022,Eaux Traitées-Ain Drahem,1.408831,Feuil1
2022,Eaux Traitées-Zahret Median,1.633999,Feuil1
2022,Eaux Traitées-Ezzouhour,2.251269,Feuil1
2022,Eaux Traitées-Lebna,0.618945,Feuil1
2022,Eaux Traitées-Znatir,1.754987,Feuil1
2022,Eaux souterraines-Mateur,2.028144,Feuil1
2022,Eaux souterraines-Faouara,4.285088,Feuil1
2022,Eaux souterraines-Zaghouan et Bargou,7.820233,Feuil1
2022,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,19.408628,Feuil1
2022,Eaux souterraines-Kairouanais,31.919533,Feuil1
2022,Eaux souterraines-Sbeitla-Jelma,32.029044,Feuil1
2022,Eaux souterraines-Sud Tunisien,35.560412,Feuil1
2022,Eaux souterraines-Gabes,29.6353855,Feuil1
2022,Eaux souterraines-Régies autonomes,144.4618784172,Feuil1
2022,Eaux dessalées-Gabes,2.8038786000000004,Feuil1
2022,Eaux dessalées-Kerkenah,2.627339,Feuil1
2022,Eaux dessalées-Jerba,8.96930119948394,Feuil1
2022,Eaux dessalées-Zarzis,,Feuil1
2022,Eaux dessalées-Autres,12.350763,Feuil1
2022,Eaux déferinisées- Sfax,8.391395,Feuil1
2023,Eaux Traitées-Fernana,17.333009,Feuil1
2023,Eaux Traitées-GEC,215.35797168,Feuil1
2023,Eaux Traitées-Belli,133.317763,Feuil1
2023,Eaux Traitées-Mateur,39.004037,Feuil1
2023,Eaux Traitées-Sidi Ejdidi,10.546808,Feuil1
2023,Eaux Traitées-Oued El Kébir,0.19592619999999997,Feuil1
2023,Eaux Traitées-HarKousia,1.408482,Feuil1
2023,Eaux Traitées-Ain Drahem,1.226764,Feuil1
2023,Eaux Traitées-Zahret Median,1.575805,Feuil1
2023,Eaux Traitées-Ezzouhour,1.794257,Feuil1
2023,Eaux Traitées-Lebna,0.282028,Feuil1
2023,Eaux Traitées-Znatir,0.949889,Feuil1
2023,Eaux souterraines-Mateur,1.384977,Feuil1
2023,Eaux souterraines-Faouara,4.765152,Feuil1
2023,Eaux souterraines-Zaghouan et Bargou,6.702894399999999,Feuil1
2023,Eaux souterraines-Enfidha+Achats d'eau Bent Saidane,20.544186,Feuil1
2023,Eaux souterraines-Kairouanais,31.950782,Feuil1
2023,Eaux souterraines-Sbeitla-Jelma,32.401871,Feuil1
2023,Eaux souterraines-Sud Tunisien,38.281350999999994,Feuil1
2023,Eaux souterraines-Gabes,27.8086495,Feuil1
2023,Eaux souterraines-Régies autonomes,145.8319534812,Feuil1
2023,Eaux dessalées-Gabes,3.0676500000000004,Feuil1
2023,Eaux dessalées-Kerkenah,2.55782,Feuil1
2023,Eaux dessalées-Jerba,10.622431999999998,Feuil1
2023,Eaux dessalées-Zarzis,,Feuil1
2023,Eaux dessalées-Autres,14.382603,Feuil1
2023,Eaux déferinisées- Sfax,9.198199,Feuil1
2024,Eaux Traitées-Fernana,20.532,Feuil1
2024,Eaux Traitées-GEC,219.33063576,Feuil1
2024,Eaux Traitées-Belli,133.557663,Feuil1
2024,Eaux Traitées-Mateur,38.976760000000006,Feuil1
