annee,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,10_plan,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Zaghouan,41.4,35.1,35.1,37.1,49.0,31.0,24.2,31.5,32.7,32.1,26.3,26.0,23.9,21.3,18.5,17.0,23.0,17.2,20.1,22.14,27.1,25.08,26.07,24.16,25.42,23.77,24.09,123.51,24.19,29.86,29.93,33.67,30.28,29.68,31.83,29.33,30.12,32.725,35.55,34.2,33.656,34.375,Feuil1
Sousse,16.4,12.1,11.6,20.8,21.2,25.7,12.7,25.8,14.0,27.4,22.9,18.8,27.7,23.0,32.6,21.3,31.8,9.74,22.25,14.0,24.8,16.8,9.29,12.06,19.99,25.08,21.5,87.92,21.0,20.35,21.96,15.15,24.15,23.51,18.2,18.05,25.42,23.67,20.695,19.6,17.139,18.44,Feuil1
Monastir,1.6,5.0,4.2,10.2,5.5,12.2,4.4,6.3,2.8,8.5,8.0,7.2,8.3,3.7,3.1,11.3,7.9,0.81,4.91,2.31,4.16,0.61,3.04,1.37,2.26,3.12,4.32,14.11,4.41,3.67,3.22,2.32,2.2,3.29,0.25,2.1,2.05,1.52,2.1,0.0,1.722,1.753,Feuil1
Mahdia,16.0,37.7,41.4,55.1,44.4,44.7,21.7,51.4,14.8,53.5,43.0,38.0,31.0,30.5,30.5,1.4,45.5,5.5,35.8,20.39,33.0,4.4,18.56,23.4,36.0,30.9,27.94,136.79999999999998,23.3,27.5,30.52,23.0,27.7,26.1,1.65,34.5,13.7,11.84,24.418,5.0,20.0,12.0,Feuil1
Sfax,13.4,26.1,13.4,63.0,37.0,67.3,25.0,44.1,16.0,52.6,42.5,26.5,22.3,26.6,28.5,1.2,57.2,0.08,10.17,31.15,40.0,3.07,7.46,17.75,15.7,13.19,20.41,74.50999999999999,20.1,7.0,9.65,1.78,18.19,15.2,2.18,6.92,0.73,,5.655,0.349,2.28,1.52,Feuil1
Kairouan,46.0,63.6,83.4,84.2,60.5,93.8,43.8,96.9,29.6,92.0,98.5,72.8,65.6,65.1,59.4,53.0,77.4,30.31,71.58,55.06,65.57,45.5,35.97,58.28,74.07,68.62,59.3,296.24,51.5,69.42,56.02,58.0,96.91,79.31,65.5,82.95,67.0,67.82,71.08,52.655,69.1,62.28,Feuil1
Kasserine,67.6,60.7,63.7,59.0,70.3,85.7,74.5,73.7,64.8,82.2,60.0,54.7,54.7,74.1,60.0,63.75,71.1,58.55,83.94,76.88,98.13,69.65,82.69,84.15,77.45,74.8,75.05,394.14000000000004,61.2,61.36,90.54,76.31,74.75,81.45,68.62,87.51,73.21,70.93,77.53,75.71,77.22,72.8,Feuil1
Sidi Bouzid,33.4,22.5,1.9,53.8,30.0,61.0,14.7,41.9,8.5,45.7,29.3,27.9,37.7,54.6,30.9,13.2,59.8,3.15,18.2,19.75,32.91,10.1,11.32,37.74,52.18,42.79,38.69,182.72,29.46,11.78,19.33,14.98,26.3,16.8,2.79,13.11,7.5,2.96,7.69,3.28,7.149,4.85,Feuil1
Gafsa,8.4,8.4,5.1,12.8,12.0,20.9,12.5,18.0,1.0,0.8,7.5,11.0,2.6,13.8,6.0,15.25,15.5,2.81,3.06,2.05,4.81,1.97,3.92,4.65,8.74,5.31,3.77,26.39,2.62,2.11,4.9,5.54,5.04,4.07,0.95,1.0,3.0,0.75,12.5,4.6,7.0,1.0,Feuil1
Gabès,2.9,40.7,1.1,49.0,4.7,63.0,1.1,35.0,14.3,30.0,11.0,24.8,4.7,14.4,9.5,17.5,40.4,0.35,2.13,19.11,15.67,4.4,0.05,4.07,12.15,5.0,31.9,53.17,15.2,8.4,8.8,0.82,8.89,5.4,1.085,2.43,0.95,3.01,7.03,8.0,3.8,5.5,Feuil1
Medenine,20.0,78.5,41.4,41.4,19.5,62.7,20.5,41.4,40.0,48.0,22.0,38.8,2.3,37.9,46.0,45.0,57.0,1.12,23.13,33.56,36.62,14.6,8.45,22.5,32.66,3.75,31.25,98.61,25.05,46.32,23.76,6.17,37.03,43.36,0.015,17.0,12.21,10.305,1.665,36.3,36.275,36.3,Feuil1
Tozeur,,,,0.1,,0.1,,,,,,0.1,0.1,,,,0.4,,0.15,0.08,,,,0.22,0.5,0.25,,0.97,,,0.05,,,,,,,,0.0,0.0,0.0,0.0,Feuil1
Kébili,,,5.1,5.1,,,,,,,,,,,,1.5,10.5,,,4.2,1.6,,,1.2,18.0,,13.0,32.2,1.0,5.0,5.0,5.0,16.0,3.0,,,,,3.5,3.5,7.5,6.8,Feuil1
Tatouine,,,42.4,42.4,18.9,67.0,,,34.0,35.0,10.0,21.0,8.5,5.4,27.0,12.25,53.6,0.1,0.91,25.9,8.53,42.5,0.59,60.8,29.44,3.56,36.82,131.21,9.5,3.18,2.71,2.19,23.38,22.61,,4.35,10.59,0.11,0.794,6.1,3.415,1.36,Feuil1
