annee,gouvernorat,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13
2021.0,Gafsa,1485.1923606883072,1467.6111128913385,1561.0643765821771,1749.5691992181241,1993.0741820745345,2221.9124555388216,2375.8188867882204,2423.2036402089275,2385.972762521229,2157.9806453680267,1924.6295382446247,1725.970839875669,Feuil1,,,,,,,,,,,,,
2021.0,Tozeur,544.8594374692991,483.0651233186234,553.4373647113822,562.2690630184456,643.865151415868,694.9955856024432,771.7158096159962,791.9523223730399,735.8517011520419,645.9261864871329,600.0693629639493,555.9928918717779,Feuil1,,,,,,,,,,,,,
2021.0,Sidi Bouzid,1177.045955518966,1110.2358258914817,1219.921543698438,1239.7025898383292,1367.9939482525308,1402.0826874964569,1575.8824237554256,1611.6353314386704,1413.2005595253647,1389.9991624373615,1255.494380837119,1292.8055913098563,Feuil1,,,,,,,,,,,,,
2021.0,Gabes,2783.120700976201,2694.422884892508,2702.9310440180907,2736.3247969875347,2766.7725869997707,2844.89281686222,2933.400305323394,2896.3841547383304,2761.8821958989897,2750.3411403886157,2615.390625638906,2587.1367472754373,Feuil1,,,,,,,,,,,,,
2021.0,Kebili,781.568264864364,712.3056466331651,810.6780335369025,840.8460309684887,899.8864187081899,950.2415509966315,1008.2576211722029,1037.6406741802543,955.1975723950363,901.6438165153925,835.6336808320299,813.1006891973423,Feuil1,,,,,,,,,,,,,
2021.0,Medenine,1951.222,1904.717,1955.597,1969.501,2077.505,2131.632,2157.577,2130.089,2115.055,2129.33,2140.213,2103.549,Feuil1,,,,,,,,,,,,,
2021.0,Jerba,1554.237034766318,1371.9734396061042,1695.2512520698256,1680.1564090464858,1960.0083584006738,2073.1939828161107,2313.465367825519,2353.1246003119672,2117.8166505875593,1930.0903396698893,1659.0953741590117,1662.5871907405349,Feuil1,,,,,,,,,,,,,
2021.0,Tataouine,886.1592771854054,799.8255746591069,875.7337706120665,837.7085015602586,927.7103574872561,932.4574752600404,972.1735653648631,936.1869876835464,903.4222578781058,843.1939815150553,884.228195124642,922.2000556696539,Feuil1,,,,,,,,,,,,,
2021.0,Coefficient de pointe mensuelle,0.784357216002346,0.7059152184953926,0.7847484638494745,0.8286083701850959,0.8800214687065238,0.9238564355146204,0.9728680951965452,1.0,0.9160907091755872,0.8706315979578011,0.8243208429147739,0.8101640203618926,Feuil1,,,,,,,,,,,,,
2022.0,Bizerte,1595.332,1509.417,1650.283,1624.389,1744.277,1854.629,2390.121,2413.654,2076.48,1500.251,1359.384,1367.871,Feuil1,,,,,,,,,,,,,
2022.0,Ml Bourguiba,648.32,647.98,660.722,576.563,640.998,734.549,810.332,810.321,811.21,689.666,613.142,604.304,Feuil1,,,,,,,,,,,,,
2022.0,Jendouba,1040.796,1014.326,1074.737,1102.513,1165.399,1373.666,1827.585,1800.31,1627.485,1528.781,1342.417,1302.35,Feuil1,,,,,,,,,,,,,
2022.0,Le Kef,647.598,626.796,679.612,700.238,739.073,811.954,897.802,950.279,922.119,869.883,754.71,757.218,Feuil1,,,,,,,,,,,,,
2022.0,Siliana,628.609,626.215,621.69,664.329,741.199,773.944,828.892,800.631,747.116,665.82,655.0,625.3,Feuil1,,,,,,,,,,,,,
2022.0,Beja,885.876,832.043,968.296,958.41,1070.012,1331.231,1315.262,1344.884,1331.18,1040.779,959.212,831.984,Feuil1,,,,,,,,,,,,,
2022.0,Nabeul,1689.71,1525.023,1725.396,1711.557,1962.466,2201.653,2639.06,2681.271,2241.371,2009.009,1777.165,1810.288,Feuil1,,,,,,,,,,,,,
2022.0,Ml Temime,606.388,622.251,648.927,815.908,867.583,897.918,974.393,967.099,917.014,741.763,697.88,645.424,Feuil1,,,,,,,,,,,,,
2022.0,Grombalia,929.742,916.394,892.283,990.498,1019.862,1151.025,1138.055,1219.529,1097.928,1011.662,932.581,921.521,Feuil1,,,,,,,,,,,,,
2022.0,Zaghouan,633.315,603.2,653.872,747.82,802.41,820.007,860.429,882.91,741.679,781.46,724.49,717.675,Feuil1,,,,,,,,,,,,,
2022.0,Grand Sousse,3015.247,3159.623,3263.215,3616.542,3663.362,4012.638,4395.421,4185.624,4099.214,3630.647,3224.789,3021.468,Feuil1,,,,,,,,,,,,,
2022.0,Moknine,1178.569,1016.523,1145.501,1283.247,1259.516,1505.685,1464.789,1498.947,1320.564,843.357,855.951,800.364,Feuil1,,,,,,,,,,,,,
2022.0,Monastir,1352.592,1276.692,1381.91,1493.721,1493.741,2150.356,2110.186,2136.804,2065.473,1662.124,1571.765,1451.207,Feuil1,,,,,,,,,,,,,
2022.0,Mahdia,1565.412,1523.578,1654.789,1964.345,2378.613,2633.207,2831.968,2644.48,2558.963,2265.134,1981.19,2059.347,Feuil1,,,,,,,,,,,,,
2022.0,Kairouan,1669.647,1706.969,1666.475,1694.77,1909.566,2099.353,2255.369,2150.036,2065.897,1644.365,1555.698,1488.654,Feuil1,,,,,,,,,,,,,
2022.0,Kasserine,965.234,965.412,1003.214,1009.302,1050.264,1135.694,1254.896,1230.456,1023.874,1016.324,991.336,989.368,Feuil1,,,,,,,,,,,,,
2022.0,Grand Sfax,4882.077,4698.1705,5207.7415,5249.374,5379.273,5150.794,5434.422,5276.439,5251.546,5269.92,5079.018,5181.228,Feuil1,,,,,,,,,,,,,
