الميناء,جانفي,فيفري,مارس,افريل,ماي,جوان,جويلية,اوت,سبتمبر,اكتوبر,نوفمبر,ديسمبر,feuille
سيدي عبد الحميد,122898.16,154417.9,195406.2,281649.9,336172.22,238102.76,263695.42,284546.7,252035.8,226603.6,281147.22,325324.84,ص س 2017
المنستير,109811.44,162770.34,218238.38,194630.88,288005.82,153726.36,191745.44,337558.14,263002.46,218911.46,246308.94,78173.84,ص س 2017
خنيس,70119.6,43275.92,55145.7,65305.8,46313.3,32924.12,22386.3,35056.96,40562.3,63376.02,67834.82,63469.74,ص س 2017
قصيبة المديوني,60473.54,50561.94,58302.36,78051.72,42565.92,29189.52,23922.74,30552.72,41779.24,54647.28,71268.38,79156.48,ص س 2017
صيادة,122716.4,151506.9,107451.4,0.0,216464.8,138805.0,26987.1,281089.0,0.0,185324.2,153615.6,61642.2,ص س 2017
طبلبة,221309.84,502826.26,788585.64,507364.58,1111023.62,436657.1,479421.82,616671.92,962731.6,877219.2,507728.1,661188.92,ص س 2017
بقالطة,725603.6,265106.9,237693.8,0.0,237878.4,315992.6,265490.3,227611.8,207540.1,194213.4,214604.6,220639.6,ص س 2017
مهدية,69805.78,209486.92,122693.68,314326.94,302403.2,514227.44,377433.16,857983.88,293673.04,572366.5,351113.46,103550.66,ص س 2017
صلقطة,29536.0,25844.0,33228.0,22152.0,32092.0,41464.0,31524.0,53392.0,18034.0,241400.0,285988.0,80656.0,ص س 2017
الشابة,4170041.58,3630112.14,3525368.68,5184235.4,3387385.86,3179575.96,3860755.64,4776381.58,3224645.34,3759604.78,4227198.0,5883034.44,ص س 2017
ملولش,372032.9,429714.72,465555.52,449002.58,439115.12,438159.46,521787.52,546629.0,365084.84,339429.7,380747.44,489211.3,ص س 2017
صفاقس,70268.7,200407.44,269283.12,373488.4,357777.52,397475.04,109482.0,153271.96,181405.0,167304.4,184770.4,202670.92,ص س 2017
اللوزة,675920.0,835528.0,907380.0,1044552.0,695800.0,747630.0,1040434.0,807270.0,693670.0,927970.0,1112712.0,1090560.0,ص س 2017
العوابد,140615.5,164862.0,78881.0,197167.0,68515.0,43452.0,89176.0,152295.0,90880.0,195164.8,99684.0,0.0,ص س 2017
سيدي منصور,192736.6,129560.8,162661.0,203344.0,156526.6,237850.0,171351.4,151017.0,0.0,0.0,0.0,0.0,ص س 2017
مليتة,1375298.4,984770.0,1172025.4,1855230.0,3258900.0,5476940.0,3712448.0,2758492.0,1072100.0,9431640.0,5493980.0,7562920.0,ص س 2017
العطايا,464908.0,455223.6,367794.2,391621.8,706847.6,674954.4,1071177.0,765152.8,450452.4,749206.2,1556334.2,315580.0,ص س 2017
القراطن,339948.0,414001.0,548673.8,557776.0,761262.0,1024601.0,1036032.0,921012.0,538180.0,563030.0,984202.0,1048386.0,ص س 2017
المحرس,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ص س 2017
زبوسة,264602.8,59356.0,52966.0,72519.4,122631.2,133906.0,122404.0,245092.0,259945.2,233040.46,240406.0,262083.72,ص س 2017
الصخيرة,365792.0,262771.0,249352.0,25902.0,176364.0,175796.0,206610.0,150378.0,138379.0,239554.0,308395.6,206581.6,ص س 2017
قابس,351663.0,406276.2,446831.4,1049706.6,883495.6,440910.0,1239518.0,768433.0,518924.8,962831.0,269189.4,852255.6,ص س 2017
غنوش,520841.8,600944.0,511299.4,480428.6,486520.4,365905.6,524888.8,449117.6,141375.2,512108.8,904114.0,0.0,ص س 2017
الزرات,138833.4,181930.4,41109.0,48223.2,193759.0,270921.8,58873.2,54528.0,90397.2,84972.8,207320.0,207320.0,ص س 2017
جرجيس,1508539.84,3265579.68,3226484.24,4263515.92,4648778.96,3595445.68,1805836.72,2168331.48,2285348.0,1948836.4,1406595.2,2551052.72,ص س 2017
حومة السوق,1541019.5,1644218.0,1638467.0,1872838.0,3219459.5,1866164.0,1374134.0,776669.0,708580.0,723916.0,1381660.0,2130284.0,ص س 2017
أجيم,435443.0,464254.8,422535.2,490155.6,768930.0,536504.4,861343.6,697078.0,545074.1,739124.2,788895.2,759806.5,ص س 2017
بوغرارة,349689.2,281444.0,110902.0,56658.0,56942.0,169122.0,482374.0,266889.0,130185.6,134445.6,267670.0,275125.0,ص س 2017
الكتف,1763072.0,2229698.2,2197450.0,2151442.0,1190783.6,1290623.8,1155922.6,332059.9,210124.5,260527.4,1862876.7,2072965.7,ص س 2017
حاسي جلابة,116695.6,97227.4,137754.2,196812.0,167844.0,191842.0,163300.0,127516.0,117490.8,156200.0,216692.0,168568.2,ص س 2017
أغير,26341.0,83567.0,51049.0,65249.0,673435.0,476623.0,306081.0,211580.0,52966.0,74479.0,99542.0,60066.0,ص س 2017
القرين,145692.0,133783.88,214050.8,165004.0,208725.8,170400.0,217018.6,228563.2,183662.8,282296.0,144627.0,240548.0,ص س 2017
