inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
4897899,74,91,9,القصرين,SQL Results
2628013,23,38,9,نابل,SQL Results
900773,5,10,9,منــوبة,SQL Results
1822591,26,29,9,القيروان,SQL Results
997178,5,19,9,أريانة,SQL Results
4056839,40,10,9,الكاف,SQL Results
697595,2,6,9,توزر,SQL Results
171000,3,4,9,سوسة,SQL Results
1561164,19,39,9,بنزرت,SQL Results
4014422,42,51,9,سيدي بوزيد,SQL Results
1289286,30,4,10,الكاف,SQL Results
2305453,39,40,10,القصرين,SQL Results
4815886,32,32,10,سيدي بوزيد,SQL Results
1508345,21,1,10,جندوبة,SQL Results
8415451,34,58,10,صفاقس,SQL Results
4025809,20,28,10,بنزرت,SQL Results
2488156,14,17,10,منــوبة,SQL Results
8782634,25,89,10,قابس,SQL Results
2763175,37,40,10,قفصة,SQL Results
717500,10,12,10,المنستير,SQL Results
2391797,25,53,10,مدنين,SQL Results
608849,8,7,10,قبلي,SQL Results
635738,16,10,10,تطاوين,SQL Results
1167160,19,4,10,سليانة,SQL Results
737000,7,7,10,سوسة,SQL Results
1306632,9,16,10,باجة,SQL Results
10073691,79,212,10,نابل,SQL Results
619871,10,9,10,توزر,SQL Results
2360293,14,16,10,بن عروس,SQL Results
110948,2,0,10,تــونس,SQL Results
753582,10,0,10,أريانة,SQL Results
8559022,31,42,10,المهدية,SQL Results
4513574,32,81,10,القيروان,SQL Results
4388289,11,79,10,زغوان,SQL Results
1269455,11,19,11,أريانة,SQL Results
4736739,92,83,11,القصرين,SQL Results
29659450,10,18,11,منــوبة,SQL Results
814000,14,2,11,سليانة,SQL Results
1121867,20,15,11,بنزرت,SQL Results
30096432,20,85,11,القيروان,SQL Results
352809,15,2,11,الكاف,SQL Results
6500364,49,69,11,سيدي بوزيد,SQL Results
1733280,6,4,11,قبلي,SQL Results
4660750,18,12,11,نابل,SQL Results
1836366,23,4,11,جندوبة,SQL Results
2568220,23,22,11,قابس,SQL Results
663806,14,18,11,تــونس,SQL Results
7979249,35,32,11,صفاقس,SQL Results
