annee,gouvernorat,superficie_certifiee_bio_ha,feuille
2019,Mahdia,67662.0,Feuil1
2019,Manouba,5960.0,Feuil1
2019,Mednine,3610.0,Feuil1
2019,Monastir,11897.0,Feuil1
2019,Nabeul,1987.0,Feuil1
2019,Sfax,59274.0,Feuil1
2019,Sidi Bouzid,11176.0,Feuil1
2019,Siliana,9938.0,Feuil1
2019,Sousse,9927.0,Feuil1
2019,Tozeur,1070.0,Feuil1
2019,Tunis,0.0,Feuil1
2019,Zaghouan,11923.0,Feuil1
2019,Tataouine,630.0,Feuil1
2020,Ariana,8.838,Feuil1
2020,Beja,2597.0,Feuil1
2020,Ben Arous,471.2199999999999,Feuil1
2020,Bizerte,5526.332,Feuil1
2020,Gabes,379.0778,Feuil1
2020,Gafsa,3911.983,Feuil1
2020,Jendouba,10485.188,Feuil1
2020,Kairouan,53881.42999999999,Feuil1
2020,Kasserine,33445.69,Feuil1
2020,Kebili,1755.645,Feuil1
2020,Le Kef,6976.38,Feuil1
2020,Mahdia,54268.329,Feuil1
2020,Manouba,5956.78,Feuil1
2020,Mednine,5089.619,Feuil1
2020,Monastir,8060.711,Feuil1
2020,Nabeul,1611.7050000000002,Feuil1
2020,Sfax,57629.350000000006,Feuil1
2020,Sidi Bouzid,9414.857,Feuil1
2020,Siliana,9308.856,Feuil1
2020,Sousse,7094.272000000001,Feuil1
2020,Tozeur,1143.0580000000002,Feuil1
2020,Tunis,699.0,Feuil1
2020,Zaghouan,11139.4,Feuil1
2020,Tataouine,630.2790000000001,Feuil1
2021,Ariana,16.576,Feuil1
2021,Beja,2259.018,Feuil1
2021,Ben Arous,425.475,Feuil1
2021,Bizerte,5680.192000000001,Feuil1
2021,Gabes,327.9429,Feuil1
2021,Gafsa,5057.813,Feuil1
2021,Jendouba,10406.848000000002,Feuil1
2021,Kairouan,50409.32,Feuil1
2021,Kasserine,23724.350000000002,Feuil1
2021,Kebili,1653.7689999999998,Feuil1
2021,Le Kef,6489.28,Feuil1
2021,Mahdia,80589.092,Feuil1
2021,Manouba,5390.136,Feuil1
2021,Mednine,5277.108,Feuil1
2021,Monastir,7852.998,Feuil1
2021,Nabeul,3008.0784999999996,Feuil1
2021,Sfax,63916.99300000001,Feuil1
2021,Sidi Bouzid,10857.179,Feuil1
2021,Siliana,15870.815000000002,Feuil1
2021,Sousse,6589.415,Feuil1
2021,Tozeur,1143.7680000000003,Feuil1
2021,Tunis,21.0,Feuil1
2021,Zaghouan,11710.201999999997,Feuil1
2021,Tataouine,289.747,Feuil1
2022,Ariana,,Feuil1
2022,Beja,,Feuil1
2022,Ben Arous,,Feuil1
2022,Bizerte,,Feuil1
2022,Gabes,,Feuil1
2022,Gafsa,,Feuil1
2022,Jendouba,,Feuil1
2022,Kairouan,,Feuil1
2022,Kasserine,,Feuil1
2022,Kebili,,Feuil1
2022,Le Kef,,Feuil1
2022,Mahdia,,Feuil1
2022,Manouba,,Feuil1
2022,Mednine,,Feuil1
2022,Monastir,,Feuil1
2022,Nabeul,,Feuil1
2022,Sfax,,Feuil1
2022,Sidi Bouzid,,Feuil1
2022,Siliana,,Feuil1
2022,Sousse,,Feuil1
2022,Tozeur,,Feuil1
2022,Tunis,,Feuil1
2022,Zaghouan,,Feuil1
2022,Tataouine,,Feuil1
2023,Ariana,7.734999999999999,Feuil1
2023,Beja,1544.02,Feuil1
2023,Ben Arous,371.49320000000006,Feuil1
2023,Bizerte,2064.766,Feuil1
2023,Gabes,144.7298,Feuil1
2023,Gafsa,4084.013,Feuil1
2023,Jendouba,7196.379999999999,Feuil1
2023,Kairouan,53273.807,Feuil1
2023,Kasserine,11137.877,Feuil1
2023,Kebili,1650.069,Feuil1
2023,Le Kef,7958.758,Feuil1
2023,Mahdia,43237.506,Feuil1
2023,Manouba,5310.05,Feuil1
2023,Mednine,3371.804,Feuil1
2023,Monastir,7202.358,Feuil1
2023,Nabeul,1413.46,Feuil1
2023,Sfax,40056.597,Feuil1
2023,Sidi Bouzid,8103.639000000001,Feuil1
2023,Siliana,10786.54,Feuil1
2023,Sousse,3570.9250000000006,Feuil1
2023,Tozeur,1135.327,Feuil1
2023,Tunis,0.0,Feuil1
2023,Zaghouan,13282.572000000002,Feuil1
2023,Tataouine,30.0,Feuil1
2024,Ariana,17.5,Feuil1
2024,Beja,1279.6,Feuil1
2024,Ben Arous,331.6,Feuil1
2024,Bizerte,1720.9,Feuil1
2024,Gabes,254.3,Feuil1
2024,Gafsa,3154.9,Feuil1
2024,Jendouba,4242.2,Feuil1
2024,Kairouan,47732.1,Feuil1
2024,Kasserine,24305.1,Feuil1
2024,Kebili,1525.0,Feuil1
2024,Le Kef,7945.9,Feuil1
2024,Mahdia,40519.2,Feuil1
2024,Manouba,5281.9,Feuil1
2024,Mednine,714.4,Feuil1
2024,Monastir,4995.3,Feuil1
2024,Nabeul,1158.4,Feuil1
2024,Sfax,55540.4,Feuil1
2024,Sidi Bouzid,7936.6,Feuil1
2024,Siliana,8673.8,Feuil1
2024,Sousse,4424.6,Feuil1
2024,Tozeur,1281.2,Feuil1
2024,Tunis,0.0,Feuil1
2024,Zaghouan,11874.0,Feuil1
2024,Tataouine,26.0,Feuil1
