annee,gouvernorat,production_tonne,feuille
2013,قبلي,0.0,Feuil1
2013,قابس,700.0,Feuil1
2013,مدنين,11.0,Feuil1
2013,تطاوين,2.0,Feuil1
2012,تونس,61.0,Feuil1
2012,أريانة,2149.0,Feuil1
2012,منوبة,17650.0,Feuil1
2012,بن عروس,17120.0,Feuil1
2012,نابل,1500.0,Feuil1
2012,بنزرت,9540.0,Feuil1
2012,باجة,3200.0,Feuil1
2012,جندوبة,660.0,Feuil1
2012,الكاف,704.0,Feuil1
2012,سليانة,5600.0,Feuil1
2012,زغوان,396.0,Feuil1
2012,سوسة,269.0,Feuil1
2012,المنستير,480.0,Feuil1
2012,المهدية,414.0,Feuil1
2012,صفاقس,54.0,Feuil1
2012,القيروان,680.0,Feuil1
2012,القصرين,75.0,Feuil1
2012,سيدي بوزيد,40.0,Feuil1
2012,قفصة,630.0,Feuil1
2012,توزر,23.0,Feuil1
2012,قبلي,0.0,Feuil1
2012,قابس,350.0,Feuil1
2012,مدنين,50.0,Feuil1
2012,تطاوين,11.0,Feuil1
2011,تونس,72.0,Feuil1
2011,أريانة,1428.0,Feuil1
2011,منوبة,20000.0,Feuil1
2011,بن عروس,12940.0,Feuil1
2011,نابل,1480.0,Feuil1
2011,بنزرت,11492.0,Feuil1
2011,باجة,2900.0,Feuil1
2011,جندوبة,545.0,Feuil1
2011,الكاف,602.0,Feuil1
2011,سليانة,3600.0,Feuil1
2011,زغوان,2200.0,Feuil1
2011,سوسة,224.0,Feuil1
2011,المنستير,600.0,Feuil1
2011,المهدية,304.0,Feuil1
2011,صفاقس,253.0,Feuil1
2011,القيروان,650.0,Feuil1
2011,القصرين,80.0,Feuil1
2011,سيدي بوزيد,40.0,Feuil1
2011,قفصة,630.0,Feuil1
2011,توزر,18.0,Feuil1
2011,قبلي,0.0,Feuil1
2011,قابس,180.0,Feuil1
2011,مدنين,30.0,Feuil1
2011,تطاوين,25.0,Feuil1
2010,تونس,63.0,Feuil1
2010,أريانة,1600.0,Feuil1
2010,منوبة,25000.0,Feuil1
2010,بن عروس,14309.0,Feuil1
2010,نابل,1080.0,Feuil1
2010,بنزرت,13107.0,Feuil1
2010,باجة,2500.0,Feuil1
2010,جندوبة,536.0,Feuil1
2010,الكاف,1092.0,Feuil1
2010,سليانة,3000.0,Feuil1
2010,زغوان,1952.0,Feuil1
2010,سوسة,157.0,Feuil1
2010,المنستير,492.0,Feuil1
2010,المهدية,160.0,Feuil1
2010,صفاقس,225.0,Feuil1
2010,القيروان,570.0,Feuil1
2010,القصرين,850.0,Feuil1
2010,سيدي بوزيد,75.0,Feuil1
2010,قفصة,330.0,Feuil1
2010,توزر,20.0,Feuil1
2010,قبلي,0.0,Feuil1
2010,قابس,120.0,Feuil1
2010,مدنين,25.0,Feuil1
2010,تطاوين,21.0,Feuil1
