nbr_projets,inv_declare,nbr_emploi,gouv_ar,gouv_fr,delegation_ar,delegation_fr,secteur_act_ar,secteur_act_ar_1,mois_ar,mois_fr,annee_doa,feuille
3.0,172000,2,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,89705,1,قابس,GABES,مطماطة الجديدة,MATMATA ELJADIDA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,10086,0,جندوبة,JENDOUBA,طبرقة,TABARKA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,29400,0,الكاف,KEF,قلعة سنان,KALAT SINAN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,292400,4,منــوبة,MANOUBA,طبربة,TOUBOURBA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,144525,1,باجة,BEJA,مجاز الباب,MJEZ ELBEB,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,2150000,2,المنستير,MOUNASTIR,المنستير,MOUNASTIR,الصيد البحري,PECHE,أفريل,avr.,2017,SQL Results
3.0,413000,0,سليانة,SILIANA,سليانة الجنوبية,SILIANA SUD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,136000,2,المهدية,MAHDIA,هبيرة,HBIRA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,33500,0,جندوبة,JENDOUBA,بلطة بوعوان,BALTA BOU OUN,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
19.0,1532691,14,القصرين,KASSERINE,القصرين الجنوبية,KASSERINE SUD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,146500,1,تطاوين,TATAWINE,الصمّار,SAMMAR,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,756082,0,أريانة,ARIANA,سيدي ثابت,SID THABET,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,52000,1,بن عروس,BEN AROUSSE,المدينة الجديدة,ALMADINA ALJADIDA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
4.0,181074,4,القصرين,KASSERINE,حاسي الفريد,HASSI ELFRID,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,120000,0,أريانة,ARIANA,سيدي ثابت,SID THABET,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,59000,0,القيروان,KAIROUAN,الشبيكة,CHBIKA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,75000,1,صفاقس,SFAXE,بئر علي بن خليفة,BIR ALI KHELIFFA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,54000,1,مدنين,MEDENINE,سيدي مخلوف,SID MAKHLOUF,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,55783,1,القصرين,KASSERINE,فريانة,FERYANA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
3.0,613000,4,المهدية,MAHDIA,قصور الساف,KSOUR ESSEF,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
15.0,1128683,15,القصرين,KASSERINE,سبيبة,SBIBA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,400970,2,سليانة,SILIANA,العروسة,ALAROUSSA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,150600,2,قفصة,GAFSA,أم  العرائس,OM ELARAYES,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
11.0,1438840,0,سليانة,SILIANA,سليانة الشما لية,SILIANA NORD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
5.0,390711,5,القصرين,KASSERINE,فريانة,FERYANA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
8.0,545108,8,مدنين,MEDENINE,جرجيس,JERJIS,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
21.0,1910744,32,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
5.0,742462,3,سليانة,SILIANA,مكثر,MAKTHER,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,90000,13,بن عروس,BEN AROUSSE,بومهل البساتين,BOUMHAL ALBASSATIN,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,17000,0,منــوبة,MANOUBA,واد الليل,WAD ELIL,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,83700,0,باجة,BEJA,نفزة,NEFZA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,68000,0,مدنين,MEDENINE,أجيم,AJIM,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,768000,3,تطاوين,TATAWINE,تطاوين الجنوبية,TATAWIN SUD,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
3.0,216000,3,بن عروس,BEN AROUSSE,مرناق,MORNAG,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,296310,3,القصرين,KASSERINE,جدليان,JDELYAN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,1300000,10,المنستير,MOUNASTIR,جمال,JAMMEL,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
4.0,480500,5,مدنين,MEDENINE,مدنين الشما لية,MEDNI NORD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,236745,4,قفصة,GAFSA,السند,ESNAD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
4.0,6486000,21,المهدية,MAHDIA,المهدية,MAHDIA,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
8.0,1020030,9,مدنين,MEDENINE,مدنين الجنوبية,MEDNIN SUD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,62300,0,جندوبة,JENDOUBA,فرنانة,FERNANA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,44341,0,جندوبة,JENDOUBA,عين دراهم,AIN DRAHEM,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,33000,0,سوسة,SOUSSE,القلعة الكبرى,KALAA ELKOUBRA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,195000,4,منــوبة,MANOUBA,البطان,EL BATAN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,65090,0,الكاف,KEF,الكاف الغربية,EL KEF OUSET,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
2.0,69977,1,صفاقس,SFAXE,قرقنة,KAREKNA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
2.0,508000,4,المهدية,MAHDIA,الشابة,CHEBBA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,54000,1,سوسة,SOUSSE,سوسة الجوهرة,SOUSSE ELJAWHRA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,29500,1,قبلي,KEBELLI,قبلي الجنوبية,KEBELLI SUD,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
6.0,2775000,15,المهدية,MAHDIA,الشابة,CHEBBA,الصيد البحري,PECHE,أفريل,avr.,2017,SQL Results
1.0,20980,0,سليانة,SILIANA,بوعرادة,BOU ARADA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
8.0,969242,2,سليانة,SILIANA,سيدي بورويس,SIDI BOURWIS,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,80000,1,المنستير,MOUNASTIR,زرمدين,ZMERDIN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
4.0,186971,0,الكاف,KEF,الدهماني,DAHMENI,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,51030,1,صفاقس,SFAXE,ساقية الدائر,SAKIYET EDAYER,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
2.0,396080,0,مدنين,MEDENINE,جرجيس,JERJIS,الصيد البحري,PECHE,أفريل,avr.,2017,SQL Results
1.0,61042,0,أريانة,ARIANA,قلعة الأندلس,KALAT AL ANDALOUS,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,241000,3,المهدية,MAHDIA,شربان,CHERBEN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,38060,1,القصرين,KASSERINE,تا لة,TELA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,72790,0,مدنين,MEDENINE,بني خداش,BENI KHEDECH,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
2.0,238000,4,مدنين,MEDENINE,حومة السوق,HOUMMET SOUK,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,287593,0,أريانة,ARIANA,رواد,RAWED,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,193477,0,جندوبة,JENDOUBA,جندوبة,JENDOUBA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
6.0,822062,9,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,119000,2,سليانة,SILIANA,قعفور,GAAFOUR,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,1400000,2,المنستير,MOUNASTIR,بني حسان,BENI HASSEN,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
1.0,70000,0,أريانة,ARIANA,أريانة المدينة,ARIANA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
2.0,97300,0,جندوبة,JENDOUBA,غارالدماء,GAR DIMA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,83000,1,القيروان,KAIROUAN,حاجب العيون,HAJEB LAYOUN,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,1436000,13,المهدية,MAHDIA,ملولش,MLOULECH,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
1.0,87150,0,المنستير,MOUNASTIR,طبلبة,TBOLBA,تربية الأحياء المائية,AQUACULTURE,أفريل,avr.,2017,SQL Results
1.0,99314,1,قفصة,GAFSA,سيدي عيش,SIDI ICH,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,660000,4,منــوبة,MANOUBA,برج العامري,BOURJ EL AMRI,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
9.0,966611,9,مدنين,MEDENINE,بن قردان,BEN GERDAN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,980000,21,زغوان,ZAGHOUANE,الفحص,FAHS,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,50506,1,صفاقس,SFAXE,صفاقس المدينة,SFAXE MEDINA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
2.0,57054,0,الكاف,KEF,قلعة الخصبة,KALAA KHESBA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,167000,0,المهدية,MAHDIA,السواسي,ESSWASSI,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,63243,1,مدنين,MEDENINE,بني خداش,BENI KHEDECH,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,252000,1,بن عروس,BEN AROUSSE,المحمدية,MHAMDIYA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,77960,0,الكاف,KEF,نبر,NEBR,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,48169,1,صفاقس,SFAXE,صفاقس الجنوبية,SFAXE SUD,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,47000,0,الكاف,KEF,السرس,SERS,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,220000,1,صفاقس,SFAXE,الغريبة,ELGRIBA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,138000,0,سوسة,SOUSSE,بوفيشة,BOUFICHA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,63237,1,باجة,BEJA,عمدون,AMDOUN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
5.0,1103765,5,صفاقس,SFAXE,منزل شاكر,MANZEL CHAKKER,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
5.0,198838,0,سليانة,SILIANA,الروحية,ROUHIYA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
4.0,196900,2,باجة,BEJA,باجة الجنوبية,BEJA SUD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,41652,0,الكاف,KEF,ساقية سيدي يوسف,SAKIYET SIDI YOUSSEF,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,99518,2,صفاقس,SFAXE,منزل شاكر,MANZEL CHAKKER,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,109000,0,القيروان,KAIROUAN,السبيخة,SBIKHA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,2312,0,الكاف,KEF,الكاف الغربية,EL KEF OUSET,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,46000,1,مدنين,MEDENINE,حومة السوق,HOUMMET SOUK,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,1271000,0,المهدية,MAHDIA,هبيرة,HBIRA,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
1.0,9980,0,جندوبة,JENDOUBA,غارالدماء,GAR DIMA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
2.0,420059,0,جندوبة,JENDOUBA,بوسا لم,BOUSALEM,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,64000,0,باجة,BEJA,باجة الشما لية,BEJANORD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,517380,1,سليانة,SILIANA,قعفور,GAAFOUR,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,107175,0,جندوبة,JENDOUBA,جندوبة,JENDOUBA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,195000,2,تطاوين,TATAWINE,غمراسن,GOMRASSEN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,575639,0,الكاف,KEF,السرس,SERS,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,134286,0,جندوبة,JENDOUBA,بلطة بوعوان,BALTA BOU OUN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,44000,3,بن عروس,BEN AROUSSE,بومهل البساتين,BOUMHAL ALBASSATIN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,89000,0,القيروان,KAIROUAN,القيروان الشما لية,KAIROUAN NORD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,72620,0,الكاف,KEF,الطويرف,Touiref,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
4.0,225654,2,القصرين,KASSERINE,القصرين الشما لية,KASSERIN NORD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,89940,2,قفصة,GAFSA,زانوش,,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,4000,0,المنستير,MOUNASTIR,طبلبة,TBOLBA,الصيد البحري,PECHE,أفريل,avr.,2017,SQL Results
2.0,97412,2,صفاقس,SFAXE,جبنيانة,JEBINYANA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,42000,1,بن عروس,BEN AROUSSE,فوشانة,FOUCHANA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,51030,0,منــوبة,MANOUBA,دوارهيشر,DOUAR HICHER,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
30.0,2217034,25,القصرين,KASSERINE,فوسانة,FOUSENA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
4.0,709334,4,صفاقس,SFAXE,الصخيرة,SKHIRA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
14.0,1343843,11,القصرين,KASSERINE,ماجل با لعباس,MAJEL BELABBES,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,260000,4,المهدية,MAHDIA,سيدي علوان,SIDI ALWEN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,173041,1,القصرين,KASSERINE,فوسانة,FOUSENA,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
2.0,135000,1,المهدية,MAHDIA,سيدي علوان,SIDI ALWEN,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
3.0,421090,50,باجة,BEJA,تستور,TASTOUR,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
8.0,1068248,0,سليانة,SILIANA,الكريب,EL KRIB,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,49659,1,صفاقس,SFAXE,العامرة,EL AMRA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,31000,0,القيروان,KAIROUAN,حاجب العيون,HAJEB LAYOUN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,11000,0,سوسة,SOUSSE,سيدي الهاني,SIDI ELHANI,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,62000,1,سوسة,SOUSSE,النفيضة,NFIDHA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,128000,1,القصرين,KASSERINE,سبيطلة,SBITLA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
4.0,838905,0,جندوبة,JENDOUBA,بوسا لم,BOUSALEM,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,703000,10,القيروان,KAIROUAN,الشبيكة,CHBIKA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,774000,1,القصرين,KASSERINE,ماجل با لعباس,MAJEL BELABBES,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,8332,0,الكاف,KEF,القصور,ELKSOUR,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,1550000,12,المهدية,MAHDIA,سيدي علوان,SIDI ALWEN,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
1.0,16000,0,المهدية,MAHDIA,هبيرة,HBIRA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,178282,1,سليانة,SILIANA,برقو,BERGOU,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,965022,5,باجة,BEJA,قبلاط,KBELLAT,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
8.0,756003,8,القصرين,KASSERINE,العيون,EL AYOUN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,4144000,17,المهدية,MAHDIA,بو مرداس,BOU MERDES,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
2.0,144092,1,قابس,GABES,مارث,MARETH,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,44713,2,تــونس,TUNIS,حلق الوادي,LA GOULETTE,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
3.0,1801100,15,المهدية,MAHDIA,المهدية,MAHDIA,الصيد البحري,PECHE,أفريل,avr.,2017,SQL Results
1.0,53000,1,مدنين,MEDENINE,جرجيس,JERJIS,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,50505,1,قابس,GABES,غنوش,GANOUCH,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,7000,0,قابس,GABES,المطوية,EL METWEYA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,2980000,18,المهدية,MAHDIA,قصور الساف,KSOUR ESSEF,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
1.0,77432,0,جندوبة,JENDOUBA,واد مليز,WAD MLIZ,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
7.0,484840,9,قفصة,GAFSA,قفصة الشما لية,GAFSSA NORD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
3.0,335000,3,صفاقس,SFAXE,صفاقس الجنوبية,SFAXE SUD,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,1900,0,المهدية,MAHDIA,المهدية,MAHDIA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,43610,0,الكاف,KEF,تاجروين,TAJERWIN,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,110000,0,الكاف,KEF,الكاف الشرقية,KEF EST,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,139451,1,قبلي,KEBELLI,سوق الأحد,SOUK LAHAD,التحويل الأولي,PREMIERE TRANSFORMATION,أفريل,avr.,2017,SQL Results
1.0,55000,0,المهدية,MAHDIA,ملولش,MLOULECH,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,927750,0,باجة,BEJA,باجة الجنوبية,BEJA SUD,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
2.0,419000,2,المهدية,MAHDIA,المهدية,MAHDIA,الخدمات,SERVICE,أفريل,avr.,2017,SQL Results
1.0,14000,0,بنزرت,BIZERTE,راس الجبل,RAS JBEL,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
1.0,82000,1,سوسة,SOUSSE,كندار,KENDRA,الفلاحي,AGRICULTURE,أفريل,avr.,2017,SQL Results
2.0,801200,20,سوسة,SOUSSE,كندار,KENDRA,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
5.0,388109,6,سيدي بوزيد,SIDI BOUZIDE,سيدي علي بن عون,SIDI ALI BEN OUN,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
1.0,9980,0,جندوبة,JENDOUBA,غارالدماء,GAR DIMA,الخدمات,SERVICE,ماي,mai,2017,SQL Results
3.0,186000,2,المهدية,MAHDIA,الجم,EL JEM,الخدمات,SERVICE,ماي,mai,2017,SQL Results
3.0,310694,0,باجة,BEJA,باجة الشما لية,BEJANORD,الخدمات,SERVICE,ماي,mai,2017,SQL Results
18.0,2971560,6,صفاقس,SFAXE,الصخيرة,SKHIRA,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
2.0,134862,0,تــونس,TUNIS,سيدي حسين,SID HSSIN,الخدمات,SERVICE,ماي,mai,2017,SQL Results
2.0,117000,2,تطاوين,TATAWINE,تطاوين الشما لية,TATAWIN NORD,الخدمات,SERVICE,ماي,mai,2017,SQL Results
1.0,29190,0,جندوبة,JENDOUBA,طبرقة,TABARKA,الصيد البحري,PECHE,ماي,mai,2017,SQL Results
13.0,1029124,0,باجة,BEJA,تستور,TASTOUR,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
2.0,123833,2,صفاقس,SFAXE,صفاقس المدينة,SFAXE MEDINA,الخدمات,SERVICE,ماي,mai,2017,SQL Results
1.0,6550,0,قابس,GABES,المطوية,EL METWEYA,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
1.0,163000,2,سليانة,SILIANA,الكريب,EL KRIB,الخدمات,SERVICE,ماي,mai,2017,SQL Results
3.0,251000,6,المهدية,MAHDIA,السواسي,ESSWASSI,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
1.0,36560,0,صفاقس,SFAXE,صفاقس الجنوبية,SFAXE SUD,الخدمات,SERVICE,ماي,mai,2017,SQL Results
1.0,189000,14,المهدية,MAHDIA,المهدية,MAHDIA,الصيد البحري,PECHE,ماي,mai,2017,SQL Results
1.0,57000,1,المهدية,MAHDIA,قصور الساف,KSOUR ESSEF,الخدمات,SERVICE,ماي,mai,2017,SQL Results
2.0,7596600,1200,قابس,GABES,الحامة,HAMMA,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
1.0,64862,2,تــونس,TUNIS,حي الخضراء,CITE EL KHATHRA,الخدمات,SERVICE,ماي,mai,2017,SQL Results
26.0,1971387,13,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
1.0,62840,1,مدنين,MEDENINE,بني خداش,BENI KHEDECH,تربية الأحياء المائية,AQUACULTURE,ماي,mai,2017,SQL Results
2.0,116000,2,المنستير,MOUNASTIR,بني حسان,BENI HASSEN,الخدمات,SERVICE,ماي,mai,2017,SQL Results
7.0,382173,0,الكاف,KEF,الكاف الشرقية,KEF EST,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
5.0,319369,0,باجة,BEJA,باجة الجنوبية,BEJA SUD,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
7.0,580958,5,سيدي بوزيد,SIDI BOUZIDE,أولاد حفوز,AWLED HAFOUZ,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
2.0,431000,2,القيروان,KAIROUAN,القيروان الجنوبية,KAIROUAN SUD,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
3.0,141000,2,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الخدمات,SERVICE,ماي,mai,2017,SQL Results
2.0,99242,1,صفاقس,SFAXE,طينة,TINA,الخدمات,SERVICE,ماي,mai,2017,SQL Results
2.0,150580,1,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
4.0,427037,1,صفاقس,SFAXE,الحنشة,HANCHA,الفلاحي,AGRICULTURE,ماي,mai,2017,SQL Results
