inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
382900,4,6,12,تطاوين,SQL Results
136000,2,5,8,سوسة,SQL Results
11674769,20,62,3,نابل,SQL Results
7517081,168,89,3,القصرين,SQL Results
3517143,39,27,2,سيدي بوزيد,SQL Results
3373679,42,38,1,باجة,SQL Results
520850,13,27,3,الكاف,SQL Results
2606707,10,29,6,القصرين,SQL Results
17020000,29,1,5,القيروان,SQL Results
5965407,62,55,3,سيدي بوزيد,SQL Results
6914081,37,105,5,صفاقس,SQL Results
2713088,35,23,7,نابل,SQL Results
691889,13,0,5,زغوان,SQL Results
5476600,27,16,6,المهدية,SQL Results
5586500,28,50,7,القيروان,SQL Results
3823949,73,49,12,القصرين,SQL Results
11530000,33,59,11,المهدية,SQL Results
22160883,16,58,4,باجة,SQL Results
1664494,18,21,5,مدنين,SQL Results
1160343,3,12,8,منــوبة,SQL Results
1930663,23,15,2,زغوان,SQL Results
5389699,16,61,1,بن عروس,SQL Results
1448481,24,29,1,جندوبة,SQL Results
841827,3,5,7,توزر,SQL Results
2362000,44,16,1,القيروان,SQL Results
1364900,26,29,4,المهدية,SQL Results
65999,7,4,11,تطاوين,SQL Results
1996527,33,7,9,جندوبة,SQL Results
5758942,22,32,10,سيدي بوزيد,SQL Results
1199687,15,23,10,المنستير,SQL Results
1848958,41,43,10,الكاف,SQL Results
1537458,13,12,10,القصرين,SQL Results
2737045,6,9,6,باجة,SQL Results
108508,6,7,1,تطاوين,SQL Results
7636067,11,171,11,بن عروس,SQL Results
59529,2,2,5,تــونس,SQL Results
5592790,6,11,12,باجة,SQL Results
295513,4,2,8,جندوبة,SQL Results
1618588,22,14,2,قابس,SQL Results
9128516,26,222,5,نابل,SQL Results
1486517,14,30,6,تطاوين,SQL Results
1017469,18,5,4,قابس,SQL Results
6522316,65,126,4,نابل,SQL Results
844513,10,24,4,مدنين,SQL Results
4876601,120,107,5,القصرين,SQL Results
1709658,43,42,9,الكاف,SQL Results
705000,16,0,6,سليانة,SQL Results
5830570,17,36,5,بن عروس,SQL Results
7447228,33,236,12,سيدي بوزيد,SQL Results
12480382,17,41,12,قفصة,SQL Results
5060759,34,52,11,سيدي بوزيد,SQL Results
938478,6,7,5,قبلي,SQL Results
3319375,11,14,5,جندوبة,SQL Results
1619300,25,5,2,سليانة,SQL Results
3320139,24,38,6,صفاقس,SQL Results
2661103,34,25,4,قفصة,SQL Results
728890,8,7,4,قبلي,SQL Results
2258236,17,39,2,مدنين,SQL Results
287000,5,3,1,الكاف,SQL Results
1884627,29,17,12,قابس,SQL Results
1645672,19,29,10,تطاوين,SQL Results
731920,10,14,11,قبلي,SQL Results
1712396,19,23,9,قفصة,SQL Results
3040186,10,8,11,قابس,SQL Results
978373,5,15,8,قبلي,SQL Results
1204400,11,21,2,المنستير,SQL Results
2984924,7,11,10,قبلي,SQL Results
262750,2,0,8,زغوان,SQL Results
21900,3,3,9,تطاوين,SQL Results
