annee,station,moyenne_mois,septembre,octobre,novembre,decembre,janvier,fevrier,mars,avril,mai,juin,juillet,aout,total,feuille
2024,عمدون,المعدل,36.0,66.0,92.0,101.0,94.0,75.0,83.0,51.0,26.0,8.0,4.0,4.0,640.0,Feuil1
2024,Amdoun,الشهر,0.0,0.0,53.5,201.5,140.5,102.0,18.0,28.0,30.0,0.0,0.0,13.0,586.5,Feuil1
2024,نفزة,المعدل,37.0,112.0,148.0,146.0,126.0,116.0,97.0,75.0,31.0,8.5,2.6,7.0,906.1,Feuil1
2024,Nefza,الشهر,0.0,14.0,110.0,182.0,136.0,86.0,48.0,43.0,31.0,0.0,0.0,8.0,658.0,Feuil1
2024,تبرسق,المعدل,37.0,63.0,60.0,72.0,75.0,63.0,65.0,59.0,33.0,22.0,7.1,12.0,568.1,Feuil1
2024,téboursouk,الشهر,0.0,0.0,19.0,117.5,46.5,49.0,13.0,16.5,8.0,1.0,0.0,9.5,280.0,Feuil1
2024,مجاز الباب,المعدل,41.0,52.0,43.0,48.0,52.0,57.0,44.0,35.0,23.0,14.0,3.9,8.9,421.79999999999995,Feuil1
2024,Medjez,الشهر,0.0,0.0,32.0,86.0,41.5,37.0,15.0,42.0,10.0,0.0,0.0,0.5,264.0,Feuil1
2024,تستور,المعدل,26.0,53.0,55.0,45.0,57.0,45.0,53.0,38.0,24.0,7.0,7.0,6.0,416.0,Feuil1
2024,Testour,الشهر,0.0,0.0,39.0,117.5,19.5,29.5,9.5,22.5,13.0,2.0,0.0,0.5,253.0,Feuil1
2024,قبلاط,المعدل,24.0,56.0,47.0,41.0,51.0,45.0,50.0,32.0,24.0,8.0,5.0,3.0,386.0,Feuil1
2024,Goubellat,الشهر,0.0,0.0,19.0,108.0,27.0,43.0,11.0,63.5,3.0,3.0,0.0,0.0,277.5,Feuil1
2024,تيبار,المعدل,37.0,53.0,63.0,93.0,86.0,74.0,68.0,56.0,40.0,29.0,5.0,7.0,611.0,Feuil1
2024,Thibar,الشهر,0.0,3.0,15.0,138.0,53.0,67.0,28.0,45.0,61.0,1.0,0.0,6.0,417.0,Feuil1
2024,المجموع,الشهر,0.0,19.5,383.2,1204.1,580.1,519.3,189.1,334.6,190.6,16.7,0.0,54.5,,Feuil1
