annee,culture,production,feuille
2010,Pastéque _Melon,498.0,Prouction_1000Tonnes
2010,Autres légumes,360.0,Prouction_1000Tonnes
2011,Pomme_de_terre,360.0,Prouction_1000Tonnes
2011,Tomate,1284.0,Prouction_1000Tonnes
2011,Artichaut,18.0,Prouction_1000Tonnes
2011,Piment,268.0,Prouction_1000Tonnes
2011,Oignon,350.0,Prouction_1000Tonnes
2011,Pastéque _Melon,470.0,Prouction_1000Tonnes
2011,Autres légumes,360.0,Prouction_1000Tonnes
2012,Pomme_de_terre,350.0,Prouction_1000Tonnes
2012,Tomate,1357.0,Prouction_1000Tonnes
2012,Artichaut,18.0,Prouction_1000Tonnes
2012,Piment,315.0,Prouction_1000Tonnes
2012,Oignon,378.0,Prouction_1000Tonnes
2012,Pastéque _Melon,500.0,Prouction_1000Tonnes
2012,Autres légumes,363.0,Prouction_1000Tonnes
2013,Pomme_de_terre,385.0,Prouction_1000Tonnes
2013,Tomate,1013.0,Prouction_1000Tonnes
2013,Artichaut,19.0,Prouction_1000Tonnes
2013,Piment,384.0,Prouction_1000Tonnes
2013,Oignon,389.0,Prouction_1000Tonnes
2013,Pastéque _Melon,490.0,Prouction_1000Tonnes
2013,Autres légumes,387.0,Prouction_1000Tonnes
2014,Pomme_de_terre,390.0,Prouction_1000Tonnes
2014,Tomate,1288.0,Prouction_1000Tonnes
2014,Artichaut,19.0,Prouction_1000Tonnes
2014,Piment,380.0,Prouction_1000Tonnes
2014,Oignon,375.0,Prouction_1000Tonnes
2014,Pastéque _Melon,510.0,Prouction_1000Tonnes
2014,Autres légumes,390.0,Prouction_1000Tonnes
2015,Pomme_de_terre,400.0,Prouction_1000Tonnes
2015,Tomate,1600.0,Prouction_1000Tonnes
2015,Artichaut,24.3,Prouction_1000Tonnes
2015,Piment,511.0,Prouction_1000Tonnes
2015,Oignon,471.0,Prouction_1000Tonnes
2015,Pastéque _Melon,642.0,Prouction_1000Tonnes
2015,Autres légumes,390.0,Prouction_1000Tonnes
2016,Pomme_de_terre,440.0,Prouction_1000Tonnes
2016,Tomate,1330.0,Prouction_1000Tonnes
2016,Artichaut,26.9,Prouction_1000Tonnes
2016,Piment,455.0,Prouction_1000Tonnes
2016,Oignon,478.0,Prouction_1000Tonnes
2016,Pastéque _Melon,543.0,Prouction_1000Tonnes
2016,Autres légumes,420.0,Prouction_1000Tonnes
2017,Pomme_de_terre,420.0,Prouction_1000Tonnes
2017,Tomate,1219.0,Prouction_1000Tonnes
2017,Artichaut,32.0,Prouction_1000Tonnes
2017,Piment,463.0,Prouction_1000Tonnes
2017,Oignon,466.0,Prouction_1000Tonnes
2017,Pastéque _Melon,570.0,Prouction_1000Tonnes
2017,Autres légumes,675.0,Prouction_1000Tonnes
2018,Pomme_de_terre,465.0,Prouction_1000Tonnes
2018,Tomate,1187.0,Prouction_1000Tonnes
2018,Artichaut,21.0,Prouction_1000Tonnes
2018,Piment,459.0,Prouction_1000Tonnes
2018,Oignon,487.0,Prouction_1000Tonnes
2018,Pastéque _Melon,529.0,Prouction_1000Tonnes
2018,Autres légumes,775.0,Prouction_1000Tonnes
2019,Pomme_de_terre,435.0,Prouction_1000Tonnes
2019,Tomate,1534.0,Prouction_1000Tonnes
2019,Artichaut,21.2,Prouction_1000Tonnes
2019,Piment,435.0,Prouction_1000Tonnes
2019,Oignon,414.0,Prouction_1000Tonnes
2019,Pastéque _Melon,491.0,Prouction_1000Tonnes
2019,Autres légumes,875.0,Prouction_1000Tonnes
2020,Pomme_de_terre,452.0,Prouction_1000Tonnes
2020,Tomate,1574.0,Prouction_1000Tonnes
2020,Artichaut,31.1,Prouction_1000Tonnes
2020,Piment,476.0,Prouction_1000Tonnes
2020,Oignon,405.0,Prouction_1000Tonnes
2020,Pastéque _Melon,494.0,Prouction_1000Tonnes
2020,Autres légumes,719.0,Prouction_1000Tonnes
2021,Pomme_de_terre,433.0,Prouction_1000Tonnes
2021,Tomate,1462.0,Prouction_1000Tonnes
2021,Artichaut,30.0,Prouction_1000Tonnes
2021,Piment,459.0,Prouction_1000Tonnes
2021,Oignon,347.0,Prouction_1000Tonnes
2021,Pastéque _Melon,531.0,Prouction_1000Tonnes
2021,Autres légumes,914.25,Prouction_1000Tonnes
2022,Pomme_de_terre,411.0,Prouction_1000Tonnes
2022,Tomate,1156.0,Prouction_1000Tonnes
2022,Artichaut,24.0,Prouction_1000Tonnes
2022,Piment,459.0,Prouction_1000Tonnes
2022,Oignon,447.0,Prouction_1000Tonnes
2022,Pastéque _Melon,562.0,Prouction_1000Tonnes
2022,Autres légumes,938.0,Prouction_1000Tonnes
2023,Pomme_de_terre,423.0,Prouction_1000Tonnes
2023,Tomate,1099.0,Prouction_1000Tonnes
2023,Artichaut,19.0,Prouction_1000Tonnes
2023,Piment,369.0,Prouction_1000Tonnes
2023,Oignon,458.0,Prouction_1000Tonnes
2023,Pastéque _Melon,398.0,Prouction_1000Tonnes
2023,Autres légumes,772.0,Prouction_1000Tonnes
2024,Pomme_de_terre,400.0,Prouction_1000Tonnes
2024,Tomate,1000.0,Prouction_1000Tonnes
2024,Artichaut,19.0,Prouction_1000Tonnes
2024,Piment,360.0,Prouction_1000Tonnes
2024,Oignon,450.0,Prouction_1000Tonnes
2024,Pastéque _Melon,300.0,Prouction_1000Tonnes
2024,Autres légumes,735.0,Prouction_1000Tonnes
2025,Pomme_de_terre,401.0,Prouction_1000Tonnes
2025,Tomate,1267.0,Prouction_1000Tonnes
2025,Artichaut,14.7,Prouction_1000Tonnes
2025,Piment,342.0,Prouction_1000Tonnes
2025,Oignon,438.0,Prouction_1000Tonnes
2025,Pastéque _Melon,328.0,Prouction_1000Tonnes
2025,Autres légumes,680.0,Prouction_1000Tonnes
