annee,mois,region,valeur_dinvestissement_approuve_en_mille_dinars,valeur_de_subvention_en_mille_dinars,feuille
2021,Mai,Kairouan,13368,5255.0,investissement region
2021,Mai,Kasserine,15677,5179.0,investissement region
2021,Mai,Sidi Bouzid,18575,7093.0,investissement region
2021,Mai,Sousse,2486,548.0,investissement region
2021,Mai,Monastir,5218,1244.0,investissement region
2021,Mai,Mahdia,4539,1234.0,investissement region
2021,Mai,Sfax,10202,3162.0,investissement region
2021,Mai,Gafsa,9336,3397.0,investissement region
2021,Mai,Tozeur,2104,639.0,investissement region
2021,Mai,Kebili,0,0.0,investissement region
2021,Mai,Gabes,8041,2338.0,investissement region
2021,Mai,Medenine,8173,3238.0,investissement region
2021,Mai,Tataouine,4965,1615.0,investissement region
2021,Juin,Tunis,508,80.0,investissement region
2021,Juin,Ariana,1144,299.0,investissement region
2021,Juin,Ben Arous,222,106.0,investissement region
2021,Juin,Nabeul,23058,4845.0,investissement region
2021,Juin,Zaghouan,14817,3091.0,investissement region
2021,Juin,Bizerte,8823,3451.0,investissement region
2021,Juin,Manouba,775,217.0,investissement region
2021,Juin,Beja,4977,1776.0,investissement region
2021,Juin,Jendouba,12010,4032.0,investissement region
2021,Juin,Kef,6316,2225.0,investissement region
2021,Juin,Siliana,5066,1664.0,investissement region
2021,Juin,Kairouan,14406,5670.0,investissement region
2021,Juin,Kasserine,20473,6832.0,investissement region
2021,Juin,Sidi Bouzid,23014,8771.0,investissement region
2021,Juin,Sousse,2486,548.0,investissement region
2021,Juin,Monastir,9626,2187.0,investissement region
2021,Juin,Mahdia,9010,3146.0,investissement region
2021,Juin,Sfax,17045,4998.0,investissement region
2021,Juin,Gafsa,9295,3387.0,investissement region
2021,Juin,Tozeur,2254,1251.0,investissement region
2021,Juin,Kebili,0,0.0,investissement region
2021,Juin,Gabes,8966,2641.0,investissement region
2021,Juin,Medenine,10952,4269.0,investissement region
2021,Juin,Tataouine,4965,1615.0,investissement region
2021,Juillet,Tunis,508,80.0,investissement region
2021,Juillet,Ariana,1144,299.0,investissement region
2021,Juillet,Ben Arous,1488,622.0,investissement region
2021,Juillet,Nabeul,23058,4845.0,investissement region
2021,Juillet,Zaghouan,16817,3727.0,investissement region
2021,Juillet,Bizerte,14374,3975.0,investissement region
2021,Juillet,Manouba,1786,547.0,investissement region
2021,Juillet,Beja,4977,1776.0,investissement region
2021,Juillet,Jendouba,16330,4358.0,investissement region
2021,Juillet,Kef,6316,2225.0,investissement region
2021,Juillet,Siliana,7251,2444.0,investissement region
2021,Juillet,Kairouan,19638,7223.0,investissement region
2021,Juillet,Kasserine,20473,6816.0,investissement region
2021,Juillet,Sidi Bouzid,23014,8771.0,investissement region
2021,Juillet,Sousse,2486,548.0,investissement region
2021,Juillet,Monastir,9626,2187.0,investissement region
2021,Juillet,Mahdia,10958,3146.0,investissement region
2021,Juillet,Sfax,27785,6674.0,investissement region
2021,Juillet,Gafsa,14175,5181.0,investissement region
2021,Juillet,Tozeur,2254,682.0,investissement region
2021,Juillet,Kebili,0,0.0,investissement region
2021,Juillet,Gabes,8966,2634.0,investissement region
2021,Juillet,Medenine,10908,4263.0,investissement region
2021,Juillet,Tataouine,8199,2700.0,investissement region
2021,Aout,Tunis,858,175.0,investissement region
2021,Aout,Ariana,1144,299.0,investissement region
2021,Août,Ben Arous,2670,976.0,investissement region
2021,Août,Nabeul,23058,4845.0,investissement region
2021,Août,Zaghouan,16817,3727.0,investissement region
2021,Août,Bizerte,14374,3975.0,investissement region
2021,Août,Manouba,1786,547.0,investissement region
2021,Août,Beja,6515,2372.0,investissement region
2021,Août,Jendouba,16330,4358.0,investissement region
2021,Août,Kef,7643,2697.0,investissement region
2021,Août,Siliana,7251,2444.0,investissement region
2021,Août,Kairouan,24717,9163.0,investissement region
2021,Août,Kasserine,20473,6816.0,investissement region
2021,Août,Sidi Bouzid,25887,9954.0,investissement region
2021,Août,Sousse,2630,583.0,investissement region
2021,Août,Monastir,9626,2187.0,investissement region
2021,Août,Mahdia,10958,3146.0,investissement region
2021,Août,Sfax,27785,6674.0,investissement region
2021,Août,Gafsa,14175,5181.0,investissement region
2021,Août,Tozeur,3652,1251.0,investissement region
2021,Août,Kebili,4813,1580.0,investissement region
2021,Août,Gabes,8966,2634.0,investissement region
2021,Août,Medenine,10908,4263.0,investissement region
2021,Août,Tataouine,9245,2981.0,investissement region
2021,Septembre,Tunis,858,175.0,investissement region
2021,Septembre,Ariana,1144,299.0,investissement region
2021,Septembre,Ben Arous,2907,1059.0,investissement region
2021,Septembre,Nabeul,26851,5992.0,investissement region
2021,Septembre,Zaghouan,16817,3727.0,investissement region
2021,Septembre,Bizerte,17026,4185.0,investissement region
2021,Septembre,Manouba,1786,547.0,investissement region
2021,Septembre,Beja,6515,2372.0,investissement region
2021,Septembre,Jendouba,19167,5398.0,investissement region
2021,Septembre,Kef,9143,3042.0,investissement region
2021,Septembre,Siliana,9537,3471.0,investissement region
2021,Septembre,Kairouan,24717,9163.0,investissement region
2021,Septembre,Kasserine,32620,10571.0,investissement region
2021,Septembre,Sidi Bouzid,29943,11512.0,investissement region
2021,Septembre,Sousse,5056,1050.0,investissement region
2021,Septembre,Monastir,11010,2416.0,investissement region
2021,Septembre,Mahdia,12793,3724.0,investissement region
2021,Septembre,Sfax,30533,7406.0,investissement region
2021,Septembre,Gafsa,13740,5095.0,investissement region
2021,Septembre,Tozeur,3709,1270.0,investissement region
2021,Septembre,Kebili,4813,1580.0,investissement region
2021,Septembre,Gabes,12928,3957.0,investissement region
2021,Septembre,Medenine,13790,5444.0,investissement region
2021,Septembre,Tataouine,9245,2981.0,investissement region
2021,Octobre,Tunis,858,175.0,investissement region
2021,Octobre,Ariana,1144,299.0,investissement region
2021,Octobre,Ben Arous,2907,1059.0,investissement region
2021,Octobre,Nabeul,44660,8363.0,investissement region
2021,Octobre,Zaghouan,22912,4880.0,investissement region
2021,Octobre,Bizerte,21026,4948.0,investissement region
2021,Octobre,Manouba,3241,1027.0,investissement region
2021,Octobre,Beja,17192,5397.0,investissement region
2021,Octobre,Jendouba,23818,6503.0,investissement region
2021,Octobre,Kef,10997,3899.0,investissement region
2021,Octobre,Siliana,12149,4148.0,investissement region
2021,Octobre,Kairouan,27405,10346.0,investissement region
2021,Octobre,Kasserine,32620,10571.0,investissement region
2021,Octobre,Sidi Bouzid,35012,13725.0,investissement region
2021,Octobre,Sousse,5056,1050.0,investissement region
2021,Octobre,Monastir,11010,2416.0,investissement region
2021,Octobre,Mahdia,16891,5199.0,investissement region
2021,Octobre,Sfax,29762,7182.0,investissement region
2021,Octobre,Gafsa,16283,6029.0,investissement region
2021,Octobre,Tozeur,5140,1789.0,investissement region
2021,Octobre,Kebili,4813,1580.0,investissement region
2021,Octobre,Gabes,12928,3957.0,investissement region
2021,Octobre,Medenine,13790,5444.0,investissement region
2021,Octobre,Tataouine,9245,2981.0,investissement region
2021,novembre,Tunis,858,175.0,investissement region
2021,novembre,Ariana,1144,299.0,investissement region
2021,novembre,Ben Arous,2907,1059.0,investissement region
2021,novembre,Nabeul,48252,9651.0,investissement region
2021,novembre,Zaghouan,26050,6071.0,investissement region
2021,novembre,Bizerte,20759,4872.0,investissement region
2021,novembre,Manouba,3241,1027.0,investissement region
2021,novembre,Beja,17192,5397.0,investissement region
2021,novembre,Jendouba,23818,6503.0,investissement region
2021,novembre,Kef,10997,3899.0,investissement region
2021,novembre,Siliana,11903,4027.0,investissement region
2021,novembre,Kairouan,33338,12774.0,investissement region
2021,novembre,Kasserine,37164,12077.0,investissement region
2021,novembre,Sidi Bouzid,39348,15535.0,investissement region
2021,novembre,Sousse,5056,1050.0,investissement region
2021,novembre,Monastir,11010,2416.0,investissement region
2021,novembre,Mahdia,18089,5552.0,investissement region
2021,novembre,Sfax,29762,7182.0,investissement region
2021,novembre,Gafsa,20904,7615.0,investissement region
2021,novembre,Tozeur,6086,2171.0,investissement region
2021,novembre,Kebili,4813,1580.0,investissement region
2021,novembre,Gabes,16819,5277.0,investissement region
2021,novembre,Medenine,16512,6515.0,investissement region
2021,novembre,Tataouine,9245,2981.0,investissement region
2021,Decembre,Tunis,1068,192.0,investissement region
2021,Decembre,Ariana,6050,1168.0,investissement region
2021,Décembre,Ben Arous,4719,1665.0,investissement region
2021,Décembre,Nabeul,52908,10659.0,investissement region
2021,Décembre,Zaghouan,41250,7450.0,investissement region
2021,Décembre,Bizerte,43199,10837.0,investissement region
2021,Décembre,Manouba,4318,1352.0,investissement region
2021,Décembre,Beja,33232,8494.0,investissement region
2021,Décembre,Jendouba,30999,8658.0,investissement region
2021,Décembre,Kef,13289,5060.0,investissement region
2021,Décembre,Siliana,15829,5628.0,investissement region
2021,Décembre,Kairouan,37463,14337.0,investissement region
2021,Décembre,Kasserine,45004,14594.0,investissement region
2021,Décembre,Sidi Bouzid,42849,17043.0,investissement region
2021,Décembre,Sousse,9440,1628.0,investissement region
2021,Décembre,Monastir,16895,3326.0,investissement region
2021,Décembre,Mahdia,24417,6936.0,investissement region
2021,Décembre,Sfax,58741,11467.0,investissement region
2021,Décembre,Gafsa,25588,9308.0,investissement region
2021,Décembre,Tozeur,7406,2628.0,investissement region
2021,Décembre,Kebili,8183,2655.0,investissement region
2021,Décembre,Gabes,25214,6850.0,investissement region
2021,Décembre,Medenine,16778,6589.0,investissement region
2021,Décembre,Tataouine,12085,3960.0,investissement region
2022,mars,Tunis,0,0.0,investissement region
2022,mars,Ariana,0,0.0,investissement region
2022,mars,Ben Arous,3287,501.0,investissement region
2022,mars,Nabeul,11392,2244.0,investissement region
2022,mars,Zaghouan,5939,1305.0,investissement region
2022,mars,Bizerte,0,0.0,investissement region
2022,mars,Manouba,13071,2209.0,investissement region
2022,mars,Beja,3250,1262.0,investissement region
2022,mars,Jendouba,12361,4502.0,investissement region
2022,mars,Kef,5148,1684.0,investissement region
2022,mars,Siliana,781,346.0,investissement region
2022,mars,Kairouan,6785,2929.0,investissement region
2022,mars,Kasserine,7856,2770.0,investissement region
2022,mars,Sidi Bouzid,8202,3214.0,investissement region
2022,mars,Sousse,0,0.0,investissement region
2022,mars,Monastir,7469,906.0,investissement region
2022,mars,Mahdia,4117,963.0,investissement region
2022,mars,Sfax,6616,1950.0,investissement region
2022,mars,Gafsa,1665,712.0,investissement region
2022,mars,Tozeur,781,262.0,investissement region
2022,mars,Kebili,1970,734.0,investissement region
2022,mars,Gabes,23105,4747.0,investissement region
2022,mars,Medenine,5394,2001.0,investissement region
2022,mars,Tataouine,1478,544.0,investissement region
2022,avril,Tunis,508,0.0,investissement region
2022,avril,Ariana,0,0.0,investissement region
2022,avril,Ben Arous,0,3287.0,investissement region
2022,avril,Nabeul,12906,14827.0,investissement region
2022,avril,Zaghouan,4189,4129.0,investissement region
2022,avril,Bizerte,6478,5646.0,investissement region
2022,avril,Manouba,0,13071.0,investissement region
2022,avril,Beja,1330,3110.0,investissement region
2022,avril,Jendouba,6241,12361.0,investissement region
2022,avril,Kef,3622,3554.0,investissement region
2022,avril,Siliana,2858,4184.0,investissement region
2022,avril,Kairouan,8092,3217.0,investissement region
2022,avril,Kasserine,7796,2668.0,investissement region
2022,avril,Sidi Bouzid,8117,3039.0,investissement region
2022,avril,Sousse,0,0.0,investissement region
2022,avril,Monastir,2337,221.0,investissement region
2022,avril,Mahdia,5035,1345.0,investissement region
2022,avril,Sfax,10224,3169.0,investissement region
2022,avril,Gafsa,1908,792.0,investissement region
2022,avril,Tozeur,1717,530.0,investissement region
2022,avril,Kebili,3928,1242.0,investissement region
2022,avril,Gabes,17704,2863.0,investissement region
2022,avril,Medenine,5392,1976.0,investissement region
2022,avril,Tataouine,1478,538.0,investissement region
2022,mai,Tunis,0,0.0,investissement region
2022,mai,Ariana,1543,484.0,investissement region
2022,mai,Ben Arous,6250,1291.0,investissement region
2022,mai,Nabeul,27924,5465.0,investissement region
2022,mai,Zaghouan,9151,2026.0,investissement region
2022,mai,Bizerte,6206,2193.0,investissement region
2022,mai,Manouba,14338,2123.0,investissement region
2022,mai,Beja,7477,1894.0,investissement region
2022,mai,Jendouba,12361,4060.0,investissement region
2022,mai,Kef,6744,2572.0,investissement region
2022,mai,Siliana,9626,3076.0,investissement region
2022,mai,Kairouan,9923,3803.0,investissement region
2022,mai,Kasserine,12858,4363.0,investissement region
2022,mai,Sidi Bouzid,10839,4119.0,investissement region
2022,mai,Sousse,3954,576.0,investissement region
2022,mai,Monastir,8564,1180.0,investissement region
2022,mai,Mahdia,15739,3919.0,investissement region
2022,mai,Sfax,15469,4060.0,investissement region
2022,mai,Gafsa,6681,2573.0,investissement region
2022,mai,Tozeur,2255,692.0,investissement region
2022,mai,Kebili,3928,1242.0,investissement region
2022,mai,Gabes,30592,5866.0,investissement region
2022,mai,Medenine,7791,2978.0,investissement region
2022,mai,Tataouine,2946,1011.0,investissement region
2022,juin,Tunis,257,42.0,investissement region
2022,juin,Ariana,1543,484.0,investissement region
2022,juin,Ben Arous,6250,1291.0,investissement region
2022,juin,Nabeul,30094,5953.0,investissement region
2022,juin,Zaghouan,10493,2556.0,investissement region
2022,juin,Bizerte,7313,2363.0,investissement region
2022,juin,Manouba,15571,2490.0,investissement region
2022,juin,Beja,12707,3563.0,investissement region
2022,juin,Jendouba,17046,6042.0,investissement region
2022,juin,Kef,10949,3767.0,investissement region
2022,juin,Siliana,10996,3549.0,investissement region
2022,juin,Kairouan,12072,4516.0,investissement region
2022,juin,Kasserine,18370,6303.0,investissement region
2022,juin,Sidi Bouzid,16328,6102.0,investissement region
2022,juin,Sousse,7558,1516.0,investissement region
2022,juin,Monastir,13099,2314.0,investissement region
2022,juin,Mahdia,19072,5073.0,investissement region
2022,juin,Sfax,21532,5609.0,investissement region
2022,juin,Gafsa,8382,3227.0,investissement region
2022,juin,Tozeur,2255,692.0,investissement region
2022,juin,Kebili,5957,1913.0,investissement region
2022,juin,Gabes,31546,5866.0,investissement region
2022,juin,Medenine,10451,3480.0,investissement region
2022,juin,Tataouine,2946,1011.0,investissement region
2022,juillet,Tunis,1263,298.0,investissement region
2022,juillet,Ariana,1543,484.0,investissement region
2022,juillet,Ben Arous,8695,1523.0,investissement region
2022,juillet,Nabeul,30094,5954.0,investissement region
2022,juillet,Zaghouan,10493,2556.0,investissement region
2022,juillet,Bizerte,15848,4691.0,investissement region
2022,juillet,Manouba,15509,2472.0,investissement region
2022,juillet,Beja,14654,3902.0,investissement region
2022,juillet,Jendouba,18046,6042.0,investissement region
2022,juillet,Kef,10949,3767.0,investissement region
2022,juillet,Siliana,14159,4521.0,investissement region
2022,juillet,Kairouan,16737,5799.0,investissement region
2022,juillet,Kasserine,22513,7788.0,investissement region
2022,juillet,Sidi Bouzid,18680,6996.0,investissement region
2022,juillet,Sousse,12469,2174.0,investissement region
2022,juillet,Monastir,16048,2954.0,investissement region
2022,juillet,Mahdia,30527,7673.0,investissement region
2022,juillet,Sfax,36182,7109.0,investissement region
2022,juillet,Gafsa,10971,4211.0,investissement region
2022,juillet,Tozeur,2969,912.0,investissement region
2022,juillet,Kebili,5957,1913.0,investissement region
2022,juillet,Gabes,32099,6395.0,investissement region
2022,juillet,Medenine,15058,4630.0,investissement region
2022,juillet,Tataouine,4040,1384.0,investissement region
2022,aout,Tunis,1263,298.0,investissement region
2022,aout,Ariana,1543,484.0,investissement region
2022,août,Ben Arous,8695,1523.0,investissement region
2022,août,Nabeul,30936,6032.0,investissement region
2022,août,Zaghouan,10493,2556.0,investissement region
2022,août,Bizerte,15848,4691.0,investissement region
2022,août,Manouba,15676,2505.0,investissement region
2022,août,Beja,14654,3902.0,investissement region
2022,août,Jendouba,18046,6042.0,investissement region
2022,août,Kef,15594,5577.0,investissement region
2022,août,Siliana,14159,4521.0,investissement region
2022,août,Kairouan,21088,7725.0,investissement region
2022,août,Kasserine,28723,10250.0,investissement region
2022,août,Sidi Bouzid,20239,7723.0,investissement region
2022,août,Sousse,12469,2174.0,investissement region
2022,août,Monastir,16048,2954.0,investissement region
2022,août,Mahdia,30527,7673.0,investissement region
2022,août,Sfax,36182,7109.0,investissement region
2022,août,Gafsa,10909,4211.0,investissement region
2022,août,Tozeur,2969,912.0,investissement region
2022,août,Kebili,5957,1913.0,investissement region
2022,août,Gabes,32099,6386.0,investissement region
2022,août,Medenine,15058,4630.0,investissement region
2022,août,Tataouine,4040,1384.0,investissement region
2022,septembre,Tunis,1263,298.0,investissement region
2022,septembre,Ariana,1543,484.0,investissement region
2022,septembre,Ben Arous,9406,1723.0,investissement region
2022,septembre,Nabeul,34470,6873.0,investissement region
2022,septembre,Zaghouan,10493,2556.0,investissement region
2022,septembre,Bizerte,15848,4691.0,investissement region
2022,septembre,Manouba,17718,3074.0,investissement region
2022,septembre,Beja,18237,5278.0,investissement region
2022,septembre,Jendouba,18046,6042.0,investissement region
2022,septembre,Kef,14282,5199.0,investissement region
2022,septembre,Siliana,16125,5478.0,investissement region
2022,septembre,Kairouan,23663,8854.0,investissement region
2022,septembre,Kasserine,28379,10142.0,investissement region
2022,septembre,Sidi Bouzid,22401,8536.0,investissement region
2022,septembre,Sousse,12691,2207.0,investissement region
2022,septembre,Monastir,16902,3309.0,investissement region
2022,septembre,Mahdia,32579,8271.0,investissement region
2022,septembre,Sfax,36182,7109.0,investissement region
2022,septembre,Gafsa,14039,5337.0,investissement region
2022,septembre,Tozeur,3985,1284.0,investissement region
2022,septembre,Kebili,6835,2184.0,investissement region
2022,septembre,Gabes,34917,7198.0,investissement region
2022,septembre,Medenine,17847,5556.0,investissement region
2022,septembre,Tataouine,4040,1384.0,investissement region
2022,octobre,Tunis,1709,391.0,investissement region
2022,octobre,Ariana,3743,1150.0,investissement region
2022,octobre,Ben Arous,9406,1723.0,investissement region
2022,octobre,Nabeul,34470,6873.0,investissement region
2022,octobre,Zaghouan,15190,3528.0,investissement region
2022,octobre,Bizerte,15848,4691.0,investissement region
2022,octobre,Manouba,17718,3074.0,investissement region
2022,octobre,Beja,19461,5347.0,investissement region
2022,octobre,Jendouba,24007,8364.0,investissement region
2022,octobre,Kef,15595,5541.0,investissement region
2022,octobre,Siliana,20373,6471.0,investissement region
2022,octobre,Kairouan,29376,10769.0,investissement region
2022,octobre,Kasserine,36195,12956.0,investissement region
2022,octobre,Sidi Bouzid,22401,8536.0,investissement region
2022,octobre,Sousse,12691,2207.0,investissement region
2022,octobre,Monastir,18122,3490.0,investissement region
2022,octobre,Mahdia,45121,8665.0,investissement region
2022,octobre,Sfax,52794,9656.0,investissement region
2022,octobre,Gafsa,13977,5337.0,investissement region
2022,octobre,Tozeur,5063,1583.0,investissement region
2022,octobre,Kebili,6835,2184.0,investissement region
2022,octobre,Gabes,37263,7359.0,investissement region
2022,octobre,Medenine,17847,5556.0,investissement region
2022,octobre,Tataouine,6192,2221.0,investissement region
2022,novembre,Tunis,1709,391.0,investissement region
2022,novembre,Ariana,3743,1150.0,investissement region
2022,novembre,Ben Arous,9790,1834.0,investissement region
2022,novembre,Nabeul,44421,9322.0,investissement region
2022,novembre,Zaghouan,15190,3528.0,investissement region
2022,novembre,Bizerte,31051,9571.0,investissement region
2022,novembre,Manouba,17718,3074.0,investissement region
2022,novembre,Beja,19461,5347.0,investissement region
2022,novembre,Jendouba,24007,8364.0,investissement region
2022,novembre,Kef,21129,7239.0,investissement region
2022,novembre,Siliana,22650,7569.0,investissement region
2022,novembre,Kairouan,32290,11681.0,investissement region
2022,novembre,Kasserine,42004,15355.0,investissement region
2022,novembre,Sidi Bouzid,25226,9575.0,investissement region
2022,novembre,Sousse,12691,2207.0,investissement region
2022,novembre,Monastir,18987,3686.0,investissement region
2022,novembre,Mahdia,45121,8665.0,investissement region
2022,novembre,Sfax,58794,10113.0,investissement region
2022,novembre,Gafsa,16034,6060.0,investissement region
2022,novembre,Tozeur,5063,1750.0,investissement region
2022,novembre,Kebili,7780,2468.0,investissement region
2022,novembre,Gabes,41515,8759.0,investissement region
2022,novembre,Medenine,20508,5946.0,investissement region
2022,novembre,Tataouine,7287,2585.0,investissement region
2022,decembre,Tunis,1743,398.0,investissement region
2022,decembre,Ariana,3955,1112.0,investissement region
2022,décembre,Ben Arous,24434,2970.0,investissement region
2022,décembre,Nabeul,49806,10329.0,investissement region
2022,décembre,Zaghouan,18410,4367.0,investissement region
2022,décembre,Bizerte,31977,9571.0,investissement region
2022,décembre,Manouba,18902,3513.0,investissement region
2022,décembre,Beja,26760,8355.0,investissement region
2022,décembre,Jendouba,33180,10910.0,investissement region
2022,décembre,Kef,24071,8211.0,investissement region
2022,décembre,Siliana,20251,7183.0,investissement region
2022,décembre,Kairouan,36670,13431.0,investissement region
2022,décembre,Kasserine,44789,16442.0,investissement region
2022,décembre,Sidi Bouzid,29288,11135.0,investissement region
2022,décembre,Sousse,13280,2303.0,investissement region
2022,décembre,Monastir,18987,3686.0,investissement region
2022,décembre,Mahdia,55177,9906.0,investissement region
2022,décembre,Sfax,82133,14476.0,investissement region
2022,décembre,Gafsa,21967,7489.0,investissement region
2022,décembre,Tozeur,5919,1912.0,investissement region
2022,décembre,Kebili,7780,2468.0,investissement region
2022,décembre,Gabes,41515,8759.0,investissement region
2022,décembre,Medenine,22424,6649.0,investissement region
2022,décembre,Tataouine,7287,2585.0,investissement region
2023,mars,Tunis,0,0.0,investissement region
2023,mars,Ariana,0,0.0,investissement region
2023,mars,Ben Arous,3117,539.0,investissement region
2023,mars,Nabeul,4793,789.0,investissement region
2023,mars,Zaghouan,4840,1307.0,investissement region
2023,mars,Bizerte,12419,3559.0,investissement region
2023,mars,Manouba,651,233.0,investissement region
2023,mars,Beja,5290,1862.0,investissement region
2023,mars,Jendouba,5808,1901.0,investissement region
2023,mars,Kef,3562,1174.0,investissement region
2023,mars,Siliana,3119,1270.0,investissement region
2023,mars,Kairouan,9101,2584.0,investissement region
2023,mars,Kasserine,6663,2248.0,investissement region
2023,mars,Sidi Bouzid,17788,3882.0,investissement region
2023,mars,Sousse,0,0.0,investissement region
2023,mars,Monastir,3550,910.0,investissement region
2023,mars,Mahdia,1548,587.0,investissement region
2023,mars,Sfax,13033,2728.0,investissement region
2023,mars,Gafsa,1964,714.0,investissement region
2023,mars,Tozeur,1179,407.0,investissement region
2023,mars,Kebili,2374,732.0,investissement region
2023,mars,Gabes,12521,3749.0,investissement region
2023,mars,Medenine,7333,2152.0,investissement region
2023,mars,Tataouine,2985,686.0,investissement region
2023,avril,Tunis,0,0.0,investissement region
2023,avril,Ariana,0,0.0,investissement region
2023,avril,Ben Arous,3117,539.0,investissement region
2023,avril,Nabeul,4793,789.0,investissement region
2023,avril,Zaghouan,4840,1307.0,investissement region
2023,avril,Bizerte,12419,3559.0,investissement region
2023,avril,Manouba,4057,1036.0,investissement region
2023,avril,Beja,6174,2247.0,investissement region
2023,avril,Jendouba,5808,1901.0,investissement region
2023,avril,Kef,3753,1174.0,investissement region
2023,avril,Siliana,3119,1270.0,investissement region
2023,avril,Kairouan,9101,2584.0,investissement region
2023,avril,Kasserine,13289,4604.0,investissement region
2023,avril,Sidi Bouzid,21475,5302.0,investissement region
2023,avril,Sousse,254,95.0,investissement region
2023,avril,Monastir,3903,988.0,investissement region
2023,avril,Mahdia,5274,1407.0,investissement region
2023,avril,Sfax,15726,3538.0,investissement region
2023,avril,Gafsa,4436,1590.0,investissement region
2023,avril,Tozeur,1010,346.0,investissement region
2023,avril,Kebili,2374,732.0,investissement region
2023,avril,Gabes,12521,3749.0,investissement region
2023,avril,Medenine,9078,2715.0,investissement region
2023,avril,Tataouine,2985,683.0,investissement region
2023,mai,Tunis,1777,248.0,investissement region
2023,mai,Ariana,1404,423.0,investissement region
2023,mai,Ben Arous,3212,567.0,investissement region
2023,mai,Nabeul,4793,789.0,investissement region
2023,mai,Zaghouan,4840,1307.0,investissement region
2023,mai,Bizerte,19889,6241.0,investissement region
2023,mai,Manouba,4057,1036.0,investissement region
2023,mai,Beja,6174,2247.0,investissement region
2023,mai,Jendouba,5808,1901.0,investissement region
2023,mai,Kef,5789,2128.0,investissement region
2023,mai,Siliana,3119,1270.0,investissement region
2023,mai,Kairouan,11315,3607.0,investissement region
2023,mai,Kasserine,13482,4601.0,investissement region
2023,mai,Sidi Bouzid,24887,6570.0,investissement region
2023,mai,Sousse,254,95.0,investissement region
2023,mai,Monastir,3903,988.0,investissement region
2023,mai,Mahdia,6674,1886.0,investissement region
2023,mai,Sfax,15726,3538.0,investissement region
2023,mai,Gafsa,4436,1590.0,investissement region
2023,mai,Tozeur,1319,438.0,investissement region
2023,mai,Kebili,2374,732.0,investissement region
2023,mai,Gabes,15509,4815.0,investissement region
2023,mai,Medenine,9078,2715.0,investissement region
2023,mai,Tataouine,4044,1077.0,investissement region
2023,juin,Tunis,1777,248.0,investissement region
2023,juin,Ariana,1404,423.0,investissement region
