الولاية,المجمع,المعتمدية,المركزم_او_الخزانخ,feuille
سليانة,"شركة الإحياء والتنمية ""المسعودي""",الكريب,خ. عين غرس الله,Feuil1
سليانة,شركة إيهاب لتجميع الحبوب,مكثر,خ. بوعافية,Feuil1
سليانة,,قعفور,خ. العويديدي,Feuil1
سليانة,الشركة التعاونية المركزية  للقمح SMCEBLE,بوعرادة,خ. بوعرادة,Feuil1
سليانة,,العروسة,خ. العروسة,Feuil1
سليانة,,قعفور,خ. الأخوات,Feuil1
سليانة,,برقو,خ. برقو,Feuil1
سليانة,,بورويس,م. بورويس,Feuil1
سليانة,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,كريب,م. كريب,Feuil1
سليانة,,قعفور,خ. قعفور,Feuil1
سليانة,,بوعرادة,خ. بوعرادة,Feuil1
سليانة,,مكثر,م. مكثر,Feuil1
سليانة,,الروحية,م. الروحية,Feuil1
سليانة,,سليانة الشمالية,خ. سليانة (د/ح),Feuil1
سليانة,,بوعرادة,خ. المحواشي,Feuil1
سليانة,,برقو,خ. سيدي سعيد,Feuil1
سليانة,محمد صالح المولهي,سليانة الشمالية,خ. المولهي مصوج,Feuil1
سليانة,شركة السعيدي لتجميع الحبوب SSCC,برقو,م. برقو,Feuil1
القصرين,مصرف الخدمات الفلاحية المتعددة  CMA,حيدرة,خ. حيدرة,Feuil1
القصرين,,تالة,خ. تالة,Feuil1
القصرين,ديوان الحبوب,فوسانة,م. فوسانة,Feuil1
القصرين,,تالة,م. تالة,Feuil1
القصرين,,العيون,م. العيون,Feuil1
القصرين,,فريانة,م. فريانة,Feuil1
سيدي بوزيد,مجمع الخدمات الفلاحية المتعددة GMA,سيدي بوزيد الشرقية,خ. القادري لسودة,Feuil1
سيدي بوزيد,ديوان الحبوب,سيدي علي بن عون,م. بن عون,Feuil1
سيدي بوزيد,,مزونة,م. مزونة,Feuil1
سيدي بوزيد,,منزل بوزيان,م. منزل بوزيان,Feuil1
القيروان,مجمع الخدمات الفلاحية المتعددة GMA,الشبيكة,خ. زعفرانة,Feuil1
القيروان,,السبيخة,خ. السبيخة,Feuil1
القيروان,مصرف الخدمات الفلاحية المتعددة  CMA,الشبيكة,خ. الباطن,Feuil1
القيروان,الشركة التعاونية المركزية  للقمح SMCEBLE,الوسلاتية,خ. الوسلاتية,Feuil1
القيروان,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,القيروان الجنوبية,بريكات العرقوب,Feuil1
القيروان,الشركة التعاونية المركزية للخدمات الفلاحية الأغالبة,القيروان الجنوبية,خ. القيروان,Feuil1
سوسة,الشركة التعاونية للخدمات الفلاحية الإخلاص,القلعة الكبرى,م. القلعة الكبرى oc,Feuil1
سوسة,الشركة التعاونية الأساسية للخدمات الفلاحية الخوالدية,النفيضة,م. النفيضة oc,Feuil1
قفصة,ديوان الحبوب,قفصة,خ. قفصة,Feuil1
* مـجـمـع الـطرابلسي للحبوب GTC : طاقة الخزن المصرح بها للتجميع 15 أق من جملة طاقة خزن فعلية 42 أق,,,,Feuil1
عدد الخزانات,,,67,Feuil1
عدد المراكز,,,86,Feuil1
المجموع,,,153,Feuil1
