n,titre,auteur,annee,nom_fichier,feuille
26.0,Elaboration des approches et concepts pour la pérennisation de la gestion et de l’exploitation des systèmes d’eau (mission 1) concept 3 : professionnalisation des groupements hydrauliques rapport final,"DGGREE, IGIP, KFW",2013.0,26-RH,Feuil1
27.0,Projet de réhabilitation de l'infrastructure hydraulique et de création d'un réseau de drainage et d'assinissement des PPI de Gaâfour et Laâroussa : Plan de gestion Environnementale et sociale,"MARHPM, hydro plante",2020.0,27-RH,Feuil1
43.0,Ressources en Eau& Changement climatique en région méditerranéenne,"INGREF, IRESA",2014.0,28-RH,Feuil1
71.0,Rapport national du secteur de l'eau,"MARHP, Bureau de Planification et des équilibres hydrauliques",2017.0,30-RH,Feuil1
72.0,Repertoire des forages d'eau et piezometres réalisés en 2011,DGRE,2014.0,31-RH,Feuil1
73.0,الاقتصاد في مياه الري بالواحات,"AVFA, Direction Générale du Génie Rural",1995.0,32-RH,Feuil1
74.0,دليل الاقتصاد و التحكم في مياه الري,Direction Générale du Génie Rural,,33-RH,Feuil1
75.0,LEXIQUE DE L'EAU / Water Lexicom / مصطلحات الماء,"DGGREE, INGREF, M,Hachicha, R,Latiri,N,Gharbi",2008.0,34-RH,Feuil1
76.0,صيانة شبكة صرف المياه بالواحات,AVFA,2000.0,35-RH,Feuil1
77.0,الري التكميلي,"AVFA, INAT, INGREF",,36-RH,Feuil1
78.0,La conduite de l'irrigation sous serre chauffée par les eaux géothermales : Projet PUGA,DGPA,,37-RH,Feuil1
79.0,Eau XXI : Stratégie du secteur de l'eau en Tunisie à long terme 2030,"Louati Mohamed El Hedi, Khanfir Rachid, Alouini Aws",1998.0,38-RH,Feuil1
80.0,"Etat , défis majeurs et axes stratégiques du secteur de l'eau en Tunisie : rapport national","DGRE, Mekki Hamza",2006.0,39-RH,Feuil1
86.0,Etude sur la tarification de l'eau d'irrigation dans les PPI : rapport définitif,CNEA,,40-RH,Feuil1
127.0,Méthodologie générale de dépouillement et d'analyse statistique des données pluviographiques : optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie,DGRE,,41-RH,Feuil1
128.0,"Optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station d'ABIDA CASSIS : Etude des intensités; durées, fréquences (IDF)",DGRE,,42-RH,Feuil1
129.0,"optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station de barrage MASRI : Etude des intensités; durées, fréquences (IDF)",DGRE,,43-RH,Feuil1
130.0,"optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station de GHARDIMAOU : Etude des intensités; durées, fréquences (IDF)",DGRE,,44-RH,Feuil1
131.0,"optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station de SIDI ALI JBALI : Etude des intensités; durées, fréquences (IDF)",DGRE,,45-RH,Feuil1
132.0,"optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station de ZRIBA AIN SFAYA : Etude des intensités; durées, fréquences (IDF)",DGRE,,46-RH,Feuil1
133.0,"optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station de barrage CHIBA : Etude des intensités; durées, fréquences (IDF)",DGRE,,47-RH,Feuil1
134.0,"optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station de HALG ENNEB : Etude des intensités; durées, fréquences (IDF)",DGRE,,48-RH,Feuil1
135.0,"Station de ZOUARINE GARE : Etude des intensités; durées, fréquences (IDF)",DGRE,,49-RH,Feuil1
136.0,"optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station de OUED EL ABID : Etude des intensités; durées, fréquences (IDF)",DGRE,,50-RH,Feuil1
137.0,"optimisation des réseaux de suivi des ressources en eau : Etude de pluviographie : Station de TUBURBO MAJUS : Etude des intensités; durées, fréquences (IDF)",DGRE,,51-RH,Feuil1
166.0,Etude de faisabilité institutionnelle pour la gestion des systèmes gydrauliques des périmètres irrigués -Evaluation de la participation du secteur privé Rapport Phase 1- Contexte institutionnel et juridique de l'irrigation et modes de gestion des périmètres irrigués,"DGGREE, Banque Mondiale",2018.0,52-RH,Feuil1
167.0,Etude de faisabilité institutionnelle pour la gestion des systèmes gydrauliques des périmètres irrigués -Evaluation de la participation du secteur privé Rapport Phase 3- Proposition de modes de gestion pour la zone du projet,"DGGREE, Banque Mondiale",2018.0,53-RH,Feuil1
189.0,المحافظة على الموارد المائية الجوفية القليلة العمق و تفادي إستنزافها,AVFA,2002.0,54-RH,Feuil1
307.0,Lac collinaire et environnement en zone semi-aride : enjeux-contraintes et perspectives / البحيرات الجبلية و دورها في محيط ذي مناخ شبه جاف : رهانات-صعوبات-آفاق,"CES, ORSTOM",1996.0,55-RH,Feuil1
422.0,Etude préparatoire relative au projet de construction de la station de dessalement d'eau de mer à Sfax en republique Tunisienne : rapport final,"MARHP : SONEDE, Agence japonaise de coopération internationale",2015.0,56-RH,Feuil1
423.0,Projet d'intensification de l'agriculture irriguée en Tunisie (PIAIT) : plan de lutte antiparasitaire (PLA) version définitive,MARHP : DGGREE,2018.0,57-RH,Feuil1
424.0,Etude d'impact sur l'environnement : projet de réalisation de le station de déssalement d'eau de mer dans le grand Sfax : rapport définitif,"MARHP : SONEDE, IHEE",2016.0,58-RH,Feuil1
487.0,Optimisation de la réutilisation des eaux usées traitées en irrigation,"INGREF, DGCI, Facultés universitaire des siences agronomiques",2002.0,29-RH,Feuil1
488.0,Inventaire des bonnes pratiques dans le secteur de l'eau en Tunisie,MARHP,2020.0,59-RH,Feuil1
490.0,"Programme de conservation des eaux et du sol dans les gouvernorats de Kairouan, Siliana et Zaghouan : Rapport de mission d'appui à la mise en place des groupements de développement agricole","MARHP, COOPERAZIONE, FAO",2004.0,60-RH,Feuil1
495.0,Study of entegrated water resources management in the North of Tunisia,"MARH, DG/BGTH",,61-RH,Feuil1
501.0,Les expériences méditerranéennes dans le traitement et l'élimination des eaux résiduaires des huileries d'olives,"gtz, ONAS",1996.0,62-RH,Feuil1
584.0,La gouvernance des eaux souterraines enTunisie : Groundwater governance in the Arab World,"Mohamed Elloumi, USAID, IWMI",2016.0,63-RH,Feuil1
608.0,Eau XXI :Stratégie du secteur de l’eau en Tunisie à long terme 2030,"MARHP, Louati Mohamed El Hedi, Khanfir Rachid, Alouini Aws",1998.0,64-RH,Feuil1
624.0,الإستعمال الآمن للمياه المستعملة المعالجة في القطاع الزراعي في تونس : المشروع الإقليمي التكيف مع ظاهرة التغير المناخي في البيئات الهامشية لمنطقة غرب آسيا و شمال افريقيا من خلال التنويع المستدام للمحاصيل و الثروة الحيوانية,"INGREF, ICBA, IFAD,AFESD, Dr MOHAMED Elhchicha, Dr MONIA Trad,,,",2014.0,66-RH,Feuil1
630.0,"Assistance spéciale pour la durabilité des projets (SAPS) portant sur le "" projet de gestion des ressources en eau en République Tunisienne"" rapport final","MARHP, JICA",2014.0,65-RH,Feuil1
632.0,Projet d'intensification de l'agriculture irriguée en Tunisie (PIAIT) : Maitrise d'œuvre de conception du périmètre public irrigué de Mejez El Beb plan de gestion environnementales et sociale (PGES),"MARHP, DGGREE,Banque Mondiale",2022.0,67-RH,Feuil1
634.0,"Etat, défis majeurs et axes stratégiques du secteur de l'eau en Tunisie : rapport national","DGGREE, Mekki Hamza",2006.0,68-RH,Feuil1
636.0,ETUDE PRELIMINAIRE DE PROTECTION DES BARRAGES CONTRE L’ENVASEMENT,"DGACTA, Ghedhoui Salaheddine, Habib Farhat",2006.0,69-RH,Feuil1
637.0,Etude du secteur de l'eau potable en milieu rural,"MARH, SONEDE, IGIP, SCET",2001.0,70-RH,Feuil1
639.0,Projet d'appui technique pour la mise en œuvre de la stratégie nationale de la conservation des eaux et du sol en Tunisie,"MARH, CES, Alouani Bouzid",1997.0,71-RH,Feuil1
642.0,L'amélioration de l'efficience de l'irrigation pour une économie d'eau : cas d'un périmètre irrigué en Tunisie : rapport final,"K, LOUCHCHI, CIHEAM",1999.0,72-RH,Feuil1
644.0,Les lacs et retenues collinaires en Tunisie,"INGREF, Dr Salah SELMI, M Slah NASRI",1997.0,73-RH,Feuil1
647.0,Recherche et formation en matière d'irrigation avec des eaux salées 1962-1969 rapport technique,"UNDP, UNESCO",1970.0,79-RH,Feuil1
666.0,"Les ressources en eaux souterraines de la plaine de Haouaria, Tunisie : état fragiles, acteurs multiples et nécessité d'un changement intégré; IWMI project report N°8 Groundater governance in the Arab world","INGREF, IWMI, USAID, Wafa Ghazouani, Insaf Mekki",2016.0,74-RH,Feuil1
667.0,Analyse des stratégies et prospectives de l'eau en Tunisie rapport I : monographie de l'eau en Tunisie; rapport II : prospectives de l'eau en Tunisie,"Sébastien Treyer, ENGREF, Plan Bleu,  M.Abdelkader HAMDANE (DGGR),M.Mohammed ABD EL HEDI (SONEDE-Sud), M.Aws ALOUINI (INAT), Mme Akissa BAHRI (INRGREF)",2000.0,75-RH,Feuil1
668.0,Analyse de la gouvernance de l'eau dans la basse vallée de la Medjerda Tunisie,"FOA,  Mohamed AlHamdi, Abdourahman Maki",2023.0,76-RH,Feuil1
669.0,"La gouvernance des services de l’eau en Tunisie : Surmonter les défis de la participation
du secteur privé",OCDE,2014.0,77-RH,Feuil1
675.0,La gouvernance des eaux souterraines en Tunisie IWMI Project Report : Groundwater governance in the Arab World,"Mohamed Elloumi, IWMI, USAID",2016.0,78-RH,Feuil1
676.0,Etat de l'art de la productivité de l'eau des cultures Tunisie,"Masmoudi, M.M., FAO",2024.0,85-RH,Feuil1
677.0,Rapport national du secteur de l'eau Année 2021,"MARHP, Bureau de Planification et des équilibres hydrauliques",2021.0,80-RH,Feuil1
680.0,"L’agriculture irriguée en Tunisie : politiques hydrauliques et politiques de régulation foncière /Cahiers Agricultures 2023, 32, 17","gharbi Inès, ELLOUMI Mohamed",2023.0,81-RH,Feuil1
681.0,Rapport national du secteur de l'eau Année 2022,"MARHP, Bureau de Planification et des équilibres hydrauliques",2022.0,82-RH,Feuil1
682.0,Rapport national du secteur de l'eau Année 2023,"MARHP, Bureau de Planification et des équilibres hydrauliques",2023.0,84-RH,Feuil1
683.0,Rapport national du secteur de l'eau Année 2020,"MARHP, Bureau de Planification et des équilibres hydrauliques",2020.0,83-RH,Feuil1
688.0,Développement et Gestion de l’Irrigation en Tunisie / researchgate 349349475,"Abdelkader HAMDANE, INAT",2021.0,443-AG,Feuil1
691.0,"Evolution institutionnelle et réglementaire de la gestion de l'eau en Tunisie, Vers une participation accrue des usagers de l'eau / HAL Id: cirad-00191075","AL ATIRI Raqya, DGGREE",2007.0,86-RH,Feuil1
698.0,Plan d’Action pour la Gestion Intégrée des Ressources en Eau en Tunisie (PAGIRE TUNISIE) : programme d'appui à l'ODD 6,"MARHP, UN, Global Water Partnership Mediterranean, GWPMed",2023.0,87-RH,Feuil1
700.0,L’eau en Tunisie / researchgate 274069351,"Mustapha BESBES, Jamel CHAHED, Abdelkader HAMDANE",2013.0,88-RH,Feuil1
701.0,Stratégie de  développement neutre en carbone et résilient aux changements climatiques à l'horizon 2050/ fiche sectorielle : les ressources en eau,"Ministère de l'environnement, giz",2023.0,89-RH,Feuil1
709.0,"Elaboration de la vision et de la stratégie du secteur de l'eau à l'horison 2050 pour la Tunisie ""EAU 2050"" : Synthèse de l'Etude","MARHP, giz",,90-RH,Feuil1
,"L'efficience d'utilisation de l'eau et approche économique : Etude nationale,Tunisie, version finale","Dr,M,H,LOUATI, plan bleu, Sophia Antipolis",2011.0,91-RH,Feuil1
,Etude sur la rentabilité des bonnes pratiques économes en eau et formation des format-rices/eurs livrable 3 : rapport d'étude,"MARHP, GIZ, DEUTSCHE ZUSAMMENARBEIT, IREEDD",,92-RH,Feuil1
,Pour une meilleure valorisation de l'eau d'irrigation dans le bassin du SASS diagnostic et recommandations /Système aquifère du Sahara septentrional,"OBSERVATOIRE DU SAHARA ET DU SAHEL, Hasan Quarrouch, Maxime Thibon, Jihed Ghannem,",2015.0,93-RH,Feuil1
,Test d'uniformité de distribution de l'eau d'irrigation à la parcelle : fiche thématique 1,"Institut de l’Olivier, REHAIEM Nabil",2021.0,94-RH,Feuil1
,Aménagements hydrauliques et amélioration de la gestion de l’eau dans les oasis du sud,"Najet Gharbi, DGGREE",2010.0,95-RH,Feuil1
,"Appropriations des ressources naturelles au sud de la Méditerranée : Des ressources et des appropriations
Retour, après la révolution, dans les oasis du Jérid (Tunisie) /Études rurales 192 | 2013","Vincent Battesti, Éditions de l’EHESS",2013.0,96-RH,Feuil1
,Gestion des ressources en eaux souterraines comme biens communs cas tunisien,"AFD, SCET Tunisie",,97-RH,Feuil1
,gestion durable des ressources en eau,"MEDD, ANPE, OTEDD, gtz",1999.0,98-RH,Feuil1
,Gouvernance de l'eau en Tunisie : étude du cas du gouvernorat de Kasserine,"International Alert,  Dr Raoudha Gafrej",2017.0,99-RH,Feuil1
,Réflexion Stratégique sur l’Eau Potable et L’Assainissement en Tunisie /Rapport No: 44744-TN,Banque mondiale,2009.0,100-RH,Feuil1
,Renforcement des systèmes et services hydrométéorologiques et d’alerte précoce en Tunisie : feuille de route,"Banque mondiale, GFDRR",2022.0,101-RH,Feuil1
,La réutilisation des eaux usées traitées en Tunisie :Etudes et rapports d’expertise 11/2003,"Susanne Neubert, Sihem Benabdallah, INSTITUT ALLEMAND DE DEVELOPPEMENT",2003.0,102-RH,Feuil1
,"Evolution des techniques de conservation des eaux et des sols en Tunisie / Bulletin du RESEAU EROSION n° 23, 2004","Mohamed BOUFAROUA, MARHP, DGACTA",2004.0,103-RH,Feuil1
,La conservation des eaux et du sol en Tunisie : bilan et perspectives / Cahiers Options Méditerranéennes; n. 9,"Achouri M. DIRECTION  DE LA  CONSERVATION  DES  EAUX  ET  DU SOL, CIHEAM",1995.0,104-RH,Feuil1
,Etude stratégique Eaux 2050 en Tunisie : rapport de synthèse,ITES,2011.0,105-RH,Feuil1
,Evaluation économique des services écosystémiques et du coût de non action en Tunisie : Cas du bassin versant O.Lachbal /NEW MEDIT N. 4/2023,"Seif Edine Hammami, Anouar Ben Mimoun, Mohamed Naoufel Ben Haha, INAT, DGACTA",2023.0,106-RH,Feuil1
,"Etude expérimentale du ruissellement et de l'érosion, sur les terres agricoles de Siliana (Tunisie)","Collinet Jean, Testouri Jebari Sihem, INRGREF",2000.0,107-RH,Feuil1
,"La conservation des eaux et du sol et efficacité technique de l'agriculture pluviale en zone aride, Cas du bassin versant de l'oued Oum Zessar/ NEW MEDIT N,1/2005","Naceur MAHDH, Mohamed Salah BACHTA , Mongi SGHAIER",2005.0,108-RH,Feuil1
,L’amélioration de l'efficience de l'irrigation pour une économie d’eau :  cas d'un périmètre irrigué en Tunisie : rapport final,"K. LOUHICHI, PNUE, plan bleu, CIHEAM-IAMM",1999.0,109-RH,Feuil1
,"Etat des lieux des connaissances du secteur de l'eau en Tunisie (Revue de la vision et des stratégies) Projet ""CREM"" coordinationrégionales pour une gestion durable des ressoiurces en eaux aux Maghreb","giz, OSS",2017.0,110-RH,Feuil1
,Participation de la population locale à la gestion de l’eau et du sol en amont du barrage de Nebhana en Tunisie : Gestion participative des ressources naturelles pour un développement durable de la région,"giz, DGACTA",2017.0,111-RH,Feuil1
,"Analyse des interactions entre ressources en eau et usages agricoles dans le bassin versant de l’oued Merguellil, Tunisie Centrale / Séminaire PCSI, décembre 2003, Montpellier, France","Christophe CUDENNEC, Ridha BEJI, Patrick LE GOULVEN, Mohamed Salah BACHTA, IRED, DGRE, INAT",2003.0,112-RH,Feuil1
