delegation,secteur,nom_huilerie,coordonnees_gps,systeme_de_transformation_traditionnel_non_fonctionnel,systeme_de_transformation_trdaditionnel,systeme_de_transformation_systeme_haute_tension,systeme_de_transformation_systeme_continu_2_etapes,systeme_de_transformation_systeme_continu_3_etapes,capacite_totale_de_transformation_tonne_jour,capacite_de_stockage_de_lhuile_tonne,stockage_dans_le_majel_tonne,stockage_dans_le_fer_anti_oxydant,adresse_de_lhuilerie,quantite_dhuile_disponible_tonne_debut_septembre_2025_super,feuille
جرجيس,حي البساتين,سالم بن شويخة,x:692932.74    y:3713086.74,1.0,,,,,,,,,حي البساتين,,معاصر
جرجيس,شماخ,توفيق الهنشيري,,1.0,,,,,,,,,شماخ,,معاصر
جرجيس,الهشام,ورثة المجعاط,x:691088.83   y:3706818.48,1.0,,,,,,,,,الهشام,,معاصر
جرجيس,خوي الغدير,ورثة مطيمط,,1.0,,,,,,,,,خوي الغدير(عريف),,معاصر
مدنين الشمالية,الصائخة,محمد اليوسفي,,,,1.0,,,2.0,,,,الصائخة,,معاصر
مدنين الشمالية,كوتين,مفتاح طرينة (هنية عطاوة),,,,1.0,,,6.0,,,,كوتين/واد موسى,,معاصر
مدنين الشمالية,بني غزيل,معصرة الباشا,x:628987.64   y:3687166.21,,,,,1.0,45.0,,,,بني غزيل,,معاصر
مدنين الشمالية,بني غزيل,معصرة البركة (فوزي البوزيدي),x:630036.56  y:3687310.42,,,,,2.0,80.0,20.0,20.0,,بني غزيل,,معاصر
مدنين الشمالية,راس بورملي,جلول الوهابي,,1.0,,,,,,,,,راس بورملي,,معاصر
مدنين الجنوبية,بو غرارة (تاجر جمت),شركة الهناء (مبروك وسعد كورشيد),x:656950.98   y:3716092.60,,,,,1.0,70.0,90.0,90.0,,بو غرارة تاجر جمت,,معاصر
مدنين الجنوبية,بو غرارة (الحشان),عمر دبيش,x:657554.23    y:3717821.68,,,1.0,,,15.0,30.0,30.0,,بو غرارة الحشان,,معاصر
مدنين الجنوبية,بو غرارة (تاجر جمت),معصرة بن سلامة ( كريم غبارة ),x:657779.69  y:3718087.69,,,,,1.0,60.0,210.0,,210.0,بو غرارة تاجر جمت,,معاصر
مدنين الجنوبية,بو غرارة (تاجر جمت),معصرة الزيتونة (نصر الصيد),x:658219.84    y:3718935.19,,,,,1.0,50.0,100.0,100.0,,بو غرارة تاجر جمت,,معاصر
مدنين الجنوبية,بوغرارة  الفجاء,مسعود طليق,x:653092.62   y:3708641.48,,,1.0,,,12.0,,,,بوغرارة  الفجاء,,معاصر
مدنين الجنوبية,عمرة,معصرة الزيتونة (حسين القمودي),x:642517.48  y:3696991.21,,,,,2.0,160.0,45.0,35.0,10.0,عمرة,,معاصر
مدنين الجنوبية,الإصيفر,مصطفى القمودي,x:643803.76   y:3691727.29,1.0,,,,,7.0,,,,الإصيفر,,معاصر
مدنين الجنوبية,صعدان,محمد زروق,x:649515.66  y:3703808.18,,,,,2.0,80.0,35.0,35.0,,صعدان,,معاصر
مدنين الجنوبية,تاجر جمت,معصرة النور (أحمد البارودي),,,,,,1.0,50.0,,,,تاجر جمت,,معاصر
مدنين الجنوبية,تاجر جمت,معصرة البركة (الصيد),,,,,,1.0,25.0,225.0,225.0,,تاجر جمت,,معاصر
مدنين الجنوبية,بو غرارة (العياطي),لطيف شلوفي,,,,1.0,,,3.0,,,,بو غرارة العياطي,,معاصر
مدنين الجنوبية,مدنين الجنوبية,محمد بن مصطفى جاب الله,x:639394.08   y:3689048.26,1.0,,,,,,,,,مدنين الجنوبية,,معاصر
مدنين الجنوبية,الدرغولية,مصباح بن علي الغول,,1.0,,,,,,,,,الدرغولية,,معاصر
مدنين الجنوبية,الدرغولية,شركة الحجاجي,,1.0,,,,,,,,,الدرغولية,,معاصر
مدنين الجنوبية,حسى عمر,الحاج محمد بوسعيدة,,1.0,,,,,,,,,حسى عمر,,معاصر
مدنين الجنوبية,واد السدر,عمار القاسمي,x:654488.78   y:3691498.96,1.0,,,,,,,,,واد السدر,,معاصر
سيدي مخلوف,المغراوية,محفوظ عبيشو,x:649328.91   y:3723462.22,,,1.0,,,10.0,50.0,50.0,,المغراوية,,معاصر
سيدي مخلوف,المغراوية,محمد الهريشي,x:647101.46    y:3721488.31,,,,,1.0,70.0,40.0,40.0,,ام حسن لمغراوية,,معاصر
سيدي مخلوف,المغراوية,زيد عبد الكبير,x:650250.83   y:3725088.60,,,1.0,,,10.0,,,,المغراوية,,معاصر
سيدي مخلوف,المغراوية,عمر بن مسعود الغندري,x:651864.16   y:3726354.00,,,1.0,,,10.0,,,,المغراوية,,معاصر
سيدي مخلوف,الجرف,معصرة الجنوب (ورثة محمود الجبالي),x:655530.91   y:3726475.65,,,1.0,,,10.0,80.0,80.0,,تماسنت الجرف,,معاصر
سيدي مخلوف,الجرف,أحمد البوعبيدي و إخوته,x:657545.01  y:3728701.89,,,1.0,,,10.0,60.0,60.0,,الجرف,,معاصر
سيدي مخلوف,الراقوبة الغربية,عون عطاوة,x:631032.96  y:3702135.60,,,1.0,,,5.0,30.0,30.0,,الراقوبة الغربية,,معاصر
سيدي مخلوف,الراقوبة الشرقية,معصرة البركة,x: 633728.21   y:3703703.60,,,1.0,,,10.0,20.0,20.0,,الراقوبة الشرقية,,معاصر
سيدي مخلوف,المغراوية,رشيد بن صالح,,,,,1.0,,1.0,5.0,,5.0,,,معاصر
سيدي مخلوف,البدوي,المعصرة العصرية (محمد ملاح),,,,,,1.0,70.0,100.0,100.0,,البدوي,,معاصر
سيدي مخلوف,الجرف,جلال بوعبيدي,,1.0,,,,,,,,,تماسنت الجرف,,معاصر
سيدي مخلوف,الجرف,محمود القلالي,,1.0,,,,,,,,,الجرف,,معاصر
سيدي مخلوف,الجرف,قاسم الطرابلسي,x:658907.45   y:3727097.39,1.0,,,,,,,,,الجرف,,معاصر
سيدي مخلوف,المغراوية,محمد الدامي (المشاي),x:649299.17    y:3723397.37,1.0,,,,,,,,,المغراوية,,معاصر
سيدي مخلوف,الراقوبة الغربية,مصطفى بن جمعة,,1.0,,,,,,,,,الراقوبة الغربية,,معاصر
بني خداش,المضهار/المنزلة,مصباح البوزيدي,x:603996.44   y:3681838.28,1.0,,,,,,,,,المضهار/المنزلة,,معاصر
بني خداش,حلق الجمل/ الحميمة,الهاشمي بو عبيدي,x:607877.90  y:3676688.97,,,1.0,,,2.0,,,,حلق الجمل/ الحميمة,,معاصر
بني خداش,بني خداش,البشير الحداد,x:611943.67  y:3678210.99,,,,,1.0,30.0,,,,بني خداش/حي سيدي منصور,,معاصر
بني خداش,دمر,محمد الرايح,x:613357.84   y:3681319.48,,,1.0,,,2.0,,,,دمر/بني خداش,,معاصر
بني خداش,قصر المحاضة/البنية,علي محضاوي,x:610771.08   y:3675410.47,,,1.0,,,2.0,,,,قصر المحاضة/البنية,,معاصر
بني خداش,بني خداش,الشركة التعاونية النجاح,,,,,1.0,,1.0,,,,,,معاصر
بني خداش,بني خداش,مجمع التنمية التعمير,,,,,1.0,,1.0,,,,البحيرة,,معاصر
بني خداش,ظهرة القبور,معصرة بن صالح (بوزيد الحمداوي),x:614237.32  y:3676698.51,1.0,,,,1.0,30.0,,,,ناموس,,معاصر
بني خداش,الدخيلة,علي بن سالم الجباهي,x:623241.17   y:3681295.49,1.0,,,,,,,,,الدخيلة,,معاصر
بني خداش,قصر المحاضة/البنية,مبروك محضاوي,x:610791.24   y:3675530.10,1.0,,,,,,,,,قصر المحاضة/البنية,,معاصر
بني خداش,قمانة/رحالة,محمد العدواني,,1.0,,,,,,,,,قمانة/رحالة,,معاصر
بني خداش,قصر جديد,عثمان الجباهي / عثمان العثماني,x:620721.71  y:3685453.40,1.0,,,,,,,,,قصر جديد,,معاصر
بني خداش,بني خداش,خليفة المكرازي,x:611628.51   y:3678554.15,1.0,,,,,,,,,بني خداش,,معاصر
آجيم,قلالة,محمد بن يوسف,x:672202.53   y:3733047.15,,,1.0,,,10.0,,,,قلالة,,معاصر
آجيم,قلالة,يوسف عبد العالي,,,,1.0,,,10.0,,,,,,معاصر
آجيم,قلالة,معصرة النور (عبد العزيز بن قيراط ),x:663545.01  y:3738362.07,,,,,1.0,40.0,60.0,60.0,,مزران,,معاصر
آجيم,واد الزبيب,لسعد بن يحي,,,1.0,,,,7.0,25.0,25.0,,واد الزبيب,,معاصر
آجيم,واد الزبيب,ورثة مهني بن يحي,x:669312.90  y:3738956.11,,,,,1.0,40.0,45.0,45.0,,واد الزبيب,,معاصر
آجيم,واد الزبيب,رؤوف  فرنكة,x:668109.86  y:3740559.64,,,,,1.0,40.0,120.0,120.0,,واد الزبيب,,معاصر
حومة السوق,غيزن,رشيد درواي,x: 676769.55  y:3748966.94,,,1.0,,,15.0,45.0,45.0,,غيزن,,معاصر
حومة السوق,الرياض,معصرة بن معاد TOP OLIVAE,x:672819.26   y:3744084.59,,,,,1.0,180.0,560.0,560.0,,الرياض,100.0,معاصر
حومة السوق,مليتة,محمد خلف الله و علي زيود,x:667512.36  y:3748433.27,,,1.0,,,5.0,30.0,30.0,,مليتة,,معاصر
حومة السوق,صدغيان,محفوظ البرجي,x:677804.48   y:3744514.71,,,1.0,,,10.0,,,,صدغيان,,معاصر
حومة السوق,الحشان,عمر الفناني,x:668970.48   y:3747985.77,,,,,1.0,30.0,50.0,50.0,,الحشان,,معاصر
حومة السوق,بازيم,الهادي بالحاج أحمد,x:667810.01   y:3744927.60,,,,,1.0,25.0,30.0,30.0,,بازيم,,معاصر
حومة السوق,بازيم,سليمان الشيخ,x:667236.61   y:3744177.46,,,1.0,,,10.0,30.0,30.0,,بازيم,,معاصر
حومة السوق,طريق ميدون,ابن سيناء,x:678768.78   y:3746089.28,,,,,1.0,60.0,180.0,180.0,,,40.0,معاصر
حومة السوق,الحشان,التوهامي  الفناني,x:668948.68   y:3748023.08,,,1.0,,,10.0,,,,الحشان,,معاصر
ميدون,الماي,احمد بن حمودة,,,,,,1.0,25.0,,,,الماي,,معاصر
ميدون,سدويكش,معصرة الوفاء (سالم الكوز),,,,,,2.0,75.0,60.0,60.0,,سدويكش,10.0,معاصر
بن قردان,العامرية,الهادي بن بوزيد هلال,x:706608.86   y:3664341.60,,,,,1.0,60.0,100.0,100.0,,العامرية,30.0,معاصر
بن قردان,العامرية,سعيد بن بوزيد هلال,x :705663.48  y:3664415.44,,,,,1.0,30.0,80.0,80.0,,العامرية,,معاصر
بن قردان,بنقردان,فتحي دلش,x:706479.06   y:3667763.97,,,,,1.0,60.0,80.0,80.0,,بنقردان,,معاصر
بن قردان,واد الربايع,رشيد بالطيب,x: 682209.92   y:3674411.88,,,,,1.0,60.0,80.0,80.0,,واد الربايع,,معاصر
بن قردان,المعمرات,سعد العكروت,x:708433.68   y: 3667704.53,,,,,1.0,40.0,100.0,100.0,,جميلة/ المعمرات,,معاصر
بن قردان,الورسنية,عبد الله لبيض,,,,,,1.0,40.0,80.0,80.0,,الورسنية,,معاصر
بن قردان,الورسنية,علي شندول,x:703420.91  y:3671296.44,,,,,1.0,50.0,,,,الورسنية,,معاصر
بن قردان,طريق مدنين,شتيوي كتار,x:705890.67  y:3668890.93,,1.0,,,,10.0,50.0,50.0,,طريق مدنين,,معاصر
بن قردان,طريق الصمار,الحبيب السعيدي,x:700643.22   y:3666235.15,,,,,1.0,50.0,50.0,50.0,,طريق الصمار,,معاصر
بن قردان,شارب الراجل,نبيل الفناني,x:704912.90  y: 3673646.84,,,,,1.0,50.0,,,,شارب الراجل,,معاصر
بن قردان,الصباح,رضا شندول,x:707926.06 y:3671038.64,,,,,1.0,50.0,145.0,145.0,,الصباح,,معاصر
بن قردان,المعمرات,مادي هلال,x: 709092.38   y:3665004.55,,,,,1.0,75.0,75.0,75.0,,المعمرات,,معاصر
بن قردان,شارب الراجل,عمر الفناني,x:704912.90  y: 3673646.84,,,,,1.0,40.0,30.0,30.0,,شارب الراجل,,معاصر
بن قردان,النفاتية,علي شنيب,x:674516.16   y:3679270.13,,,1.0,,,10.0,10.0,10.0,,النفاتية,,معاصر
بن قردان,الصياح,فتحي عبشة,x:707997.19   y:3674170.44,,,,,1.0,40.0,40.0,40.0,,الصياح,,معاصر
بن قردان,حسي النور الشهبانية,علي اللبودي,x:667701.16  y:3683149.68,,,1.0,,,15.0,25.0,25.0,,حسي النور الشهبانية,,معاصر
بن قردان,العكروتية,الكوني شريح,x:699342.24 y:3674536.29,,,1.0,,,10.0,20.0,20.0,,العكروتية,,معاصر
بن قردان,الورسنية,فيصل الزناتي,x: 704011.41  y: 3672213.72,,,,,1.0,40.0,,,,الورسنية,,معاصر
بن قردان,شارب الراجل,مصطفى زعطوط,,,,,,1.0,40.0,,,,شارب الراجل,,معاصر
بن قردان,شارب الراجل,توفيق بورقيبة,,,,,,1.0,90.0,80.0,20.0,60.0,شارب الراجل,40.0,معاصر
مجموع الولاية,,,,36.0,5.0,34.0,6.0,87.0,4570.0,12930.0,8170.0,4800.0,,500.0,معاصر
