الاسطول_و_اليد_العاملة_بقطاع_الصيد_البحري,unnamed_1,unnamed_2,unnamed_3,unnamed_4,feuille,unnamed_6,unnamed_0,الــولايـــــة,مركب_صيد_ساحلي_مجهز_بمحرك,مركب_صيد_ساحلي_غير_مجهز_بمحرك,وحدات_صيد_بالجر,السمك_الازرق,وحدات_صيد_التن,تربية_احياء_مايية,سدود
,وحدات الصيد بالجر,20.0,1.0,270.0,FLO-POP-TUN 17,13.5,,,,,,,,,
,وحدات صيد السمك الازرق,4.0,0.0,41.0,FLO-POP-TUN 17,10.25,,,,,,,,,
,الصيد على الأقدام,0.0,0.0,14.0,FLO-POP-TUN 17,,,,,,,,,,
سيدي بوسعيد,مراكب صيد ساحلي مجهزة بمحرك,38.0,2.0,95.0,FLO-POP-TUN 17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,15.0,1.0,32.0,FLO-POP-TUN 17,,,,,,,,,,
صلامبو,مراكب صيد ساحلي مجهزة بمحرك,23.0,3.0,56.0,FLO-POP-TUN 17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,13.0,3.0,31.0,FLO-POP-TUN 17,,,,,,,,,,
مارينا قمرت +المرسى,مراكب صيد ساحلي مجهزة بمحرك,30.0,3.0,69.0,FLO-POP-TUN 17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,28.0,2.0,54.0,FLO-POP-TUN 17,,,,,,,,,,
بحيرة تونس الشمالية,مراكب صيد ساحلي بدون محرك,31.0,0.0,71.0,FLO-POP-TUN 17,,,,,,,,,,
المــجــمــــوع,مراكب صيد ساحلي مجهزة بمحرك,179.0,15.0,484.0,FLO-POP-TUN 17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,159.0,9.0,346.0,FLO-POP-TUN 17,,,,,,,,,,
,وحدات الصيد بالجر,20.0,1.0,270.0,FLO-POP-TUN 17,,,,,,,,,,
,وحدات صيد السمك الازرق,4.0,0.0,41.0,FLO-POP-TUN 17,,,,,,,,,,
الــمــجـــمـــــــــــــــوع,,362.0,25.0,1155.0,FLO-POP-TUN 17,,,,,,,,,,
بولاية بن عروس لسنة 2017,,,,,ben arous,,,,,,,,,,
,,,,,ben arous,,,,,,,,,,
الميناء,الأسطول,,,,ben arous,,,,,,,,,,
,نوع المركب,,,,ben arous,,,,,,,,,,
رادس,مراكب صيد ساحلي مجهزة بمحرك,48.0,0.0,96.0,ben arous,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,94.0,0.0,188.0,ben arous,,,,,,,,,,
الزهراء,مراكب صيد ساحلي مجهزة بمحرك,20.0,0.0,40.0,ben arous,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,43.0,0.0,86.0,ben arous,,,,,,,,,,
حمام الانف,مراكب صيد ساحلي مجهزة بمحرك,22.0,0.0,44.0,ben arous,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,41.0,0.0,82.0,ben arous,,,,,,,,,,
حمام الشاطئ,مراكب صيد ساحلي مجهزة بمحرك,13.0,0.0,26.0,ben arous,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,27.0,0.0,54.0,ben arous,,,,,,,,,,
السدود والبحيرات,مراكب صيد ساحلي مجهزة بمحرك,0.0,0.0,0.0,ben arous,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,2.0,0.0,4.0,ben arous,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,103.0,0.0,206.0,ben arous,,,,,,,,,,
المــجــمــــوع,مراكب صيد ساحلي بدون محرك,207.0,0.0,414.0,ben arous,,,,,,,,,,
الــمــجـــمـــــــــــــــوع,,310.0,0.0,620.0,ben arous,,,,,,,,,,
بولاية نــــابل لسنة 2017,,,,,FLO-POP-NA17,,,,,,,,,,
,,,,,FLO-POP-NA17,,,,,,,,,,
الميناء,الأسطول,,,,FLO-POP-NA17,,,,,,,,,,
,نوع المركب,,,,FLO-POP-NA17,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,119.0,4.0,700.0,FLO-POP-NA17,,,,,,,,,,
قليبية,مراكب صيد ساحلي بدون محرك,7.0,0.0,21.0,FLO-POP-NA17,,,,,,,,,,
,وحدات صيد السمك الأزرق,46.0,3.0,690.0,FLO-POP-NA17,,,,,,,,,,
,وحدات الصيد بالجر,25.0,0.0,372.0,FLO-POP-NA17,,,,,,,,,,
بني خيار,مراكب صيد ساحلي مجهزة بمحرك,69.0,8.0,390.0,FLO-POP-NA17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,3.0,3.0,9.0,FLO-POP-NA17,,,,,,,,,,
,وحدات صيد السمك الأزرق,8.0,0.0,120.0,FLO-POP-NA17,,,,,,,,,,
,تربية أحياء مائية,4.0,0.0,40.0,FLO-POP-NA17,,,,,,,,,,
سيدي داود,مراكب صيد ساحلي مجهزة بمحرك,52.0,3.0,302.0,FLO-POP-NA17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,21.0,0.0,35.0,FLO-POP-NA17,,,,,,,,,,
,وحدات صيد السمك الأزرق,9.0,0.0,135.0,FLO-POP-NA17,,,,,,,,,,
الهوارية,مراكب صيد ساحلي مجهزة بمحرك,40.0,7.0,178.0,FLO-POP-NA17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,6.0,2.0,14.0,FLO-POP-NA17,,,,,,,,,,
سليمان,مراكب صيد ساحلي مجهزة بمحرك,28.0,7.0,140.0,FLO-POP-NA17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,94.0,10.0,188.0,FLO-POP-NA17,,,,,,,,,,
السدود,مراكب الصيد بالسدود (بدون محرك),7.0,1.0,38.0,FLO-POP-NA17,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,308.0,29.0,1710.0,FLO-POP-NA17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,131.0,15.0,267.0,FLO-POP-NA17,,,,,,,,,,
,وحدات صيد السمك الأزرق,63.0,3.0,945.0,FLO-POP-NA17,,,,,,,,,,
المــجــمــــوع,وحدات الصيد بالجر,25.0,0.0,372.0,FLO-POP-NA17,,,,,,,,,,
,تربية أحياء مائية,11.0,1.0,78.0,FLO-POP-NA17,,,,,,,,,,
الــمــجـــمـــــــــــــــوع,,538.0,48.0,3372.0,FLO-POP-NA17,,,,,,,,,,
بولاية ســوســة لسنة 2017,,,,,FLO-POP-SO17,,,,,,,,,,
,,,,,FLO-POP-SO17,,,,,,,,,,
الميناء,الأسطول,,,,FLO-POP-SO17,,,,,,,,,,
,نوع المركب,,,,FLO-POP-SO17,,,,,,,,,,
,مراكب صيد ساحلي مجهزة بمحرك,167.0,0.0,533.0,FLO-POP-SO17,,,,,,,,,,
ســــوســة,مراكب صيد ساحلي بدون محرك,35.0,0.0,70.0,FLO-POP-SO17,,,,,,,,,,
,وحدات صيد السمك الأزرق,1.0,0.0,12.0,FLO-POP-SO17,,,,,,,,,,
,وحدات الصيد بالجر,9.0,0.0,117.0,FLO-POP-SO17,,,,,,,,,,
,تربية أحياء مائية,0.0,2.0,0.0,FLO-POP-SO17,,,,,,,,,,
سيدي عبد الحميد,مراكب صيد ساحلي مجهزة بمحرك,26.0,0.0,104.0,FLO-POP-SO17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,31.0,0.0,62.0,FLO-POP-SO17,,,,,,,,,,
القـنطاوي,مراكب صيد ساحلي مجهزة بمحرك,24.0,0.0,78.0,FLO-POP-SO17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,3.0,0.0,6.0,FLO-POP-SO17,,,,,,,,,,
هـــرقــلة,مراكب صيد ساحلي مجهزة بمحرك,55.0,0.0,174.0,FLO-POP-SO17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,4.0,0.0,8.0,FLO-POP-SO17,,,,,,,,,,
,وحدات صيد السمك الأزرق,0.0,0.0,0.0,FLO-POP-SO17,,,,,,,,,,
,تربية أحياء مائية,5.0,2.0,22.0,FLO-POP-SO17,,,,,,,,,,
السلوم + بوفيشة,مراكب صيد ساحلي مجهزة بمحرك,3.0,0.0,9.0,FLO-POP-SO17,,,,,,,,,,
,مراكب صيد ساحلي بدون محرك,26.0,0.0,52.0,FLO-POP-SO17,,,,,,,,,,
