mois_2019,regions,maximum_dinar_la_balle,minimum_dinar_la_balle,feuille
juin,centre-et-sud,14.0,10.0,Feuil1
juillet,nord,12.0,7.0,Feuil1
juillet,sahel,16.0,10.0,Feuil1
juillet,centre-et-sud,16.0,10.0,Feuil1
aout,nord,13.0,6.0,Feuil1
aout,sahel,16.5,9.0,Feuil1
aout,centre-et-sud,16.5,9.0,Feuil1
septembre,nord,12.5,8.5,Feuil1
septembre,sahel,16.0,10.0,Feuil1
septembre,centre-et-sud,16.0,10.0,Feuil1
octobre,nord,14.0,9.0,Feuil1
octobre,sahel,20.0,14.0,Feuil1
octobre,centre-et-sud,20.0,14.0,Feuil1
novembre,nord,13.0,8.0,Feuil1
novembre,sahel,18.5,13.0,Feuil1
novembre,centre-et-sud,18.5,13.0,Feuil1
decembre,nord,13.5,8.0,Feuil1
decembre,sahel,17.0,12.0,Feuil1
decembre,centre-et-sud,17.0,12.0,Feuil1
mois-2026,regions,,,Feuil1
janvier,nord,14.0,10.0,Feuil1
janvier,sahel,18.0,12.0,Feuil1
janvier,centre-et-sud,18.0,12.0,Feuil1
fevrier,nord,13.5,10.0,Feuil1
fevrier,sahel,17.0,13.0,Feuil1
fevrier,centre-et-sud,17.0,13.0,Feuil1
mars,nord,13.0,11.0,Feuil1
mars,sahel,18.0,15.0,Feuil1
mars,centre-et-sud,18.0,15.0,Feuil1
avril,nord,,,Feuil1
avril,sahel,,,Feuil1
avril,centre-et-sud,,,Feuil1
mai,nord,,,Feuil1
mai,sahel,,,Feuil1
mai,centre-et-sud,,,Feuil1
juin,nord,,,Feuil1
juin,sahel,,,Feuil1
juin,centre-et-sud,,,Feuil1
juillet,nord,,,Feuil1
juillet,sahel,,,Feuil1
juillet,centre-et-sud,,,Feuil1
aout,nord,,,Feuil1
aout,sahel,,,Feuil1
aout,centre-et-sud,,,Feuil1
septembre,nord,,,Feuil1
septembre,sahel,,,Feuil1
septembre,centre-et-sud,,,Feuil1
octobre,nord,,,Feuil1
octobre,sahel,,,Feuil1
octobre,centre-et-sud,,,Feuil1
novembre,nord,,,Feuil1
novembre,sahel,,,Feuil1
novembre,centre-et-sud,,,Feuil1
decembre,nord,,,Feuil1
decembre,sahel,,,Feuil1
decembre,centre-et-sud,,,Feuil1
