date,gouvernorat,type_peche,main_œuvre,feuille
2018,الـمــهــد يــــــة,صيد السمك الأزرق,996.0,Feuil1
2018,الـمــهــد يــــــة,صيد التن,60.0,Feuil1
2018,الـمــهــد يــــــة,تربية أحياء مائية,72.0,Feuil1
2018,الـمــهــد يــــــة,صيدعلى الأقدام,0.0,Feuil1
2018,صــفـــــــــــاقس,صيد ساحلي,10425.0,Feuil1
2018,صــفـــــــــــاقس,صيد بالجر,2544.0,Feuil1
2018,صــفـــــــــــاقس,صيد السمك الأزرق,144.0,Feuil1
2018,صــفـــــــــــاقس,صيد التن,336.0,Feuil1
2018,صــفـــــــــــاقس,تربية أحياء مائية,0.0,Feuil1
2018,صــفـــــــــــاقس,صيدعلى الأقدام,1174.0,Feuil1
2018,قـــــــــابـــس,صيد ساحلي,2158.0,Feuil1
2018,قـــــــــابـــس,صيد بالجر,0.0,Feuil1
2018,قـــــــــابـــس,صيد السمك الأزرق,825.0,Feuil1
2018,قـــــــــابـــس,صيد التن,40.0,Feuil1
2018,قـــــــــابـــس,تربية أحياء مائية,0.0,Feuil1
2018,قـــــــــابـــس,صيدعلى الأقدام,0.0,Feuil1
2018,مــــــدنــيـــــــن,صيد ساحلي,7046.0,Feuil1
2018,مــــــدنــيـــــــن,صيد بالجر,51.0,Feuil1
2018,مــــــدنــيـــــــن,صيد السمك الأزرق,412.0,Feuil1
2018,مــــــدنــيـــــــن,صيد التن,68.0,Feuil1
2018,مــــــدنــيـــــــن,تربية أحياء مائية,62.0,Feuil1
2018,مــــــدنــيـــــــن,صيدعلى الأقدام,0.0,Feuil1
2018,الـــــكـــاف,صيد ساحلي,0.0,Feuil1
2018,الـــــكـــاف,صيد بالجر,0.0,Feuil1
2018,الـــــكـــاف,صيد السمك الأزرق,0.0,Feuil1
2018,الـــــكـــاف,صيد التن,0.0,Feuil1
2018,الـــــكـــاف,تربية أحياء مائية,0.0,Feuil1
2018,الـــــكـــاف,صيدعلى الأقدام,28.0,Feuil1
2018,ســـليـــــانة,صيد ساحلي,0.0,Feuil1
2018,ســـليـــــانة,صيد بالجر,0.0,Feuil1
2018,ســـليـــــانة,صيد السمك الأزرق,0.0,Feuil1
2018,ســـليـــــانة,صيد التن,0.0,Feuil1
2018,ســـليـــــانة,تربية أحياء مائية,0.0,Feuil1
2018,ســـليـــــانة,صيدعلى الأقدام,22.0,Feuil1
2018,زغــــوان,صيد ساحلي,0.0,Feuil1
2018,زغــــوان,صيد بالجر,0.0,Feuil1
2018,زغــــوان,صيد السمك الأزرق,0.0,Feuil1
2018,زغــــوان,صيد التن,0.0,Feuil1
2018,زغــــوان,تربية أحياء مائية,0.0,Feuil1
2018,زغــــوان,صيدعلى الأقدام,34.0,Feuil1
2018,الـــقــيروان,صيد ساحلي,0.0,Feuil1
2018,الـــقــيروان,صيد بالجر,0.0,Feuil1
2018,الـــقــيروان,صيد السمك الأزرق,0.0,Feuil1
2018,الـــقــيروان,صيد التن,0.0,Feuil1
2018,الـــقــيروان,تربية أحياء مائية,0.0,Feuil1
2018,الـــقــيروان,صيدعلى الأقدام,74.0,Feuil1
2019,جــنــدوبــة و بــــــــاجة,صيد ساحلي,420.0,Feuil1
2019,جــنــدوبــة و بــــــــاجة,صيد بالجر,103.0,Feuil1
2019,جــنــدوبــة و بــــــــاجة,صيد السمك الأزرق,24.0,Feuil1
2019,جــنــدوبــة و بــــــــاجة,صيد التن,0.0,Feuil1
2019,جــنــدوبــة و بــــــــاجة,تربية أحياء مائية,140.0,Feuil1
2019,جــنــدوبــة و بــــــــاجة,صيدعلى الأقدام,0.0,Feuil1
2019,بــــنـــــزرت,صيد ساحلي,4241.0,Feuil1
2019,بــــنـــــزرت,صيد بالجر,288.0,Feuil1
2019,بــــنـــــزرت,صيد السمك الأزرق,567.0,Feuil1
2019,بــــنـــــزرت,صيد التن,0.0,Feuil1
