unnamed_0,الولاية,المعتمدية,اسم_الضيعة,اسم_الشركة,المساحة_الجملية_هك,feuille
100.0,باجة,مجاز الباب,التطور2,التطور 2,94.5437,Liste 2023
101.0,باجة,مجاز الباب,العويلية 1,العويلية 1,545.853,Liste 2023
102.0,باجة,مجاز الباب,العويلية 2,النور,431.56,Liste 2023
103.0,باجة,قبلاط,الرقمة,الرقمة,750.982,Liste 2023
104.0,باجة,قبلاط,الرابطة,الرابطة 3,85.373,Liste 2023
105.0,باجة,قبلاط,الرابطة 1,الرحمة,79.7254,Liste 2023
106.0,باجة,قبلاط,الرابطة 4,الرابطة 4,105.3861,Liste 2023
107.0,باجة,قبلاط,الرابطة 2,الرابطة 2,107.8832,Liste 2023
108.0,باجة,قبلاط,الفيض الاسود,النصر,447.738,Liste 2023
109.0,باجة,قبلاط,الهدف,الهدف 3,57.9753,Liste 2023
110.0,باجة,قبلاط,الستارة,agriferme,540.3657,Liste 2023
111.0,باجة,قبلاط,الهدف 1,القمودي,67.4656,Liste 2023
112.0,باجة,قبلاط,لزيرق,الفيرمة,314.0,Liste 2023
113.0,باجة,قبلاط,الخروبة,الخروبة,264.5172,Liste 2023
114.0,باجة,قبلاط,النخلة,النخلة,747.9323,Liste 2023
115.0,باجة,قبلاط,المرزوقة,المرزوقة,155.0,Liste 2023
116.0,باجة,باجة الجنوبية,عين الزبدة,عين الزبدة,442.4183,Liste 2023
117.0,باجة,باجة الشمالية,عين شالو,AGROVAGA,353.3453,Liste 2023
118.0,باجة,تستور,12ماي,سوميفا,363.1,Liste 2023
119.0,باجة,تبرسق,عين شبل,عين بن شبل 1,195.77,Liste 2023
120.0,باجة,تبرسق,عين بن شبل 2,الشابي,238.0,Liste 2023
121.0,باجة,تبرسق,عين الحمام 2,توت,459.0,Liste 2023
122.0,زغوان,الفحص,وادي الخيل,SODEPA,956.3969,Liste 2023
123.0,زغوان,الفحص,الأمل,الأمل,387.3337,Liste 2023
124.0,زغوان,الفحص,السعادة,السعادة,742.6123,Liste 2023
125.0,زغوان,الفحص,الرقي,بن عبد الجليل,713.9844,Liste 2023
126.0,زغوان,الفحص,بئر مقرة,بئر مقرة,525.1636,Liste 2023
127.0,زغوان,الفحص,المرجى,المرجى,622.8324,Liste 2023
128.0,زغوان,الفحص,ضمدة,ضمدة 1,438.0,Liste 2023
129.0,زغوان,الفحص,ضمدة,ضمدة 2,547.0,Liste 2023
130.0,زغوان,الفحص,بروطة  2,بروطة  2,571.053,Liste 2023
131.0,زغوان,الفحص,الذراع  2,الذراع  2,589.6255,Liste 2023
132.0,زغوان,الفحص,جوقار 1,جوقار 1,379.0,Liste 2023
133.0,زغوان,زغوان,عين الصابون 3,عين الصابون 3 الفارسين,526.7,Liste 2023
134.0,زغوان,زغوان,بوسليم 1,بوسليم 1  سعادة,608.6381,Liste 2023
135.0,زغوان,زغوان,بوسليم2,بوسليم 2  سيدي الشريف,582.2315,Liste 2023
136.0,زغوان,زغوان,الفرحة1,الفرحة   1,538.943,Liste 2023
137.0,زغوان,زغوان,عين الصابون 1,ليندا,591.0,Liste 2023
138.0,زغوان,زغوان,الجمال,Polyagri الجمال,1378.738,Liste 2023
139.0,زغوان,الزريبة,عين الفوارة 1,"""فينيس""للإستثمارالفلاحي",554.113,Liste 2023
140.0,زغوان,بئر مشارقة,الكد1,الشركة الفلاحية بالسمنجة SAS,298.29,Liste 2023
141.0,زغوان,بئر مشارقة,الجلاء,الزيتونة 2,624.0,Liste 2023
142.0,زغوان,بئر مشارقة,الزهراء,الزهراء,856.083,Liste 2023
143.0,زغوان,بئر مشارقة,الكد 2,الزيتونة 1,765.0,Liste 2023
144.0,زغوان,بئر مشارقة,الشباب,الشباب,476.7255,Liste 2023
145.0,زغوان,بئر مشارقة,التضحية,jeouida biofarm,1134.0,Liste 2023
146.0,زغوان,بئر مشارقة,الكواكب,AGRO 200,624.0,Liste 2023
147.0,زغوان,بئر مشارقة,الوفاق,الوفاق,547.0,Liste 2023
148.0,زغوان,بئر مشارقة,الصفاء 1,الصفاء Polyagri,729.19,Liste 2023
149.0,زغوان,صواف,أرض الخير,قصر العقلة (مصادرة),768.0,Liste 2023
150.0,سليانة,العروسة,الماجن,الماجن,346.393,Liste 2023
151.0,سليانة,العروسة,الماجن 1 منوبية,الماجن 1 منوبية,83.7632,Liste 2023
152.0,سليانة,العروسة,الماجن3 جنان العروسة,الماجن3 جنان العروسة,77.483,Liste 2023
153.0,سليانة,العروسة,البرج 1,البرج 1,63.21,Liste 2023
154.0,سليانة,العروسة,الكليلة,بن داود 2,462.0,Liste 2023
155.0,سليانة,قعفور,التحرير,التحرير,1642.8723,Liste 2023
156.0,سليانة,قعفور,المهيري,المهيري,546.6326,Liste 2023
157.0,سليانة,قعفور,السنبلة الذهبية,السنبلة الذهبية,1467.5367,Liste 2023
158.0,سليانة,قعفور,النصر --الزيتونة,النصر --الزيتونة,472.2413,Liste 2023
159.0,سليانة,قعفور,المصير,المعموري,798.0,Liste 2023
160.0,سليانة,قعفور,بركة الهوام,LA VALLEE DES BLES,712.0,Liste 2023
161.0,سليانة,الكريب,المنصورة,المنصورة,497.0,Liste 2023
162.0,سليانة,برقو,التلال,سعد,511.0,Liste 2023
163.0,سليانة,بوعرادة,بئر بوهاني 2,الصفاء (مصادرة),468.4237,Liste 2023
164.0,القيروان,القيروان الجنوبية,الخضراء,الخضراء,192.663,Liste 2023
165.0,القيروان,نصر الله,سيدي منصور III,SODASMA,302.38,Liste 2023
166.0,القيروان,حفوز,الدار البيضاء,الدار البيضاء,1164.6,Liste 2023
167.0,القيروان,الوسلاتية,الوسلاتية 4,الوسلاتية 4,542.0,Liste 2023
168.0,سيدي بوزيد,منزل بوزيان,الإعتزاز 1,AGRO CRC,500.14,Liste 2023
169.0,سيدي بوزيد,منزل بوزيان,الإعتزاز 3,الإعتزاز 3,1204.25,Liste 2023
170.0,سيدي بوزيد,جلمة,باطن الغزال 2,DOMAINE OLIVA,1115.0,Liste 2023
171.0,قبلي,دوز الجنوبية,الطرفاية,النخيل,123.638,Liste 2023
,,,,,78350.51060000001,Liste 2023
