annee,designation,consommation_eau_potable_secteur_touristique_litre_par_jour,feuille
2009,interieur_tunisie_par_lit_exploité,245.0,Feuil1
2009,ensemble_tunisie_par_lit_exploité,245.0,Feuil1
2010,interieur_tunisie_par_lit_occupé,487.3532403983645,Feuil1
2010,grand_tunis_par_lit_occupé,704.3045691931129,Feuil1
2010,ensemble_tunisie_par_lit_occupé,503.269987899067,Feuil1
2010,interieur_tunisie_par_lit_exploité,254.0,Feuil1
2010,ensemble_tunisie_par_lit_exploité,260.0,Feuil1
2011,interieur_tunisie_par_lit_occupé,690.2480583248084,Feuil1
2011,grand_tunis_par_lit_occupé,867.89485989025,Feuil1
2011,ensemble_tunisie_par_lit_occupé,704.9519686927454,Feuil1
2011,interieur_tunisie_par_lit_exploité,233.0,Feuil1
2011,ensemble_tunisie_par_lit_exploité,238.0,Feuil1
2012,interieur_tunisie_par_lit_occupé,518.5824197188176,Feuil1
2012,grand_tunis_par_lit_occupé,682.3356563432387,Feuil1
2012,ensemble_tunisie_par_lit_occupé,532.115584268323,Feuil1
2012,interieur_tunisie_par_lit_exploité,243.0,Feuil1
2012,ensemble_tunisie_par_lit_exploité,245.0,Feuil1
2013,interieur_tunisie_par_lit_occupé,522.2224164977921,Feuil1
2013,grand_tunis_par_lit_occupé,718.8922934936314,Feuil1
2013,ensemble_tunisie_par_lit_occupé,537.2608814855091,Feuil1
2013,interieur_tunisie_par_lit_exploité,245.0,Feuil1
2013,ensemble_tunisie_par_lit_exploité,247.0,Feuil1
2014,interieur_tunisie_par_lit_occupé,514.4750893548396,Feuil1
2014,grand_tunis_par_lit_occupé,759.3108654349247,Feuil1
2014,ensemble_tunisie_par_lit_occupé,532.7753649820098,Feuil1
2014,interieur_tunisie_par_lit_exploité,237.0,Feuil1
2014,ensemble_tunisie_par_lit_exploité,239.0,Feuil1
2015,interieur_tunisie_par_lit_occupé,746.0959637425404,Feuil1
2015,grand_tunis_par_lit_occupé,881.8384614249002,Feuil1
2015,ensemble_tunisie_par_lit_occupé,760.500917573257,Feuil1
2015,interieur_tunisie_par_lit_exploité,210.0,Feuil1
2015,ensemble_tunisie_par_lit_exploité,213.0,Feuil1
2016,interieur_tunisie_par_lit_occupé,637.7861090373593,Feuil1
2016,grand_tunis_par_lit_occupé,930.8127718183717,Feuil1
2016,ensemble_tunisie_par_lit_occupé,663.2815631648663,Feuil1
2016,interieur_tunisie_par_lit_exploité,197.0,Feuil1
2016,ensemble_tunisie_par_lit_exploité,202.0,Feuil1
2017,interieur_tunisie_par_lit_occupé,591.088081539395,Feuil1
2017,grand_tunis_par_lit_occupé,843.3394680484439,Feuil1
2017,ensemble_tunisie_par_lit_occupé,611.4233050611459,Feuil1
2017,interieur_tunisie_par_lit_exploité,206.0,Feuil1
2017,ensemble_tunisie_par_lit_exploité,210.0,Feuil1
2018,interieur_tunisie_par_lit_occupé,493.4362564795461,Feuil1
2018,grand_tunis_par_lit_occupé,811.1684334222051,Feuil1
2018,ensemble_tunisie_par_lit_occupé,516.283716972114,Feuil1
2018,interieur_tunisie_par_lit_exploité,207.0,Feuil1
2018,ensemble_tunisie_par_lit_exploité,211.0,Feuil1
2019,interieur_tunisie_par_lit_occupé,476.5139863767866,Feuil1
2019,grand_tunis_par_lit_occupé,793.3283032603454,Feuil1
2019,ensemble_tunisie_par_lit_occupé,499.27126129899403,Feuil1
2019,interieur_tunisie_par_lit_exploité,218.69445583389734,Feuil1
2019,ensemble_tunisie_par_lit_exploité,222.79666228941196,Feuil1
2020,interieur_tunisie_par_lit_occupé,235.01996324034607,Feuil1
2020,grand_tunis_par_lit_occupé,518.3930016850677,Feuil1
2020,ensemble_tunisie_par_lit_occupé,1312.1299468660436,Feuil1
2020,interieur_tunisie_par_lit_exploité,141.97234048202318,Feuil1
2020,ensemble_tunisie_par_lit_exploité,145.64642410213085,Feuil1
2021,interieur_tunisie_par_lit_occupé,968.8860821466022,Feuil1
2021,grand_tunis_par_lit_occupé,1526.9482855226736,Feuil1
2021,ensemble_tunisie_par_lit_occupé,1022.0063784331946,Feuil1
2021,interieur_tunisie_par_lit_exploité,141.4045074714585,Feuil1
2021,ensemble_tunisie_par_lit_exploité,143.2366270395157,Feuil1
2022,interieur_tunisie_par_lit_occupé,582.6804300577529,Feuil1
2022,grand_tunis_par_lit_occupé,991.9897039214025,Feuil1
2022,ensemble_tunisie_par_lit_occupé,614.3769525285334,Feuil1
2022,interieur_tunisie_par_lit_exploité,185.93717678287848,Feuil1
2022,ensemble_tunisie_par_lit_exploité,187.9888046195582,Feuil1
2023,interieur_tunisie_par_lit_occupé,467.0813438703712,Feuil1
2023,grand_tunis_par_lit_occupé,811.9296095532417,Feuil1
2023,ensemble_tunisie_par_lit_occupé,489.3504281430568,Feuil1
2023,interieur_tunisie_par_lit_exploité,187.9677493866718,Feuil1
2023,ensemble_tunisie_par_lit_exploité,189.3052926927723,Feuil1
2024,interieur_tunisie_par_lit_occupé,465.2812479164842,Feuil1
2024,grand_tunis_par_lit_occupé,771.7384693550549,Feuil1
2024,ensemble_tunisie_par_lit_occupé,484.80268270559554,Feuil1
2024,interieur_tunisie_par_lit_exploité,204.43619448914757,Feuil1
2024,ensemble_tunisie_par_lit_exploité,203.98268003207724,Feuil1
