delegation,mois,cumul_mm,pluviometrie_du_mois_mm,feuille
moknine,jan_25,448,90,pluviométrie_monastir_2024_2025
teboulba,jan_25,467,119,pluviométrie_monastir_2024_2025
bekalta,jan_25,591,151,pluviométrie_monastir_2024_2025
jemmel,jan_25,354,85,pluviométrie_monastir_2024_2025
zermedine,jan_25,369,94,pluviométrie_monastir_2024_2025
beni_hassen,jan_25,480,79,pluviométrie_monastir_2024_2025
monastir,fev_25,489,93,pluviométrie_monastir_2024_2025
sahline,fev_25,416,74,pluviométrie_monastir_2024_2025
ouardanine,fev_25,369,59,pluviométrie_monastir_2024_2025
bembla,fev_25,450,77,pluviométrie_monastir_2024_2025
ksibet_medyouni,fev_25,461,77,pluviométrie_monastir_2024_2025
sayada,fev_25,624,107,pluviométrie_monastir_2024_2025
ksar_helal,fev_25,503,91,pluviométrie_monastir_2024_2025
moknine,fev_25,541,93,pluviométrie_monastir_2024_2025
teboulba,fev_25,542,75,pluviométrie_monastir_2024_2025
bekalta,fev_25,654,63,pluviométrie_monastir_2024_2025
jemmel,fev_25,453,99,pluviométrie_monastir_2024_2025
zermedine,fev_25,458,89,pluviométrie_monastir_2024_2025
beni_hassen,fev_25,544,64,pluviométrie_monastir_2024_2025
monastir,mars_25,505,16,pluviométrie_monastir_2024_2025
sahline,mars_25,426,10,pluviométrie_monastir_2024_2025
ouardanine,mars_25,379,10,pluviométrie_monastir_2024_2025
bembla,mars_25,461,11,pluviométrie_monastir_2024_2025
ksibet_medyouni,mars_25,476,15,pluviométrie_monastir_2024_2025
sayada,mars_25,651,27,pluviométrie_monastir_2024_2025
ksar_helal,mars_25,525,22,pluviométrie_monastir_2024_2025
moknine,mars_25,555,14,pluviométrie_monastir_2024_2025
teboulba,mars_25,560,18,pluviométrie_monastir_2024_2025
bekalta,mars_25,667,13,pluviométrie_monastir_2024_2025
jemmel,mars_25,473,20,pluviométrie_monastir_2024_2025
zermedine,mars_25,474,16,pluviométrie_monastir_2024_2025
beni_hassen,mars_25,559,15,pluviométrie_monastir_2024_2025
monastir,avril_25,536,31,pluviométrie_monastir_2024_2025
sahline,avril_25,502,76,pluviométrie_monastir_2024_2025
ouardanine,avril_25,444,65,pluviométrie_monastir_2024_2025
bembla,avril_25,524,63,pluviométrie_monastir_2024_2025
ksibet_medyouni,avril_25,512,36,pluviométrie_monastir_2024_2025
sayada,avril_25,706,55,pluviométrie_monastir_2024_2025
ksar_helal,avril_25,577,52,pluviométrie_monastir_2024_2025
moknine,avril_25,593,38,pluviométrie_monastir_2024_2025
teboulba,avril_25,605,45,pluviométrie_monastir_2024_2025
bekalta,avril_25,685,18,pluviométrie_monastir_2024_2025
jemmel,avril_25,585,112,pluviométrie_monastir_2024_2025
zermedine,avril_25,552,78,pluviométrie_monastir_2024_2025
beni_hassen,avril_25,626,67,pluviométrie_monastir_2024_2025
monastir,mai_25,553,17,pluviométrie_monastir_2024_2025
sahline,mai_25,528,26,pluviométrie_monastir_2024_2025
ouardanine,mai_25,490,46,pluviométrie_monastir_2024_2025
bembla,mai_25,551,27,pluviométrie_monastir_2024_2025
ksibet_medyouni,mai_25,538,26,pluviométrie_monastir_2024_2025
sayada,mai_25,733,27,pluviométrie_monastir_2024_2025
ksar_helal,mai_25,601,24,pluviométrie_monastir_2024_2025
moknine,mai_25,627,34,pluviométrie_monastir_2024_2025
teboulba,mai_25,630,25,pluviométrie_monastir_2024_2025
bekalta,mai_25,712,27,pluviométrie_monastir_2024_2025
jemmel,mai_25,655,70,pluviométrie_monastir_2024_2025
zermedine,mai_25,577,25,pluviométrie_monastir_2024_2025
beni_hassen,mai_25,655,29,pluviométrie_monastir_2024_2025
monastir,juin_25,557,4,pluviométrie_monastir_2024_2025
sahline,juin_25,529,1,pluviométrie_monastir_2024_2025
ouardanine,juin_25,490,0,pluviométrie_monastir_2024_2025
bembla,juin_25,551,0,pluviométrie_monastir_2024_2025
ksibet_medyouni,juin_25,538,0,pluviométrie_monastir_2024_2025
sayada,juin_25,733,0,pluviométrie_monastir_2024_2025
ksar_helal,juin_25,601,0,pluviométrie_monastir_2024_2025
moknine,juin_25,627,0,pluviométrie_monastir_2024_2025
teboulba,juin_25,630,0,pluviométrie_monastir_2024_2025
bekalta,juin_25,712,0,pluviométrie_monastir_2024_2025
jemmel,juin_25,655,0,pluviométrie_monastir_2024_2025
zermedine,juin_25,577,0,pluviométrie_monastir_2024_2025
beni_hassen,juin_25,655,0,pluviométrie_monastir_2024_2025
monastir,jllet_25,557,0,pluviométrie_monastir_2024_2025
sahline,jllet_25,529,0,pluviométrie_monastir_2024_2025
ouardanine,jllet_25,490,0,pluviométrie_monastir_2024_2025
bembla,jllet_25,551,0,pluviométrie_monastir_2024_2025
ksibet_medyouni,jllet_25,538,0,pluviométrie_monastir_2024_2025
sayada,jllet_25,733,0,pluviométrie_monastir_2024_2025
ksar_helal,jllet_25,601,0,pluviométrie_monastir_2024_2025
moknine,jllet_25,627,0,pluviométrie_monastir_2024_2025
teboulba,jllet_25,630,0,pluviométrie_monastir_2024_2025
bekalta,jllet_25,712,0,pluviométrie_monastir_2024_2025
jemmel,jllet_25,655,0,pluviométrie_monastir_2024_2025
zermedine,jllet_25,577,0,pluviométrie_monastir_2024_2025
beni_hassen,jllet_25,655,0,pluviométrie_monastir_2024_2025
monastir,aout_25,557,0,pluviométrie_monastir_2024_2025
sahline,aout_25,529,0,pluviométrie_monastir_2024_2025
ouardanine,aout_25,490,0,pluviométrie_monastir_2024_2025
bembla,aout_25,551,0,pluviométrie_monastir_2024_2025
ksibet_medyouni,aout_25,538,0,pluviométrie_monastir_2024_2025
sayada,aout_25,733,0,pluviométrie_monastir_2024_2025
ksar_helal,aout_25,601,0,pluviométrie_monastir_2024_2025
moknine,aout_25,627,0,pluviométrie_monastir_2024_2025
teboulba,aout_25,630,0,pluviométrie_monastir_2024_2025
bekalta,aout_25,712,0,pluviométrie_monastir_2024_2025
jemmel,aout_25,655,0,pluviométrie_monastir_2024_2025
zermedine,aout_25,577,0,pluviométrie_monastir_2024_2025
beni_hassen,aout_25,655,0,pluviométrie_monastir_2024_2025
