composante,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
R1,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف الراحةR1,,Feuil1
R2,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف الراحةR2,,Feuil1
R3,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف الراحةR3,,Feuil1
R4,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف الراحةR4,,Feuil1
D1,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف ديك روميD1,,Feuil1
D2,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف ديك روميD2,,Feuil1
D3,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف ديك روميD3,,Feuil1
D4,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف ديك روميD4,,Feuil1
D5,شهريا,MENSUELLE,المجمع المهني المشترك لمنتوجات الدواجن والأرانب,GIPAC,دينار/طن,TND/t,علف ديك روميD5,,Feuil1
Orge subventionné,شهريا,MENSUELLE,الادارة العامة للإنتاج الفلاحي,DGPA,دينار/طن,TND/t,شعير علفي,,Feuil1
Foin,شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,balle,TND,القرط,,Feuil1
Paille,شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,balle,TND,,,Feuil1
Concentré N° 7 (Lait),شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,أعلاف مركزة رقم 7,,Feuil1
Concentré N° 11 (Genisse),شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,أعلاف مركزة رقم 11,,Feuil1
Concentré N° 9 (Jeunes),شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,أعلاف مركزة رقم 9,,Feuil1
Concentré N° 5 (Eng.),شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,أعلاف مركزة رقم 5,,Feuil1
Mais,شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,الذرة,,Feuil1
Soja,شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,الصوجا,,Feuil1
Concentré N° 6 A,شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,أعلاف مركزة رقم 6 A,,Feuil1
Concentré N° 6 B (Brebis),شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,أعلاف مركزة رقم 6 B,,Feuil1
Concentré SB (Beliers),شهريا,MENSUELLE,مكتب مراقبة وحدات الإنتاج الفلاحي بباجة,Bureau de contrôle Production agricole Béja,دينار,TND,أعلاف مركزة SB,,Feuil1
