composante,date,datemin,prixmin,prixmax,prix,feuille
Sulfate de potassium1,2021-09-23,2021-06-17,,,2600.0,Feuil1
Nitrate de calcium1,2021-09-23,2021-06-17,,,1450.0,Feuil1
Sulfate de magnésium1,2021-09-23,2021-06-17,,,1000.0,Feuil1
Acide humique1,2021-09-23,2021-06-17,,,4000.0,Feuil1
Chélate de fer1,2021-09-23,2021-06-17,,,23.5,Feuil1
Sulfate de Zinc,2021-09-23,2021-06-17,,,3500.0,Feuil1
Sulfate de manganèse,2021-09-23,2021-06-17,,,3500.0,Feuil1
Chélate de fer2,2021-09-23,2021-06-17,25.0,60.0,,Feuil1
Sulfate de potasse granulé,2021-09-23,2021-06-17,,,1150.0,Feuil1
Acide phosphorique 50% 2,2021-09-23,2021-06-17,,,2000.0,Feuil1
Sulfate de potassium2,2021-09-23,2021-06-17,2480.0,3200.0,,Feuil1
Nitrate de calcium2,2021-09-23,2021-06-17,1600.0,1800.0,,Feuil1
Sulfate de magnésium2,2021-09-23,2021-06-17,920.0,1200.0,,Feuil1
Nitrate de potassium,2021-09-23,2021-06-17,3200.0,5600.0,,Feuil1
Nitrate de magnésium,2021-09-23,2021-06-17,2000.0,2400.0,,Feuil1
Acide humique2,2021-09-23,2021-06-17,4500.0,9000.0,,Feuil1
Acide phosphorique 50% 2,2021-12-06,2021-06-17,,,2400.0,Feuil1
Sulfate de potassium2,2021-12-06,2021-06-17,,,3600.0,Feuil1
Nitrate de calcium2,2021-12-06,2021-06-17,,,2000.0,Feuil1
Sulfate de magnésium2,2021-12-06,2021-06-17,,,1400.0,Feuil1
Acide humique2,2021-12-06,2021-06-17,,,6250.0,Feuil1
Chélate de fer2,2021-12-06,2021-06-17,55.0,65.0,,Feuil1
Ammonitre2,2021-12-06,2021-12-06,,,740.0,Feuil1
DAP2,2021-12-06,2021-12-06,,,840.0,Feuil1
Super 45(2),2021-12-06,2021-12-06,,,740.0,Feuil1
Nitrate de potassium,2021-12-06,2021-06-17,,,4400.0,Feuil1
Acide phosphorique 50% 1,2021-12-06,2021-06-17,1600.0,1800.0,,Feuil1
Sulfate de potassium3,2021-12-06,2021-12-06,3600.0,3800.0,,Feuil1
Nitrate de calcium3,2021-12-06,2021-12-06,2200.0,2500.0,,Feuil1
Sulfate de magnésium3,2021-12-06,2021-12-06,1300.0,1500.0,,Feuil1
Acide humique3,2021-12-06,2021-12-06,5000.0,15000.0,,Feuil1
Chélate de fer3,2021-12-06,2021-12-06,25.0,60.0,,Feuil1
Nitrate de potassium3,2021-12-06,2021-12-06,4500.0,5000.0,,Feuil1
Nitrate de magnésium3,2021-12-06,2021-12-06,2700.0,2900.0,,Feuil1
Sulfate de Zinc3,2021-12-06,2021-12-06,1200.0,1300.0,,Feuil1
Ammonitre3,2021-12-06,2021-12-06,730.0,750.0,,Feuil1
DAP3,2021-12-06,2021-12-06,820.0,850.0,,Feuil1
Super 45(3),2021-12-06,2021-12-06,650.0,670.0,,Feuil1
Acide phosphorique 50% 1,2022-02-01,2021-06-17,1600.0,1800.0,,Feuil1
Sulfate de potassium1,2022-02-01,2021-06-17,3600.0,3800.0,,Feuil1
Nitrate de calcium1,2022-02-01,2021-06-17,2200.0,2500.0,,Feuil1
Nitrate de potassium,2022-02-01,2021-06-17,4500.0,5000.0,,Feuil1
Nitrate de magnésium,2022-02-01,2021-06-17,2700.0,2900.0,,Feuil1
Sulfate de magnésium1,2022-02-01,2021-06-17,1300.0,1500.0,,Feuil1
Acide humique1,2022-02-01,2021-06-17,5000.0,15000.0,,Feuil1
Chélate de fer1,2022-02-01,2021-06-17,25.0,60.0,,Feuil1
Sulfate de Zinc,2022-02-01,2021-06-17,1200.0,1300.0,,Feuil1
Ammonitre2,2022-02-22,2021-12-06,,,720.0,Feuil1
DAP2,2022-02-22,2021-12-06,,,790.0,Feuil1
Super 45(2),2022-02-22,2021-12-06,,,740.0,Feuil1
Acide phosphorique 50% 2,2022-02-22,2021-06-17,,,2500.0,Feuil1
Sulfate de potassium2,2022-02-22,2021-06-17,,,4000.0,Feuil1
Nitrate de calcium2,2022-02-22,2021-06-17,,,3120.0,Feuil1
Nitrate de potassium,2022-02-22,2021-06-17,5400.0,7800.0,,Feuil1
Nitrate de magnésium,2022-02-22,2021-06-17,,,3200.0,Feuil1
Sulfate de magnésium2,2022-02-22,2021-06-17,,,2200.0,Feuil1
Acide humique2,2022-02-22,2021-06-17,6250.0,10000.0,,Feuil1
Sulfate de Zinc2,2023-06-22,2021-06-17,,,35.0,Feuil1
Ammonitre(4),2022-02-19,2021-06-18,72.0,74.0,,Feuil1
DAP(4),2022-02-19,2021-06-19,79.0,85.202,,Feuil1
Super 45(4),2022-02-19,2021-06-20,72.0,72.0,,Feuil1
Acide phosphorique 50% 20L(30Kg),2022-07-14,2021-08-17,,,80.0,Feuil1
Ammonitre2,2023-06-02,2022-02-22,38.0,38.0,38.0,Feuil1
DAP2,2023-06-02,2022-02-22,42.0,42.0,42.0,Feuil1
Super 45(2),2023-06-02,2022-02-22,36.0,36.0,36.0,Feuil1
Acide phosphorique 50% 2,2023-06-02,2022-02-22,80.0,90.0,90.0,Feuil1
Sulfate de potassium2,2023-06-02,2022-02-22,125.0,125.0,125.0,Feuil1
Nitrate de calcium2,2023-06-02,2022-02-22,110.0,110.0,110.0,Feuil1
Nitrate de potassium,2023-06-02,2021-06-17,110.0,200.0,200.0,Feuil1
Sulfate de magnésium2,2023-06-02,2022-02-22,50.0,55.0,55.0,Feuil1
Acide humique2,2023-06-02,2022-02-22,80.0,220.0,,Feuil1
Chélate de fer2,2023-06-02,2022-02-22,40.0,65.0,,Feuil1
Sulfate de Zinc2,2023-06-02,2022-02-22,,,35.0,Feuil1
Sulfate de potassium3,2023-10-20,2021-12-06,4600.0,4800.0,,Feuil1
Nitrate de calcium3,2023-10-20,2021-12-06,3600.0,3800.0,,Feuil1
Sulfate de magnésium3,2023-10-20,2021-12-06,2150.0,2400.0,,Feuil1
Chélate de fer3,2023-10-20,2021-12-06,25000.0,60000.0,,Feuil1
Nitrate de potassium3,2023-10-20,2021-12-06,5900.0,6100.0,,Feuil1
Nitrate de magnésium3,2023-10-20,2021-12-06,3600.0,3800.0,,Feuil1
Sulfate de Zinc3,2023-10-20,2021-12-06,1200.0,1300.0,,Feuil1
Ammonitre3,2023-10-20,2021-12-06,720.0,730.0,,Feuil1
DAP3,2023-10-20,2021-12-06,790.0,800.0,,Feuil1
Super 45(3),2023-10-20,2021-12-06,650.0,670.0,,Feuil1
