الولاية_gouvernorat,المعتمدية_delegation,اسم_المجمع_gda,المساحة_القابلة_للري_sup_irriguable_ha,عدد_المستغلين_الفلاحين_nbr_beneficiere,feuille
القيروان,القيروان الجنوبية,عرقوب الرمث,40.0,47.0,PPI
القيروان,القيروان الجنوبية,رقادة,40.0,12.0,PPI
القيروان,القيروان الجنوبية,الكيلانــي,108.0,28.0,PPI
القيروان,القيروان الجنوبية,وادي المقطع,51.0,29.0,PPI
القيروان,عين جلولة,عين جلولة,115.0,57.0,PPI
القيروان,عين جلولة,شاكر,65.0,24.0,PPI
القيروان,القيروان الشمالية,ذراع التمار,376.0,80.0,PPI
القيروان,القيروان الشمالية,ذراع التمار 2,371.0,37.0,PPI
القيروان,منزل المهيري,قرعة البليدات 1,110.0,66.0,PPI
القيروان,منزل المهيري,بئر الحاج صادق,115.0,45.0,PPI
القيروان,منزل المهيري,الفجيج 2,332.0,74.0,PPI
القيروان,منزل المهيري,نصرالله المركز,47.0,60.0,PPI
القيروان,منزل المهيري,فج الدزيري,50.0,35.0,PPI
القيروان,منزل المهيري,منزل المهيري,50.0,30.0,PPI
سيدي بوزيد,جلمة,زغمار 2,112.0,,PPI
سيدي بوزيد,جلمة,حاجب 7,247.0,,PPI
سيدي بوزيد,جلمة,حاجب 8,297.0,,PPI
سيدي بوزيد,جلمة,بن مراد,139.0,,PPI
سيدي بوزيد,جلمة,أولاد عشور,91.0,,PPI
سيدي بوزيد,جلمة,سلتة,42.0,,PPI
سيدي بوزيد,جلمة,شوايحية,48.0,,PPI
سيدي بوزيد,جلمة,حساينية,80.0,,PPI
سيدي بوزيد,جلمة,لزريق,99.0,,PPI
سيدي بوزيد,جلمة,العياشية,55.0,,PPI
سيدي بوزيد,جلمة,أولاد سعيد,48.0,,PPI
سيدي بوزيد,سبالة,السد أولاد عسكر,312.0,,PPI
سيدي بوزيد,سبالة,العامرة,71.0,,PPI
سيدي بوزيد,سبالة,الفالتة,67.0,,PPI
سيدي بوزيد,سبالة,الشطايطية,40.0,,PPI
سيدي بوزيد,بئر الحفي,العظلة المزارة,124.0,,PPI
سيدي بوزيد,بئر الحفي,السلامة 1,53.0,,PPI
سيدي بوزيد,بئر الحفي,الحرشان,49.0,,PPI
سيدي بوزيد,بئر الحفي,السلامة 2 العمايرية,37.0,,PPI
سيدي بوزيد,بئر الحفي,أولاد خليفة المحمدية,75.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,أم العظام,157.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,سيدي السائح 1,162.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,بير بدرة,94.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,الفريو,87.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,سيدي سائح 2,242.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,أولاد أبراهيم,156.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,الحواجبية,189.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,الحنانشة,92.0,,PPI
سيدي بوزيد,سيدي بوزيد الغربية,البراقة,148.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,مليكات,105.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,قطرانة الجنوبية,67.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,المكارم,67.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,قرع بنور,80.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,أولاد عمر,52.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,المورد,57.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,فالتة بوزيد,51.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,الأحواز,111.0,,PPI
سيدي بوزيد,سيدي بوزيد الشرقية,سيدي منصور بن سعيد,70.0,,PPI
سيدي بوزيد,السوق الجديد,أولاد محمد,145.0,,PPI
سيدي بوزيد,السوق الجديد,غريويس2,70.0,,PPI
سيدي بوزيد,السوق الجديد,الزفزاف,82.0,,PPI
سيدي بوزيد,السوق الجديد,الحشانة بودخان,50.0,,PPI
سيدي بوزيد,السوق الجديد,الرميلية,60.0,,PPI
سيدي بوزيد,السوق الجديد,القصيرة,45.0,,PPI
سيدي بوزيد,منزل بوزيان,القرعة,80.0,,PPI
سيدي بوزيد,منزل بوزيان,السعادة,125.0,,PPI
سيدي بوزيد,منزل بوزيان,الخروبة,60.0,,PPI
سيدي بوزيد,منزل بوزيان,النوامر,95.0,,PPI
سيدي بوزيد,منزل بوزيان,عين الجمال,28.0,,PPI
سيدي بوزيد,منزل بوزيان,أولاد بن جدو,119.0,,PPI
سيدي بوزيد,منزل بوزيان,العررعاريّة,65.0,,PPI
سيدي بوزيد,المزّونة,الدوّارة,26.0,,PPI
سيدي بوزيد,المزّونة,البوع,42.0,,PPI
سيدي بوزيد,المزّونة,الغريس الشرقية,268.0,,PPI
سيدي بوزيد,المكناسي,دخلة العلندة,67.0,,PPI
سيدي بوزيد,المكناسي,النصر اا,45.0,,PPI
سيدي بوزيد,المكناسي,النصر ااا,63.0,,PPI
سيدي بوزيد,المكناسي,غريس الغربية,152.0,,PPI
سيدي بوزيد,المكناسي,المش,43.0,,PPI
سيدي بوزيد,المكناسي,المبروكة,80.0,,PPI
سيدي بوزيد,المكناسي,الروانة,47.0,,PPI
سيدي بوزيد,بنعون,أولاد ابراهيم,79.0,,PPI
سيدي بوزيد,بنعون,الحرشان الواعرة,43.0,,PPI
سيدي بوزيد,بنعون,الرابطة,70.0,,PPI
سيدي بوزيد,أولاد حفوز,الأدواز 1,70.0,,PPI
سيدي بوزيد,أولاد حفوز,السيوف,77.0,,PPI
سيدي بوزيد,الرقاب,بئر خليفة,76.0,,PPI
سيدي بوزيد,الرقاب,الرضاع هنشير الخدم,65.0,,PPI
تطاوين,,الدرينة,80.0,52.0,PPI
تطاوين,,بسيوف,120.0,94.0,PPI
تطاوين,,قصبة الجلالطة,40.0,40.0,PPI
تطاوين,,قصبة العجاردة,43.0,25.0,PPI
تطاوين,,القلعات,80.0,48.0,PPI
تطاوين,,بحير,45.0,36.0,PPI
تطاوين,,الفرش,300.0,97.0,PPI
تطاوين,,القرضاب,77.5,80.0,PPI
تطاوين,,مزار,35.0,32.0,PPI
تطاوين,,وادي الخيل,37.5,41.0,PPI
تطاوين,,كحيل,40.0,50.0,PPI
تطاوين,,كرشاو,15.0,15.0,PPI
تطاوين,,أوني,24.0,12.0,PPI
تطاوين,,سهل الرومان,384.0,51.0,PPI
تطاوين,,بئر عمير,501.0,96.0,PPI
تطاوين,,نكريف,115.0,25.0,PPI
تطاوين,,نكريف,110.0,23.0,PPI
تطاوين,,نكريف,38.0,14.0,PPI
تطاوين,,كمبوت,105.0,22.0,PPI
تطاوين,,كمبوت,44.0,27.0,PPI
تطاوين,,أولاد يحي1,30.0,45.0,PPI
تطاوين,,أولاد يحي2,30.0,26.0,PPI
تطاوين,,القرعاء,35.0,31.0,PPI
تطاوين,,المدينة,45.0,24.0,PPI
تطاوين,,البساتين,43.0,21.0,PPI
تطاوين,,قراقر,30.0,45.0,PPI
تطاوين,,تمزايط,60.0,40.0,PPI
تطاوين,,الروابي,47.0,15.0,PPI
تطاوين,,المقرن,35.0,35.0,PPI
تطاوين,,العرقوب,20.0,34.0,PPI
