nbr_projets,inv_approuve,prime_approuvee,nbr_emploi,gouv_ar,gouv_fr,delegation_ar,delegation_fr,secteur_act_ar,secteur_act_ar_1,mois_ar,mois_fr,annee_doa,feuille
3,1019927,67688,16,نابل,NABEUL,الهوارية,HAWARIYA,الفلاحي,AGRICULTURE,فيفري,févr.,2011,SQL Results
3,925220,78483,6,باجة,BEJA,مجاز الباب,MJEZ ELBEB,الفلاحي,AGRICULTURE,جوان,juin,2010,SQL Results
1,53000,4451,1,تــونس,TUNIS,حلق الوادي,LA GOULETTE,الخدمات,SERVICE,أكتوبر,oct.,2011,SQL Results
2,118301,8226,2,بنزرت,BIZERTE,ماطر,MATEUR,الخدمات,SERVICE,أفريل,avr.,2012,SQL Results
3,302519,65281,6,سيدي بوزيد,SIDI BOUZIDE,منزل بوزيان,MANZEL BOUZAYEN,الفلاحي,AGRICULTURE,أكتوبر,oct.,2011,SQL Results
4,60800,15855,4,الكاف,KEF,نبر,NEBR,الفلاحي,AGRICULTURE,ماي,mai,2011,SQL Results
3,248568,34066,5,مدنين,MEDENINE,مدنين الشما لية,MEDNI NORD,الفلاحي,AGRICULTURE,جوان,juin,2010,SQL Results
1,30500,1672,1,سوسة,SOUSSE,سوسة المدينة,SOUSSE ELMDINA,الخدمات,SERVICE,ماي,mai,2010,SQL Results
6,290700,40309,6,الكاف,KEF,نبر,NEBR,الفلاحي,AGRICULTURE,ماي,mai,2010,SQL Results
5,265974,58142,8,سيدي بوزيد,SIDI BOUZIDE,بئر الحفي,BIR HFAY,الفلاحي,AGRICULTURE,جوان,juin,2010,SQL Results
1,3630000,174579,7,باجة,BEJA,مجاز الباب,MJEZ ELBEB,الخدمات,SERVICE,جوان,juin,2010,SQL Results
4,373300,89268,6,صفاقس,SFAXE,الصخيرة,SKHIRA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2010,SQL Results
2,82819,5923,2,أريانة,ARIANA,قلعة الأندلس,KALAT AL ANDALOUS,الخدمات,SERVICE,مارس,mars,2011,SQL Results
4,375940,82494,4,نابل,NABEUL,قربة,KOURBA,الفلاحي,AGRICULTURE,ماي,mai,2010,SQL Results
2,1440000,82725,11,المنستير,MOUNASTIR,المكنين,MEKNIN,الفلاحي,AGRICULTURE,جويلية,juill.,2010,SQL Results
3,149000,32513,4,القيروان,KAIROUAN,السبيخة,SBIKHA,الفلاحي,AGRICULTURE,جوان,juin,2010,SQL Results
1,47604,11829,2,قفصة,GAFSA,السند,ESNAD,الخدمات,SERVICE,ديسمبر,déc.,2010,SQL Results
1,55400,13693,1,قبلي,KEBELLI,قبلي الشما لية,KEBELLI NORD,الخدمات,SERVICE,جويلية,juill.,2010,SQL Results
1,121570,15824,2,توزر,TOZEUR,دقاش,DGECH,الفلاحي,AGRICULTURE,جويلية,juill.,2010,SQL Results
1,1130000,58746,7,منــوبة,MANOUBA,واد الليل,WAD ELIL,الفلاحي,AGRICULTURE,جويلية,juill.,2010,SQL Results
1,370000,17032,8,الكاف,KEF,القصور,ELKSOUR,الخدمات,SERVICE,جويلية,juill.,2010,SQL Results
6,150800,27399,6,الكاف,KEF,قلعة الخصبة,KALAA KHESBA,الفلاحي,AGRICULTURE,مارس,mars,2010,SQL Results
2,236687,57427,4,قفصة,GAFSA,السند,ESNAD,الفلاحي,AGRICULTURE,جويلية,juill.,2011,SQL Results
9,331333,87264,10,القصرين,KASSERINE,سبيبة,SBIBA,الفلاحي,AGRICULTURE,أفريل,avr.,2011,SQL Results
1,23041,1549,1,نابل,NABEUL,قرمبا لية,GROUMBELIA,الخدمات,SERVICE,نوفمبر,nov.,2011,SQL Results
1,33740,6265,1,نابل,NABEUL,قربة,KOURBA,الفلاحي,AGRICULTURE,أكتوبر,oct.,2011,SQL Results
1,79000,8515,1,المهدية,MAHDIA,الجم,EL JEM,الخدمات,SERVICE,مارس,mars,2012,SQL Results
6,285600,46718,6,الكاف,KEF,القصور,ELKSOUR,الفلاحي,AGRICULTURE,ماي,mai,2011,SQL Results
1,580000,49573,6,زغوان,ZAGHOUANE,بئر مشارقة,BIR MCHARGA,الفلاحي,AGRICULTURE,جويلية,juill.,2011,SQL Results
1,35570,10173,2,تطاوين,TATAWINE,الصمّار,SAMMAR,الفلاحي,AGRICULTURE,جوان,juin,2011,SQL Results
5,77084,25072,6,نابل,NABEUL,الميدة,ELMIDA,الفلاحي,AGRICULTURE,أكتوبر,oct.,2011,SQL Results
12,1424572,289086,19,القصرين,KASSERINE,فوسانة,FOUSENA,الفلاحي,AGRICULTURE,أكتوبر,oct.,2011,SQL Results
1,84091,16900,2,توزر,TOZEUR,توزر,TOZEUR,الفلاحي,AGRICULTURE,ماي,mai,2011,SQL Results
2,155100,42489,3,صفاقس,SFAXE,منزل شاكر,MANZEL CHAKKER,الفلاحي,AGRICULTURE,ماي,mai,2011,SQL Results
2,82839,20711,2,سيدي بوزيد,SIDI BOUZIDE,جلمة,JELMA,الفلاحي,AGRICULTURE,جوان,juin,2011,SQL Results
5,143509,28371,5,جندوبة,JENDOUBA,بوسا لم,BOUSALEM,الفلاحي,AGRICULTURE,فيفري,févr.,2012,SQL Results
2,294605,68238,6,بنزرت,BIZERTE,ماطر,MATEUR,الفلاحي,AGRICULTURE,ماي,mai,2012,SQL Results
4,241240,59819,6,تطاوين,TATAWINE,تطاوين الشما لية,TATAWIN NORD,الفلاحي,AGRICULTURE,ديسمبر,déc.,2011,SQL Results
1,58000,3740,1,القيروان,KAIROUAN,حفوز,HAFOUZ,الخدمات,SERVICE,فيفري,févr.,2012,SQL Results
1,39000,2618,1,القيروان,KAIROUAN,الوسلاتية,WESLATIYA,الخدمات,SERVICE,فيفري,févr.,2012,SQL Results
3,182333,29732,6,سيدي بوزيد,SIDI BOUZIDE,سبا لة أولاد عسكر,SEBELET AWLED ASKAR,الفلاحي,AGRICULTURE,جويلية,juill.,2012,SQL Results
21,258000,70330,21,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الفلاحي,AGRICULTURE,فيفري,févr.,2012,SQL Results
1,206000,9782,4,المنستير,MOUNASTIR,البقا لطة,BKALTA,التحويل الأولي,PREMIERE TRANSFORMATION,مارس,mars,2013,SQL Results
1,300000,81883,3,منــوبة,MANOUBA,برج العامري,BOURJ EL AMRI,الخدمات,SERVICE,ديسمبر,déc.,2011,SQL Results
5,207356,49949,5,القصرين,KASSERINE,تا لة,TELA,الفلاحي,AGRICULTURE,مارس,mars,2012,SQL Results
6,142000,32517,7,القيروان,KAIROUAN,السبيخة,SBIKHA,الفلاحي,AGRICULTURE,فيفري,févr.,2012,SQL Results
3,142500,18525,3,سيدي بوزيد,SIDI BOUZIDE,جلمة,JELMA,الخدمات,SERVICE,فيفري,févr.,2012,SQL Results
4,404214,102456,5,قابس,GABES,قابس الجنوبية,GABES SUD,الفلاحي,AGRICULTURE,مارس,mars,2012,SQL Results
15,659069,174430,20,القصرين,KASSERINE,فوسانة,FOUSENA,الفلاحي,AGRICULTURE,مارس,mars,2012,SQL Results
5,343278,63315,9,القصرين,KASSERINE,سبيبة,SBIBA,الفلاحي,AGRICULTURE,مارس,mars,2012,SQL Results
2,112000,7121,0,المنستير,MOUNASTIR,المنستير,MOUNASTIR,الصيد البحري,PECHE,مارس,mars,2012,SQL Results
1,14000,4578,1,القيروان,KAIROUAN,الشراردة,CHRARDA,الفلاحي,AGRICULTURE,مارس,mars,2012,SQL Results
1,117000,19740,1,سليانة,SILIANA,سليانة الشما لية,SILIANA NORD,الفلاحي,AGRICULTURE,فيفري,févr.,2013,SQL Results
2,20100,665,2,الكاف,KEF,نبر,NEBR,الخدمات,SERVICE,ديسمبر,déc.,2011,SQL Results
12,372883,82146,14,القصرين,KASSERINE,فوسانة,FOUSENA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2011,SQL Results
2,244538,60913,2,زغوان,ZAGHOUANE,بئر مشارقة,BIR MCHARGA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2011,SQL Results
3,164237,24845,4,القصرين,KASSERINE,ماجل با لعباس,MAJEL BELABBES,الفلاحي,AGRICULTURE,جانفي,janv.,2012,SQL Results
4,240953,59759,4,باجة,BEJA,مجاز الباب,MJEZ ELBEB,الفلاحي,AGRICULTURE,أفريل,avr.,2013,SQL Results
2,120306,28820,2,القصرين,KASSERINE,تا لة,TELA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2011,SQL Results
1,37750,2643,1,جندوبة,JENDOUBA,غارالدماء,GAR DIMA,الخدمات,SERVICE,سبتمبر,sept.,2011,SQL Results
2,255000,39300,3,المهدية,MAHDIA,الجم,EL JEM,الفلاحي,AGRICULTURE,نوفمبر,nov.,2011,SQL Results
1,212000,49184,3,سليانة,SILIANA,سليانة الجنوبية,SILIANA SUD,الفلاحي,AGRICULTURE,جوان,juin,2012,SQL Results
3,11736000,1552822,39,القيروان,KAIROUAN,السبيخة,SBIKHA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2011,SQL Results
4,78000,20073,4,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2012,SQL Results
1,75000,4312,1,مدنين,MEDENINE,جرجيس,JERJIS,الخدمات,SERVICE,فيفري,févr.,2013,SQL Results
4,79000,18880,4,القيروان,KAIROUAN,القيروان الجنوبية,KAIROUAN SUD,الفلاحي,AGRICULTURE,أوت,août,2012,SQL Results
1,6762,2617,1,نابل,NABEUL,منزل تميم,MANZEL TMIM,الفلاحي,AGRICULTURE,نوفمبر,nov.,2012,SQL Results
1,793000,116189,15,زغوان,ZAGHOUANE,الفحص,FAHS,الفلاحي,AGRICULTURE,أوت,août,2012,SQL Results
8,973633,201792,19,سيدي بوزيد,SIDI BOUZIDE,الرقاب,ERGAB,الفلاحي,AGRICULTURE,أكتوبر,oct.,2012,SQL Results
5,61000,12586,5,القيروان,KAIROUAN,سيدي عمر بوحجلة,SIDI OMOR BOUHAJLA,الفلاحي,AGRICULTURE,أكتوبر,oct.,2012,SQL Results
5,202000,41783,6,القيروان,KAIROUAN,السبيخة,SBIKHA,الفلاحي,AGRICULTURE,فيفري,févr.,2013,SQL Results
3,271530,62646,4,صفاقس,SFAXE,بئر علي بن خليفة,BIR ALI KHELIFFA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2012,SQL Results
21,892891,201893,27,القصرين,KASSERINE,فوسانة,FOUSENA,الفلاحي,AGRICULTURE,جانفي,janv.,2013,SQL Results
1,79760,15352,2,نابل,NABEUL,الحمامات,HAMMAMET,الفلاحي,AGRICULTURE,نوفمبر,nov.,2012,SQL Results
3,181710,27860,3,جندوبة,JENDOUBA,جندوبة,JENDOUBA,الخدمات,SERVICE,جويلية,juill.,2012,SQL Results
8,341363,58965,10,القصرين,KASSERINE,القصرين الجنوبية,KASSERINE SUD,الفلاحي,AGRICULTURE,أوت,août,2012,SQL Results
1,28287,1981,1,القصرين,KASSERINE,حاسي الفريد,HASSI ELFRID,الخدمات,SERVICE,سبتمبر,sept.,2012,SQL Results
1,156000,39974,2,قابس,GABES,مارث,MARETH,الفلاحي,AGRICULTURE,جويلية,juill.,2012,SQL Results
2,305315,82283,4,قفصة,GAFSA,سيدي عيش,SIDI ICH,الفلاحي,AGRICULTURE,أكتوبر,oct.,2012,SQL Results
4,337035,23082,4,جندوبة,JENDOUBA,بوسا لم,BOUSALEM,الخدمات,SERVICE,ماي,mai,2012,SQL Results
11,322744,71134,16,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,جوان,juin,2012,SQL Results
4,180100,40575,4,الكاف,KEF,ساقية سيدي يوسف,SAKIYET SIDI YOUSSEF,الفلاحي,AGRICULTURE,جوان,juin,2012,SQL Results
2,116820,27558,2,باجة,BEJA,نفزة,NEFZA,الفلاحي,AGRICULTURE,ماي,mai,2012,SQL Results
2,107765,14456,2,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الخدمات,SERVICE,ماي,mai,2013,SQL Results
1,40000,3380,1,المهدية,MAHDIA,ملولش,MLOULECH,الخدمات,SERVICE,جوان,juin,2012,SQL Results
6,339900,57475,6,الكاف,KEF,ساقية سيدي يوسف,SAKIYET SIDI YOUSSEF,الفلاحي,AGRICULTURE,نوفمبر,nov.,2012,SQL Results
5,260800,58311,5,الكاف,KEF,الكاف الغربية,EL KEF OUSET,الفلاحي,AGRICULTURE,نوفمبر,nov.,2012,SQL Results
2,281000,44319,3,المهدية,MAHDIA,شربان,CHERBEN,الفلاحي,AGRICULTURE,ماي,mai,2013,SQL Results
2,106870,7481,2,باجة,BEJA,باجة الشما لية,BEJANORD,الخدمات,SERVICE,أكتوبر,oct.,2013,SQL Results
2,412000,105806,7,تطاوين,TATAWINE,رمادة,REMEDA,الفلاحي,AGRICULTURE,أفريل,avr.,2013,SQL Results
4,86200,21551,4,الكاف,KEF,ساقية سيدي يوسف,SAKIYET SIDI YOUSSEF,الفلاحي,AGRICULTURE,أوت,août,2013,SQL Results
4,115300,14427,4,الكاف,KEF,الكاف الشرقية,KEF EST,الفلاحي,AGRICULTURE,أفريل,avr.,2013,SQL Results
1,95687,23922,1,منــوبة,MANOUBA,طبربة,TOUBOURBA,الفلاحي,AGRICULTURE,ماي,mai,2013,SQL Results
8,377319,86125,12,القصرين,KASSERINE,القصرين الجنوبية,KASSERINE SUD,الفلاحي,AGRICULTURE,أفريل,avr.,2013,SQL Results
4,412884,97202,10,تطاوين,TATAWINE,رمادة,REMEDA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2013,SQL Results
3,360000,50486,5,المهدية,MAHDIA,الشابة,CHEBBA,الفلاحي,AGRICULTURE,مارس,mars,2013,SQL Results
1,159000,35686,2,منــوبة,MANOUBA,برج العامري,BOURJ EL AMRI,الفلاحي,AGRICULTURE,أوت,août,2013,SQL Results
2,54600,10920,2,الكاف,KEF,قلعة الخصبة,KALAA KHESBA,الفلاحي,AGRICULTURE,فيفري,févr.,2013,SQL Results
2,62040,4343,2,نابل,NABEUL,نابل,NABEUL,الخدمات,SERVICE,ديسمبر,déc.,2012,SQL Results
3,817109,59700,7,منــوبة,MANOUBA,طبربة,TOUBOURBA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2012,SQL Results
1,21236,4235,2,زغوان,ZAGHOUANE,زغوان,ZAGOUAN,الفلاحي,AGRICULTURE,فيفري,févr.,2013,SQL Results
2,88000,5503,2,سوسة,SOUSSE,القلعة الكبرى,KALAA ELKOUBRA,الخدمات,SERVICE,فيفري,févr.,2013,SQL Results
1,35000,2215,1,سوسة,SOUSSE,القلعة الكبرى,KALAA ELKOUBRA,الخدمات,SERVICE,ديسمبر,déc.,2012,SQL Results
1,53000,3425,1,القيروان,KAIROUAN,العلا,AL ALAA,الخدمات,SERVICE,فيفري,févr.,2013,SQL Results
2,89845,6289,2,جندوبة,JENDOUBA,عين دراهم,AIN DRAHEM,الخدمات,SERVICE,نوفمبر,nov.,2012,SQL Results
2,290740,48957,4,زغوان,ZAGHOUANE,الفحص,FAHS,الفلاحي,AGRICULTURE,جويلية,juill.,2013,SQL Results
2,149107,20886,2,قفصة,GAFSA,السند,ESNAD,الخدمات,SERVICE,أفريل,avr.,2014,SQL Results
1,951000,93938,12,الكاف,KEF,السرس,SERS,الفلاحي,AGRICULTURE,جويلية,juill.,2014,SQL Results
2,45987,11798,2,زغوان,ZAGHOUANE,بئر مشارقة,BIR MCHARGA,الفلاحي,AGRICULTURE,مارس,mars,2014,SQL Results
5,413274,28930,5,جندوبة,JENDOUBA,جندوبة الشما لية,JENDOUBA NORD,الخدمات,SERVICE,فيفري,févr.,2014,SQL Results
3,220941,43368,3,قبلي,KEBELLI,الفوار,ELFAWAR,الخدمات,SERVICE,ماي,mai,2015,SQL Results
1,148274,34504,3,سيدي بوزيد,SIDI BOUZIDE,سوق الجديد,SOUK EJDID,الفلاحي,AGRICULTURE,جوان,juin,2014,SQL Results
1,60205,4137,1,بنزرت,BIZERTE,بنزرت الجنوبية,BIZETE SUD,الخدمات,SERVICE,ديسمبر,déc.,2013,SQL Results
1,49900,3493,1,سيدي بوزيد,SIDI BOUZIDE,جلمة,JELMA,الخدمات,SERVICE,ديسمبر,déc.,2012,SQL Results
1,27800,1946,1,الكاف,KEF,الدهماني,DAHMENI,الخدمات,SERVICE,فيفري,févr.,2014,SQL Results
3,273000,40000,4,القيروان,KAIROUAN,القيروان الجنوبية,KAIROUAN SUD,الفلاحي,AGRICULTURE,سبتمبر,sept.,2013,SQL Results
6,190000,17825,6,جندوبة,JENDOUBA,بوسا لم,BOUSALEM,الخدمات,SERVICE,سبتمبر,sept.,2013,SQL Results
1,45602,3121,1,باجة,BEJA,تستور,TASTOUR,الخدمات,SERVICE,فيفري,févr.,2014,SQL Results
1,342000,52413,5,القصرين,KASSERINE,سبيطلة,SBITLA,التحويل الأولي,PREMIERE TRANSFORMATION,سبتمبر,sept.,2013,SQL Results
4,1064362,157994,13,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الشرقية,SIDI BOUZID EST,الفلاحي,AGRICULTURE,ديسمبر,déc.,2013,SQL Results
3,60000,1780,3,القيروان,KAIROUAN,السبيخة,SBIKHA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2013,SQL Results
1,285000,21692,2,بنزرت,BIZERTE,غار الملح,GAR EL MELH,الخدمات,SERVICE,نوفمبر,nov.,2013,SQL Results
5,247600,61900,5,الكاف,KEF,نبر,NEBR,الفلاحي,AGRICULTURE,نوفمبر,nov.,2013,SQL Results
2,31600,2212,2,الكاف,KEF,السرس,SERS,الخدمات,SERVICE,نوفمبر,nov.,2013,SQL Results
5,514000,66707,12,المنستير,MOUNASTIR,طبلبة,TBOLBA,الصيد البحري,PECHE,سبتمبر,sept.,2013,SQL Results
3,148386,29043,3,بنزرت,BIZERTE,أوتيك,UTIK,الفلاحي,AGRICULTURE,سبتمبر,sept.,2014,SQL Results
1,43355,2639,1,القصرين,KASSERINE,القصرين الشما لية,KASSERIN NORD,الخدمات,SERVICE,جويلية,juill.,2014,SQL Results
1,750000,94700,11,سليانة,SILIANA,بوعرادة,BOU ARADA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2014,SQL Results
2,255598,5953,2,جندوبة,JENDOUBA,جندوبة الشما لية,JENDOUBA NORD,الخدمات,SERVICE,جوان,juin,2014,SQL Results
1,760000,9611,2,المهدية,MAHDIA,الجم,EL JEM,الفلاحي,AGRICULTURE,ديسمبر,déc.,2014,SQL Results
2,152000,22454,2,بنزرت,BIZERTE,جومين,JOUMIN,الخدمات,SERVICE,سبتمبر,sept.,2014,SQL Results
7,300417,65309,7,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,جويلية,juill.,2014,SQL Results
2,50750,3553,2,نابل,NABEUL,بني خيار,BENI KHYAR,الخدمات,SERVICE,ديسمبر,déc.,2014,SQL Results
6,1153200,236312,17,سيدي بوزيد,SIDI BOUZIDE,الرقاب,ERGAB,الفلاحي,AGRICULTURE,أفريل,avr.,2014,SQL Results
4,214200,55541,6,القصرين,KASSERINE,القصرين الجنوبية,KASSERINE SUD,الفلاحي,AGRICULTURE,مارس,mars,2014,SQL Results
7,371777,88294,8,القصرين,KASSERINE,فوسانة,FOUSENA,الفلاحي,AGRICULTURE,ماي,mai,2014,SQL Results
2,52415,8370,2,جندوبة,JENDOUBA,جندوبة الشما لية,JENDOUBA NORD,الفلاحي,AGRICULTURE,مارس,mars,2014,SQL Results
1,65000,16635,1,سيدي بوزيد,SIDI BOUZIDE,سيدي بوزيد الشرقية,SIDI BOUZID EST,الفلاحي,AGRICULTURE,أكتوبر,oct.,2014,SQL Results
2,111478,7803,2,سيدي بوزيد,SIDI BOUZIDE,سوق الجديد,SOUK EJDID,الخدمات,SERVICE,سبتمبر,sept.,2014,SQL Results
3,261000,33662,3,سوسة,SOUSSE,القلعة الكبرى,KALAA ELKOUBRA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2014,SQL Results
3,153700,35836,3,الكاف,KEF,ساقية سيدي يوسف,SAKIYET SIDI YOUSSEF,الفلاحي,AGRICULTURE,أكتوبر,oct.,2014,SQL Results
5,451800,102796,5,قفصة,GAFSA,أم  العرائس,OM ELARAYES,الخدمات,SERVICE,سبتمبر,sept.,2015,SQL Results
2,108827,16215,2,قابس,GABES,قابس الجنوبية,GABES SUD,الخدمات,SERVICE,سبتمبر,sept.,2015,SQL Results
1,66000,3907,1,جندوبة,JENDOUBA,فرنانة,FERNANA,الخدمات,SERVICE,سبتمبر,sept.,2015,SQL Results
9,371943,82672,10,القصرين,KASSERINE,سبيبة,SBIBA,الفلاحي,AGRICULTURE,ماي,mai,2015,SQL Results
3,208000,13549,8,بنزرت,BIZERTE,ماطر,MATEUR,الخدمات,SERVICE,فيفري,févr.,2015,SQL Results
1,225000,25906,4,تــونس,TUNIS,المرسى,LA MARSA,الخدمات,SERVICE,ماي,mai,2015,SQL Results
3,175842,24376,3,قفصة,GAFSA,القصر,EL KSSAR,الخدمات,SERVICE,مارس,mars,2015,SQL Results
1,50564,3539,1,باجة,BEJA,قبلاط,KBELLAT,الخدمات,SERVICE,أفريل,avr.,2014,SQL Results
2,111000,7094,2,القيروان,KAIROUAN,الشبيكة,CHBIKA,الخدمات,SERVICE,مارس,mars,2015,SQL Results
3,145000,11287,3,المهدية,MAHDIA,ملولش,MLOULECH,الخدمات,SERVICE,سبتمبر,sept.,2015,SQL Results
7,1150864,241226,17,سيدي بوزيد,SIDI BOUZIDE,الرقاب,ERGAB,الفلاحي,AGRICULTURE,ماي,mai,2015,SQL Results
1,1129000,76970,0,صفاقس,SFAXE,صفاقس المدينة,SFAXE MEDINA,الصيد البحري,PECHE,جانفي,janv.,2015,SQL Results
1,33000,2310,1,جندوبة,JENDOUBA,بوسا لم,BOUSALEM,الخدمات,SERVICE,فيفري,févr.,2015,SQL Results
1,45340,3174,1,القصرين,KASSERINE,فوسانة,FOUSENA,الخدمات,SERVICE,أفريل,avr.,2015,SQL Results
1,55000,2740,1,المهدية,MAHDIA,الجم,EL JEM,الخدمات,SERVICE,ماي,mai,2015,SQL Results
1,214000,31080,2,سليانة,SILIANA,سليانة الجنوبية,SILIANA SUD,الفلاحي,AGRICULTURE,جوان,juin,2015,SQL Results
18,513429,90634,16,القصرين,KASSERINE,فوسانة,FOUSENA,الفلاحي,AGRICULTURE,ماي,mai,2015,SQL Results
18,867821,186673,21,القصرين,KASSERINE,فوسانة,FOUSENA,الفلاحي,AGRICULTURE,ديسمبر,déc.,2015,SQL Results
16,1058234,202154,23,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2015,SQL Results
1,15000,4724,1,سوسة,SOUSSE,القلعة الكبرى,KALAA ELKOUBRA,الفلاحي,AGRICULTURE,نوفمبر,nov.,2015,SQL Results
2,128000,8574,2,القيروان,KAIROUAN,العلا,AL ALAA,الخدمات,SERVICE,نوفمبر,nov.,2015,SQL Results
2,194529,35327,3,الكاف,KEF,الكاف الشرقية,KEF EST,الفلاحي,AGRICULTURE,سبتمبر,sept.,2015,SQL Results
2,1120000,154379,33,المهدية,MAHDIA,المهدية,MAHDIA,الصيد البحري,PECHE,جانفي,janv.,2017,SQL Results
1,22000,6860,1,القيروان,KAIROUAN,القيروان الشما لية,KAIROUAN NORD,الفلاحي,AGRICULTURE,سبتمبر,sept.,2016,SQL Results
1,93192,13726,1,توزر,TOZEUR,دقاش,DGECH,الخدمات,SERVICE,أوت,août,2015,SQL Results
1,64000,4407,1,القيروان,KAIROUAN,حاجب العيون,HAJEB LAYOUN,الخدمات,SERVICE,ديسمبر,déc.,2015,SQL Results
10,1228700,174487,28,بن عروس,BEN AROUSSE,مرناق,MORNAG,الفلاحي,AGRICULTURE,ديسمبر,déc.,2015,SQL Results
3,212000,12649,3,المهدية,MAHDIA,هبيرة,HBIRA,الخدمات,SERVICE,سبتمبر,sept.,2015,SQL Results
4,1191452,144031,15,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الخدمات,SERVICE,أكتوبر,oct.,2015,SQL Results
17,1607946,298894,29,القصرين,KASSERINE,سبيطلة,SBITLA,الفلاحي,AGRICULTURE,سبتمبر,sept.,2015,SQL Results
2,72423,16935,2,الكاف,KEF,قلعة الخصبة,KALAA KHESBA,الفلاحي,AGRICULTURE,أفريل,avr.,2016,SQL Results
3,253250,34971,3,قفصة,GAFSA,قفصة الجنوبية,GAFSA SUD,الخدمات,SERVICE,فيفري,févr.,2016,SQL Results
