inv_declare,nbr_adi,mois,secteur_activite,gouvernorat,feuille
35315,2,2,الصيد البحري,صفاقس,SQL Results
399030,6,2,الفلاحي,بنزرت,SQL Results
1009455,13,2,الفلاحي,تطاوين,SQL Results
1585913,21,2,الفلاحي,قابس,SQL Results
148300,6,2,الصيد البحري,المنستير,SQL Results
26200,1,2,الخدمات,القصرين,SQL Results
302934,7,2,الخدمات,سيدي بوزيد,SQL Results
166841,1,2,الخدمات,قفصة,SQL Results
31652,1,2,الخدمات,تــونس,SQL Results
522252,13,2,الخدمات,قبلي,SQL Results
145000,3,2,الخدمات,سليانة,SQL Results
48000,2,2,الخدمات,بن عروس,SQL Results
215940,4,2,الصيد البحري,قابس,SQL Results
257100,4,2,الخدمات,المنستير,SQL Results
1033600,5,2,الفلاحي,المنستير,SQL Results
1215000,1,2,التحويل الأولي,سليانة,SQL Results
117610,4,2,الخدمات,نابل,SQL Results
295000,1,2,تربية الأحياء المائية,مدنين,SQL Results
92400,10,2,الفلاحي,سوسة,SQL Results
970050,1,2,التحويل الأولي,منــوبة,SQL Results
157339,3,2,الخدمات,تطاوين,SQL Results
2165351,14,2,الفلاحي,منــوبة,SQL Results
1229090,15,2,الفلاحي,صفاقس,SQL Results
28344,3,2,الخدمات,مدنين,SQL Results
194888,5,2,الفلاحي,جندوبة,SQL Results
263208,9,2,الخدمات,صفاقس,SQL Results
83336,1,2,الفلاحي,توزر,SQL Results
279050,1,2,الفلاحي,تــونس,SQL Results
94749,4,2,الخدمات,زغوان,SQL Results
138656,3,2,الفلاحي,أريانة,SQL Results
69000,1,2,الفلاحي,قبلي,SQL Results
46000,2,2,الصيد البحري,المهدية,SQL Results
1565644,4,2,الفلاحي,قفصة,SQL Results
12972406,18,2,الفلاحي,زغوان,SQL Results
89800,4,2,الخدمات,الكاف,SQL Results
175699,5,2,الخدمات,جندوبة,SQL Results
1746950,18,2,الفلاحي,بن عروس,SQL Results
2186000,1,2,تربية الأحياء المائية,سوسة,SQL Results
2660000,1,2,التحويل الأولي,المنستير,SQL Results
14000,1,2,الخدمات,سوسة,SQL Results
28098,1,2,تربية الأحياء المائية,قبلي,SQL Results
192460,3,2,الفلاحي,الكاف,SQL Results
14000000,1,2,تربية الأحياء المائية,المهدية,SQL Results
176500,5,2,الخدمات,القيروان,SQL Results
93684,3,2,الفلاحي,القصرين,SQL Results
41646,1,2,الصيد البحري,مدنين,SQL Results
575668,2,2,الخدمات,بنزرت,SQL Results
919149,14,2,الفلاحي,مدنين,SQL Results
142800,5,2,الخدمات,أريانة,SQL Results
4200000,1,2,تربية الأحياء المائية,نابل,SQL Results
161019,5,2,الخدمات,قابس,SQL Results
531120,8,2,الفلاحي,المهدية,SQL Results
3627600,40,2,الفلاحي,سيدي بوزيد,SQL Results
107600,7,2,الخدمات,باجة,SQL Results
88500,1,2,تربية الأحياء المائية,المنستير,SQL Results
3708240,11,2,الفلاحي,نابل,SQL Results
287408,1,2,تربية الأحياء المائية,بنزرت,SQL Results
540600,14,2,الفلاحي,القيروان,SQL Results
4960000,1,3,تربية الأحياء المائية,نابل,SQL Results
5130,1,3,الخدمات,تطاوين,SQL Results
6099500,14,3,الفلاحي,المهدية,SQL Results
196694,1,3,الخدمات,قابس,SQL Results
39565,2,3,الخدمات,زغوان,SQL Results
7339648,14,3,الفلاحي,باجة,SQL Results
188000,3,3,الخدمات,المهدية,SQL Results
782543,6,3,الفلاحي,سوسة,SQL Results
880135,2,3,الخدمات,بنزرت,SQL Results
300000,2,3,التحويل الأولي,المنستير,SQL Results
453190,1,3,التحويل الأولي,توزر,SQL Results
8415538,43,3,الفلاحي,نابل,SQL Results
28075,1,3,الصيد البحري,مدنين,SQL Results
2738455,25,3,الفلاحي,زغوان,SQL Results
272017,7,3,الخدمات,صفاقس,SQL Results
4806159,16,3,الفلاحي,صفاقس,SQL Results
5171200,30,3,الفلاحي,بن عروس,SQL Results
1820517,5,3,الخدمات,سليانة,SQL Results
10805,3,3,الصيد البحري,صفاقس,SQL Results
1767000,32,3,الفلاحي,القيروان,SQL Results
669558,6,3,الخدمات,تــونس,SQL Results
216312,6,3,الخدمات,مدنين,SQL Results
381291,9,3,الخدمات,قبلي,SQL Results
2159192,11,3,الخدمات,الكاف,SQL Results
22200,1,3,الخدمات,بن عروس,SQL Results
1950213,19,3,الفلاحي,مدنين,SQL Results
157500,1,3,التحويل الأولي,نابل,SQL Results
5517239,32,3,الفلاحي,قابس,SQL Results
169500,2,3,الصيد البحري,المنستير,SQL Results
50850,7,3,الفلاحي,جندوبة,SQL Results
3163048,34,3,الفلاحي,بنزرت,SQL Results
4314165,8,3,الخدمات,باجة,SQL Results
546742,26,3,الخدمات,نابل,SQL Results
771960,5,3,الصيد البحري,قابس,SQL Results
41203,1,3,الخدمات,القصرين,SQL Results
38930,4,3,الصيد البحري,بنزرت,SQL Results
11560259,68,3,الفلاحي,القصرين,SQL Results
137000,4,3,الخدمات,سوسة,SQL Results
3450808,46,3,الفلاحي,قفصة,SQL Results
2541759,54,3,الفلاحي,الكاف,SQL Results
9492,1,3,الفلاحي,توزر,SQL Results
2361596,22,3,الخدمات,جندوبة,SQL Results
66257,5,3,الصيد البحري,نابل,SQL Results
2520000,1,3,تربية الأحياء المائية,المنستير,SQL Results
189888,1,3,الصيد البحري,تــونس,SQL Results
3690635,51,3,الفلاحي,سيدي بوزيد,SQL Results
3501242,17,3,الفلاحي,منــوبة,SQL Results
289200,8,3,الخدمات,المنستير,SQL Results
689000,14,3,الخدمات,القيروان,SQL Results
4900000,1,3,تربية الأحياء المائية,المهدية,SQL Results
712894,10,3,الفلاحي,أريانة,SQL Results
242936,1,3,الخدمات,قفصة,SQL Results
62000,1,3,تربية الأحياء المائية,بنزرت,SQL Results
141435,1,3,الفلاحي,قبلي,SQL Results
1290000,22,3,الفلاحي,سليانة,SQL Results
81509,3,3,الخدمات,أريانة,SQL Results
516000,5,3,الفلاحي,المنستير,SQL Results
1000,1,3,الصيد البحري,المهدية,SQL Results
464502,10,3,الخدمات,سيدي بوزيد,SQL Results
36580,3,3,الخدمات,منــوبة,SQL Results
159875,6,4,الصيد البحري,بنزرت,SQL Results
1399163,21,4,الفلاحي,القيروان,SQL Results
3439486,20,4,الفلاحي,قابس,SQL Results
372495,6,4,الفلاحي,قبلي,SQL Results
209977,3,4,الخدمات,باجة,SQL Results
702250,10,4,الصيد البحري,المهدية,SQL Results
1770,1,4,الصيد البحري,قابس,SQL Results
1897742,27,4,الفلاحي,القصرين,SQL Results
4836563,27,4,الفلاحي,نابل,SQL Results
392918,13,4,الفلاحي,منــوبة,SQL Results
14062000,2,4,تربية الأحياء المائية,المهدية,SQL Results
105000,1,4,الصيد البحري,مدنين,SQL Results
2285923,15,4,الفلاحي,بن عروس,SQL Results
163500,4,4,الخدمات,القيروان,SQL Results
510089,8,4,الصيد البحري,صفاقس,SQL Results
89651,3,4,الخدمات,صفاقس,SQL Results
254700,5,4,الخدمات,الكاف,SQL Results
358500,2,4,الخدمات,القصرين,SQL Results
345122,7,4,الفلاحي,سوسة,SQL Results
3573785,48,4,الفلاحي,سيدي بوزيد,SQL Results
3203574,27,4,الفلاحي,قفصة,SQL Results
650000,12,4,الفلاحي,المهدية,SQL Results
167242,5,4,الخدمات,سيدي بوزيد,SQL Results
334055,4,4,الخدمات,زغوان,SQL Results
235809,8,4,الخدمات,نابل,SQL Results
222797,2,4,الفلاحي,تــونس,SQL Results
1175000,2,4,التحويل الأولي,القصرين,SQL Results
342582,10,4,الفلاحي,الكاف,SQL Results
5097429,16,4,الفلاحي,باجة,SQL Results
361206,10,4,الخدمات,قبلي,SQL Results
1485000,1,4,تربية الأحياء المائية,المنستير,SQL Results
64952,2,4,الخدمات,مدنين,SQL Results
617200,9,4,الفلاحي,المنستير,SQL Results
113098,5,4,الخدمات,تطاوين,SQL Results
380000,1,4,الخدمات,بنزرت,SQL Results
1900684,10,4,الخدمات,جندوبة,SQL Results
573064,2,4,التحويل الأولي,منــوبة,SQL Results
38000,2,4,الخدمات,سليانة,SQL Results
66644,2,4,الفلاحي,أريانة,SQL Results
381245,12,4,الفلاحي,جندوبة,SQL Results
3540000,2,4,التحويل الأولي,المهدية,SQL Results
22339,2,4,الصيد البحري,جندوبة,SQL Results
2145505,15,4,الفلاحي,صفاقس,SQL Results
102339,2,4,الخدمات,منــوبة,SQL Results
80500,1,4,تربية الأحياء المائية,مدنين,SQL Results
2593235,30,4,الفلاحي,زغوان,SQL Results
4679107,32,4,الفلاحي,بنزرت,SQL Results
34800,1,4,الخدمات,تــونس,SQL Results
224800,6,4,الخدمات,قفصة,SQL Results
1488145,18,4,الفلاحي,تطاوين,SQL Results
88000,1,4,الخدمات,سوسة,SQL Results
992469,5,4,الفلاحي,توزر,SQL Results
3983443,19,4,الفلاحي,سليانة,SQL Results
44000,2,4,الصيد البحري,المنستير,SQL Results
1211574,17,4,الفلاحي,مدنين,SQL Results
328200,8,4,الخدمات,المنستير,SQL Results
82653,4,5,الخدمات,زغوان,SQL Results
559123,8,5,الفلاحي,قبلي,SQL Results
1169099,31,5,الفلاحي,القصرين,SQL Results
523500,12,5,الخدمات,القيروان,SQL Results
101256,4,5,الخدمات,منــوبة,SQL Results
1087000,1,5,التحويل الأولي,المهدية,SQL Results
7702377,3,5,الفلاحي,تــونس,SQL Results
7505500,5,5,الخدمات,سوسة,SQL Results
10800000,1,5,تربية الأحياء المائية,سوسة,SQL Results
1262500,32,5,الفلاحي,القيروان,SQL Results
1209600,1,5,التحويل الأولي,نابل,SQL Results
5156,1,5,الصيد البحري,بنزرت,SQL Results
30000,3,5,التحويل الأولي,المنستير,SQL Results
192000,5,5,الخدمات,المهدية,SQL Results
179000,1,5,الصيد البحري,تــونس,SQL Results
221794,11,5,الفلاحي,جندوبة,SQL Results
2128289,19,5,الفلاحي,باجة,SQL Results
168500,5,5,الفلاحي,المنستير,SQL Results
1018129,19,5,الفلاحي,بنزرت,SQL Results
17500,1,5,الفلاحي,أريانة,SQL Results
3100561,36,5,الفلاحي,سيدي بوزيد,SQL Results
396159,8,5,الخدمات,صفاقس,SQL Results
1570809,32,5,الفلاحي,قابس,SQL Results
287013,1,5,التحويل الأولي,منــوبة,SQL Results
285400,5,5,الخدمات,المنستير,SQL Results
2145456,19,5,الفلاحي,قفصة,SQL Results
113459,6,5,الفلاحي,توزر,SQL Results
70800,1,5,الصيد البحري,قابس,SQL Results
1135661,7,5,الخدمات,باجة,SQL Results
514499,9,5,الخدمات,تــونس,SQL Results
53500,2,5,الصيد البحري,المهدية,SQL Results
31860,1,5,التحويل الأولي,بنزرت,SQL Results
105424,2,5,الصيد البحري,نابل,SQL Results
153080,4,5,الخدمات,أريانة,SQL Results
2660570,18,5,الفلاحي,زغوان,SQL Results
1142745,28,5,الخدمات,قبلي,SQL Results
805253,10,5,الفلاحي,مدنين,SQL Results
396951,3,5,الفلاحي,تطاوين,SQL Results
310882,8,5,الصيد البحري,صفاقس,SQL Results
336109,13,5,الخدمات,نابل,SQL Results
47800,1,5,الخدمات,بن عروس,SQL Results
145000,1,5,التحويل الأولي,قابس,SQL Results
1395598,11,5,الفلاحي,منــوبة,SQL Results
63974,2,5,الخدمات,بنزرت,SQL Results
395469,14,5,الخدمات,الكاف,SQL Results
2600321,18,5,الفلاحي,صفاقس,SQL Results
3859634,18,5,الفلاحي,بن عروس,SQL Results
79470,7,5,الصيد البحري,المنستير,SQL Results
3619987,52,5,الفلاحي,نابل,SQL Results
1734064,40,5,الفلاحي,الكاف,SQL Results
579204,5,5,الفلاحي,سوسة,SQL Results
1980000,1,5,تربية الأحياء المائية,مدنين,SQL Results
1309000,25,5,الفلاحي,سليانة,SQL Results
149000,3,5,الخدمات,سليانة,SQL Results
58000,1,5,التحويل الأولي,سوسة,SQL Results
2874237,2,5,تربية الأحياء المائية,نابل,SQL Results
899530,15,5,الفلاحي,المهدية,SQL Results
1247042,17,5,الخدمات,سيدي بوزيد,SQL Results
1371501,21,5,الخدمات,جندوبة,SQL Results
40000,1,5,الخدمات,قابس,SQL Results
500000,1,6,تربية الأحياء المائية,سيدي بوزيد,SQL Results
36403,1,6,الفلاحي,أريانة,SQL Results
885000,2,6,الخدمات,سليانة,SQL Results
79030,2,6,الخدمات,أريانة,SQL Results
2199465,31,6,الفلاحي,الكاف,SQL Results
161538,2,6,الفلاحي,قبلي,SQL Results
1241197,23,6,الفلاحي,نابل,SQL Results
1315000,1,6,التحويل الأولي,المهدية,SQL Results
9109,1,6,الصيد البحري,جندوبة,SQL Results
448786,14,6,الفلاحي,جندوبة,SQL Results
140181,3,6,الخدمات,تــونس,SQL Results
1180100,35,6,الفلاحي,القيروان,SQL Results
248706,8,6,الخدمات,صفاقس,SQL Results
328063,12,6,الخدمات,الكاف,SQL Results
317187,9,6,الخدمات,نابل,SQL Results
8892,2,6,الخدمات,تطاوين,SQL Results
49000,1,6,الخدمات,القصرين,SQL Results
64208,3,6,الفلاحي,توزر,SQL Results
227000,6,6,الخدمات,المهدية,SQL Results
1181774,17,6,الفلاحي,صفاقس,SQL Results
26274,1,6,الخدمات,منــوبة,SQL Results
199139,5,6,الصيد البحري,بنزرت,SQL Results
108963,3,6,الصيد البحري,تــونس,SQL Results
1166000,3,6,الصيد البحري,المنستير,SQL Results
519500,8,6,الخدمات,القيروان,SQL Results
192901,4,6,الخدمات,بنزرت,SQL Results
2369905,13,6,الفلاحي,بن عروس,SQL Results
468311,3,6,الصيد البحري,صفاقس,SQL Results
139379,4,6,الخدمات,قابس,SQL Results
3631000,1,6,التحويل الأولي,سليانة,SQL Results
1909281,8,6,الفلاحي,سوسة,SQL Results
605435,14,6,الفلاحي,قابس,SQL Results
679740,11,6,الفلاحي,المهدية,SQL Results
2116429,18,6,الفلاحي,زغوان,SQL Results
20520,1,6,الخدمات,زغوان,SQL Results
1907196,25,6,الفلاحي,بنزرت,SQL Results
5289842,23,6,الفلاحي,منــوبة,SQL Results
724000,1,6,التحويل الأولي,سيدي بوزيد,SQL Results
116000,1,6,التحويل الأولي,بن عروس,SQL Results
81196,1,6,الخدمات,توزر,SQL Results
27000,1,6,الخدمات,سوسة,SQL Results
211000,2,6,الصيد البحري,المهدية,SQL Results
106500,2,6,الخدمات,بن عروس,SQL Results
148000,1,6,التحويل الأولي,قابس,SQL Results
495000,1,6,التحويل الأولي,سوسة,SQL Results
5430000,1,6,تربية الأحياء المائية,سوسة,SQL Results
367286,6,6,الخدمات,جندوبة,SQL Results
7685035,16,6,الفلاحي,باجة,SQL Results
6300000,1,6,تربية الأحياء المائية,نابل,SQL Results
196442,2,6,الصيد البحري,قابس,SQL Results
169606,3,6,الخدمات,قفصة,SQL Results
3514580,33,6,الفلاحي,سيدي بوزيد,SQL Results
390575,4,6,الخدمات,سيدي بوزيد,SQL Results
3028105,66,6,الفلاحي,القصرين,SQL Results
3596890,24,6,الفلاحي,قفصة,SQL Results
560000,15,6,الفلاحي,سليانة,SQL Results
144200,4,6,الخدمات,المنستير,SQL Results
294100,4,6,الفلاحي,المنستير,SQL Results
708361,6,6,الفلاحي,مدنين,SQL Results
131000,3,6,الخدمات,مدنين,SQL Results
211789,4,6,الخدمات,باجة,SQL Results
313090,7,6,الخدمات,قبلي,SQL Results
1491739,16,6,الفلاحي,تطاوين,SQL Results
1500835,20,7,الفلاحي,قابس,SQL Results
382177,2,7,الفلاحي,قبلي,SQL Results
524300,8,7,الخدمات,المنستير,SQL Results
4050,2,7,الصيد البحري,تــونس,SQL Results
110513,2,7,الخدمات,قبلي,SQL Results
116453,2,7,الخدمات,بنزرت,SQL Results
142680,4,7,الخدمات,تــونس,SQL Results
106583,6,7,الفلاحي,جندوبة,SQL Results
79000,1,7,الخدمات,القيروان,SQL Results
1384830,9,7,الصيد البحري,صفاقس,SQL Results
4165990,6,7,الفلاحي,أريانة,SQL Results
1885142,14,7,الفلاحي,باجة,SQL Results
1706407,21,7,الفلاحي,القصرين,SQL Results
20038,2,7,الخدمات,الكاف,SQL Results
77773,2,7,الفلاحي,الكاف,SQL Results
2388598,7,7,الفلاحي,مدنين,SQL Results
831998,13,7,الفلاحي,بنزرت,SQL Results
23352,1,7,الصيد البحري,بنزرت,SQL Results
1020000,4,7,الفلاحي,سوسة,SQL Results
175000,1,7,التحويل الأولي,المهدية,SQL Results
173133,5,7,الخدمات,قابس,SQL Results
337960,8,7,الخدمات,سيدي بوزيد,SQL Results
59558,2,7,الخدمات,أريانة,SQL Results
7519791,19,7,الفلاحي,نابل,SQL Results
2338177,36,7,الفلاحي,سيدي بوزيد,SQL Results
1370655,16,7,الفلاحي,قفصة,SQL Results
656470,3,7,الخدمات,باجة,SQL Results
41000,1,7,الخدمات,سوسة,SQL Results
47520,2,7,الخدمات,جندوبة,SQL Results
75300,2,7,الفلاحي,المنستير,SQL Results
138000,5,7,الخدمات,المهدية,SQL Results
4488618,18,7,الفلاحي,صفاقس,SQL Results
2696850,12,7,الفلاحي,بن عروس,SQL Results
190871,2,7,الخدمات,صفاقس,SQL Results
987000,17,7,الفلاحي,سليانة,SQL Results
2500191,18,7,الفلاحي,تطاوين,SQL Results
10545,3,7,الخدمات,تطاوين,SQL Results
4052334,20,7,الفلاحي,منــوبة,SQL Results
238169,3,7,الخدمات,مدنين,SQL Results
6600,2,7,الصيد البحري,المنستير,SQL Results
20860,1,7,الخدمات,قفصة,SQL Results
274000,2,7,التحويل الأولي,المنستير,SQL Results
996920,21,7,الفلاحي,المهدية,SQL Results
643000,1,7,التحويل الأولي,سيدي بوزيد,SQL Results
425000,2,7,الخدمات,منــوبة,SQL Results
385058,7,7,الفلاحي,زغوان,SQL Results
35000,1,7,تربية الأحياء المائية,سوسة,SQL Results
85000,3,7,الخدمات,سليانة,SQL Results
1358000,46,7,الفلاحي,القيروان,SQL Results
15900,1,8,الخدمات,تطاوين,SQL Results
462581,4,8,الفلاحي,منــوبة,SQL Results
571711,6,8,الفلاحي,تطاوين,SQL Results
80960,2,8,الفلاحي,أريانة,SQL Results
45000,1,8,الخدمات,سليانة,SQL Results
57714,2,8,الخدمات,صفاقس,SQL Results
7951639,38,8,الفلاحي,بنزرت,SQL Results
1198420,9,8,الفلاحي,سوسة,SQL Results
11181000,1,8,تربية الأحياء المائية,المنستير,SQL Results
1388200,20,8,الفلاحي,القيروان,SQL Results
3487871,10,8,الفلاحي,باجة,SQL Results
59700,3,8,الخدمات,قابس,SQL Results
26000,1,8,الخدمات,زغوان,SQL Results
51542,1,8,الخدمات,قبلي,SQL Results
161815,4,8,الخدمات,القيروان,SQL Results
75312,2,8,الخدمات,مدنين,SQL Results
3082400,14,8,الفلاحي,بن عروس,SQL Results
1072472,8,8,الفلاحي,صفاقس,SQL Results
856,1,8,الصيد البحري,أريانة,SQL Results
1287953,27,8,الفلاحي,الكاف,SQL Results
974000,8,8,الفلاحي,سليانة,SQL Results
293468,6,8,الصيد البحري,بنزرت,SQL Results
835318,10,8,الفلاحي,القصرين,SQL Results
2328200,17,8,الفلاحي,المهدية,SQL Results
2000,1,8,الخدمات,نابل,SQL Results
173698,2,8,الفلاحي,تــونس,SQL Results
1822893,11,8,الفلاحي,قابس,SQL Results
58500,4,8,الخدمات,المنستير,SQL Results
65901,2,8,الخدمات,باجة,SQL Results
37000,2,8,الخدمات,سوسة,SQL Results
165149,2,8,الصيد البحري,مدنين,SQL Results
775627,12,8,الفلاحي,قفصة,SQL Results
5143261,17,8,الفلاحي,نابل,SQL Results
163100,8,8,الخدمات,الكاف,SQL Results
46005,2,8,الخدمات,القصرين,SQL Results
677911,9,8,الفلاحي,زغوان,SQL Results
2086199,24,8,الفلاحي,سيدي بوزيد,SQL Results
173524,1,8,الصيد البحري,صفاقس,SQL Results
697046,3,8,الفلاحي,قبلي,SQL Results
250919,5,8,الفلاحي,جندوبة,SQL Results
107705,2,8,الخدمات,سيدي بوزيد,SQL Results
216313,6,8,الخدمات,جندوبة,SQL Results
254136,7,8,الخدمات,قفصة,SQL Results
103000,3,8,الخدمات,المهدية,SQL Results
8786,1,9,الخدمات,تطاوين,SQL Results
10213000,3,9,الخدمات,سوسة,SQL Results
1068424,17,9,الفلاحي,قابس,SQL Results
478000,1,9,الخدمات,منــوبة,SQL Results
552326,10,9,الفلاحي,جندوبة,SQL Results
114705,2,9,الخدمات,مدنين,SQL Results
259499,5,9,الخدمات,نابل,SQL Results
240000,1,9,التحويل الأولي,منــوبة,SQL Results
2216998,21,9,الفلاحي,بن عروس,SQL Results
35353,1,9,الخدمات,باجة,SQL Results
3520471,10,9,الفلاحي,زغوان,SQL Results
428000,1,9,التحويل الأولي,المهدية,SQL Results
1824034,32,9,الفلاحي,سيدي بوزيد,SQL Results
33316,1,9,الخدمات,قابس,SQL Results
28989,2,9,الصيد البحري,بنزرت,SQL Results
570000,1,9,التحويل الأولي,المنستير,SQL Results
119400,2,9,الفلاحي,أريانة,SQL Results
159350,4,9,الفلاحي,المنستير,SQL Results
119000,4,9,الخدمات,المهدية,SQL Results
130300,3,9,الخدمات,المنستير,SQL Results
2158866,30,9,الفلاحي,بنزرت,SQL Results
3031567,2,9,الخدمات,تــونس,SQL Results
15000,2,9,الصيد البحري,المهدية,SQL Results
527245,4,9,الصيد البحري,قابس,SQL Results
505800,5,9,الصيد البحري,المنستير,SQL Results
166476,5,9,الصيد البحري,نابل,SQL Results
62000,1,9,الخدمات,بنزرت,SQL Results
1053040,12,9,الفلاحي,منــوبة,SQL Results
1024230,13,9,الفلاحي,الكاف,SQL Results
272810,8,9,الخدمات,صفاقس,SQL Results
6140200,8,9,الفلاحي,سوسة,SQL Results
177433,6,9,الخدمات,جندوبة,SQL Results
1937,1,9,تربية الأحياء المائية,بنزرت,SQL Results
11285000,2,9,تربية الأحياء المائية,نابل,SQL Results
309000,9,9,الفلاحي,سليانة,SQL Results
8465155,27,9,الفلاحي,نابل,SQL Results
2000000,1,9,التحويل الأولي,نابل,SQL Results
465127,10,9,الفلاحي,صفاقس,SQL Results
1404446,8,9,الفلاحي,باجة,SQL Results
1227305,13,9,الفلاحي,مدنين,SQL Results
64012,3,9,الصيد البحري,مدنين,SQL Results
4700000,1,9,تربية الأحياء المائية,المنستير,SQL Results
1564670,9,9,الفلاحي,قبلي,SQL Results
33800,1,9,الخدمات,بن عروس,SQL Results
425270,8,9,الخدمات,قبلي,SQL Results
363731,8,9,الخدمات,سيدي بوزيد,SQL Results
1757000,12,9,الخدمات,القيروان,SQL Results
236826,2,9,التحويل الأولي,قبلي,SQL Results
464628,9,9,الفلاحي,تطاوين,SQL Results
1306985,19,9,الفلاحي,القيروان,SQL Results
1000,1,9,الخدمات,سليانة,SQL Results
889000,11,9,الفلاحي,المهدية,SQL Results
1702467,37,9,الفلاحي,القصرين,SQL Results
564278,12,9,الفلاحي,قفصة,SQL Results
524,1,9,الصيد البحري,صفاقس,SQL Results
461257,5,9,الخدمات,الكاف,SQL Results
171000,1,10,الخدمات,توزر,SQL Results
5084500,31,10,الفلاحي,القيروان,SQL Results
237000,1,10,تربية الأحياء المائية,أريانة,SQL Results
119066,4,10,الخدمات,الكاف,SQL Results
781097,9,10,الفلاحي,باجة,SQL Results
1037692,19,10,الفلاحي,الكاف,SQL Results
75862,2,10,الخدمات,قفصة,SQL Results
1334941,14,10,الفلاحي,منــوبة,SQL Results
7604039,38,10,الفلاحي,سيدي بوزيد,SQL Results
4226787,18,10,الفلاحي,قفصة,SQL Results
123000,1,10,الخدمات,منــوبة,SQL Results
39300,1,10,الخدمات,زغوان,SQL Results
1049000,12,10,الفلاحي,المهدية,SQL Results
951400,10,10,الخدمات,القيروان,SQL Results
2230501,44,10,الفلاحي,القصرين,SQL Results
1000,1,10,الصيد البحري,المنستير,SQL Results
7045851,10,10,الخدمات,صفاقس,SQL Results
3879651,35,10,الفلاحي,نابل,SQL Results
186659,3,10,الفلاحي,توزر,SQL Results
4368820,7,10,الفلاحي,جندوبة,SQL Results
959066,19,10,الفلاحي,بنزرت,SQL Results
304520,2,10,الخدمات,بن عروس,SQL Results
550,1,10,الصيد البحري,مدنين,SQL Results
4940,2,10,الخدمات,تطاوين,SQL Results
514642,9,10,الصيد البحري,نابل,SQL Results
1283776,18,10,الفلاحي,صفاقس,SQL Results
111100,5,10,الفلاحي,سوسة,SQL Results
40500,2,10,الخدمات,المهدية,SQL Results
274285,8,10,الخدمات,جندوبة,SQL Results
81726,2,10,الخدمات,بنزرت,SQL Results
5219294,31,10,الفلاحي,قابس,SQL Results
14161,2,10,الصيد البحري,قابس,SQL Results
132681,2,10,الخدمات,باجة,SQL Results
132773,3,10,الخدمات,تــونس,SQL Results
3000000,1,10,تربية الأحياء المائية,المهدية,SQL Results
7446000,4,10,الخدمات,سوسة,SQL Results
1155721,9,10,الصيد البحري,صفاقس,SQL Results
10781,1,10,الصيد البحري,جندوبة,SQL Results
269384,13,10,الخدمات,نابل,SQL Results
407200,3,10,الفلاحي,المنستير,SQL Results
108436,4,10,الخدمات,مدنين,SQL Results
503393,3,10,الفلاحي,مدنين,SQL Results
575581,4,10,الخدمات,سيدي بوزيد,SQL Results
