nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
6,890783,مدنين,جرجيس,الخدمات,SQL Results
9,804638,الكاف,القصور,الفلاحي,SQL Results
10,1115314,باجة,تبرسق,الفلاحي,SQL Results
3,165400,تطاوين,رمادة,الفلاحي,SQL Results
34,2533015,قفصة,قفصة الشما لية,الفلاحي,SQL Results
1,93000,تــونس,باردو,الخدمات,SQL Results
21,3198661,قابس,منزل الحبيب,الفلاحي,SQL Results
12,1175406,سيدي بوزيد,المكناسي,الفلاحي,SQL Results
1,189900,سليانة,الكريب,التحويل الأولي,SQL Results
6,382000,المهدية,بو مرداس,الفلاحي,SQL Results
5,3807434,مدنين,حومة السوق,الصيد البحري,SQL Results
4,331856,قبلي,قبلي الشما لية,الفلاحي,SQL Results
3,260084,صفاقس,ساقية الدائر,الخدمات,SQL Results
5,471368,سيدي بوزيد,سيدي بوزيد الشرقية,الخدمات,SQL Results
1,108335,سيدي بوزيد,بئر الحفي,الخدمات,SQL Results
1,6600,سوسة,بوفيشة,الخدمات,SQL Results
6,997800,أريانة,سيدي ثابت,الفلاحي,SQL Results
2,176350,نابل,الميدة,الفلاحي,SQL Results
4,662306,سليانة,العروسة,الفلاحي,SQL Results
5,175576,جندوبة,جندوبة الشما لية,الفلاحي,SQL Results
4,669000,المنستير,طبلبة,الصيد البحري,SQL Results
3,274000,المنستير,البقا لطة,الخدمات,SQL Results
1,102000,سوسة,سوسة المدينة,الخدمات,SQL Results
6,510800,قفصة,القصر,الفلاحي,SQL Results
1,205000,سيدي بوزيد,الرقاب,التحويل الأولي,SQL Results
2,210750,سوسة,سيدي الهاني,الفلاحي,SQL Results
9,632991,قابس,قابس المدينة,الصيد البحري,SQL Results
6,576919,تــونس,الكرم,الخدمات,SQL Results
2,724236,بن عروس,فوشانة,التحويل الأولي,SQL Results
1,130000,توزر,توزر,التحويل الأولي,SQL Results
1,2022,قابس,قابس الغربية,الخدمات,SQL Results
3,388927,القيروان,الشبيكة,الخدمات,SQL Results
4,305000,منــوبة,واد الليل,الفلاحي,SQL Results
4,605300,قفصة,القطار,الفلاحي,SQL Results
1,18800,قابس,مطماطة,الخدمات,SQL Results
4,1972717,بنزرت,جرزونة,الصيد البحري,SQL Results
