annee,type_peche,quantite_production,feuille
2014,Pêche au chalut de fond,26873.0,Feuil1
2014,Pêche au chalut pélagique,360.0,Feuil1
2014,Pêche poisson bleu,52480.0,Feuil1
2014,Pêche aux Thons,1364.0,Feuil1
2014,Aquaculture,11637.0,Feuil1
2014,Pêche dans les lagunes,274.0,Feuil1
2014,Pêche aux coquillages,1635.0,Feuil1
2014,Pêche des éponges,23.0,Feuil1
2014,Pêche aux crevettes,46.0,Feuil1
2014,Pêche corail,8.0,Feuil1
2015,Pêche côtière,32110.0,Feuil1
2015,Pêche au chalut de fond,27252.0,Feuil1
2015,Pêche au chalut pélagique,289.0,Feuil1
2015,Pêche poisson bleu,54487.0,Feuil1
2015,Pêche aux Thons,1403.0,Feuil1
2015,Aquaculture,14231.0,Feuil1
2015,Pêche dans les lagunes,463.0,Feuil1
2015,Pêche aux coquillages,1385.0,Feuil1
2015,Pêche des éponges,19.0,Feuil1
2015,Pêche aux crevettes,55.0,Feuil1
2015,Pêche corail,11.0,Feuil1
2016,Pêche côtière,32347.0,Feuil1
2016,Pêche au chalut de fond,26611.0,Feuil1
2016,Pêche au chalut pélagique,119.0,Feuil1
2016,Pêche poisson bleu,47378.0,Feuil1
2016,Pêche aux Thons,1562.0,Feuil1
2016,Aquaculture,16323.0,Feuil1
2016,Pêche dans les lagunes,550.0,Feuil1
2016,Pêche aux coquillages,1547.0,Feuil1
2016,Pêche des éponges,35.0,Feuil1
2016,Pêche aux crevettes,48.0,Feuil1
2016,Pêche corail,8.0,Feuil1
2017,Pêche côtière,33847.0,Feuil1
2017,Pêche au chalut de fond,21246.0,Feuil1
2017,Pêche au chalut pélagique,70.0,Feuil1
2017,Pêche poisson bleu,49855.0,Feuil1
2017,Pêche aux Thons,2053.0,Feuil1
2017,Aquaculture,21870.0,Feuil1
2017,Pêche dans les lagunes,522.0,Feuil1
2017,Pêche aux coquillages,734.0,Feuil1
2017,Pêche des éponges,31.0,Feuil1
2017,Pêche aux crevettes,53.0,Feuil1
2017,Pêche corail,8.0,Feuil1
2018,Pêche côtière,38253.0,Feuil1
2018,Pêche au chalut de fond,22563.0,Feuil1
2018,Pêche au chalut pélagique,0.0,Feuil1
2018,Pêche poisson bleu,48453.0,Feuil1
2018,Pêche aux Thons,2115.0,Feuil1
2018,Aquaculture,21768.0,Feuil1
2018,Pêche dans les lagunes,492.0,Feuil1
2018,Pêche aux coquillages,283.0,Feuil1
2018,Pêche des éponges,6.0,Feuil1
2018,Pêche aux crevettes,33.0,Feuil1
2018,Pêche corail,6.0,Feuil1
2019,Pêche côtière,54558.0,Feuil1
2019,Pêche au chalut de fond,21753.0,Feuil1
2019,Pêche au chalut pélagique,0.0,Feuil1
2019,Pêche poisson bleu,47592.0,Feuil1
2019,Pêche aux Thons,2400.0,Feuil1
2019,Aquaculture,24051.0,Feuil1
2019,Pêche dans les lagunes,339.0,Feuil1
2019,Pêche aux coquillages,156.0,Feuil1
2019,Pêche des éponges,10.0,Feuil1
2019,Pêche aux crevettes,27.0,Feuil1
2019,Pêche corail,4.0,Feuil1
2020,Pêche côtière,43286.0,Feuil1
2020,Pêche au chalut de fond,21943.0,Feuil1
2020,Pêche au chalut pélagique,0.0,Feuil1
2020,Pêche poisson bleu,45439.0,Feuil1
2020,Pêche aux Thons,2648.0,Feuil1
2020,Aquaculture,23553.0,Feuil1
2020,Pêche dans les lagunes,451.0,Feuil1
2020,Pêche aux coquillages,44.0,Feuil1
2020,Pêche des éponges,3.0,Feuil1
2020,Pêche aux crevettes,20.0,Feuil1
2020,Pêche corail,2.0,Feuil1
2021,Pêche côtière,54987.0,Feuil1
2021,Pêche au chalut de fond,22722.0,Feuil1
2021,Pêche au chalut pélagique,0.0,Feuil1
2021,Pêche poisson bleu,41297.0,Feuil1
2021,Pêche aux Thons,2729.0,Feuil1
2021,Aquaculture,25970.0,Feuil1
2021,Pêche dans les lagunes,405.0,Feuil1
2021,Pêche aux coquillages,0.0,Feuil1
2021,Pêche des éponges,0.3,Feuil1
2021,Pêche aux crevettes,22.3,Feuil1
2021,Pêche corail,2.5,Feuil1
2022,Pêche côtière,59348.0,Feuil1
2022,Pêche au chalut de fond,24885.0,Feuil1
2022,Pêche au chalut pélagique,0.0,Feuil1
2022,Pêche poisson bleu,50322.0,Feuil1
2022,Pêche aux Thons,2653.0,Feuil1
2022,Aquaculture,20924.0,Feuil1
2022,Pêche dans les lagunes,402.0,Feuil1
2022,Pêche aux coquillages,0.0,Feuil1
2022,Pêche des éponges,5.0,Feuil1
2022,Pêche aux crevettes,22.0,Feuil1
2022,Pêche corail,3.0,Feuil1
2023,Pêche côtière,44664.0,Feuil1
2023,Pêche au chalut de fond,24179.0,Feuil1
2023,Pêche au chalut pélagique,0.0,Feuil1
2023,Pêche poisson bleu,52840.0,Feuil1
2023,Pêche aux Thons,2990.0,Feuil1
2023,Aquaculture,21387.0,Feuil1
2023,Pêche dans les lagunes,526.0,Feuil1
2023,Pêche aux coquillages,0.0,Feuil1
2023,Pêche des éponges,10.0,Feuil1
2023,Pêche aux crevettes,20.0,Feuil1
2023,Pêche corail,3.0,Feuil1
2024,Pêche côtière,41046.0,Feuil1
2024,Pêche au chalut de fond,18806.0,Feuil1
2024,Pêche au chalut pélagique,0.0,Feuil1
2024,Pêche poisson bleu,44073.0,Feuil1
2024,Pêche aux Thons,3000.0,Feuil1
2024,Aquaculture,18430.0,Feuil1
2024,Pêche dans les lagunes,701.0,Feuil1
2024,Pêche aux coquillages,0.0,Feuil1
2024,Pêche des éponges,7.0,Feuil1
2024,Pêche aux crevettes,23.0,Feuil1
2024,Pêche corail,4.0,Feuil1
