annee,delegation,superficie_fourrages_ha,feuille
2017,الشراردة,247.0,مساحة الزراعات العلفية
2017,المجمــوع,6055.0,مساحة الزراعات العلفية
2018,394,394.0,مساحة الزراعات العلفية
2018,433,433.0,مساحة الزراعات العلفية
2018,1516,1516.0,مساحة الزراعات العلفية
2018,596,596.0,مساحة الزراعات العلفية
2018,585,585.0,مساحة الزراعات العلفية
2018,0,0.0,مساحة الزراعات العلفية
2018,17,17.0,مساحة الزراعات العلفية
2018,265,265.0,مساحة الزراعات العلفية
2018,,,مساحة الزراعات العلفية
2018,358,358.0,مساحة الزراعات العلفية
2018,695,695.0,مساحة الزراعات العلفية
2018,75,75.0,مساحة الزراعات العلفية
2018,4934,4934.0,مساحة الزراعات العلفية
2019,القيروان الشمالية,530.0,مساحة الزراعات العلفية
2019,القيروان الجنوبية,345.0,مساحة الزراعات العلفية
2019,السبيخة,1940.0,مساحة الزراعات العلفية
2019,الوسلاتية,707.0,مساحة الزراعات العلفية
2019,الشبيكة,259.0,مساحة الزراعات العلفية
2019,حفوز,5.0,مساحة الزراعات العلفية
2019,العلا,18.0,مساحة الزراعات العلفية
2019,حاجب العيون,249.0,مساحة الزراعات العلفية
2019,عين جلولة,53.0,مساحة الزراعات العلفية
2019,نصرالله,312.0,مساحة الزراعات العلفية
2019,منزل المهيري,204.0,مساحة الزراعات العلفية
2019,بوحجلة,670.0,مساحة الزراعات العلفية
2019,الشراردة,495.0,مساحة الزراعات العلفية
2019,المجمــوع,5787.0,مساحة الزراعات العلفية
2020,القيروان الشمالية,512.0,مساحة الزراعات العلفية
2020,القيروان الجنوبية,549.0,مساحة الزراعات العلفية
2020,السبيخة,3636.0,مساحة الزراعات العلفية
2020,الوسلاتية,569.0,مساحة الزراعات العلفية
2020,الشبيكة,468.0,مساحة الزراعات العلفية
2020,حفوز,20.0,مساحة الزراعات العلفية
2020,العلا,10.0,مساحة الزراعات العلفية
2020,حاجب العيون,110.0,مساحة الزراعات العلفية
2020,عين جلولة,53.0,مساحة الزراعات العلفية
2020,نصرالله,142.0,مساحة الزراعات العلفية
2020,منزل المهيري,167.0,مساحة الزراعات العلفية
2020,بوحجلة,557.0,مساحة الزراعات العلفية
2020,الشراردة,120.0,مساحة الزراعات العلفية
2020,المجمــوع,6913.0,مساحة الزراعات العلفية
2021,القيروان الشمالية,557.0,مساحة الزراعات العلفية
2021,القيروان الجنوبية,550.0,مساحة الزراعات العلفية
2021,السبيخة,3131.0,مساحة الزراعات العلفية
2021,الوسلاتية,420.0,مساحة الزراعات العلفية
2021,الشبيكة,520.0,مساحة الزراعات العلفية
2021,حفوز,28.0,مساحة الزراعات العلفية
2021,العلا,17.0,مساحة الزراعات العلفية
2021,حاجب العيون,43.0,مساحة الزراعات العلفية
2021,عين جلولة,20.0,مساحة الزراعات العلفية
2021,نصرالله,113.0,مساحة الزراعات العلفية
2021,منزل المهيري,182.0,مساحة الزراعات العلفية
2021,بوحجلة,627.0,مساحة الزراعات العلفية
2021,الشراردة,79.0,مساحة الزراعات العلفية
2021,المجمــوع,6287.0,مساحة الزراعات العلفية
2022,القيروان الشمالية,680.0,مساحة الزراعات العلفية
2022,القيروان الجنوبية,708.0,مساحة الزراعات العلفية
2022,السبيخة,1770.0,مساحة الزراعات العلفية
2022,الوسلاتية,402.0,مساحة الزراعات العلفية
2022,الشبيكة,457.0,مساحة الزراعات العلفية
2022,حفوز,76.5,مساحة الزراعات العلفية
2022,العلا,4.0,مساحة الزراعات العلفية
2022,حاجب العيون,198.0,مساحة الزراعات العلفية
2022,عين جلولة,26.0,مساحة الزراعات العلفية
2022,نصرالله,58.0,مساحة الزراعات العلفية
2022,منزل المهيري,122.0,مساحة الزراعات العلفية
2022,بوحجلة,674.0,مساحة الزراعات العلفية
2022,الشراردة,89.0,مساحة الزراعات العلفية
2022,المجمــوع,5264.5,مساحة الزراعات العلفية
