type,annee,volume_mille_tonnes,feuille
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2003,957.811,Feuil1
Ouvrages en liége naturel :bouchons*,2003,436.483,Feuil1
Autres ouvrage en liége naturel,2003,0.04,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2003,833.332,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2003,187.4,Feuil1
Liege naturel brut ou simplement prepares,2004,,Feuil1
Autres liege naturel brut ou simplement prepares,2004,8368.755,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2004,181.179,Feuil1
Ouvrages en liége naturel :bouchons*,2004,619.363,Feuil1
Autres ouvrage en liége naturel,2004,0.422,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2004,822.169,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2004,14.922,Feuil1
Liege naturel brut ou simplement prepares,2005,,Feuil1
Autres liege naturel brut ou simplement prepares,2005,13081.378,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2005,17.293,Feuil1
Ouvrages en liége naturel :bouchons*,2005,195.724,Feuil1
Autres ouvrage en liége naturel,2005,0.065,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2005,778.033,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2005,59.279,Feuil1
Liege naturel brut ou simplement prepares,2006,,Feuil1
Autres liege naturel brut ou simplement prepares,2006,8952.084,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2006,97.051,Feuil1
Ouvrages en liége naturel :bouchons*,2006,94.232,Feuil1
Autres ouvrage en liége naturel,2006,0.08,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2006,364.897,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2006,91.487,Feuil1
Liege naturel brut ou simplement prepares,2007,,Feuil1
Autres liege naturel brut ou simplement prepares,2007,4143.737,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2007,56.286,Feuil1
Ouvrages en liége naturel :bouchons*,2007,89.024,Feuil1
Autres ouvrage en liége naturel,2007,3.097,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2007,276.281,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2007,156.504,Feuil1
Liege naturel brut ou simplement prepares,2008,,Feuil1
Autres liege naturel brut ou simplement prepares,2008,3502.788,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2008,0.0,Feuil1
Ouvrages en liége naturel :bouchons*,2008,74.861,Feuil1
Autres ouvrage en liége naturel,2008,106.946,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2008,250.713,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2008,232.096,Feuil1
Liege naturel brut ou simplement prepares,2009,,Feuil1
Autres liege naturel brut ou simplement prepares,2009,2284.354,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2009,0.0,Feuil1
Ouvrages en liége naturel :bouchons*,2009,55.259,Feuil1
Autres ouvrage en liége naturel,2009,56.014,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2009,292.209,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2009,377.398,Feuil1
Liege naturel brut ou simplement prepares,2010,,Feuil1
Autres liege naturel brut ou simplement prepares,2010,2830.795,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2010,0.0,Feuil1
Ouvrages en liége naturel :bouchons*,2010,67.627,Feuil1
Autres ouvrage en liége naturel,2010,10.371,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2010,683.994,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2010,105.392,Feuil1
Liege naturel brut ou simplement prepares,2011,,Feuil1
Autres liege naturel brut ou simplement prepares,2011,3577.431,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2011,0.0,Feuil1
Ouvrages en liége naturel :bouchons*,2011,54.343,Feuil1
Autres ouvrage en liége naturel,2011,16.971,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2011,836.257,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2011,105.742,Feuil1
Liege naturel brut ou simplement prepares,2012,,Feuil1
Autres liege naturel brut ou simplement prepares,2012,3644.645,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2012,0.0,Feuil1
Ouvrages en liége naturel :bouchons*,2012,30.464,Feuil1
Autres ouvrage en liége naturel,2012,37.195,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2012,1072.695,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2012,108.263,Feuil1
Liege naturel brut ou simplement prepares,2013,,Feuil1
Autres liege naturel brut ou simplement prepares,2013,2883.751,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2013,13.736,Feuil1
Ouvrages en liége naturel :bouchons*,2013,64.158,Feuil1
Autres ouvrage en liége naturel,2013,32.961,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2013,633.654,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2013,25.375,Feuil1
Liege naturel brut ou simplement prepares,2014,,Feuil1
Autres liege naturel brut ou simplement prepares,2014,2933.033,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2014,29.276,Feuil1
Ouvrages en liége naturel :bouchons*,2014,70.156,Feuil1
Autres ouvrage en liége naturel,2014,0.71,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2014,672.995,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2014,0.0,Feuil1
Liege naturel brut ou simplement prepares,2015,,Feuil1
Autres liege naturel brut ou simplement prepares,2015,2799.942,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2015,2.08,Feuil1
Ouvrages en liége naturel :bouchons*,2015,75.42,Feuil1
Autres ouvrage en liége naturel,2015,24.627,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2015,928.47,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2015,8.619,Feuil1
Liege naturel brut ou simplement prepares,2016,,Feuil1
Autres liege naturel brut ou simplement prepares,2016,2273.404,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2016,5.5,Feuil1
Ouvrages en liége naturel :bouchons*,2016,76.393,Feuil1
Autres ouvrage en liége naturel,2016,13.211,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2016,843.675,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2016,6.5,Feuil1
Liege naturel brut ou simplement prepares,2017,,Feuil1
Autres liege naturel brut ou simplement prepares,2017,1837.154,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2017,68.557,Feuil1
Ouvrages en liége naturel :bouchons*,2017,129.472,Feuil1
Autres ouvrage en liége naturel,2017,114.372,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2017,498.93,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2017,0.449,Feuil1
Liege naturel brut ou simplement prepares,2018,,Feuil1
Autres liege naturel brut ou simplement prepares,2018,2460.689,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2018,115.756,Feuil1
Ouvrages en liége naturel :bouchons*,2018,102.363,Feuil1
Autres ouvrage en liége naturel,2018,177.017,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2018,182.303,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2018,0.0,Feuil1
Liege naturel brut ou simplement prepares,2019,,Feuil1
Autres liege naturel brut ou simplement prepares,2019,3159.032,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2019,154.995,Feuil1
Ouvrages en liége naturel :bouchons*,2019,137.856,Feuil1
Autres ouvrage en liége naturel,2019,128.578,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2019,40.357,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2019,5.138,Feuil1
