crda,cellule_territoriale_de_vulgarisation,coordonnees_tel,feuille
Mahdia,هبيرة,73609001.0,Feuil1
Mahdia,ملّولش,73649562.0,Feuil1
Sfax,عقارب,74271466.0,Feuil1
Sfax,بئر علي,74277068.0,Feuil1
Sfax,جبنيانة,74880035.0,Feuil1
Sfax,الحنشة,74284318.0,Feuil1
Sfax,المحرص,74290052.0,Feuil1
Sfax,منزل شاكر,74285068.0,Feuil1
Sfax,الصخيرة,74295012.0,Feuil1
Sfax,صفاقس,74226979.0,Feuil1
Sfax,الغريبة,74283795.0,Feuil1
Sfax,العامرة,74899200.0,Feuil1
Sfax,قرقنة,74481096.0,Feuil1
Kairouan,القيروان الشماليّة,77300020.0,Feuil1
Kairouan,القيروان الجنوبيّة,77226161.0,Feuil1
Kairouan,بوحجلة,77266140.0,Feuil1
Kairouan,الشبيكة,77240351.0,Feuil1
Kairouan,السبيخة,77365032.0,Feuil1
Kairouan,حفّوز,77355025.0,Feuil1
Kairouan,الوسلاتيّة,77350022.0,Feuil1
Kairouan,العلاء,77256002.0,Feuil1
Kairouan,نصرالله,77360271.0,Feuil1
Kairouan,حاجب العيون,77370081.0,Feuil1
Kairouan,الشراردة,77268524.0,Feuil1
Kasserine,سبيبة,77488041.0,Feuil1
Kasserine,تالة,77481149.0,Feuil1
Kasserine,القصرين,77474909.0,Feuil1
Kasserine,فوسانة,77420517.0,Feuil1
Kasserine,فريانة,77441040.0,Feuil1
Kasserine,سبيطلة,77465003.0,Feuil1
Kasserine,جدليان,77425337.0,Feuil1
Kasserine,حيدرة,77486068.0,Feuil1
Kasserine,العيون,77450022.0,Feuil1
Kasserine,ماجل بلعباس,77445124.0,Feuil1
Kasserine,حاسي الفريد,77433014.0,Feuil1
Sidi-bouzid,سيدي بوزيد الغربيّة,76632433.0,Feuil1
Sidi-bouzid,سيدي بوزيد الشّرقيّة,76632822.0,Feuil1
Sidi-bouzid,جلمة,76657054.0,Feuil1
Sidi-bouzid,بئر لحفي,76677332.0,Feuil1
Sidi-bouzid,منزل بوزيّان,76672047.0,Feuil1
Sidi-bouzid,المكناسي,76645022.0,Feuil1
Sidi-bouzid,مزّونة,76668040.0,Feuil1
Sidi-bouzid,الرقاب,76640250.0,Feuil1
Sidi-bouzid,أولاد حفّوز,76678292.0,Feuil1
Sidi-bouzid,السبّالة,76674212.0,Feuil1
Sidi-bouzid,سيدي  بن عون,76660323.0,Feuil1
Sidi-bouzid,سوق الجديد,76682022.0,Feuil1
Gafsa,قفصة الجنوبية (القصبة),76227670.0,Feuil1
Gafsa,القطار (بلخير),76285203.0,Feuil1
Gafsa,عبدالصّادق (السند),76290061.0,Feuil1
Gafsa,الرحيبة,76227546.0,Feuil1
Gafsa,سيدي بوبكر,76228478.0,Feuil1
Gafsa,أم لعرايس (المعتمدية),76260385.0,Feuil1
Gafsa,سقدود (معتمدية الرديف -متلوي),76250540.0,Feuil1
Tozeur,نفطة,76430042.0,Feuil1
Tozeur,توزر,76452382.0,Feuil1
Tozeur,حزوة,76440046.0,Feuil1
Tozeur,واحة دقاش,76420509.0,Feuil1
Tozeur,تمغزة,76485250.0,Feuil1
Kebili,قبلّي الشماليّة,75490012.0,Feuil1
Kebili,قبلّي الغربيّة,75490102.0,Feuil1
Kebili,دوز,75470314.0,Feuil1
Kebili,الفوّار,75460344.0,Feuil1
Kebili,سوق الأحد,75480315.0,Feuil1
Gabes,قابس,75227034.0,Feuil1
Gabes,المطويّة,75370380.0,Feuil1
Gabes,مارث,75321190.0,Feuil1
Gabes,الحامّة,75331022.0,Feuil1
Gabes,مطماطة,75230512.0,Feuil1
Gabes,منزل الحبيب,75360003.0,Feuil1
Medenine,مدنين,75640112.0,Feuil1
Medenine,جرجيس,75694344.0,Feuil1
Medenine,سيدي مخلوف,75639052.0,Feuil1
Medenine,جربة حومة السوق,75650177.0,Feuil1
Medenine,جربة ميدون,75675675.0,Feuil1
Medenine,بن قردان,75710004.0,Feuil1
Medenine,بني خداش,75637030.0,Feuil1
Tataouine,تطاوين,75861565.0,Feuil1
Tataouine,بئر لحمر,75848092.0,Feuil1
Tataouine,رمادة,75867036.0,Feuil1
Tataouine,الصمار,75886529.0,Feuil1
Tataouine,غمراسن,75869087.0,Feuil1
Tataouine,ذهيبة,75864087.0,Feuil1
