n,annee_prog,gouvernorat,nom,delegation,secteur,xlamb,ylamb,xutm_corriges,yutm_corriges,s_b_v_ha,cap_m3,cap_m3_sed,cout_paye,avancement,objectifs,financemen,zone_2626,equip,lat,long,feuille
609,1994,SILIANA,"O,Hablene",Rouhia,Hmaima Sud,423549.0,259830.0,504940.9772,3943114.0072,230.0,51000,0.0,126000.0,100,Exploitation,CEE,Oui,Oui,35.63181524497299,9.054569481704595,feuille1
610,1994,SILIANA,"O,Dallel",Krib,Killaa,419400.0,339500.0,500160.9513,4022804.4539,440.0,70000,0.0,127800.0,100,Exploitation,CEE,Oui,Oui,36.35031325452444,9.001793782297922,feuille1
611,1994,SILIANA,"O,Jaraya",Bargou,Sidi Amara,466200.0,314950.0,546997.2158,3998745.3117,170.0,95000,0.0,254600.0,100,Exploitation,CEE,Oui,Oui,36.1322673215783,9.522323249151896,feuille1
612,1994,SILIANA,"O,Tirch",Bou Arada,Ain Kssil,467200.0,324600.0,547959.2232,4008477.3669,210.0,70000,0.0,158200.0,100,Exploitation,CEE,Oui,Oui,36.21995749406998,9.53360909965411,feuille1
613,1994,SILIANA,"O,Jetta",Siliana Sud,Kantra,459400.0,299400.0,540226.1749,3983073.2245,200.0,85000,0.0,143200.0,100,Recharge,CEE,Non,Non,35.991278933466404,9.446274069244067,feuille1
614,1994,SILIANA,"O,Faouar",Siliana Sud,Sidi Mansou,449700.0,303200.0,530859.1232,3986983.2479,210.0,105000,0.0,162700.0,100,Exploitation,CEE,Oui,Oui,36.0268723565941,9.342509231225463,feuille1
615,1994,SILIANA,"O,Sidi Abd",Gaafour,Lakhouet,439470.0,326300.0,521481.0727,4010293.3811,600.0,110000,0.0,201100.0,100,Exploitation,CEE,Non,Oui,36.23728085290287,9.23905859030471,feuille1
616,1994,SILIANA,"O,Daoued",Kessra,Hammam,448700.0,280200.0,530158.1163,3963604.1176,307.0,95000,40000.0,177500.0,100,Exploitation,CEE,Non,Oui,35.81611022703901,9.333841772512846,feuille1
617,1994,SILIANA,"O,Bou Jdou",Makthar,Beni Hazem,424400.0,285500.0,505146.9788,3969280.1509,100.0,36000,0.0,75000.0,100,Exploitation,Pn,Non,Oui,35.86773641499774,9.057012622295419,feuille1
618,1994,SILIANA,"O,Rouas",Makthar,Beni Hazem,456500.0,271750.0,536998.1527,3955482.072,105.0,80000,60000.0,128300.0,100,Exploitation,CEE,Non,Oui,35.74264737265918,9.409182055311321,feuille1
619,1995,SILIANA,"O,Hadra",Rouhia,Msahla,427800.0,279200.0,509308.0016,3962229.1118,260.0,116000,70000.0,176400.0,100,Exploitation,Pn,Non,Oui,35.80413228773917,9.103021626278833,feuille1
620,1995,SILIANA,"O,Ain abdr",Krib,Krib,432300.0,338200.0,513137.0258,4021452.4458,330.0,74000,40000.0,186000.0,100,Recharge,CEE,Oui,Non,36.3380346888925,9.146387494529783,feuille1
621,1995,SILIANA,"Aff,O,Lam",Bargou,Knaziz,485500.0,315200.0,566573.3265,3999122.3092,155.0,45000,0.0,161000.0,100,Exploitation,CEE,Non,Oui,36.134519685942166,9.739908552454187,feuille1
622,1995,SILIANA,"O,Khalsa",Siliana Nor,Khalsa,435200.0,294100.0,515934.039,3978306.2007,462.0,333000,250000.0,448000.0,100,Exploitation,CEE,Non,Oui,35.9489995124347,9.176680401937569,feuille1
623,1995,SILIANA,"O,Essid",Gaafour,Lakhouet,443300.0,332500.0,524414.09,4016145.4144,330.0,54000,20000.0,125000.0,100,Exploitation,CEE,Non,Non,36.28996986536086,9.271882042692857,feuille1
624,1995,SILIANA,"O,krouma So",Kessra,Bou Abdalla,453500.0,265600.0,535936.1458,3948529.0339,185.0,95000,80000.0,217000.0,100,Exploitation,Pn,Oui,Oui,35.67999703464035,9.397125914099961,feuille1
625,1995,SILIANA,"O,Sarg",Makthar,Beni Hazem,428900.0,280200.0,511491.0137,3963851.1206,50.0,75000,60000.0,129200.0,100,Exploitation,CEE,Non,Non,35.818733520804145,9.127206633322805,feuille1
626,1995,SILIANA,Marjet Labo,Makthar,Beni Hazem,423600.0,286800.0,504862.9773,3970011.1549,93.0,50000,30000.0,184700.0,100,Exploitation,CEE,Non,Oui,35.874328696953555,9.05387122555384,feuille1
627,1996,SILIANA,"O,Jebbes",Bargou,Sidi Said,477900.0,317500.0,558988.2841,4001133.3226,283.0,129000,100000.0,262100.0,100,Exploitation,CEE,Non,Oui,36.15314032509038,9.655763115777665,feuille1
628,1996,SILIANA,"O,Hendi",Bou Arada,Lahouaz,468500.0,342800.0,549359.2349,4027046.4734,315.0,110000,80000.0,178300.0,100,Exploitation,CEE,Non,Oui,36.38728881544556,9.55036040457664,feuille1
629,1996,SILIANA,"O,Bou Gharn",Bou Arada,Lahouaz,474100.0,345200.0,555017.268,4028911.483,425.0,74000,40000.0,188100.0,100,Exploitation,CEE,Non,Oui,36.40379423301043,9.613577079654142,feuille1
630,1996,SILIANA,"O,Skhoun",Siliana Nor,Arab,460200.0,312500.0,526388.0985,3990581.2687,500.0,146000,100000.0,287500.0,100,Exploitation,CEE,Non,Oui,36.05944271521807,9.293005569635952,feuille1
631,1996,SILIANA,Argoub Tamr,Siliana Nor,Arab,455100.0,314400.0,536151.1544,3998010.3094,162.0,42000,20000.0,112000.0,100,Exploitation,CEE,Non,Oui,36.12610587117731,9.40175029338197,feuille1
632,1996,SILIANA,"O, Maghzel",Siliana Nor,Ben Zekri,460300.0,313500.0,541307.1834,3997421.3052,82.0,64000,30000.0,174000.0,100,Exploitation,CEE,Oui,Oui,36.12058985277303,9.459017138382386,feuille1
633,1996,SILIANA,"O,Ouled Bou",Gaafour,Lakhouet,438000.0,303386.0,522789.0779,3985810.2422,482.0,54000,30000.0,154400.0,100,Exploitation,CEE,Non,Oui,36.01651911409265,9.252905924540899,feuille1
634,1997,SILIANA,"O, Rekaiek",Kessra,Louza,441200.0,271200.0,523080.0765,3955106.0716,225.0,106000,90000.0,235300.0,100,Exploitation,Pn,Non,Oui,35.739682304048216,9.255245678414996,feuille1
635,1997,SILIANA,"O, Lamboub",Makthar,Bez,434200.0,285700.0,515198.0344,3969115.1495,245.0,1222000,100000.0,212800.0,100,Exploitation,Pn,Non,Oui,35.866144323285575,9.168343828667108,feuille1
636,1998,SILIANA,"O, Bou Tiss",Bargou,Drija,479300.0,312500.0,560137.2894,3996296.2949,155.0,47000,30000.0,112000.0,100,Exploitation,Pn,Non,Oui,36.10946326088052,9.668165903374682,feuille1
637,1998,SILIANA,"O, Kharroub",Bargou,Ain Zakkar,467400.0,304100.0,550203.2327,3992922.2781,375.0,116000,100000.0,251400.0,100,Exploitation,Pn,Non,Oui,36.079609928141195,9.557582068128092,feuille1
638,1998,SILIANA,"O,Marjet Ia",Makthar,Beni Hazem,424500.0,288500.0,505716.9821,3972228.1673,132.0,75000,60000.0,188300.0,100,Exploitation,Pn,Non,Oui,35.894312915883866,9.06334765516664,feuille1
639,1998,SILIANA,"O,Bachouaa",El Krib,Borj Masaou,413200.0,295300.0,494553.9202,3975787.1871,160.0,60000,40000.0,80000.0,100,Exploitation,PDZMNO,Non,Non,35.92640284805613,8.93962973515531,feuille1
640,1999,SILIANA,"O,Bouzwiten",Makthar,Saddine,424500.0,278800.0,505970.9833,3961525.108,332.0,110000,80000.0,285300.0,100,Exploitation,Pn,Non,Non,35.79781079779636,9.066082040566004,feuille1
641,1999,SILIANA,"O, Semman",Bargou,Ain Zakkar,466400.0,304800.0,548091.2202,3989834.2611,410.0,95000,40000.0,179600.0,100,Exploitation,Pn,Non,Oui,36.05187688927278,9.533937783534746,feuille1
642,1999,SILIANA,"O, Baaten",Rouhia,Hbabsa Nord,440400.0,251900.0,521997.0688,3935429.9646,530.0,95000,100000.0,264600.0,100,Exploitation,Pn,Non,Oui,35.56229971172586,9.242731349070153,feuille1
643,2000,SILIANA,Sidi El Beh,Siliana Nor,Arab,457500.0,311900.0,538767.1689,3995760.2962,170.0,79000,140000.0,182500.0,100,Exploitation,Pn,Non,Oui,36.105719818369636,9.430710739917021,feuille1
644,2000,SILIANA,Sidi Toumi,Bou Arada,Tarefechna,447400.0,335800.0,531121.1284,4016169.4137,330.0,154000,20000.0,264300.0,100,Exploitation,Pn,Non,Oui,36.28999307450521,9.346573331694328,feuille1
645,2001,SILIANA,"O,Jannet",Makthar,Bez,434600.0,286850.0,515726.0374,3970424.1568,360.0,119000,80000.0,332900.0,100,Exploitation,DRI/GRN,Non,Oui,35.87793812011796,9.174218162038155,feuille1
646,2001,SILIANA,"O, Nachha",Kessra,Bou Abdalla,435750.0,287000.0,521626.0703,3973983.1761,260.0,30000,50000.0,211900.0,100,Exploitation,DRI/GRN,Non,Oui,35.90991374923817,9.239676902674065,feuille1
647,2001,SILIANA,"O, Ain Nagu",Bargou,Sidi Said,483840.0,321150.0,564712.3175,4005033.3434,610.0,160000,70000.0,294100.0,100,Exploitation,DRI/GRN,Non,Oui,36.18793356932611,9.71971336337295,feuille1
648,2001,SILIANA,"Aff,O,Kerba",Bou Arada,Ksar Boukhr,474700.0,326950.0,555487.2665,4010743.3782,165.0,72000,60000.0,238200.0,100,Exploitation,DRI/GRN,Non,Oui,36.239982954656355,9.61752494969253,feuille1
649,2002,SILIANA,"O,Elmorra",El Krib,Borj Masaou,424200.0,337700.0,504985.9791,4020939.4431,160.0,50000,120000.0,30000.0,100,Exploitation,PDZMNO,Non,Non,36.33348648496404,9.055556164141729,feuille1
650,2002,SILIANA,"O,Slama",Rouhia,Smirat Nord,413200.0,295300.0,495801.9271,3979649.2087,260.0,98000,40000.0,245300.0,100,Exploitation,DRI/GRN,Non,Oui,35.96122909387548,8.953443575317488,feuille1
651,2002,SILIANA,"O,Ghawwas",Seliana Nor,El Jawi,439800.0,310400.0,526938.1018,3992030.2768,150.0,112000,100000.0,236300.0,100,Exploitation,Pn,Non,Non,36.07249148665262,9.299162025046467,feuille1
652,2002,SILIANA,Laboua2,Makthar,Bni Hazem,423400.0,287000.0,504782.9769,3970355.1569,70.0,83000,70000.0,240500.0,100,Exploitation,Pn,Non,Non,35.87743065688582,9.052987060535967,feuille1
653,2002,SILIANA,"O,Salah",Seliana Sud,Ghyatha,449700.0,303500.0,530739.1225,3987117.2486,82.0,50000,40000.0,178750.0,100,Exploitation,FAO,Non,oui,36.02808426899288,9.341182558940353,feuille1
654,2002,SILIANA,"O,El Khalsa",Seliana Sud,El Khalsa,435200.0,295200.0,516711.0434,3978605.2023,150.0,65000,60000.0,160200.0,100,Exploitation,Pn,Non,oui,35.95168231114137,9.185302266428053,feuille1
655,2002,SILIANA,"O,Tejra",Gaafour,Msrata,458900.0,329700.0,538117.1689,4019003.429,80.0,80000,70000.0,199000.0,100,Exploitation,Pn,Non,Non,36.315291213488024,9.424619863626512,feuille1
656,2003,SILIANA,"O,Essania",Bargou,Edrija,487400.0,314500.0,562547.305,4004053.3383,165.0,50000,40000.0,176655.0,100,Exploitation,Pn,Non,Non,36.17924116393727,9.695558173345244,feuille1
657,2003,SILIANA,"O,Ain Essou",Bou Arada,Ai Ksil,463700.0,325800.0,544559.2041,4009467.3732,166.0,60000,40000.0,129380.0,100,Exploitation,DRI/GRN,Non,Non,36.22904537106265,9.495837094240748,feuille1
658,2003,SILIANA,"Aff,Jebnoun",Kesra,Hammam Kesr,444700.0,284300.0,526144.0947,3967243.1382,150.0,111000,100000.0,199200.0,100,Exploitation,Pn,Non,Non,35.849035118063235,9.289527407917435,feuille1
659,2005,SILIANA,Ain Dhoukar,Kesra,Bou Abdalla,455900.0,288300.0,534983.1439,3970620.1558,150.0,62000,50000.0,145800.0,100,Exploitation,Pn,Non,Non,35.87920639841716,9.387560095100406,feuille1
660,2005,SILIANA,"O,Jeljel",Errouhia,Bou Ajila,432000.0,258000.0,514455.0286,3941917.0002,300.0,102000,90000.0,229000.0,100,Exploitation,Pn,Non,Non,35.62092904411131,9.159623527298528,feuille1
661,2005,SILIANA,Sidi Arfa,Bargou,Ferna,468700.0,317800.0,549694.2316,4001507.3268,330.0,125000,110000.0,170000.0,100,Exploitation,Pn,Non,Non,36.157033278462045,9.552471027665314,feuille1
662,2006,SILIANA,Ain Zrig,Gaafour,Ain Zrig,460000.0,318300.0,540915.1821,4002089.3318,378.0,103000,90000.0,187000.0,100,Exploitation,DRI/GRN,Non,Non,36.16269080502702,9.454904130358734,feuille1
663,2006,SILIANA,El Mrir,El Krib,El Alia,457400.0,335300.0,521078.0706,4011448.3877,168.0,120000,90000.0,221000.0,100,Exploitation,DRI/GRN,Non,Non,36.24770269511312,9.234604810154433,feuille1
664,2006,SILIANA,Ain Essoug,Bou Arada,Henchir Rou,470800.0,324000.0,551648.244,4007572.361,355.0,116000,110000.0,232000.0,100,Exploitation,DRI/GRN,Non,Non,36.211608656388734,9.57459282926049,feuille1
665,2006,SILIANA,El Aliliga,Bargou,Edrija,479400.0,314200.0,556493.2699,4000923.322,305.0,101000,95000.0,239000.0,100,Exploitation,DRI/GRN,Non,Non,36.1513958020864,9.62801288644499,feuille1
666,2006,SILIANA,El Mechmech,El Krib,El Alia,427400.0,336400.0,508379.9984,4019645.4355,195.0,93000,90000.0,193000.0,100,Exploitation,DRI/GRN,Non,Non,36.321796878171426,9.093359996724793,feuille1
667,2006,SILIANA,Erroumi,Bargou,Sidi Said,479100.0,321100.0,559423.2875,4005053.3448,190.0,125000,120000.0,309600.0,100,Exploitation,DRI/GRN,Non,Non,36.18845308267624,9.660895355578628,feuille1
668,2006,SILIANA,Sebaa,Kesra,"Dj,Mansour",446200.0,286300.0,527183.1007,3969683.1516,472.0,145000,135000.0,377300.0,100,Exploitation,DRI/GRN,Non,Non,35.871006078101736,9.301116717378179,feuille1
669,2006,SILIANA,Laaguab,Seliana Nor,Laarab,453900.0,314400.0,535661.1518,3998936.3147,731.0,70000,60000.0,232500.0,100,Exploitation,DRI/GRN,Non,Non,36.13447243993423,9.396346951581647,feuille1
670,2006,SILIANA,Bou Rfeyess,Seliana Sud,Seliana Sud,451300.0,303800.0,532402.1319,3987243.2491,228.0,80000,70000.0,237000.0,100,Exploitation,DRI/GRN,Non,Non,36.02916631990232,9.359645634555449,feuille1
671,2008,SILIANA,"O,Rass El M",Makthar,El Karaa,443300.0,285900.0,524651.0866,3969394.1503,225.0,80000,80000.0,241000.0,100,Exploitation,Pn,Non,Non,35.86846745930244,9.273060071582885,feuille1
672,2008,SILIANA,Ain Boulila,Kesra,Hammem Kesr,445000.0,284600.0,526610.0974,3968152.1432,115.0,90000,90000.0,252000.0,100,Exploitation,Pn,Non,Non,35.85721820371051,9.294718326781913,feuille1
673,2009,SILIANA,"O,Ethawya",Seliana Sud,Esfina,442900.0,290700.0,524094.084,3974539.179,240.0,100000,100000.0,200000.0,100,Exploitation,Pn,Non,Non,35.91486895001728,9.267045939878589,feuille1
674,2010,SILIANA,"O,Echraka",Makthar,Eswalem,436500.0,279600.0,517922.0491,3964630.1246,150.0,75000,75000.0,267000.0,100,Exploitation,FCGBV,Non,Non,35.82566072432271,9.198415982099613,feuille1
675,2010,SILIANA,"O,El Hallou",Seliana Sud,Sidi Hmada,462200.0,303800.0,547622.2172,3987717.2493,,90000,90000.0,275000.0,100,Exploitation,Pn,Non,Non,36.03281405604282,9.528603240456652,feuille1
676,2011,SILIANA,"Aff,O,Ermil",Laarousa,Ermil,466700.0,335900.0,547274.221,4016961.4156,,50000,50000.0,105100.0,100,Recharge,Pn,Non,Non,36.29647640584134,9.526500856205974,feuille1
677,2011,SILIANA,Jyaak1,Kesra,Kesra,454200.0,277100.0,535400.1449,3961398.1047,100.0,40000,40000.0,105000.0,100,Protection,Pn,Non,Non,35.796045604481755,9.391770726114645,feuille1
678,2011,SILIANA,El Bondok,Kesra,Kesra,453000.0,275900.0,535092.1429,3959862.0963,100.0,60000,60000.0,120000.0,100,Protection,Pn,Non,Non,35.78220792812543,9.388294791536735,feuille1
679,2012,SILIANA,"Aff,O,Elmal",Makther,Echwarniya,431090.34,292927.0,512183.0181,3976154.1888,105.0,70000,,333500.0,100,Exploitation,FCGBV,Non,Non,35.929650967713805,9.135055299849684,feuille1
680,2012,SILIANA,"Aff,O,Dhawed2",Kesra,Hammem Kesr,448965.52,279705.25,530269.1169,3963347.1162,450.0,268000,,469200.0,100,Exploitation,FCGBV,Non,Non,35.81378966625728,9.335060763438394,feuille1
681,2012,SILIANA,Jaiag 2,Kesra,Kesra,453235.63,275021.62,533268.1325,3957015.0809,311.0,65000,,343700.0,100,Exploitation,FCGBV,Non,Non,35.756602413269576,9.367994221160778,feuille1
