n,annee_prog,gouvernorat,nom,delegation,secteur,xlamb,ylamb,xutm_corriges,yutm_corriges,s_b_v_ha,cap_m3,cap_m3_sed,cout_paye,avancement,objectifs,financemen,zone_2626,equip,lat,long,feuille
804,2003,ZAGHOUAN,"O,Lgraguib",Zaghouan,Lgraguib,531500.0,349000.0,612131.5999,4033544.4903,388.0,172000,150000.0,265000.0,100,Exploitation,DRI/GRN,Non,Oui,36.44058193282228,10.251109320862021,feuille1
805,2003,ZAGHOUAN,"O,Reziane",Zaghouan,Sidi Zid,538400.0,348800.0,619118.6402,4033176.4848,195.0,127000,80000.0,300000.0,100,Exploitation,DRI/GRN,Non,Oui,36.43642278131183,10.328992350686873,feuille1
806,2003,ZAGHOUAN,"O,Ain Hmid",Fahs,Tlil Salhi,483750.0,331800.0,564594.32,4016644.4098,168.0,83000,83000.0,211000.0,100,Exploitation,DRI/GRN,Non,Oui,36.292613707923714,9.719359580569153,feuille1
807,2003,ZAGHOUAN,"O,Ezaaroura",Enathour,Sawar,507550.0,318500.0,588600.4523,4002701.3225,180.0,94000,70000.0,184442.0,100,Exploitation,DRI/GRN,Non,Oui,36.16501994573782,9.985097138613579,feuille1
808,2003,ZAGHOUAN,Ain Ermach,Fahs,Tlil Salhi,477900.0,328100.0,558794.2857,4011889.384,180.0,130000,50000.0,210750.0,100,Exploitation,FAO,Non,Oui,36.25011855853479,9.654413219195884,feuille1
809,2004,ZAGHOUAN,"O,Semala",Fahs,Barouta,509900.0,332200.0,590821.4699,4016302.3994,430.0,130000,85000.0,159470.0,100,Exploitation,Pn,Non,Oui,36.28741703287304,10.011365380101445,feuille1
810,2004,ZAGHOUAN,"O,Enamous",Fahs,Amayem,493000.0,331500.0,573892.3728,4015381.3999,212.0,130000,90000.0,175570.0,100,Exploitation,Pn,Non,Oui,36.28056043612135,9.822779507310278,feuille1
811,2005,ZAGHOUAN,"O,Ain Essid",Fahs,Jabbes,500720.0,347860.0,581403.4213,4031916.4931,164.0,100000,80000.0,226449.0,100,Exploitation,DRI/GRN,Non,Oui,36.42900769297341,9.9081346085164,feuille1
812,2005,ZAGHOUAN,Zerazah,Zaghouan,Bir Hlima,511490.0,334480.0,592284.4793,4018813.4134,110.0,150000,130000.0,278675.0,100,Exploitation,DRI/GRN,Non,Oui,36.30991251672539,10.027951722753421,feuille1
813,2006,ZAGHOUAN,"O,Saadine2",Enathour,Ain Zras,502420.0,319990.0,583338.4229,4004055.3321,,120000,100000.0,170000.0,100,Exploitation,Pn,Non,Oui,36.17769269054406,9.926742489968754,feuille1
814,2006,ZAGHOUAN,"O,Jlass",Ezriba,Ljouf nord,523580.0,333600.0,603727.5442,4017138.399,140.0,200000,90000.0,235000.0,100,Exploitation,DRI/GRN,Non,Oui,36.29365065383421,10.155170640969548,feuille1
815,2006,ZAGHOUAN,"O,Hallouf",Fahs,Sidi Aouide,483700.0,324820.0,564609.318,4008734.3645,436.0,200000,150000.0,302000.0,100,Exploitation,DRI/GRN,Non,Oui,36.22130487593953,9.71887295432672,feuille1
816,2006,ZAGHOUAN,"O,Sfisifa",Fahs,Om Lbweb,492820.0,319300.0,566257.3269,4007050.3544,287.0,160000,130000.0,260000.0,100,Exploitation,DRI/GRN,Non,Oui,36.20601218112383,9.737065708014486,feuille1
817,2006,ZAGHOUAN,"O,Jedhom",Zaghouan,Bir Hlima,509720.0,341450.0,590432.4712,4025586.4531,420.0,200000,145000.0,214000.0,100,Exploitation,DRI/GRN,Non,Oui,36.37114050838041,10.008111800387683,feuille1
818,2006,ZAGHOUAN,"O,Slouguia",Fahs,Grifet,494720.0,345720.0,575508.3865,4029954.4835,840.0,380000,290000.0,265000.0,100,Exploitation,DRI/GRN,Non,Oui,36.411803572077154,9.842185393630112,feuille1
819,2007,ZAGHOUAN,"O, Lahmer",Fahs,Jabbes,503500.0,305100.0,581411.4065,3987897.2412,180.0,120000,100000.0,175206.0,100,Exploitation,Pn,Non,Non,36.03219695890192,9.903646195590452,feuille1
820,2007,ZAGHOUAN,"O,Laasal",Bir Mcherga,Lmnaguaa,506300.0,360100.0,586432.4547,4044167.5628,200.0,150000,100000.0,187596.0,100,Exploitation,Pn,Non,Non,36.538998109561476,9.965600919617282,feuille1
821,2008,ZAGHOUAN,Ain Essid2,Fahs,Grifet,501246.41,346685.46,581917.4239,4030612.4853,200.0,100000,70000.0,130000.0,100,Exploitation,Pn,Non,Non,36.41720941320878,9.9137304104255,feuille1
822,2008,ZAGHOUAN,Ain Esaboun,Zaghouan,Ain Esaboun,540500.0,343700.0,620783.6479,4029398.462,150.0,80000,70000.0,170000.0,100,Exploitation,Pn,Non,Non,36.40216395534192,10.34697577176801,feuille1
823,2010,ZAGHOUAN,"O,Lgtar2",Zaghouan,Esbayhia,353626.61,607933.0,607926.5774,4037843.5173,220.0,120000,110000.0,257860.0,100,Exploitation,Pn,Non,Non,36.47981259026047,10.204800644874172,feuille1
824,2010,ZAGHOUAN,"O,Ben Chib",Ezriba,Jradou,327110.72,617024.0,616480.6145,4011374.3601,550.0,100000,70000.0,160000.0,100,Exploitation,Pn,Non,Non,36.240241737118644,10.296306271716155,feuille1
825,2010,ZAGHOUAN,"O,Baghbagh",Fahs,Bir Magra,489800.0,330800.0,567357.3363,4018216.4181,250.0,130000,115000.0,230000.0,100,Exploitation,FCGBV,Non,Non,36.30659584552338,9.75026350685169,feuille1
826,2011,ZAGHOUAN,"O,Besghir",Fahs,Sidi Amer,505501.83,324598.91,585978.4397,4009055.3596,347.0,100000,100000.0,238120.0,100,Exploitation,Pn,Non,Non,36.22253401358354,9.956644738121952,feuille1
827,2011,ZAGHOUAN,"O,Lhejla",Ezriba,"O,Lkenz",534530.39,333401.32,615360.611,4017558.3962,120.0,120000,120000.0,172900.0,100,Exploitation,Pn,Non,Non,36.29611450910397,10.284757504419343,feuille1
828,2012,ZAGHOUAN,"O,Etwila",Fahs,Bir Magra,490932.26,335196.31,569509.3489,4019167.4229,104.0,132000,132000.0,259900.0,100,Exploitation,FCGBV,Non,Non,36.31501599613983,9.774316649583858,feuille1
829,2012,ZAGHOUAN,"O,Bouchib",Mogren,Zaghouan,518803.67,345225.54,599443.5246,4029429.4718,111.0,70000,70000.0,189293.0,100,Exploitation,Pn,Non,Non,36.40489039285082,10.109039826620943,feuille1
830,2012,ZAGHOUAN,Kharbin,Fahs,Om Lbweb,494586.15,317834.21,573164.365,4003340.3312,,78000,78000.0,248000.0,100,Exploitation,FCGBV,Non,Non,36.17206942831824,9.81354895452286,feuille1
831,2012,ZAGHOUAN,"O,Laabaya",Fahs,Sidi Amer,502286.76,327278.74,582445.4197,4009393.3629,116.0,120000,,251750.0,100,Exploitation,Pn,Non,Non,36.225888725955414,9.917374574381256,feuille1
832,2014,ZAGHOUAN,"O,Seg Ellil",Fahs,Edrouaa,,,568424.0,4007536.0,253.0,80000,,242839.0,100,Exploitation,FCGBV,Non,Non,36.21023933869056,9.761208922028992,feuille1
833,2015,ZAGHOUAN,"O, Dbidiba",Fahs,Edrouaa,,,563826.0,4006347.0,350.0,200000,,313000.0,100,Exploitation,FCGBV,Non,Non,36.199834985623326,9.709963562979365,feuille1
834,1990,LE KEF,"O,Essid 1",Sakia,Jradou,371500.0,332500.0,451442.673,4014967.404,282.0,95000,70000.0,150000.0,100,Exploitation,Pn,Non,Non,36.27843639797581,8.459333568821112,feuille1
835,1990,LE KEF,Chtatla 1,Nebeur,Chtatla,411500.0,338700.0,459655.7189,4020966.4399,130.0,75000,0.0,60000.0,100,Protection,Pn,Non,Non,36.33289740619055,8.550469462246811,feuille1
836,1990,LE KEF,Chtatla 2,Nebeur,Chtatla,411800.0,340100.0,460395.7233,4020206.4357,80.0,30000,0.0,40000.0,100,Protection,Pn,Non,Non,36.326076559611195,8.558753271210556,feuille1
837,1991,LE KEF,"O,Biar",Kef Est,Eddir,398150.0,318500.0,478947.8312,4002348.3358,187.0,100000,50000.0,210000.0,100,Exploitation,Pn,Non,Non,36.165661223515215,8.76592790539063,feuille1
838,1991,LE KEF,Ain laamadi,Kef Est,Eddir,399700.0,319400.0,480520.8401,4002775.3384,325.0,200000,20000.0,270000.0,100,Exploitation,Pn,Non,Oui,36.16954383225102,8.783406961896963,feuille1
839,1992,LE KEF,"O,Sidi Romd",Kef Est,Zaafrane,401250.0,320250.0,481942.8482,4003368.3418,100.0,60000,40000.0,82900.0,100,Exploitation,CEE,Non,Non,36.174917689396715,8.799204851478951,feuille1
840,1992,LE KEF,"O,Ain Aligu",Kef Est,Zaafrane,407550.0,317250.0,488499.8854,4000476.3259,195.0,100000,60000.0,147700.0,100,Recharge,CEE,Non,Non,36.148944289613176,8.872161097254063,feuille1
841,1992,LE KEF,"O,Ressil",Kef Est,Zaafrane,394900.0,311400.0,475853.8145,3994448.2907,98.0,50000,30000.0,106100.0,100,Recharge,CEE,Non,Non,36.09436499766325,8.731769334821271,feuille1
842,1992,LE KEF,"O,Kef Barda",Tejerouine,Tejerouine,381300.0,291300.0,463182.7462,3974692.1782,182.0,60000,0.0,123500.0,100,Exploitation,CEE,Non,Non,35.915851945495724,8.5919328192585,feuille1
843,1992,LE KEF,"O,Enfidha z",Tejerouine,Tejerouine,379800.0,297200.0,461070.7337,3979628.2055,210.0,80000,60.0,112000.0,100,Exploitation,CEE,Non,Oui,35.96027225164135,8.568282789954836,feuille1
844,1992,LE KEF,"O,Enfidha z",Tejerouine,Tejerouine,377500.0,295200.0,458742.721,3978168.1969,155.0,50000,0.0,90000.0,100,Exploitation,CEE,Oui,Non,35.94701356760507,8.54254224540971,feuille1
845,1992,LE KEF,"O,Youssef",Nebeur,Ghozlane,407200.0,341000.0,487905.8809,4022943.4544,405.0,250000,0.0,210000.0,100,Exploitation,CEE,Non,Non,36.35149039547589,8.865210548923349,feuille1
846,1993,LE KEF,"O,Margueb L",Jerissa,Graaia,388000.0,279000.0,468858.7794,3961647.1067,160.0,50000,30.0,108000.0,100,Recharge,CEE,Non,Non,35.79843496332533,8.655351955782344,feuille1
847,1993,LE KEF,"O,Mouallem",Dehmani,Sidi Barake,395300.0,285500.0,476450.8204,3968781.147,105.0,65000,40.0,114000.0,100,Exploitation,CEE,Non,Oui,35.86296771160385,8.739163746661397,feuille1
848,1993,LE KEF,Ain Elfedj,Ksour,Banou,410050.0,284200.0,491036.901,3966946.1378,155.0,65000,40.0,124000.0,100,Exploitation,CEE,Non,Non,35.8466651168579,8.9007428367293,feuille1
849,1993,LE KEF,Sidi Ali Bo,Ksour,Banou,410400.0,295100.0,491614.9041,3968295.1453,150.0,60000,40.0,121000.0,100,Recharge,CEE,Non,Non,35.85883309264308,8.907129440227168,feuille1
850,1993,LE KEF,"O,Bakhria",Ksour,Zitouna,412300.0,285700.0,493546.9148,3968844.1485,267.0,70000,0.0,112000.0,100,Exploitation,CEE,Non,Non,35.863797619865004,8.928523293297841,feuille1
851,1993,LE KEF,Sidi Abderr,Tejerouine,Houdh,384400.0,288600.0,465591.76,3971640.1616,100.0,50000,0.0,112000.0,100,Recharge,CEE,Non,Non,35.888423067888496,8.618764768220544,feuille1
852,1993,LE KEF,"O,Sedraya",Kaallat Sna,Safsaf,364400.0,266000.0,445914.6563,3948399.0298,372.0,90000,0.0,167000.0,100,Exploitation,CEE,Non,Non,35.67799635498955,8.402326397552798,feuille1
853,1994,LE KEF,Khzama,Dehmani,Mdeina,399800.0,289300.0,481088.8457,3972403.1676,281.0,125000,0.0,162000.0,100,Recharge,CEE,Non,Non,35.89572463127868,8.790449266865913,feuille1
854,1994,LE KEF,Melah,Dehmani,Mdeina,402800.0,288700.0,484073.8623,3971702.1638,237.0,90000,0.0,153000.0,100,Exploitation,CEE,Non,Non,35.88945749342625,8.823539512609056,feuille1
855,1994,LE KEF,Feriel,Dehmani,Mdeina,402000.0,290400.0,483267.8577,3972816.17,183.0,80000,0.0,104000.0,100,Exploitation,CEE,Non,Non,35.89948798311551,8.81458566056651,feuille1
856,1994,LE KEF,Sidi Dhifal,Dehmani,Mdeina,398750.0,277750.0,479806.8397,3960165.0997,155.0,95000,60000.0,183000.0,100,Exploitation,CEE,Oui,Non,35.7853591737017,8.776553367205699,feuille1
857,1994,LE KEF,Hammaja,Kalaa Khasb,Gdah,371200.0,268600.0,451107.6838,3952076.0511,240.0,70000,35000.0,187000.0,100,Exploitation,CEE,Non,Oui,35.71141956658641,8.459486227785032,feuille1
858,1994,LE KEF,Achour,Kef Ouest,Kef Ouest,378300.0,312800.0,453140.6878,3988542.2541,487.0,110000,0.0,145000.0,100,Exploitation,CEE,Non,Non,36.04028893003853,8.479815724113509,feuille1
859,1994,LE KEF,Ain Ouled M,Kaallat Sna,Safsaf,363300.0,265000.0,444789.6503,3947865.0267,335.0,90000,35000.0,151000.0,100,Exploitation,CEE,Non,Non,35.67311947337639,8.389931712357942,feuille1
860,1995,LE KEF,Aïn Smara,Sers,Sers Nord,423000.0,311700.0,503943.9726,3994534.2924,120.0,60000,30000.0,142000.0,100,Exploitation,CEE,Non,Oui,36.09543256342316,9.043812711339255,feuille1
861,1995,LE KEF,Aïn Bidha,Sers,Sidi Nasser,432000.0,304200.0,515077.0348,3987657.2532,332.0,110000,75000.0,200000.0,100,Exploitation,CEE,Non,Non,36.033321455792695,9.167355751854148,feuille1
862,1995,LE KEF,Sidi Belazr,Sers,Sers Nord,422300.0,310300.0,503383.9695,3994091.2899,160.0,80000,40000.0,147000.0,100,Recharge,CEE,Non,Non,36.09144065385741,9.037589861185795,feuille1
863,1995,LE KEF,"O,Aïn Mihou",Nebeur,Sidi Khiar,403800.0,336500.0,484809.8634,4019370.4337,110.0,70000,0.0,176500.0,100,Exploitation,CEE,Non,Non,36.31923428655204,8.830775116763036,feuille1
864,1995,LE KEF,"O,Bezouich",Nebeur,Sidi Khiar,398500.0,342700.0,479421.8319,4025517.4687,180.0,90000,40000.0,120200.0,100,Exploitation,CEE,Non,Non,36.374551903562654,8.770587915770495,feuille1
865,1995,LE KEF,"O,Dardouria",Nebeur,Ain Henchir,404750.0,342000.0,485681.8681,4024043.4606,105.0,60000,35000.0,181000.0,100,Recharge,CEE,Non,Non,36.361376830268064,8.840403671724207,feuille1
866,1996,LE KEF,Fidh Lahig,Dehmani,Sidi Barake,400700.0,289800.0,482135.8514,3973085.1714,150.0,80000,45000.0,165500.0,100,Exploitation,CEE,Non,Oui,35.90189328862989,8.802035554272047,feuille1
867,1996,LE KEF,Ain Morra,Dehmani,Abida,395900.0,297200.0,478253.83,3972284.1667,180.0,88000,50000.0,123500.0,100,Exploitation,CEE,Non,Non,35.89459279708482,8.759038506874436,feuille1
868,1996,LE KEF,Ain Elgatt,Dehmani,Sidi Barake,398400.0,283800.0,479641.8382,3966934.1371,180.0,71000,40000.0,113500.0,100,Recharge,CEE,Oui,Non,35.84638643272435,8.774555095635026,feuille1
869,1996,LE KEF,Kef Hamam,Kef Est,Eddir,403400.0,326800.0,484346.8614,4009994.3798,110.0,65000,50000.0,184600.0,100,Exploitation,CEE,Non,Oui,36.23469720416335,8.825804990431125,feuille1
870,1996,LE KEF,Ain Bohra,Nebeur,Bohra,408300.0,327500.0,489212.889,4010749.3844,140.0,80000,50000.0,127700.0,100,Exploitation,CEE,Non,Oui,36.2415705817611,8.87994574707366,feuille1
871,1996,LE KEF,Ghar Ettin,Nebeur,Ain Henchir,405800.0,342300.0,486568.8731,4025365.4683,140.0,75000,40000.0,112400.0,100,Exploitation,CEE,Non,Non,36.37330800118749,8.850267762030438,feuille1
872,1996,LE KEF,Karbet Amor,Nebeur,Malala,387000.0,343000.0,466073.755,4025823.469,100.0,80000,50000.0,167500.0,100,Exploitation,CEE,Non,Non,36.3769321214813,8.621768222709017,feuille1
873,1996,LE KEF,"O,Tabiya",Nebeur,Ladhiab,393900.0,341400.0,474293.8026,4024633.4631,115.0,84000,40000.0,123500.0,100,Recharge,CEE,Non,Non,36.36645889360925,8.713448792393534,feuille1
874,1996,LE KEF,Bou Affen,Nebeur,Malala,387300.0,343600.0,468540.7693,4025517.4676,185.0,135000,0.0,146000.0,100,Exploitation,CEE,Oui,Non,36.374257368083555,8.649283999693834,feuille1
875,1997,LE KEF,Ain Karma,Sakia,Ain Karma,363200.0,332750.0,443790.629,4015956.4079,413.0,124000,40000.0,161000.0,100,Exploitation,Pn,Non,Non,36.286936708213425,8.374064192587424,feuille1
876,1999,LE KEF,"Aff, O,Sasi",Tejerouine,Tejerouine,380550.0,286150.0,461843.7396,3969058.1467,195.0,46000,0.0,166000.0,100,Exploitation,DRI/GRN,Non,Non,35.86500493557495,8.577362213147552,feuille1
877,1999,LE KEF,"O,Hammam",Jerissa,Hayedra,387800.0,286510.0,469104.7798,3969404.1496,355.0,107000,65000.0,266000.0,100,Exploitation,DRI/GRN,Non,Oui,35.868380497069666,8.657774270411045,feuille1
878,2000,LE KEF,"O,Jefna",Kef Est,Kerdmi,387300.0,317000.0,468202.7707,4000043.3215,95.0,110000,65000.0,255000.0,100,Exploitation,FCGBV,Non,Oui,36.14458713131142,8.646552108159607,feuille1
879,2000,LE KEF,"O,Jbel Balo",Nebeur,Touiref,379500.0,334500.0,459921.7211,4017390.4194,117.0,109000,75000.0,297000.0,100,Exploitation,FCGBV,Non,Non,36.30067000654037,8.553617123371327,feuille1
880,2000,LE KEF,"O,Aîn Taghi",Sakia,Hzim,378100.0,329600.0,458930.7162,4012366.3904,190.0,97000,80000.0,257300.0,100,Exploitation,FCGBV,Oui,Oui,36.25533547729709,8.542844021957116,feuille1
881,2000,LE KEF,"O,Argoub En",Sakia,Jradou,374400.0,332300.0,454989.6932,4015228.4061,105.0,109000,50000.0,259700.0,100,Exploitation,FCGBV,Non,Oui,36.28096140891575,8.498811764591498,feuille1
882,2002,LE KEF,"O, Jakhouan",Lgsour,Banou,412350.0,278000.0,493703.9159,3961050.1053,715.0,154000,100000.0,392000.0,100,Exploitation,FCGBV,Non,Non,35.793526025816504,8.930323746751187,feuille1
883,2002,LE KEF,"O,Kousem",Dehmani,Lmdina,399600.0,282250.0,480862.845,3965498.1293,309.0,107000,70000.0,338000.0,100,Exploitation,FCGBV,Non,Non,35.833463815697606,8.788110790771446,feuille1
884,2002,LE KEF,"O,Saai",Nebeur,Twiref,385650.0,342100.0,467076.7609,4024970.4642,235.0,102000,50000.0,238000.0,100,Exploitation,DRI/GRN,Non,Non,36.36927699641763,8.632986298510383,feuille1
885,2002,LE KEF,"O,khanga",Sakia,Jradou,408000.0,340800.0,488729.8856,4024086.4611,725.0,120000,100000.0,608700.0,100,Exploitation,FCGBV,Non,Non,36.36180504596241,8.87437753699475,feuille1
886,2000,LE KEF,"O, Mour",Tejerouine,Tejerouine,378900.0,291750.0,460020.7286,3974611.1772,462.0,100000,90000.0,353100.0,100,Exploitation,DRI/GRN,Non,Non,35.914997438368964,8.556891302062873,feuille1
887,2002,LE KEF,"O, Sassi",Tejerouine,Tejerouine,379500.0,287000.0,461036.7351,3969913.1513,340.0,80000,30000.0,265200.0,100,Exploitation,DRI/GRN,Non,Oui,35.872681781743715,8.568381851818444,feuille1
888,2004,LE KEF,"O,Lfaouar",Sakia,Jradou,408800.0,340950.0,490589.896,4031840.5061,190.0,100000,80000.0,276000.0,100,Exploitation,FCGBV,Non,Non,36.431730320129844,8.895016159114888,feuille1
889,2005,LE KEF,"O,Jouman",Nebeur,Lgsar,408000.0,340800.0,488808.886,4024122.4613,340.0,93000,45000.0,498800.0,100,Exploitation,FCGBV,Non,Non,36.36213052389422,8.875257596025826,feuille1
890,2005,LE KEF,"O,Henchir L",Tejerouine,Jezza,386470.0,297800.0,467702.7705,3980756.2127,102.0,50000,40000.0,172700.0,100,Exploitation,DRI/GRN,Non,Non,35.97068419441637,8.641783301321977,feuille1
891,2005,LE KEF,"O,Bir Khath",Tejerouine,Jezza,382700.0,297600.0,463999.7501,3978907.2018,176.0,55000,40000.0,160230.0,100,Exploitation,DRI/GRN,Non,Non,35.95388428449444,8.600796928778333,feuille1
892,2006,LE KEF,"O,Jrabiaa",Tejerouine,Bir Nakhla,387500.0,301600.0,468561.7747,3984978.2365,258.0,100000,80000.0,263324.0,100,Exploitation,DRI/GRN,Non,Non,36.008777145988034,8.651143025827235,feuille1
893,2006,LE KEF,"O,Essarek",Sakia,Sidi Rabah,363300.0,311250.0,444362.6373,3994066.2834,650.0,155000,120000.0,265330.0,100,Exploitation,DRI/GRN,Non,Non,36.08962749709805,8.381986062819475,feuille1
894,2006,LE KEF,"O,Erretba",Sakia,Ain Lkarma,362440.0,315445.0,443386.6308,3998240.3067,462.0,127000,100000.0,273270.0,100,Exploitation,DRI/GRN,Non,Non,36.12720090353745,8.37084523922213,feuille1
895,2006,LE KEF,"O,Issa",Tejerouine,Bir Khthr,374825.0,296000.0,455987.7055,3979146.2018,330.0,81000,80000.0,274430.0,100,Exploitation,DRI/GRN,Non,Non,35.95571064926204,8.51194156268916,feuille1
896,2006,LE KEF,"O,Moula",Tejerouine,EL khalij,372700.0,292390.0,453965.695,3975207.1795,471.0,118000,110000.0,284450.0,100,Exploitation,DRI/GRN,Non,Non,35.92010441444634,8.48974829238531,feuille1
897,2006,LE KEF,"O, Lgsar",Tejerouine,El Houth,389625.0,289800.0,470881.78,3972839.1,396.0,99000,320130.0,,100,Exploitation,Pn,Non,,35.8994043846243,8.677332180867076,feuille1
898,2008,LE KEF,"O, Sidi Hsin",Essers,Bou Sliaa,303500.0,417850.0,443407.551,3998239.98,255.0,87000,233020.0,,100,Exploitation,Pn,Non,,36.127199179103,8.371077740147665,feuille1
899,2009,LE KEF,"O, Karrouba",Essers,El Arbes,407200.0,313400.0,488241.88,3996820.3,135.0,30000,98900.0,,100,Protection,Pn,Non,,36.11597948416837,8.869347680855855,feuille1
900,2009,LE KEF,"Aff O, Karrouba",Essers,El Arbes,378000.0,301750.0,459213.72,3984599.2,147.0,50000,98900.0,,100,Protection,Pn,Non,,36.00501334201127,8.54743363424653,feuille1
901,2010,LE KEF,"O, Lgtar",El Ksour,Ain Fthil,294250.0,422400.0,459332.65,3994679.9,170.0,62000,224600.0,,100,Exploitation,Pn,Non,,36.0959017458853,8.548234221618747,feuille1
902,2010,LE KEF,"O,Zitoun",Sakia,Ain Lkarma,365620.16,317511.32,446537.6483,3999806.3164,295.0,102000,102000.0,368347.0,100,Exploitation,FCGBV,Non,Non,36.14149768040162,8.405754896441021,feuille1
903,2010,LE KEF,"O,Siyan",Sakia,Sidi Rabah,362455.73,315933.84,440243.6123,4001730.3259,325.0,97000,97000.0,279730.0,100,Exploitation,FCGBV,Non,Non,36.15847530911066,8.335653114053311,feuille1
904,2011,LE KEF,"O,Jnen Boul",Ain Lkarma,Sakia,364853.14,315349.22,445789.6445,3997618.3038,600.0,160000,160000.0,290268.0,100,Exploitation,FCGBV,Non,Non,36.12173066937998,8.39759186097018,feuille1
905,2014,LE KEF,"O,Dkhila",Sidi Abdelbaset,Téjerouin,378000.0,301750.0,459331.72,3984625.2,203.0,70000,473652.0,,100,Exploitation,FCGBV,Non,,36.005252681833724,8.548741595247995,feuille1
906,2015,LE KEF,"O, Kodiet Lbyatha",Eddir,Kef Est,394500.0,319200.0,476495.81,4002315.3,130.0,65000,99175.0,,100,Protection,Pn,Non,,36.16530698669845,8.738665923920497,feuille1
907,2015,LE KEF,"Aff O, Echad",Eddir,Kef Est,390150.0,319650.0,470645.78,4002429.3,160.0,65000,94875.0,,100,Protection,Pn,Non,,36.1661751328819,8.673618277103344,feuille1
908,2015,LE KEF,"O, Kodiet Lbhim",Eddir,Kef ouest,389100.0,322300.0,470786.78,4006217.3,206.0,89000,474324.0,,100,Exploitation,FCGBV,Non,,36.20033019535358,8.675044973182736,feuille1
