type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,feuille
"Panneaux de fibres de bois ou d'autres matieres ligneuses,meme agg- lomerees avec des resines ou d'autres liants organiques:",252.994,65.645,198.715,748.698,524.077,3308.717,9728.936,2108.243,558.781,81.471,132.492,99.287,42.446,358.677,882.35,454.721,1121.415,1747.865,4158.896,5615.352,4620.019,Feuil1
"Bois contre-plaques,bois plaques et bois stratifies similaires:",3616.19,3601.667,3991.88,164.775,1136.798,1173.495,2147.559,1134.645,363.189,142.118,779.263,625.697,226.158,184.809,132.129,69.901,95.218,51.097,85.906,63.557,23.109,Feuil1
"Bois dits ""densifies"",en blocs,planches,lames ou profiles:",19.71,12.854,1.26,3.2,162.719,,0.0,0.0,0.15,11.29,10.4,,,,0.65,,,,3.626,0.01,,Feuil1
"Cadres en bois pour tableaux,photographies,miroirs ou objets simi- laires:",73.365,306.178,533.461,321.456,350.864,380.602,403.667,309.585,344.741,716.778,631.967,542.361,161.27,163.075,334.582,292.283,527.387,1084.094,476.419,457.759,286.519,Feuil1
"Caisses,calssettes,cageots,cylindres et emballages similaires,en bois;tambours (tourets) pour cables,en bois;palettes simples,pale- ttes-caisses et autres plateaux de chargement,en bois:",420.749,283.519,1618.102,881.613,665.473,1137.123,1306.239,1333.304,996.583,1356.025,1405.931,1529.479,1023.204,1519.248,1681.3,1751.884,1386.786,1436.184,1481.328,2292.025,2663.479,Feuil1
"Futailles,cuves,baquets et autres ouvrages de tonnellerie et leurs parties,en bois,y compris les merrains:",,,0.075,,0.041,,,,0.1,,,,,,,,,,,,,Feuil1
"Outils,montures et manches d'outils,montures de brosses,manches de de balais ou de brosses,en bois;formes,embauchoirs et tendeurs pour chaussures,en bois :",184.582,141.293,175.727,289.181,130.018,45.791,45.705,4.379,30.07,80.877,27.117,236.239,96.981,149.649,38.066,3.547,28.864,5.64,,1.978,0.011,Feuil1
"Ouvrages de menuiserie et pieces de charpente pour construction,y compris les panneaux cellulaires,les panneaux pour parquet et les bardeaux (""shingles"" et ""shakes""), en bois :",3777.892,2319.08,1962.952,2076.542,316.606,464.863,378.074,390.69,627.095,801.547,1228.478,1268.761,450.799,676.782,217.298,219.628,212.664,108.978,121.273,167.168,138.105,Feuil1
Articles en bois pour la table ou la cuisine :,5.364,13.587,33.849,10.14,21.211,24.279,32.114,30.201,13.147,9.701,131.509,43.447,95.668,187.962,221.864,278.136,302.095,470.442,480.405,692.532,849.797,Feuil1
Bois marquetes et bois incrustes coffrets ecrins et etuis pour bijouterie ou orfevrerie et ouvrages similaires en bois statuettes et autres objets d'ornement en bois articles d'ameublement en bois ne relevant pas du ch.94:,8.573,43.647,23.352,16.535,19.367,12.791,10.913,2.625,2.059,35.563,58.515,9.567,57.947,8.315,12.612,7.85,16.956,38.44,34.267,19.549,16.065,Feuil1
Autres ouvrages en bois :,244.132,377.275,597.168,780.657,657.401,527.941,465.184,783.0,857.435,1246.187,897.618,1559.302,1420.848,1476.518,1214.027,1213.693,1293.062,1416.303,1263.292,1485.368,1498.673,Feuil1
