annee,nom_de_la_nappa,delegation,nombre_de_puits,ressources_million_m3,debit_litre_seconde,exploitation_pour_leau_potable_millionm3,exploitation_pour_lagriculture_million_m3,exploitation_pour_lindustrie_million_m3,exploitation_total_million_m3,salinite_g_litre,feuille
2021.0,وادي قنيش13131,منزل جميل,36.0,3.2,2.42,0.55,,2.97,,93.9,Feuil1
2021.0,منزل بورقيبة 13141,منزل بورقيبة,87.0,3.0,0.14,1.84,0.16,1.14,,65.6,Feuil1
2021.0,وادي سجنان 13211,سجنان,11.0,0.8,0.23,0.04,,0.27,,8.7,Feuil1
2021.0,ماطر 13511,ماطر,38.0,12.6,0.66,0.92,0.012,1.59,,50.3,Feuil1
2021.0,ماطر 13521,ماطر,19.0,,3.0,0.19,,3.14,,97,Feuil1
2021.0,جومين الأعلى 13531,جومين,30.0,1.3,1.57,0.3,,1.87,,59.2,Feuil1
2021.0,وادي الطين 13621,جومين,8.0,1.5,0.02,0.13,,0.15,,4.83,Feuil1
2021.0,وادي مجردة 26011,أوتيك,60.0,4.0,,1.25,0.02,1.34,,42.4,Feuil1
2021.0,وادي مجردة 26021,أوتيك,24.0,,,1.24,,1.24,,39.2,Feuil1
2021.0,مجموع الولاية,,597.0,53.2,8.9,12.8,0.38,22.18,35.36,689,Feuil1
2022.0,بنزرت الشمالية 12211,بنزرت الشمالية,12.0,4.7,8.23,0.23,0.01,0.01,0.26,"0,3 - 2,7",Feuil1
2022.0,وادي القرع 13111,بنزرت الجنوبية,27.0,0.9,2.4,0.27,0.38,,0.64,"0,35 - 2,4",Feuil1
2022.0,وادي قنيش13121,العالية,259.0,9.5,208.8,0.46,5.96,0.19,6.6,"0,3 - 3,45",Feuil1
2022.0,وادي قنيش13131,منزل جميل,38.0,3.2,84.0,2.08,0.57,,2.7,"0,35 - 2,3",Feuil1
2022.0,منزل بورقيبة 13141,منزل بورقيبة,90.0,3.0,72.0,0.07,2.0,0.2,2.34,"0,8 - 2,5",Feuil1
2022.0,وادي سجنان 13211,سجنان,11.0,0.8,3.3,0.06,0.05,,0.11,"0,4 - 3,15",Feuil1
2022.0,ماطر 13511,ماطر,43.0,12.6,42.2,0.41,0.92,0.012,1.35,"0,5 - 2,8",Feuil1
2022.0,ماطر 13521,ماطر,20.0,,99.6,2.91,0.22,,3.21,"0,3 - 1,5",Feuil1
2022.0,جومين الأعلى 13531,جومين,33.0,1.3,60.9,1.62,0.31,,1.9,"0,3 - 1,6",Feuil1
2022.0,وادي الطين 13621,جومين,9.0,1.5,5.71,0.02,0.16,,0.19,"0,5 - 0,9",Feuil1
2022.0,وادي مجردة 26011,أوتيك,67.0,4.0,45.1,0.0,1.41,0.02,1.43,"0,8 - 3,3",Feuil1
2022.0,وادي مجردة 26021*,أوتيك,24.0,11.7,39.2,,1.24,,1.24,"1,2 - 2,7",Feuil1
2022.0,مجموع الولاية,,633.0,53.2,671.44,8.129999999999999,13.230000000000002,0.43200000000000005,21.969999999999995,,Feuil1
2023.0,بنزرت الشمالية 12211,بنزرت الشمالية,12.0,4.7,8.23,0.23,0.01,0.01,0.25,"0,3 - 2,7",Feuil1
2023.0,وادي القرع 13111,بنزرت الجنوبية,27.0,0.9,2.4,0.29,0.47,,0.76,"0,35 - 2,4",Feuil1
2023.0,وادي قنيش13121,العالية,265.0,9.5,208.8,0.38,6.04,0.17,6.59,"0,3 - 3,45",Feuil1
2023.0,وادي قنيش13131,منزل جميل,38.0,3.2,84.0,1.48,0.63,,2.11,"0,35 - 2,3",Feuil1
2023.0,منزل بورقيبة 13141,منزل بورقيبة,92.0,3.0,72.0,0.07,2.02,0.23,2.32,"0,8 - 2,5",Feuil1
2023.0,وادي سجنان 13211,سجنان,11.0,0.8,3.3,0.16,1.05,,1.21,"0,4 - 3,15",Feuil1
2023.0,ماطر 13511,ماطر,45.0,12.6,42.2,0.4,0.97,0.012,1.382,"0,5 - 2,8",Feuil1
2023.0,ماطر 13521,ماطر,21.0,,99.6,2.35,0.22,,2.5700000000000003,"0,3 - 1,5",Feuil1
2023.0,جومين الأعلى 13531,جومين,36.0,1.3,60.9,1.47,0.45,,1.92,"0,3 - 1,6",Feuil1
2023.0,وادي الطين 13621,جومين,9.0,1.5,5.71,0.02,0.17,,0.19,"0,5 - 0,9",Feuil1
2023.0,وادي مجردة 26011,أوتيك,78.0,4.0,45.1,0.0,1.57,0.02,1.59,"0,8 - 3,3",Feuil1
2023.0,وادي مجردة 26021*,أوتيك,24.0,11.7,39.2,,1.19,,1.19,"1,2 - 2,7",Feuil1
2023.0,مجموع الولاية,,658.0,53.2,671.44,6.849999999999999,14.790000000000001,0.44200000000000006,22.082000000000004,,Feuil1
,*: المائدة المائية وادي مجردة 26021 مشتركة بين ولايتي بنزرت وأريانة.,,,,,,,,,,Feuil1
