mois_2019,regions,maximum_dinar_la_balle,minimum_dinar_la_balle,feuille
octobre,nord,6.0,4.5,Feuil1
octobre,sahel,7.0,5.0,Feuil1
octobre,centre-et-sud,7.0,5.0,Feuil1
novembre,nord,6.0,4.0,Feuil1
novembre,sahel,7.0,5.0,Feuil1
novembre,centre-et-sud,7.0,5.0,Feuil1
decembre,nord,6.0,4.0,Feuil1
decembre,sahel,7.5,5.0,Feuil1
decembre,centre-et-sud,7.5,5.0,Feuil1
mois-2021,regions,,,Feuil1
janvier,nord,6.5,4.0,Feuil1
janvier,sahel,7.5,5.0,Feuil1
janvier,centre-et-sud,7.5,5.0,Feuil1
fevrier,nord,8.0,6.0,Feuil1
fevrier,sahel,10.0,5.0,Feuil1
fevrier,centre-et-sud,10.0,5.0,Feuil1
mars,nord,11.0,7.0,Feuil1
mars,sahel,12.5,8.0,Feuil1
mars,centre-et-sud,12.5,8.0,Feuil1
avril,nord,10.0,9.0,Feuil1
avril,sahel,13.0,10.0,Feuil1
avril,centre-et-sud,13.0,10.0,Feuil1
mai,nord,7.0,6.0,Feuil1
mai,sahel,8.0,7.0,Feuil1
mai,centre-et-sud,8.0,7.0,Feuil1
juin,nord,5.5,4.5,Feuil1
juin,sahel,7.5,6.5,Feuil1
juin,centre-et-sud,7.5,6.5,Feuil1
juillet,nord,6.0,4.5,Feuil1
juillet,sahel,8.0,6.5,Feuil1
juillet,centre-et-sud,8.0,6.5,Feuil1
aout,nord,6.5,5.5,Feuil1
aout,sahel,8.5,6.5,Feuil1
aout,centre-et-sud,8.5,6.5,Feuil1
septembre,nord,7.0,5.5,Feuil1
septembre,sahel,9.0,6.0,Feuil1
septembre,centre-et-sud,9.0,6.0,Feuil1
octobre,nord,7.5,5.5,Feuil1
octobre,sahel,10.0,6.0,Feuil1
octobre,centre-et-sud,10.0,6.0,Feuil1
novembre,nord,7.5,5.5,Feuil1
novembre,sahel,9.5,6.0,Feuil1
novembre,centre-et-sud,9.5,6.0,Feuil1
decembre,nord,8.5,6.5,Feuil1
decembre,sahel,11.5,9.0,Feuil1
decembre,centre-et-sud,11.5,9.0,Feuil1
mois-2022,regions,,,Feuil1
janvier,nord,8.0,6.5,Feuil1
janvier,sahel,11.0,9.0,Feuil1
janvier,centre-et-sud,11.0,9.0,Feuil1
fevrier,nord,8.0,6.5,Feuil1
fevrier,sahel,11.5,9.0,Feuil1
fevrier,centre-et-sud,11.5,9.0,Feuil1
mars,nord,8.5,6.5,Feuil1
mars,sahel,11.5,9.0,Feuil1
mars,centre-et-sud,11.5,9.0,Feuil1
avril,nord,8.0,6.0,Feuil1
avril,sahel,10.5,8.0,Feuil1
avril,centre-et-sud,10.5,8.0,Feuil1
mai,nord,6.0,4.0,Feuil1
mai,sahel,9.5,8.0,Feuil1
mai,centre-et-sud,9.5,8.0,Feuil1
juin,sahel,7.5,7.0,Feuil1
juin,centre-et-sud,7.5,7.0,Feuil1
juillet,nord,5.0,4.0,Feuil1
juillet,sahel,8.0,7.0,Feuil1
juillet,centre-et-sud,8.0,7.0,Feuil1
aout,nord,5.5,4.0,Feuil1
aout,sahel,8.5,7.0,Feuil1
aout,centre-et-sud,8.5,7.0,Feuil1
septembre,nord,6.0,4.0,Feuil1
septembre,sahel,9.0,7.0,Feuil1
septembre,centre-et-sud,9.0,7.0,Feuil1
octobre,nord,7.0,4.0,Feuil1
octobre,sahel,9.5,7.0,Feuil1
octobre,centre-et-sud,9.5,7.0,Feuil1
novembre,nord,7.5,6.0,Feuil1
novembre,sahel,10.0,7.0,Feuil1
novembre,centre-et-sud,10.0,7.0,Feuil1
decembre,nord,8.0,6.0,Feuil1
decembre,sahel,11.0,7.0,Feuil1
decembre,centre-et-sud,11.0,7.0,Feuil1
mois-2023,regions,,,Feuil1
janvier,nord,9.0,6.0,Feuil1
janvier,sahel,10.5,7.0,Feuil1
janvier,centre-et-sud,10.5,7.0,Feuil1
fevrier,nord,9.5,7.0,Feuil1
fevrier,sahel,12.0,10.0,Feuil1
fevrier,centre-et-sud,12.0,10.0,Feuil1
mars,nord,10.0,7.0,Feuil1
mars,sahel,12.5,10.0,Feuil1
mars,centre-et-sud,12.5,10.0,Feuil1
avril,nord,12.0,8.0,Feuil1
avril,sahel,15.0,12.0,Feuil1
avril,centre-et-sud,15.0,12.0,Feuil1
mai,nord,13.5,13.0,Feuil1
mai,sahel,16.0,13.0,Feuil1
mai,centre-et-sud,16.0,13.0,Feuil1
juin,nord,13.5,12.0,Feuil1
juin,sahel,16.0,13.0,Feuil1
juin,centre-et-sud,16.0,13.0,Feuil1
juillet,nord,14.0,12.0,Feuil1
juillet,sahel,16.0,13.0,Feuil1
juillet,centre-et-sud,16.0,13.0,Feuil1
aout,nord,14.0,12.0,Feuil1
aout,sahel,16.0,13.0,Feuil1
aout,centre-et-sud,16.0,13.0,Feuil1
septembre,nord,14.5,12.0,Feuil1
septembre,sahel,16.5,13.0,Feuil1
septembre,centre-et-sud,16.5,13.0,Feuil1
octobre,nord,15.0,13.0,Feuil1
octobre,sahel,17.0,13.0,Feuil1
octobre,centre-et-sud,17.0,13.0,Feuil1
novembre,nord,17.0,14.0,Feuil1
novembre,sahel,20.0,16.0,Feuil1
novembre,centre-et-sud,20.0,16.0,Feuil1
decembre,nord,18.0,16.0,Feuil1
decembre,sahel,21.0,18.0,Feuil1
decembre,centre-et-sud,21.0,18.0,Feuil1
mois-2024,regions,,,Feuil1
janvier,nord,18.0,16.0,Feuil1
janvier,sahel,22.0,18.0,Feuil1
janvier,centre-et-sud,22.0,18.0,Feuil1
fevrier,nord,15.0,12.5,Feuil1
fevrier,sahel,20.0,15.0,Feuil1
fevrier,centre-et-sud,20.0,15.0,Feuil1
mars,nord,10.5,8.0,Feuil1
mars,sahel,14.0,10.0,Feuil1
mars,centre-et-sud,14.0,10.0,Feuil1
avril,nord,8.5,7.5,Feuil1
avril,sahel,12.5,10.0,Feuil1
avril,centre-et-sud,12.5,10.0,Feuil1
mai,nord,8.0,5.0,Feuil1
mai,sahel,10.5,7.0,Feuil1
mai,centre-et-sud,10.5,7.0,Feuil1
juin,nord,7.0,5.0,Feuil1
juin,sahel,10.0,7.0,Feuil1
juin,centre-et-sud,10.0,7.0,Feuil1
juillet,nord,6.0,5.0,Feuil1
juillet,sahel,10.0,7.0,Feuil1
juillet,centre-et-sud,10.0,7.0,Feuil1
aout,nord,6.0,5.0,Feuil1
aout,sahel,9.5,7.0,Feuil1
aout,centre-et-sud,9.5,7.0,Feuil1
septembre,nord,5.5,4.0,Feuil1
octobre,sahel,8.5,7.0,Feuil1
octobre,centre-et-sud,8.5,7.0,Feuil1
novembre,sahel,8.0,7.0,Feuil1
novembre,centre-et-sud,8.0,7.0,Feuil1
decembre,nord,5.5,4.0,Feuil1
decembre,sahel,8.0,7.0,Feuil1
decembre,centre-et-sud,8.0,7.0,Feuil1
mois-2025,regions,,,Feuil1
janvier,nord,5.0,4.0,Feuil1
janvier,sahel,7.5,7.0,Feuil1
janvier,centre-et-sud,7.5,7.0,Feuil1
fevrier,nord,4.5,3.0,Feuil1
fevrier,sahel,7.0,6.0,Feuil1
fevrier,centre-et-sud,7.0,6.0,Feuil1
mars,nord,4.0,3.0,Feuil1
avril,nord,3.0,2.0,Feuil1
mai,sahel,7.0,6.0,Feuil1
mai,centre-et-sud,7.0,6.0,Feuil1
juin,sahel,7.0,5.5,Feuil1
juin,centre-et-sud,7.0,5.5,Feuil1
juillet,nord,4.0,2.5,Feuil1
juillet,sahel,7.5,5.5,Feuil1
juillet,centre-et-sud,7.5,5.5,Feuil1
aout,nord,5.0,3.0,Feuil1
aout,sahel,7.0,6.0,Feuil1
aout,centre-et-sud,7.0,6.0,Feuil1
septembre,nord,5.0,3.5,Feuil1
septembre,sahel,7.0,6.0,Feuil1
septembre,centre-et-sud,7.0,6.0,Feuil1
octobre,nord,5.5,3.5,Feuil1
octobre,sahel,8.0,6.0,Feuil1
octobre,centre-et-sud,8.0,6.0,Feuil1
novembre,sahel,7.5,6.0,Feuil1
novembre,centre-et-sud,7.5,6.0,Feuil1
decembre,nord,5.5,3.5,Feuil1
decembre,sahel,8.5,6.0,Feuil1
decembre,centre-et-sud,8.5,6.0,Feuil1
mois-2026,regions,,,Feuil1
janvier,nord,6.0,4.5,Feuil1
janvier,sahel,9.0,6.0,Feuil1
janvier,centre-et-sud,9.0,6.0,Feuil1
fevrier,nord,6.0,5.0,Feuil1
fevrier,sahel,8.0,6.0,Feuil1
fevrier,centre-et-sud,8.0,6.0,Feuil1
mars,nord,6.0,4.5,Feuil1
mars,sahel,8.5,6.0,Feuil1
mars,centre-et-sud,8.5,6.0,Feuil1
avril,nord,,,Feuil1
avril,sahel,,,Feuil1
avril,centre-et-sud,,,Feuil1
mai,nord,,,Feuil1
mai,sahel,,,Feuil1
mai,centre-et-sud,,,Feuil1
juin,nord,,,Feuil1
juin,sahel,,,Feuil1
juin,centre-et-sud,,,Feuil1
juillet,nord,,,Feuil1
juillet,sahel,,,Feuil1
juillet,centre-et-sud,,,Feuil1
aout,nord,,,Feuil1
aout,sahel,,,Feuil1
aout,centre-et-sud,,,Feuil1
septembre,nord,,,Feuil1
septembre,sahel,,,Feuil1
septembre,centre-et-sud,,,Feuil1
octobre,nord,,,Feuil1
octobre,sahel,,,Feuil1
octobre,centre-et-sud,,,Feuil1
novembre,nord,,,Feuil1
novembre,sahel,,,Feuil1
novembre,centre-et-sud,,,Feuil1
decembre,nord,,,Feuil1
decembre,sahel,,,Feuil1
decembre,centre-et-sud,,,Feuil1
