delegation_fr,delegation_ar,annee,nombre_centre_de_collecte_lait,quantite_de_refroidissement_litre,quantite_collectee_litre,feuille
Akouda,أكودة,2020,1.0,7000.0,2752222.0,Agric21 (2)
Kalaa Kébira,القلعة الكبرى,2020,3.0,20500.0,9675658.0,Agric21 (2)
Sid Bou Ali,سيدي بو علي,2020,1.0,3000.0,0.0,Agric21 (2)
Hergla,هرقلة,2020,,,,Agric21 (2)
Enfidha,النفيضة,2020,,,,Agric21 (2)
Bouficha,بوفيشة,2020,1.0,2000.0,4610292.0,Agric21 (2)
Kondar,الكندار,2020,,,,Agric21 (2)
Sid El Héni,سيدي الهاني,2020,,,,Agric21 (2)
M'Saken,مساكن,2020,,,,Agric21 (2)
Kalaa Sghira,القلعة الصغرى,2020,,,,Agric21 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2020,,,,Agric21 (2)
