delegation_ar,adresse_ar,nom_ar,nature_du_stockage_ar,nature_du_stockage_fr,feuille
أكودة,نهج 2 مارس أكودة,شركة فريقو خلف الله,خضر و غلال,fruits et légumes,مخازن التبريد
أكودة,المنطقة الصناعية,الياسمين لالثلج الغذائى,أسماك,poisson,مخازن التبريد
أكودة,شط مريم,مؤسسات عقيل للتبريد,خضر و غلال,fruits et légumes,مخازن التبريد
أكودة,المنطقة الصناعية,شركة سوبراك,خضر و غلال,fruits et légumes,مخازن التبريد
أكودة,المنطقة الصناعية,شركة سوفريكو للتبريد و التجميل,خضر و غلال,fruits et légumes,مخازن التبريد
أكودة,الفوقاعية,شركة فريقو لاين,لحوم,viandes rouges,مخازن التبريد
أكودة,الفوقاعية,لطفي بن علي هلول,تخزين بيض,œufs,مخازن التبريد
أكودة,شط مريم,شركة اللف و التعليب بالوسط,لف المواد الغذائية,emballage et stockage,مخازن التبريد
أكودة,الفوقاعية,بوراوي زريقة,خضر و غلال,fruits et légumes,مخازن التبريد
أكودة,الفوقاعية,رضا بن رمضان,خضر و غلال,fruits et légumes,مخازن التبريد
أكودة,الرميلة أكودة,شركة النيمر,خضر و غلال,fruits et légumes,مخازن التبريد
أكودة,المنطقة الصناعية,الطاهر قرطاس,خضر و غلال,fruits et légumes,مخازن التبريد
سيدي بوعلي,طريق تونس,الشركة التعاونية الأنصاري,خضر,légumes,مخازن التبريد
سيدي بوعلي,العرايدية,معز هلول,منتوجات فلاحية,produits agricoles,مخازن التبريد
سيدي بوعلي,طريق تونس,محمد بن سالم الكلبوسي,خضر و غلال,fruits et légumes,مخازن التبريد
النفيضة,النفيضة,ناصر الحوار,دجاج و لحوم بيضاء,volaille,مخازن التبريد
النفيضة,المركب الفلاحي,,خضر,légumes,مخازن التبريد
النفيضة,طريق الفرادة,ادريص الزعفوري,دقلة,dattes,مخازن التبريد
النفيضة,الشقارنية,عامر عقيد,لحوم,viande rouge,مخازن التبريد
النفيضة,المنطقة الصناعية,شوقي شبيل,خضر و غلال,fruits et légumes,مخازن التبريد
النفيضة,المنطقة الصناعية 2,شركة هادية للتبريد,خضر و غلال,fruits et légumes,مخازن التبريد
النفيضة,المنطقة الصناعية,مرادربالحاج عمار,خضر و غلال,fruits et légumes,مخازن التبريد
القلعة الكبرى,نهج فرحات حشاد,مروان بالعيد,منتوجات فلاحية,produits agricoles,مخازن التبريد
القلعة الكبرى,طريق كندار,محمد بوعسكر,منتوجات فلاحية,produits agricoles,مخازن التبريد
القلعة الكبرى,قبالة سوق الجملة البلدي,جعيدان,منتوجات فلاحية,produits agricoles,مخازن التبريد
القلعة الكبرى,طريق كندار,محمد سويلم,منتوجات فلاحية,produits agricoles,مخازن التبريد
القلعة الكبرى,طريق كندار,عبد الستار سويلم,منتوجات فلاحية,produits agricoles,مخازن التبريد
القلعة الكبرى,أهل جميع,علي براهم,منتوجات فلاحية,produits agricoles,مخازن التبريد
القلعة الكبرى,الشياب,محمد الناصر سوقير,منتوجات فلاحية,produits agricoles,مخازن التبريد
القلعة الكبرى,البورة بلعوم,شركة الأفق الفلاحي,خضر و غلال,fruits et légumes,مخازن التبريد
القلعة الكبرى,البورة بلعوم,صالح أمين الفرادي,خضر و غلال,fruits et légumes,مخازن التبريد
القلعة الكبرى,البورة بلعوم,رياض مرجان,خضر و غلال,fruits et légumes,مخازن التبريد
القلعة الكبرى,الكرارية,السويح منصور,خضر و غلال,fruits et légumes,مخازن التبريد
القلعة الكبرى,الزعارنة الشرقية,سمير الحاج سالم,الفرز و التبريد,tri,مخازن التبريد
القلعة الكبرى,البورة,فرج بوقطاية,خضر و غلال,fruits et légumes,مخازن التبريد
سوسة المدينة,شارع البيئة,محمد المداني الغوثي,الدواجن,volaille,مخازن التبريد
سوسة المدينة,نهج الدكتورة اسكندراني,شركة محمد علي للتجارة,لحوم حمراء,viande rouge,مخازن التبريد
حمام سوسة,طريق تونس,المنصف بن سهلول المهيري,خضر و غلال,fruits et légumes,مخازن التبريد
حمام سوسة,نهج حبيبة مسيكة,حمدي الولهازي global Fresh,خضر و غلال,fruits et légumes,مخازن التبريد
بوفيشة,وادي الخروب,عبد السلام الظاهري,منتوجات فلاحية,produits agricoles,مخازن التبريد
