campagne_dexportation_des_fruits_2023,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,feuille
Koweit,65.09300000000003,13.049999999999999,6.6,4.132,17.980000000000004,0.08299999999999999,,8.77,108.80599999999995,0.245,,2.863,0.065,26.757999999999996,,,,,,1.005,,,255.45000000000002,3660.53,413.8779999999999,5156.334000000001,Feuil1
AR Saoudite,65.68999999999998,,1.03,1.35,21.788,,,28.06,55.49999999999999,,,0.75,,6.093999999999999,,,,,,0.122,,,180.38399999999996,2527.145,250.36700000000005,3090.6620000000003,Feuil1
Pologne,98.004,,42,,,,,,,,,,,15.399999999999999,,,,,,,,,155.404,683.0989999999999,20,66.654,Feuil1
France,42.997,12.954,55.016,2.7439999999999998,4.095,,,7.058,,22.447,,,3.9919999999999995,3.6,,,,,,,,,154.903,628.145,947.1150000000001,2290.52,Feuil1
Qatar,40.345000000000006,1.562,7.99,2.311,12.992,,,20.327,41.96500000000001,,,10.726,,9.254000000000003,,,0.9199999999999999,,,,,0.165,148.55700000000002,2161.8340000000003,402.28800000000007,4434.261,Feuil1
Bahrain,0.928,,,,,,,,94.97699999999999,,,,,0.457,,,,,,6.733999999999999,,,103.09599999999998,1980.713,136.42000000000007,2350.1490000000017,Feuil1
Croitie,,,67.8,,,,,,,,,,,,,,,,,,,,67.8,99.74199999999999,,,Feuil1
Espagne,,,,,,,,,,,,,,,25,,21.4,,,,,,46.4,89.73499999999999,48.123999999999995,352.90599999999995,Feuil1
Oman,0.462,,,,,,,,30.06,,,,,0.462,,,,,,0.42000000000000004,,,31.404,575.9649999999998,50.08,592.08,Feuil1
Singapour,,,,,,,,,26.551999999999992,,,,,,,,,,,,,,26.551999999999992,620.152,,,Feuil1
Angleterre,,,22,,,,,,,,,,,,,,,,,,,,22,40.898,129.2,246.95800000000003,Feuil1
Allemagne,,,12,,,,,,,,,,,,,,,,,,,,12,29.472,115.679,405.55999999999995,Feuil1
Canada,2.5,1.5950000000000002,,,2.5,,,0.036000000000000004,,,,6.602999999999998,,,,,,,,,,,13.233999999999998,162.583,18.881999999999998,328.0399999999999,Feuil1
Nigeria,0.673,0.352,,0.269,0.35,,,,,,,,,0.753,,,,,,,,,2.3970000000000002,33.439,,,Feuil1
Chine,,,,,,,,,0.394,,,,,,,,,,,1.7850000000000001,,,2.1790000000000003,80.472,,,Feuil1
Jordanie,,,,,,,,,,,,,,,,,,,,1.53,,,1.53,45.246,,,Feuil1
Kenya,0.662,,,0.65,0.05,,,,,,,,,0.15,,,,,,,,,1.512,15.370000000000001,12.247,173.231,Feuil1
Lettonie,0.265,,0.8,,,,,,,,,,,0.075,,,,,,,,,1.1400000000000001,9.94,86.437,369.34999999999997,Feuil1
Romanie,,,,,,,,,,,,,,,,,,,,,,,,,255.896,1097.8500000000001,Feuil1
Norvège,,,,,,,,,,,,,,,,,,,,,,,,,31.2,214.312,Feuil1
Algerie,,,,,,,,,,,,,,,,,,,,,,,,,7.6,80.142,Feuil1
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,22.014000000000003,211.59099999999998,Feuil1
Total Q ( T),9889.108,5895.346,5601.644000000002,4170.673,3514.7000000000003,1180.777,994.5,876.1949999999999,704.562,698.472,689.3,393.68600000000004,253.767,216.619,205,67.5,47.12,22,20,12.675999999999997,1.68,0.165,35455.490000000005,134779.188,63264.067999999985,162583.344,Feuil1
Total V(MDT),36973.47600000001,18165.376999999997,10405.680999999997,14928.792999999998,13234.658,5728.059,5787,4253.646,12833.346,2419.315,2756.942,2665.871,669.9059999999998,1845.0470000000003,162.12,306,129.75,744.282,320,393.639,53.684,2.596,,,,,Feuil1
