date,qte_tonne_sfax,px_min_sfax,px_max_sfax,qte_tonne_centre,px_min_centre,px_max_centre,qte_tonne_sahel,px_min_sahel,px_max_sahel,qte_tonne_nord,px_min_nord,px_max_nord,qte_tonne_sud,px_min_sud,px_max_sud,qte_totale,feuille
2021-11-22,32.0,1200.0,1870.0,29.0,950.0,1890.0,,,,6.0,1000.0,1000.0,2.0,1720.0,1720.0,69.0,Feuil1
2021-11-23,23.0,1480.0,1900.0,26.0,1100.0,1820.0,,,,2.0,2000.0,2000.0,,,,51.0,Feuil1
2021-11-24,27.0,800.0,1800.0,26.0,1050.0,1750.0,,,,,,,,,,53.0,Feuil1
2021-11-25,14.0,1300.0,1580.0,18.0,1300.0,1710.0,,,,,,,,,,32.0,Feuil1
2021-11-26,20.0,1220.0,1920.0,23.0,1350.0,1850.0,,,,2.0,1500.0,1500.0,,,,45.0,Feuil1
2021-11-27,20.0,1220.0,1920.0,23.0,1850.0,1350.0,,,,2.0,1500.0,1500.0,,,,45.0,Feuil1
2021-11-28,,,,,,,,,,,,,,,,,Feuil1
2021-11-29,,,,,,,,,,,,,,,,,Feuil1
2021-11-30,12.0,1550.0,1900.0,12.0,1600.0,2100.0,,,,,,,,,,24.0,Feuil1
2021-12-01,,,,,,,,,,,,,,,,,Feuil1
2021-12-02,,,,,,,,,,,,,,,,,Feuil1
2021-12-03,,,,,,,,,,,,,,,,,Feuil1
2021-12-04,15.0,1250.0,2000.0,18.0,1700.0,2070.0,,,,,,,,,,33.0,Feuil1
2021-12-05,35.0,1200.0,2200.0,17.0,1700.0,2150.0,,,,,,,,,,52.0,Feuil1
2021-12-06,27.0,1250.0,2150.0,18.0,1870.0,2100.0,,,,,,,3.0,2100.0,1700.0,48.0,Feuil1
2021-12-07,35.0,1470.0,2000.0,30.0,1650.0,1900.0,,,,,,,,,,65.0,Feuil1
2021-12-08,27.0,1600.0,2050.0,32.0,1600.0,1900.0,,,,3.0,2000.0,2000.0,3.0,2000.0,1600.0,65.0,Feuil1
2021-12-09,26.0,1450.0,2000.0,23.0,1800.0,2000.0,,,,,,,3.0,1600.0,1850.0,52.0,Feuil1
2021-12-10,27.0,1700.0,2150.0,35.0,1750.0,2050.0,,,,,,,,,,62.0,Feuil1
2021-12-11,24.0,1000.0,2100.0,39.0,1700.0,2150.0,,,,,,,,,,63.0,Feuil1
2021-12-12,21.0,1300.0,2100.0,30.0,1760.0,2100.0,,,,,,,,,,51.0,Feuil1
2021-12-13,,,,,,,,,,,,,,,,,Feuil1
2021-12-14,14.0,1650.0,2050.0,27.0,1600.0,2080.0,,,,,,,2.0,1650.0,1650.0,43.0,Feuil1
2021-12-15,16.0,900.0,2050.0,5.0,1600.0,1850.0,,,,,,,,,,21.0,Feuil1
2021-12-16,32.0,1600.0,2020.0,14.0,1500.0,2100.0,,,,,,,,,,46.0,Feuil1
2021-12-17,32.0,1670.0,2100.0,15.0,1700.0,2100.0,,,,,,,,,,47.0,Feuil1
2021-12-18,27.0,1250.0,2100.0,15.0,1700.0,2100.0,,,,,,,,,,42.0,Feuil1
2021-12-19,33.0,1200.0,2100.0,20.0,1600.0,1960.0,,,,,,,,,,53.0,Feuil1
2021-12-20,18.0,1300.0,2000.0,18.0,1700.0,2120.0,,,,,,,3.0,1950.0,1950.0,39.0,Feuil1
2021-12-21,18.0,1650.0,2050.0,29.0,1700.0,2300.0,,,,,,,2.0,2270.0,2270.0,49.0,Feuil1
2021-12-22,32.0,1750.0,2150.0,47.0,1750.0,2220.0,,,,,,,2.0,1820.0,1820.0,81.0,Feuil1
2021-12-23,36.0,1450.0,2170.0,27.0,1750.0,2220.0,,,,,,,,,,63.0,Feuil1
2021-12-24,27.0,1500.0,2200.0,35.0,1500.0,2200.0,,,,,,,5.0,1800.0,2160.0,67.0,Feuil1
2021-12-25,20.0,1150.0,2100.0,21.0,1850.0,2270.0,,,,,,,3.0,1670.0,2000.0,44.0,Feuil1
2021-12-26,26.0,1350.0,2250.0,29.0,1700.0,2280.0,,,,,,,2.0,1800.0,1800.0,57.0,Feuil1
2021-12-27,26.0,1300.0,2320.0,26.0,1800.0,2250.0,,,,,,,3.0,2100.0,2400.0,55.0,Feuil1
2021-12-28,41.0,1300.0,2200.0,30.0,1750.0,2060.0,,,,,,,3.0,2420.0,2420.0,74.0,Feuil1
2021-12-29,21.0,1650.0,2200.0,23.0,2050.0,2300.0,,,,,,,2.0,1900.0,1900.0,46.0,Feuil1
2021-12-30,12.0,1500.0,2300.0,35.0,2050.0,2350.0,,,,,,,8.0,2100.0,2400.0,55.0,Feuil1
2021-12-31,17.0,1450.0,2300.0,29.0,1500.0,2380.0,,,,,,,,,,46.0,Feuil1
2022-01-01,14.0,1500.0,2300.0,9.0,2100.0,2200.0,,,,,,,,,,23.0,Feuil1
2022-01-02,26.0,1880.0,2400.0,24.0,1870.0,2200.0,,,,,,,,,,50.0,Feuil1
2022-01-03,15.0,1200.0,2400.0,23.0,2100.0,2250.0,,,,,,,3.0,2150.0,2150.0,41.0,Feuil1
2022-01-04,14.0,1900.0,2350.0,18.0,2050.0,2250.0,,,,2.0,2400.0,2400.0,,,,34.0,Feuil1
2022-01-05,30.0,2050.0,2300.0,35.0,2100.0,2350.0,,,,,,,,,,65.0,Feuil1
2022-01-06,23.0,1300.0,2380.0,18.0,2160.0,2250.0,,,,,,,,,,41.0,Feuil1
2022-01-07,15.0,1500.0,2300.0,24.0,2050.0,2150.0,,,,,,,,,,39.0,Feuil1
2022-01-08,20.0,2100.0,2500.0,14.0,1650.0,2500.0,,,,,,,,,,34.0,Feuil1
2022-01-09,5.0,1400.0,2250.0,20.0,2050.0,2200.0,,,,,,,,,,25.0,Feuil1
2022-01-10,29.0,1600.0,2500.0,12.0,2200.0,2200.0,,,,,,,,,,41.0,Feuil1
2022-01-11,3.0,2000.0,2130.0,15.0,1840.0,2310.0,,,,,,,,,,18.0,Feuil1
2022-01-12,3.0,2000.0,2130.0,15.0,1840.0,2310.0,,,,,,,,,,18.0,Feuil1
2022-01-13,20.0,1750.0,2300.0,14.0,2000.0,2050.0,,,,,,,,,,34.0,Feuil1
2022-01-14,8.0,2000.0,2500.0,2.0,2000.0,2000.0,,,,,,,,,,10.0,Feuil1
2022-01-15,6.0,1650.0,2300.0,6.0,1750.0,2000.0,,,,,,,,,,12.0,Feuil1
2022-01-16,14.0,1800.0,2200.0,9.0,2150.0,2200.0,,,,,,,,,,23.0,Feuil1
2022-01-17,14.0,1800.0,2300.0,3.0,2080.0,2250.0,,,,,,,,,,17.0,Feuil1
2022-01-18,17.0,1800.0,2400.0,3.0,2080.0,2250.0,,,,,,,,,,20.0,Feuil1
2022-01-19,20.0,1750.0,2400.0,11.0,2080.0,2450.0,,,,,,,,,,31.0,Feuil1
2022-01-20,17.0,1670.0,2400.0,9.0,1900.0,2280.0,,,,,,,,,,26.0,Feuil1
2022-01-21,18.0,1870.0,2350.0,6.0,2050.0,2100.0,,,,,,,,,,24.0,Feuil1
2022-01-22,17.0,1800.0,2400.0,9.0,1800.0,2500.0,,,,,,,,,,26.0,Feuil1
2022-01-23,17.0,1550.0,2450.0,6.0,2000.0,2300.0,,,,,,,,,,23.0,Feuil1
2022-01-24,12.0,1600.0,2400.0,5.0,2300.0,2400.0,,,,,,,,,,17.0,Feuil1
2022-01-25,17.0,1800.0,2300.0,2.0,2500.0,2500.0,,,,,,,,,,19.0,Feuil1
2022-01-26,6.0,1900.0,2100.0,,,,,,,,,,,,,6.0,Feuil1
2022-01-27,6.0,1800.0,2150.0,,,,,,,,,,,,,6.0,Feuil1
2022-01-28,13.0,1680.0,2350.0,,,,,,,,,,,,,13.0,Feuil1
2022-01-29,18.0,1820.0,2300.0,,,,,,,,,,,,,18.0,Feuil1
2022-01-30,6.0,1830.0,2200.0,,,,,,,,,,,,,6.0,Feuil1
2022-01-31,,,,,,,,,,,,,,,,,Feuil1
2022-02-01,,,,,,,,,,,,,,,,,Feuil1
2022-02-02,,,,,,,,,,,,,,,,,Feuil1
2022-02-03,,,,,,,,,,,,,,,,,Feuil1
2022-02-04,,,,,,,,,,,,,,,,,Feuil1
2022-02-05,,,,,,,,,,,,,,,,,Feuil1
2022-02-06,,,,,,,,,,,,,,,,,Feuil1
