date,qte_tonne_sfax,px_min_sfax,px_max_sfax,qte_tonne_centre,px_min_centre,px_max_centre,qte_tonne_sahel,px_min_sahel,px_max_sahel,qte_tonne_nord,px_min_nord,px_max_nord,qte_tonne_sud,px_min_sud,px_max_sud,feuille
2020-12-06,12.0,1150.0,1200.0,33.0,1250.0,1760.0,3.0,1500.0,1650.0,,,,,,,Feuil1
2020-12-07,9.0,1200.0,1200.0,28.0,1100.0,1700.0,3.0,1100.0,13002.0,2.0,1500.0,1500.0,3.0,1450.0,1600.0,Feuil1
2020-12-08,12.0,1200.0,1200.0,35.0,1200.0,1960.0,9.0,1150.0,1200.0,3.0,1500.0,1550.0,2.0,1750.0,1750.0,Feuil1
2020-12-09,9.0,1200.0,1200.0,27.0,1270.0,1710.0,9.0,1180.0,1200.0,3.0,1500.0,1560.0,3.0,1550.0,1700.0,Feuil1
2020-12-10,8.0,1200.0,1200.0,35.0,1250.0,1700.0,5.0,1200.0,1230.0,2.0,1750.0,1750.0,2.0,1450.0,1450.0,Feuil1
2020-12-11,6.0,1200.0,1250.0,35.0,1350.0,1680.0,5.0,1250.0,1250.0,,,,3.0,1600.0,1700.0,Feuil1
2020-12-12,3.0,1200.0,1600.0,33.0,1120.0,1690.0,5.0,1300.0,1300.0,2.0,1500.0,1500.0,,,,Feuil1
2020-12-13,3.0,1200.0,1600.0,33.0,1120.0,1690.0,5.0,1300.0,1300.0,2.0,1500.0,1500.0,,,,Feuil1
2020-12-14,6.0,1200.0,1300.0,24.0,1250.0,1750.0,6.0,1200.0,1300.0,3.0,1350.0,1520.0,3.0,1500.0,1700.0,Feuil1
2020-12-15,6.0,1500.0,1550.0,36.0,1500.0,1700.0,3.0,1320.0,1330.0,2.0,1550.0,1550.0,5.0,1680.0,1800.0,Feuil1
2020-12-16,6.0,1300.0,1650.0,30.0,1350.0,1750.0,3.0,1350.0,1350.0,3.0,1650.0,1650.0,3.0,1730.0,1780.0,Feuil1
2020-12-17,5.0,1400.0,1600.0,30.0,1400.0,1750.0,6.0,1350.0,1350.0,,,,,,,Feuil1
2020-12-18,12.0,1250.0,1550.0,42.0,1400.0,1750.0,3.0,1320.0,1320.0,,,,,,,Feuil1
2020-12-19,3.0,1400.0,1650.0,33.0,1450.0,1820.0,2.0,1330.0,1330.0,,,,2.0,1750.0,1750.0,Feuil1
2020-12-20,5.0,1300.0,1600.0,35.0,1360.0,1800.0,2.0,1350.0,1350.0,,,,3.0,1600.0,1720.0,Feuil1
2020-12-21,6.0,1250.0,1500.0,32.0,1500.0,1700.0,2.0,1250.0,1250.0,,,,2.0,1700.0,1700.0,Feuil1
2020-12-22,5.0,1200.0,1500.0,42.0,1350.0,1700.0,,,,,,,,,,Feuil1
2020-12-23,8.0,1300.0,1550.0,24.0,1400.0,1750.0,,,,,,,2.0,1650.0,1650.0,Feuil1
2020-12-24,,,,23.0,1600.0,1650.0,,,,,,,2.0,1700.0,1700.0,Feuil1
2020-12-25,6.0,1450.0,1500.0,26.0,1300.0,1700.0,,,,,,,,,,Feuil1
2020-12-26,,,,23.0,1400.0,1750.0,3.0,1300.0,1300.0,,,,2.0,1750.0,1750.0,Feuil1
2020-12-27,3.0,1350.0,1550.0,18.0,1400.0,1760.0,2.0,1320.0,1320.0,,,,,,,Feuil1
2020-12-28,9.0,1200.0,1520.0,24.0,1350.0,1750.0,,,,,,,2.0,1650.0,1650.0,Feuil1
2020-12-29,5.0,1200.0,1500.0,21.0,1200.0,1500.0,,,,,,,,,,Feuil1
2020-12-30,3.0,1300.0,1600.0,27.0,1450.0,1820.0,,,,,,,3.0,1820.0,1820.0,Feuil1
2020-12-31,3.0,1450.0,1650.0,24.0,1670.0,1830.0,2.0,1400.0,1400.0,,,,3.0,1820.0,1820.0,Feuil1
2021-01-01,3.0,1400.0,1670.0,17.0,1450.0,1820.0,,,,,,,,,,Feuil1
2021-01-02,3.0,1300.0,1400.0,21.0,1850.0,2030.0,2.0,1500.0,1500.0,,,,3.0,1850.0,2030.0,Feuil1
2021-01-03,5.0,1350.0,1500.0,24.0,1600.0,1940.0,2.0,1400.0,1400.0,,,,3.0,1900.0,1900.0,Feuil1
2021-01-04,3.0,1400.0,1520.0,24.0,1500.0,1950.0,,,,,,,2.0,1630.0,1630.0,Feuil1
2021-01-05,8.0,1400.0,1920.0,32.0,1500.0,2050.0,,,,,,,2.0,1980.0,1980.0,Feuil1
2021-01-06,2.0,1650.0,1650.0,50.0,1800.0,2050.0,3.0,1470.0,1500.0,,,,,,,Feuil1
2021-01-07,,,,48.0,1800.0,1920.0,3.0,1500.0,1500.0,,,,,,,Feuil1
2021-01-08,,,,36.0,1600.0,2000.0,3.0,1550.0,1600.0,,,,,,,Feuil1
2021-01-09,,,,42.0,1600.0,1950.0,3.0,1550.0,1600.0,,,,,,,Feuil1
2021-01-10,,,,33.0,1600.0,1980.0,3.0,1500.0,1630.0,,,,,,,Feuil1
2021-01-11,2.0,2000.0,2000.0,48.0,1550.0,1940.0,,,,,,,,,,Feuil1
2021-01-12,,,,37.0,1600.0,2000.0,,,,,,,,,,Feuil1
2021-01-13,,,,41.0,1650.0,1960.0,,,,,,,,,,Feuil1
2021-01-14,2.0,1750.0,1750.0,9.0,1650.0,1950.0,,,,,,,,,,Feuil1
2021-01-15,3.0,1500.0,1600.0,6.0,1550.0,1800.0,,,,,,,,,,Feuil1
2021-01-16,2.0,1600.0,1600.0,16.0,1700.0,1880.0,,,,,,,,,,Feuil1
2021-01-17,3.0,1580.0,1660.0,18.0,1600.0,1900.0,,,,,,,,,,Feuil1
2021-01-18,,,,27.0,1600.0,1900.0,2.0,1530.0,1530.0,,,,,,,Feuil1
2021-01-19,5.0,1900.0,1900.0,30.0,1700.0,1900.0,3.0,1520.0,1680.0,,,,,,,Feuil1
2021-01-20,,,,30.0,1670.0,1920.0,2.0,1650.0,1650.0,,,,,,,Feuil1
2021-01-21,,,,27.0,1610.0,1920.0,3.0,1520.0,1600.0,,,,,,,Feuil1
2021-01-22,,,,33.0,1650.0,1940.0,,,,,,,,,,Feuil1
2021-01-23,,,,24.0,1640.0,2000.0,,,,,,,,,,Feuil1
2021-01-24,,,,21.0,1620.0,1980.0,,,,,,,,,,Feuil1
2021-01-25,,,,14.0,1600.0,1820.0,,,,,,,,,,Feuil1
2021-01-26,,,,8.0,1850.0,1950.0,,,,,,,,,,Feuil1
2021-01-27,,,,14.0,1850.0,2000.0,,,,,,,,,,Feuil1
2021-01-28,,,,6.0,1600.0,1980.0,,,,,,,,,,Feuil1
2021-01-29,,,,8.0,1650.0,1900.0,,,,,,,,,,Feuil1
2021-01-30,,,,,,,,,,,,,,,,Feuil1
2021-01-31,,,,,,,,,,,,,,,,Feuil1
2021-02-01,,,,,,,,,,,,,,,,Feuil1
2021-02-02,,,,,,,,,,,,,,,,Feuil1
2021-02-03,,,,,,,,,,,,,,,,Feuil1
2021-02-04,,,,,,,,,,,,,,,,Feuil1
2021-02-05,,,,,,,,,,,,,,,,Feuil1
2021-02-06,,,,,,,,,,,,,,,,Feuil1
